home, homescore, awayscore, away, date, time
Aston Villa, 0, 1, Man Utd, Sunday 14 May 2000, 16:00
Bradford, 1, 0, Liverpool, Sunday 14 May 2000, 16:00
Chelsea, 4, 0, Derby, Sunday 14 May 2000, 16:00
Everton, 0, 2, Middlesbrough, Sunday 14 May 2000, 16:00
Newcastle, 4, 2, Arsenal, Sunday 14 May 2000, 16:00
Sheffield Wed, 4, 0, Leicester, Sunday 14 May 2000, 16:00
Southampton, 2, 0, Wimbledon, Sunday 14 May 2000, 16:00
Spurs, 3, 1, Sunderland, Sunday 14 May 2000, 16:00
Watford, 1, 0, Coventry, Sunday 14 May 2000, 16:00
West Ham, 0, 0, Leeds, Sunday 14 May 2000, 16:00
Arsenal, 3, 3, Sheffield Wed, Tuesday 9 May 2000, 19:45
Leeds, 1, 1, Everton, Monday 8 May 2000, 20:00
Liverpool, 0, 0, Southampton, Sunday 7 May 2000, 16:00
Arsenal, 2, 1, Chelsea, Saturday 6 May 2000, 15:00
Coventry, 4, 1, Sheffield Wed, Saturday 6 May 2000, 15:00
Derby, 0, 0, Newcastle, Saturday 6 May 2000, 15:00
Leicester, 3, 0, Bradford, Saturday 6 May 2000, 15:00
Middlesbrough, 1, 1, Watford, Saturday 6 May 2000, 15:00
Sunderland, 1, 0, West Ham, Saturday 6 May 2000, 15:00
Wimbledon, 2, 2, Aston Villa, Saturday 6 May 2000, 15:00
Man Utd, 3, 1, Spurs, Saturday 6 May 2000, 11:30
Leeds, 3, 1, Watford, Wednesday 3 May 2000, 19:45
Liverpool, 0, 2, Leicester, Wednesday 3 May 2000, 19:45
Arsenal, 2, 1, West Ham, Tuesday 2 May 2000, 19:45
Middlesbrough, 2, 2, Newcastle, Tuesday 2 May 2000, 19:45
Sheffield Wed, 0, 3, Leeds, Sunday 30 April 2000, 16:00
Bradford, 3, 0, Wimbledon, Sunday 30 April 2000, 15:00
Aston Villa, 1, 1, Sunderland, Saturday 29 April 2000, 15:00
Chelsea, 2, 0, Liverpool, Saturday 29 April 2000, 15:00
Everton, 0, 1, Arsenal, Saturday 29 April 2000, 15:00
Newcastle, 2, 0, Coventry, Saturday 29 April 2000, 15:00
