home, homescore, awayscore, away, date, time
Aston Villa, 1, 0, Southampton, Sunday 11 May 1997, 16:00
Blackburn, 2, 4, Leicester, Sunday 11 May 1997, 16:00
Derby, 1, 3, Arsenal, Sunday 11 May 1997, 16:00
Everton, 1, 2, Chelsea, Sunday 11 May 1997, 16:00
Leeds, 1, 1, Middlesbrough, Sunday 11 May 1997, 16:00
Man Utd, 2, 0, West Ham, Sunday 11 May 1997, 16:00
Newcastle, 5, 0, Nott'm Forest, Sunday 11 May 1997, 16:00
Sheffield Wed, 1, 1, Liverpool, Sunday 11 May 1997, 16:00
Spurs, 1, 2, Coventry, Sunday 11 May 1997, 16:00
Wimbledon, 1, 0, Sunderland, Sunday 11 May 1997, 16:00
Man Utd, 0, 0, Newcastle, Thursday 8 May 1997, 20:00
Blackburn, 0, 0, Middlesbrough, Thursday 8 May 1997, 19:45
Leicester, 1, 0, Sheffield Wed, Wednesday 7 May 1997, 19:45
West Ham, 0, 0, Newcastle, Tuesday 6 May 1997, 19:45
Wimbledon, 2, 1, Liverpool, Tuesday 6 May 1997, 19:45
Man Utd, 3, 3, Middlesbrough, Monday 5 May 1997, 12:00
Liverpool, 2, 1, Spurs, Saturday 3 May 1997, 18:15
Arsenal, 0, 1, Newcastle, Saturday 3 May 1997, 15:00
Chelsea, 0, 0, Leeds, Saturday 3 May 1997, 15:00
Coventry, 1, 2, Derby, Saturday 3 May 1997, 15:00
Middlesbrough, 3, 2, Aston Villa, Saturday 3 May 1997, 15:00
Nott'm Forest, 1, 1, Wimbledon, Saturday 3 May 1997, 15:00
Southampton, 2, 0, Blackburn, Saturday 3 May 1997, 15:00
Sunderland, 3, 0, Everton, Saturday 3 May 1997, 15:00
West Ham, 5, 1, Sheffield Wed, Saturday 3 May 1997, 15:00
Leicester, 2, 2, Man Utd, Saturday 3 May 1997, 11:15
Spurs, 1, 0, Middlesbrough, Thursday 24 April 1997, 19:45
Derby, 0, 0, Nott'm Forest, Wednesday 23 April 1997, 19:45
Leicester, 0, 1, West Ham, Wednesday 23 April 1997, 19:45
Blackburn, 4, 1, Sheffield Wed, Tuesday 22 April 1997, 19:45
Leeds, 0, 0, Aston Villa, Tuesday 22 April 1997, 19:45
Sunderland, 0, 1, Southampton, Tuesday 22 April 1997, 19:45
Wimbledon, 0, 1, Chelsea, Tuesday 22 April 1997, 19:45
Coventry, 1, 1, Arsenal, Monday 21 April 1997, 20:00
Arsenal, 1, 1, Blackburn, Saturday 19 April 1997, 15:00
Aston Villa, 1, 1, Spurs, Saturday 19 April 1997, 15:00
Chelsea, 2, 1, Leicester, Saturday 19 April 1997, 15:00
Middlesbrough, 0, 1, Sunderland, Saturday 19 April 1997, 15:00
Newcastle, 3, 1, Derby, Saturday 19 April 1997, 15:00
Nott'm Forest, 1, 1, Leeds, Saturday 19 April 1997, 15:00
Sheffield Wed, 3, 1, Wimbledon, Saturday 19 April 1997, 15:00
