home, homescore, awayscore, away, date, time
Arsenal, 1, 0, Aston Villa, Sunday 16 May 1999, 16:00
Charlton, 0, 1, Sheffield Wed, Sunday 16 May 1999, 16:00
Chelsea, 2, 1, Derby, Sunday 16 May 1999, 16:00
Coventry, 2, 2, Leeds, Sunday 16 May 1999, 16:00
Liverpool, 3, 0, Wimbledon, Sunday 16 May 1999, 16:00
Man Utd, 2, 1, Spurs, Sunday 16 May 1999, 16:00
Newcastle, 1, 1, Blackburn, Sunday 16 May 1999, 16:00
Nott'm Forest, 1, 0, Leicester, Sunday 16 May 1999, 16:00
Southampton, 2, 0, Everton, Sunday 16 May 1999, 16:00
West Ham, 4, 0, Middlesbrough, Sunday 16 May 1999, 16:00
Blackburn, 0, 0, Man Utd, Wednesday 12 May 1999, 20:00
Leeds, 1, 0, Arsenal, Tuesday 11 May 1999, 20:00
Spurs, 2, 2, Chelsea, Monday 10 May 1999, 20:00
Middlesbrough, 0, 1, Man Utd, Sunday 9 May 1999, 16:00
Aston Villa, 3, 4, Charlton, Saturday 8 May 1999, 15:00
Blackburn, 1, 2, Nott'm Forest, Saturday 8 May 1999, 15:00
Derby, 0, 0, Coventry, Saturday 8 May 1999, 15:00
Everton, 6, 0, West Ham, Saturday 8 May 1999, 15:00
Leicester, 2, 0, Newcastle, Saturday 8 May 1999, 15:00
Sheffield Wed, 1, 0, Liverpool, Saturday 8 May 1999, 15:00
Wimbledon, 0, 2, Southampton, Saturday 8 May 1999, 15:00
Liverpool, 2, 2, Man Utd, Wednesday 5 May 1999, 20:00
Spurs, 1, 3, Arsenal, Wednesday 5 May 1999, 20:00
Chelsea, 1, 0, Leeds, Wednesday 5 May 1999, 19:45
Leicester, 1, 2, Derby, Wednesday 5 May 1999, 19:45
Arsenal, 1, 0, Derby, Sunday 2 May 1999, 16:00
Charlton, 0, 0, Blackburn, Saturday 1 May 1999, 15:00
Chelsea, 3, 1, Everton, Saturday 1 May 1999, 15:00
Coventry, 2, 1, Wimbledon, Saturday 1 May 1999, 15:00
Liverpool, 3, 2, Spurs, Saturday 1 May 1999, 15:00
Man Utd, 2, 1, Aston Villa, Saturday 1 May 1999, 15:00
Newcastle, 1, 1, Middlesbrough, Saturday 1 May 1999, 15:00
Nott'm Forest, 2, 0, Sheffield Wed, Saturday 1 May 1999, 15:00
Southampton, 2, 1, Leicester, Saturday 1 May 1999, 15:00
West Ham, 1, 5, Leeds, Saturday 1 May 1999, 15:00
Sheffield Wed, 0, 0, Chelsea, Sunday 25 April 1999, 16:00
Leeds, 1, 1, Man Utd, Sunday 25 April 1999, 11:30
Aston Villa, 2, 0, Nott'm Forest, Saturday 24 April 1999, 15:00
Blackburn, 1, 3, Liverpool, Saturday 24 April 1999, 15:00
Derby, 0, 0, Southampton, Saturday 24 April 1999, 15:00
Everton, 4, 1, Charlton, Saturday 24 April 1999, 15:00
Leicester, 1, 0, Coventry, Saturday 24 April 1999, 15:00
Middlesbrough, 1, 6, Arsenal, Saturday 24 April 1999, 15:00
Spurs, 1, 2, West Ham, Saturday 24 April 1999, 15:00
Wimbledon, 1, 1, Newcastle, Saturday 24 April 1999, 15:00
Liverpool, 0, 1, Leicester, Wednesday 21 April 1999, 19:45
Sheffield Wed, 1, 1, Newcastle, Wednesday 21 April 1999, 19:45
Charlton, 1, 4, Spurs, Tuesday 20 April 1999, 19:45
Arsenal, 5, 1, Wimbledon, Monday 19 April 1999, 20:00
Chelsea, 2, 2, Leicester, Sunday 18 April 1999, 14:00
Charlton, 1, 1, Leeds, Saturday 17 April 1999, 15:00
Coventry, 1, 2, Middlesbrough, Saturday 17 April 1999, 15:00
Liverpool, 0, 1, Aston Villa, Saturday 17 April 1999, 15:00
Man Utd, 3, 0, Sheffield Wed, Saturday 17 April 1999, 15:00
Newcastle, 1, 3, Everton, Saturday 17 April 1999, 15:00
Nott'm Forest, 0, 1, Spurs, Saturday 17 April 1999, 15:00
Southampton, 3, 3, Blackburn, Saturday 17 April 1999, 15:00
West Ham, 5, 1, Derby, Saturday 17 April 1999, 15:00
Middlesbrough, 0, 0, Chelsea, Wednesday 14 April 1999, 19:45
