home,homescore,awayscore,away,date,location
Celtic,4,0,Motherwell,"Sunday, May 15, 2011","Celtic Park (57,294)"
Dundee United,2,1,Heart of Midlothian,"Sunday, May 15, 2011","Tannadice Park (7,119)"
Kilmarnock,1,5,Rangers,"Sunday, May 15, 2011","Rugby Park (16,173)"
Hamilton Academical ,1,2,Inverness Caledonian Thistle,"Saturday, May 14, 2011","New Douglas Park (2,017)"
Hibernian,1,3,Aberdeen,"Saturday, May 14, 2011","Easter Road Stadium (11,767)"
St Mirren,0,0,St Johnstone,"Saturday, May 14, 2011","St Mirren Park (4,230)"
Heart of Midlothian,0,3,Celtic,"Wednesday, May 11, 2011","Tynecastle Stadium (16,681)"
Inverness Caledonian Thistle,2,0,Hibernian,"Wednesday, May 11, 2011","Caledonian Stadium (3,344)"
Motherwell,1,1,Kilmarnock,"Wednesday, May 11, 2011","Fir Park Stadium (4,101)"
Aberdeen,0,1,St Mirren,"Tuesday, May 10, 2011","Pittodrie Stadium (5,955)"
Rangers,2,0,Dundee United,"Tuesday, May 10, 2011","Ibrox Stadium (49,267)"
St Johnstone,1,0,Hamilton Academical ,"Tuesday, May 10, 2011","McDiarmid Park (2,253)"
Kilmarnock,0,2,Celtic,"Sunday, May 8, 2011","Rugby Park (9,720)"
Rangers,4,0,Heart of Midlothian,"Saturday, May 7, 2011","Ibrox Stadium (46,178)"
Aberdeen,0,2,St Johnstone,"Saturday, May 7, 2011","Pittodrie Stadium (6,361)"
Dundee United,4,0,Motherwell,"Saturday, May 7, 2011","Tannadice Park (5,951)"
Hamilton Academical ,1,0,Hibernian,"Saturday, May 7, 2011","New Douglas Park (2,300)"
Inverness Caledonian Thistle,1,0,St Mirren,"Saturday, May 7, 2011","Caledonian Stadium (3,446)"
Inverness Caledonian Thistle,3,2,Celtic,"Wednesday, May 4, 2011","Caledonian Stadium (6,702)"
St Mirren,0,1,Hamilton Academical ,"Monday, May 2, 2011","St Mirren Park (5,037)"
Celtic,4,1,Dundee United,"Sunday, May 1, 2011","Celtic Park (48,599)"
Motherwell,0,5,Rangers,"Saturday, April 30, 2011","Fir Park Stadium (8,968)"
Aberdeen,1,0,Inverness Caledonian Thistle,"Saturday, April 30, 2011","Pittodrie Stadium (6,280)"
Hibernian,1,2,St Johnstone,"Saturday, April 30, 2011","Easter Road Stadium (7,492)"
Kilmarnock,2,2,Heart of Midlothian,"Saturday, April 30, 2011","Rugby Park (5,006)"
Hamilton Academical ,1,1,Aberdeen,"Monday, April 25, 2011","New Douglas Park (2,140)"
St Johnstone,0,3,Inverness Caledonian Thistle,"Monday, April 25, 2011","McDiarmid Park (2,395)"
Rangers,0,0,Celtic,"Sunday, April 24, 2011","Ibrox Stadium (50,248)"
Hibernian,1,1,St Mirren,"Sunday, April 24, 2011","Easter Road Stadium (7,238)"
Dundee United,4,2,Kilmarnock,"Saturday, April 23, 2011","Tannadice Park (5,225)"
