Athletic Bilbao, 2, 0, Levante, "Sunday, June 17, 2007"," San MamÃ©s "
Celta Vigo, 2, 1, Getafe, "Sunday, June 17, 2007"," BalaÃ­dos "
Espanyol, 1, 3, Deportivo La CoruÃ±a, "Sunday, June 17, 2007"," Estadio Olimpico de Montjuic "
Racing Santander, 0, 2, Real Betis, "Sunday, June 17, 2007"," El Sardinero "
Valencia, 3, 3, Real Sociedad, "Sunday, June 17, 2007"," Mestalla "
Gimnastic de Tarragona, 1, 5, Barcelona, "Sunday, June 17, 2007"," Nou Estadi "
Osasuna, 1, 2, Atletico Madrid, "Sunday, June 17, 2007"," Reyno de Navarra "
Real Madrid, 3, 1, Mallorca, "Sunday, June 17, 2007"," Santiago BernabÃ©u "
Recreativo Huelva, 1, 1, Real Zaragoza, "Sunday, June 17, 2007"," Nuevo Colombino "
Sevilla FC, 0, 1, Villarreal, "Sunday, June 17, 2007"," RamÃ³n SÃ¡nchez PizjuÃ¡n "
Deportivo La CoruÃ±a, 2, 5, Recreativo Huelva, "Sunday, June 10, 2007"," Municipal de Riazor "
Getafe, 0, 1, Gimnastic de Tarragona, "Sunday, June 10, 2007"," Coliseum Alfonso PÃ©rez "
Atletico Madrid, 2, 3, Celta Vigo, "Saturday, June 9, 2007"," Vicente CalderÃ³n "
Barcelona, 2, 2, Espanyol, "Saturday, June 9, 2007"," Camp Nou "
Levante, 4, 2, Valencia, "Saturday, June 9, 2007"," Ciutat de ValÃ¨ncia "
Mallorca, 0, 0, Sevilla FC, "Saturday, June 9, 2007"," Iberostar Estadi "
Real Betis, 0, 5, Osasuna, "Saturday, June 9, 2007"," Benito VillamarÃ­n "
Real Sociedad, 0, 0, Racing Santander, "Saturday, June 9, 2007"," Anoeta "
Real Zaragoza, 2, 2, Real Madrid, "Saturday, June 9, 2007"," La Romareda "
Villarreal, 3, 1, Athletic Bilbao, "Saturday, June 9, 2007"," El Madrigal "
Athletic Bilbao, 1, 0, Mallorca, "Sunday, May 27, 2007"," San MamÃ©s "
Celta Vigo, 2, 1, Real Betis, "Sunday, May 27, 2007"," BalaÃ­dos "
Osasuna, 2, 0, Real Sociedad, "Sunday, May 27, 2007"," Reyno de Navarra "
Racing Santander, 2, 3, Levante, "Sunday, May 27, 2007"," El Sardinero "
Recreativo Huelva, 0, 1, Espanyol, "Sunday, May 27, 2007"," Nuevo Colombino "
Gimnastic de Tarragona, 0, 2, Atletico Madrid, "Sunday, May 27, 2007"," Nou Estadi "
