home, homescore, awayscore, away, date, group
Borussia Dortmund, 1, 2, Bayern Munich, "Saturday, May 25, 2013", Final
Barcelona, 0, 3, Bayern Munich, "Wednesday, May 1, 2013", Semi-finals
Real Madrid, 2, 0, Borussia Dortmund, "Tuesday, April 30, 2013", Semi-finals
Borussia Dortmund, 4, 1, Real Madrid, "Wednesday, April 24, 2013", Semi-finals
Bayern Munich, 4, 0, Barcelona, "Tuesday, April 23, 2013", Semi-finals
Barcelona, 1, 1, Paris Saint-Germain , "Wednesday, April 10, 2013", Quarter-finals
Juventus, 0, 2, Bayern Munich, "Wednesday, April 10, 2013", Quarter-finals
Borussia Dortmund, 3, 2, Malaga, "Tuesday, April 9, 2013", Quarter-finals
Galatasaray, 3, 2, Real Madrid, "Tuesday, April 9, 2013", Quarter-finals
Malaga, 0, 0, Borussia Dortmund, "Wednesday, April 3, 2013", Quarter-finals
Real Madrid, 3, 0, Galatasaray, "Wednesday, April 3, 2013", Quarter-finals
Bayern Munich, 2, 0, Juventus, "Tuesday, April 2, 2013", Quarter-finals
Paris Saint-Germain , 2, 2, Barcelona, "Tuesday, April 2, 2013", Quarter-finals
Bayern Munich, 0, 2, Arsenal, "Wednesday, March 13, 2013", Round of 16
Malaga, 2, 0, FC Porto, "Wednesday, March 13, 2013", Round of 16
Barcelona, 4, 0, AC Milan, "Tuesday, March 12, 2013", Round of 16
Schalke 04, 2, 3, Galatasaray, "Tuesday, March 12, 2013", Round of 16
Juventus, 2, 0, Celtic, "Wednesday, March 6, 2013", Round of 16
Paris Saint-Germain , 1, 1, Valencia, "Wednesday, March 6, 2013", Round of 16
Borussia Dortmund, 3, 0, Shakhtar Donetsk, "Tuesday, March 5, 2013", Round of 16
Manchester United, 1, 2, Real Madrid, "Tuesday, March 5, 2013", Round of 16
AC Milan, 2, 0, Barcelona, "Wednesday, February 20, 2013", Round of 16
Galatasaray, 1, 1, Schalke 04, "Wednesday, February 20, 2013", Round of 16
Arsenal, 1, 3, Bayern Munich, "Tuesday, February 19, 2013", Round of 16
FC Porto, 1, 0, Malaga, "Tuesday, February 19, 2013", Round of 16
Real Madrid, 1, 1, Manchester United, "Wednesday, February 13, 2013", Round of 16
Shakhtar Donetsk, 2, 2, Borussia Dortmund, "Wednesday, February 13, 2013", Round of 16
Celtic, 0, 3, Juventus, "Tuesday, February 12, 2013", Round of 16
Valencia, 1, 2, Paris Saint-Germain , "Tuesday, February 12, 2013", Round of 16
Chelsea, 6, 1, FC Nordsjaelland, "Wednesday, December 5, 2012", Group E
Shakhtar Donetsk, 0, 1, Juventus, "Wednesday, December 5, 2012", Group E
Bayern Munich, 4, 1, BATE Borisov, "Wednesday, December 5, 2012", Group F
Lille, 0, 1, Valencia, "Wednesday, December 5, 2012", Group F
Barcelona, 0, 0, Benfica, "Wednesday, December 5, 2012", Group G
Celtic, 2, 1, Spartak Moscow, "Wednesday, December 5, 2012", Group G
Braga, 1, 2, Galatasaray, "Wednesday, December 5, 2012", Group H
Manchester United, 0, 1, CFR Cluj-Napoca, "Wednesday, December 5, 2012", Group H
Dinamo Zagreb, 1, 1, Dynamo Kiev, "Tuesday, December 4, 2012", Group A
Paris Saint-Germain , 2, 1, FC Porto, "Tuesday, December 4, 2012", Group A
Montpellier, 1, 1, Schalke 04, "Tuesday, December 4, 2012", Group B
Olympiakos, 2, 1, Arsenal, "Tuesday, December 4, 2012", Group B
AC Milan, 0, 1, Zenit St Petersburg, "Tuesday, December 4, 2012", Group C
Malaga, 2, 2, Anderlecht, "Tuesday, December 4, 2012", Group C
Borussia Dortmund, 1, 0, Manchester City, "Tuesday, December 4, 2012", Group D
Real Madrid, 4, 1, Ajax Amsterdam, "Tuesday, December 4, 2012", Group D
Dynamo Kiev, 0, 2, Paris Saint-Germain , "Wednesday, November 21, 2012", Group A
FC Porto, 3, 0, Dinamo Zagreb, "Wednesday, November 21, 2012", Group A
Arsenal, 2, 0, Montpellier, "Wednesday, November 21, 2012", Group B
Schalke 04, 1, 0, Olympiakos, "Wednesday, November 21, 2012", Group B
Zenit St Petersburg, 2, 2, Malaga, "Wednesday, November 21, 2012", Group C
Anderlecht, 1, 3, AC Milan, "Wednesday, November 21, 2012", Group C
