home,homescore,awayscore,away,date,location
Dunfermline Athletic,1,1,Rangers,"Sunday, May 12, 2002","East End Park (8,716)"
Aberdeen,0,1,Celtic,"Sunday, May 12, 2002","Pittodrie Stadium (15,332)"
Heart of Midlothian,2,3,Livingston,"Sunday, May 12, 2002","Tynecastle Stadium (10,223)"
Kilmarnock,2,2,Dundee United,"Sunday, May 12, 2002","Rugby Park (6,142)"
Motherwell,2,1,Dundee,"Sunday, May 12, 2002","Fir Park (6,574)"
St Johnstone,0,1,Hibernian,"Sunday, May 12, 2002","Mc Diarmid Park (3,372)"
Livingston,4,1,Dunfermline Athletic,"Sunday, April 28, 2002","Almondvale Stadium (8,749)"
Heart of Midlothian,1,4,Celtic,"Sunday, April 28, 2002","Tynecastle Stadium (12,391)"
Dundee United,0,0,St Johnstone,"Saturday, April 27, 2002","Tannadice Park (5,190)"
Hibernian,2,2,Dundee,"Saturday, April 27, 2002","Easter Road Stadium (8,852)"
Kilmarnock,1,4,Motherwell,"Saturday, April 27, 2002","Rugby Park (5,642)"
Rangers,2,0,Aberdeen,"Saturday, April 27, 2002","Ibrox Stadium (48,878)"
Celtic,1,1,Rangers,"Sunday, April 21, 2002","Celtic Park (59,384)"
Hibernian,4,0,Motherwell,"Sunday, April 21, 2002","Easter Road Stadium (7,701)"
Aberdeen,3,0,Livingston,"Saturday, April 20, 2002","Pittodrie Stadium (14,109)"
Dundee,0,1,Dundee United,"Saturday, April 20, 2002","Dens Park stadium (10,087)"
Heart of Midlothian,2,0,Dunfermline Athletic,"Saturday, April 20, 2002","Tynecastle Stadium (10,108)"
St Johnstone,0,3,Kilmarnock,"Saturday, April 20, 2002","Mc Diarmid Park (2,285)"
St Johnstone,0,1,Dundee,"Saturday, April 13, 2002","Mc Diarmid Park (2,768)"
Aberdeen,2,3,Heart of Midlothian,"Saturday, April 13, 2002","Pittodrie Stadium (12,467)"
Celtic,5,0,Dunfermline Athletic,"Saturday, April 13, 2002","Celtic Park (57,016)"
Dundee United,1,0,Motherwell,"Saturday, April 13, 2002","Tannadice Park (5,108)"
Kilmarnock,1,0,Hibernian,"Saturday, April 13, 2002","Rugby Park (6,236)"
Livingston,2,1,Rangers,"Saturday, April 13, 2002","Almondvale Stadium (10,019)"
Dundee United,2,1,Hibernian,"Sunday, April 7, 2002","Tannadice Park (5,417)"
Rangers,2,0,Heart of Midlothian,"Sunday, April 7, 2002","Ibrox Stadium (47,492)"
Celtic,5,1,Livingston,"Saturday, April 6, 2002","Celtic Park (59,752)"
Dundee,2,0,Kilmarnock,"Saturday, April 6, 2002","Dens Park stadium (5,579)"
Dunfermline Athletic,0,0,Aberdeen,"Saturday, April 6, 2002","East End Park (7,339)"
Motherwell,1,1,St Johnstone,"Saturday, April 6, 2002","Fir Park (3,418)"
Dundee United,1,2,Hibernian,"Saturday, March 23, 2002","Tannadice Park (5,801)"
Dunfermline Athletic,2,0,Dundee,"Saturday, March 23, 2002","East End Park (7,299)"
Heart of Midlothian,1,3,St Johnstone,"Saturday, March 23, 2002","Tynecastle Stadium (10,672)"
Livingston,0,0,Aberdeen,"Saturday, March 23, 2002","Almondvale Stadium (9,449)"
Rangers,5,0,Kilmarnock,"Wednesday, March 20, 2002","Ibrox Stadium (40,768)"
Motherwell,0,4,Celtic,"Tuesday, March 19, 2002","Fir Park (10,134)"
Aberdeen,1,0,Dunfermline Athletic,"Saturday, March 16, 2002","Pittodrie Stadium (13,764)"
Celtic,1,0,Dundee United,"Saturday, March 16, 2002","Celtic Park (58,392)"
