home, homescore, awayscore, away, date, group
AJ Auxerre, 1, 3, Lyon, "Saturday, May 17, 2008", "Stade Abbé-Deschamps (19,794)"
AS Nancy Lorraine, 2, 3, Stade Rennes, "Saturday, May 17, 2008", "Stade Marcel Picot (19,076)"
Lens, 2, 2, Bordeaux, "Saturday, May 17, 2008", "Stade Felix-Bollaert (40,058)"
Lorient, 1, 1, Lille, "Saturday, May 17, 2008", "Stade du Moustoir (10,939)"
Marseille, 4, 3, Strasbourg, "Saturday, May 17, 2008", "Stade Vélodrome (55,000)"
Metz, 4, 3, Le Mans, "Saturday, May 17, 2008", "Stade Saint-Symphorien (12,263)"
Nice, 3, 1, Caen, "Saturday, May 17, 2008", "Stade du Ray (11,850)"
Sochaux, 1, 2, Paris Saint-Germain , "Saturday, May 17, 2008", "Stade Bonal (19,873)"
St Etienne, 4, 0, AS Monaco, "Saturday, May 17, 2008", "Stade Geoffroy-Guichard (34,000)"
Toulouse, 2, 1, Valenciennes, "Saturday, May 17, 2008", "Stadium Municipal (26,400)"
AS Monaco, 3, 0, AJ Auxerre, "Saturday, May 10, 2008", "Stade Louis II (9,839)"
Bordeaux, 2, 0, Sochaux, "Saturday, May 10, 2008", "Parc Lescure (32,487)"
Le Mans, 0, 0, Marseille, "Saturday, May 10, 2008", "Leon-Bollée (16,351)"
Lille, 2, 1, Lens, "Saturday, May 10, 2008", "Stadium Lille Métropole (17,200)"
Lyon, 1, 0, AS Nancy Lorraine, "Saturday, May 10, 2008", "Stade de Gerland (38,000)"
Metz, 1, 2, Lorient, "Saturday, May 10, 2008", "Stade Saint-Symphorien (14,000)"
Paris Saint-Germain , 1, 1, St Etienne, "Saturday, May 10, 2008", "Parc des Princes (45,200)"
Stade Rennes, 2, 1, Toulouse, "Saturday, May 10, 2008", "Stade de la Route-de-Lorient (28,068)"
Strasbourg, 1, 4, Caen, "Saturday, May 10, 2008", "Stade de la Meinau (17,318)"
Valenciennes, 1, 2, Nice, "Saturday, May 10, 2008", "Stade Nungesser (14,546)"
St Etienne, 0, 0, Lille, "Sunday, May 4, 2008", "Stade Geoffroy-Guichard (23,223)"
Marseille, 1, 2, Bordeaux, "Sunday, May 4, 2008", "Stade Vélodrome (58,000)"
