home, homescore, awayscore, away, date, group
Perugia, 1, 2, Lazio, "Sunday, March 28, 2004", "Renato Curi (12,000)"
Reggina, 0, 2, Internazionale, "Sunday, March 28, 2004", "Stadio Granillo (28,000)"
Sampdoria, 2, 2, Lecce, "Sunday, March 28, 2004", "Luigi Ferraris (24,000)"
Siena, 1, 0, Udinese, "Sunday, March 28, 2004", "Artemio Franchi (8,000)"
Bologna, 2, 1, Lazio, "Thursday, March 25, 2004", "Renato Dall'Ara (23,000)"
Ancona, 0, 2, Internazionale, "Sunday, March 21, 2004", "Del Conero (20,000)"
Bologna, 3, 0, Brescia, "Sunday, March 21, 2004", "Renato Dall'Ara (23,000)"
Chievo Verona, 1, 1, Siena, "Sunday, March 21, 2004", "Bentegodi (10,145)"
Empoli, 1, 1, Sampdoria, "Sunday, March 21, 2004", "Carlo Castellani (12,000)"
Lecce, 1, 2, Perugia, "Sunday, March 21, 2004", "Via del Mare (14,381)"
Modena, 1, 2, Reggina, "Sunday, March 21, 2004", "Stadio Alberto Braglia (14,000)"
Udinese, 0, 0, Juventus, "Saturday, March 20, 2004", "Friuli (25,000)"
AC Milan, 3, 1, Parma, "Saturday, March 20, 2004", "San Siro (60,000)"
Internazionale, 0, 0, Chievo Verona, "Sunday, March 14, 2004", "San Siro (48,000)"
Lazio, 2, 2, Udinese, "Sunday, March 14, 2004", "Stadio Olimpico (45,000)"
Parma, 2, 2, Brescia, "Sunday, March 14, 2004", "Ennio Tardini (17,500)"
Perugia, 1, 1, Modena, "Sunday, March 14, 2004", "Renato Curi (11,000)"
Reggina, 0, 0, AS Roma, "Sunday, March 14, 2004", "Stadio Granillo (23,000)"
Siena, 3, 2, Ancona, "Sunday, March 14, 2004", "Artemio Franchi (10,000)"
Juventus, 1, 3, AC Milan, "Sunday, March 14, 2004", "Delle Alpi (52,300)"
Sampdoria, 3, 2, Bologna, "Saturday, March 13, 2004", "Luigi Ferraris (25,000)"
Empoli, 0, 0, Lecce, "Saturday, March 13, 2004", "Carlo Castellani (5,000)"
AC Milan, 3, 1, Sampdoria, "Sunday, March 7, 2004", "San Siro (60,000)"
Ancona, 1, 1, Reggina, "Sunday, March 7, 2004", "Del Conero (6,000)"
Chievo Verona, 0, 0, Empoli, "Sunday, March 7, 2004", "Bentegodi (12,000)"
Lecce, 0, 0, Siena, "Sunday, March 7, 2004", "Via del Mare (12,523)"
Udinese, 1, 1, Perugia, "Sunday, March 7, 2004", "Friuli (12,500)"
AS Roma, 4, 1, Internazionale, "Sunday, March 7, 2004", "Olimpico (66,000)"
Modena, 2, 2, Parma, "Saturday, March 6, 2004", "Stadio Alberto Braglia (14,000)"
Brescia, 2, 3, Juventus, "Saturday, March 6, 2004", "Mario Rigamonti (22,000)"
Internazionale, 1, 3, Brescia, "Sunday, February 29, 2004", "San Siro (40,000)"
Juventus, 3, 0, Ancona, "Sunday, February 29, 2004", "Delle Alpi (29,864)"
Lecce, 1, 0, Modena, "Sunday, February 29, 2004", "Via del Mare (14,606)"
Parma, 1, 4, AS Roma, "Sunday, February 29, 2004", "Ennio Tardini (19,000)"
Perugia, 4, 2, Bologna, "Sunday, February 29, 2004", "Renato Curi (8,000)"
Sampdoria, 1, 0, Chievo Verona, "Sunday, February 29, 2004", "Luigi Ferraris (23,000)"
Lazio, 0, 1, AC Milan, "Sunday, February 29, 2004", "Stadio Olimpico (55,000)"
Siena, 0, 0, Reggina, "Saturday, February 28, 2004", "Artemio Franchi (9,000)"
Empoli, 2, 0, Udinese, "Saturday, February 28, 2004", "Carlo Castellani (4,000)"
AS Roma, 6, 0, Siena, "Sunday, February 22, 2004", "Olimpico (45,000)"
Bologna, 0, 1, Juventus, "Sunday, February 22, 2004", "Renato Dall'Ara (36,000)"
Chievo Verona, 0, 0, Lazio, "Sunday, February 22, 2004", "Bentegodi (11,706)"
Modena, 1, 1, Empoli, "Sunday, February 22, 2004", "Stadio Alberto Braglia (13,500)"
Reggina, 1, 2, Perugia, "Sunday, February 22, 2004", "Stadio Granillo (18,000)"
Udinese, 3, 0, Ancona, "Sunday, February 22, 2004", "Friuli (13,000)"
Brescia, 1, 2, Lecce, "Sunday, February 22, 2004", "Mario Rigamonti (13,000)"
Sampdoria, 1, 2, Parma, "Saturday, February 21, 2004", "Luigi Ferraris (23,500)"
AC Milan, 3, 2, Internazionale, "Saturday, February 21, 2004", "San Siro (80,000)"
Ancona, 0, 0, AS Roma, "Sunday, February 15, 2004", "Del Conero (20,000)"
Bologna, 1, 1, Modena, "Sunday, February 15, 2004", "Renato Dall'Ara (29,000)"
Brescia, 1, 1, Sampdoria, "Sunday, February 15, 2004", "Mario Rigamonti (13,000)"
Internazionale, 1, 2, Udinese, "Sunday, February 15, 2004", "San Siro (55,000)"
Lecce, 1, 1, AC Milan, "Sunday, February 15, 2004", "Via del Mare (31,427)"
Siena, 1, 2, Parma, "Sunday, February 15, 2004", "Artemio Franchi (10,000)"
Juventus, 1, 0, Reggina, "Sunday, February 15, 2004", "Delle Alpi (30,116)"
Lazio, 3, 0, Empoli, "Saturday, February 14, 2004", "Stadio Olimpico (40,000)"
Perugia, 0, 2, Chievo Verona, "Saturday, February 14, 2004", "Renato Curi (7,000)"
AC Milan, 2, 1, Perugia, "Sunday, February 8, 2004", "San Siro (45,000)"
Empoli, 1, 0, Siena, "Sunday, February 8, 2004", "Carlo Castellani (12,500)"
Modena, 2, 1, Ancona, "Sunday, February 8, 2004", "Stadio Alberto Braglia (15,500)"
Parma, 0, 3, Lazio, "Sunday, February 8, 2004", "Ennio Tardini (15,000)"
Reggina, 0, 0, Brescia, "Sunday, February 8, 2004", "Stadio Granillo (18,000)"
