home,homescore,awayscore,away,date,location
Ajax Amsterdam,3,0,Heerenveen,"Thursday, May 29, 2003","Amsterdam ArenA (50,272)"
AZ Alkmaar,4,1,Excelsior,"Thursday, May 29, 2003","Alkmaarder Hout (7,144)"
FC Groningen,0,0,PSV Eindhoven,"Thursday, May 29, 2003","Oosterpark  (12,500)"
FC Utrecht,3,2,Twente Enschede,"Thursday, May 29, 2003","Nieuwe Galgenwaard (16,200)"
Feyenoord Rotterdam,3,1,Roda JC Kerkrade,"Thursday, May 29, 2003","De Kuip Stadion  (43,500)"
PEC Zwolle,2,1,De Graafschap,"Thursday, May 29, 2003","Oosterenk Stadion (6,800)"
RBC Roosendaal,1,2,NAC Breda,"Thursday, May 29, 2003","Vast & Goed Stadion (5,000)"
RKC Waalwijk,0,1,NEC Nijmegen,"Thursday, May 29, 2003","Sportp. Olympia/Mandemakers Stadion (7,500)"
Vitesse Arnhem,2,0,Willem II Tilburg,"Thursday, May 29, 2003","Gelredome (22,500)"
De Graafschap,1,0,FC Groningen,"Sunday, May 25, 2003","De Vijverberg (11,000)"
Excelsior,4,4,Vitesse Arnhem,"Sunday, May 25, 2003","Stad Rotterdam Verzekeringen Stadion (3,104)"
Heerenveen,6,0,RBC Roosendaal,"Sunday, May 25, 2003","Abe Lenstra Stadion (14,200)"
NAC Breda,4,0,AZ Alkmaar,"Sunday, May 25, 2003","Fujifilm  (14,268)"
NEC Nijmegen,0,0,PEC Zwolle,"Sunday, May 25, 2003","De Goffert (12,000)"
PSV Eindhoven,2,0,FC Utrecht,"Sunday, May 25, 2003","Philipsstadion (34,000)"
Roda JC Kerkrade,1,0,RKC Waalwijk,"Sunday, May 25, 2003","Parkstad Limburg Stadion (15,500)"
Twente Enschede,1,2,Ajax Amsterdam,"Sunday, May 25, 2003","Arke Stadion (13,400)"
Willem II Tilburg,1,1,Feyenoord Rotterdam,"Sunday, May 25, 2003","Willem II  (14,700)"
Ajax Amsterdam,7,1,De Graafschap,"Sunday, May 18, 2003","Amsterdam ArenA (49,300)"
Feyenoord Rotterdam,3,1,PSV Eindhoven,"Sunday, May 18, 2003","De Kuip Stadion  (44,000)"
FC Groningen,1,0,AZ Alkmaar,"Sunday, May 18, 2003","Oosterpark  (12,000)"
RKC Waalwijk,2,3,NAC Breda,"Sunday, May 18, 2003","Sportp. Olympia/Mandemakers Stadion (7,300)"
PEC Zwolle,0,1,Heerenveen,"Saturday, May 17, 2003","Oosterenk Stadion (6,800)"
RBC Roosendaal,0,2,NEC Nijmegen,"Saturday, May 17, 2003","Vast & Goed Stadion (5,000)"
Willem II Tilburg,2,1,Excelsior,"Saturday, May 17, 2003","Willem II  (12,000)"
Vitesse Arnhem,0,1,Twente Enschede,"Saturday, May 17, 2003","Gelredome (23,600)"
FC Utrecht,4,4,Roda JC Kerkrade,"Friday, May 16, 2003","Nieuwe Galgenwaard (15,500)"
Roda JC Kerkrade,5,1,FC Groningen,"Tuesday, May 13, 2003","Parkstad Limburg Stadion (11,955)"
De Graafschap,0,1,Vitesse Arnhem,"Sunday, May 11, 2003","De Vijverberg (11,200)"
Feyenoord Rotterdam,2,1,RKC Waalwijk,"Sunday, May 11, 2003","De Kuip Stadion  (43,500)"
NEC Nijmegen,1,2,Ajax Amsterdam,"Sunday, May 11, 2003","De Goffert (4,000)"
NAC Breda,2,0,FC Utrecht,"Saturday, May 10, 2003","Fujifilm  (12,950)"
PSV Eindhoven,7,0,Excelsior,"Saturday, May 10, 2003","Philipsstadion (33,000)"
AZ Alkmaar,3,2,Willem II Tilburg,"Saturday, May 10, 2003","Alkmaarder Hout (7,326)"
Twente Enschede,0,0,PEC Zwolle,"Saturday, May 10, 2003","Arke Stadion (13,500)"
Heerenveen,2,1,FC Groningen,"Friday, May 9, 2003","Abe Lenstra Stadion (14,400)"
Roda JC Kerkrade,1,0,RBC Roosendaal,"Friday, May 9, 2003","Parkstad Limburg Stadion (11,000)"
NAC Breda,2,0,PEC Zwolle,"Tuesday, May 6, 2003","Fujifilm  (10,992)"
FC Utrecht,1,2,Feyenoord Rotterdam,"Sunday, May 4, 2003","Nieuwe Galgenwaard (18,975)"
FC Groningen,0,0,NEC Nijmegen,"Sunday, May 4, 2003","Oosterpark  (11,700)"
RBC Roosendaal,1,0,Twente Enschede,"Sunday, May 4, 2003","Vast & Goed Stadion (5,000)"
Ajax Amsterdam,6,1,RKC Waalwijk,"Saturday, May 3, 2003","Amsterdam ArenA (49,076)"
PEC Zwolle,3,1,Roda JC Kerkrade,"Saturday, May 3, 2003","Oosterenk Stadion (6,200)"
PSV Eindhoven,2,2,AZ Alkmaar,"Saturday, May 3, 2003","Philipsstadion (33,000)"
Willem II Tilburg,1,5,Heerenveen,"Saturday, May 3, 2003","Willem II  (13,300)"
Vitesse Arnhem,3,1,NAC Breda,"Saturday, May 3, 2003","Gelredome (22,130)"
Excelsior,3,4,De Graafschap,"Friday, May 2, 2003","Stad Rotterdam Verzekeringen Stadion (3,500)"
AZ Alkmaar,1,3,Ajax Amsterdam,"Sunday, April 27, 2003","Alkmaarder Hout (7,750)"
