home, homescore, awayscore, away, date, group
Real Zaragoza, 1, 2, Sevilla FC, "Sunday, November 14, 2010", La Romareda (28,000)
Sporting Gijon, 0, 1, Real Madrid, "Sunday, November 14, 2010", El MolinÃ³n (24,000)
Valencia, 2, 0, Getafe, "Sunday, November 14, 2010", Mestalla (32,000)
Athletic Bilbao, 1, 0, Almeria, "Saturday, November 13, 2010", San MamÃ©s (35,000)
Atletico Madrid, 3, 0, Osasuna, "Saturday, November 13, 2010", Vicente CalderÃ³n (50,000)
Barcelona, 3, 1, Villarreal, "Saturday, November 13, 2010", Camp Nou (80,000)
Sevilla FC, 2, 0, Valencia, "Monday, November 8, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (42,000)
Almeria, 1, 1, Sporting Gijon, "Sunday, November 7, 2010", Juegos MediterrÃ¡neos (13,000)
Levante, 1, 2, Deportivo La CoruÃ±a, "Sunday, November 7, 2010", Ciutat de Valencia (15,000)
Osasuna, 3, 0, Hercules, "Sunday, November 7, 2010", Reyno de Navarra (15,000)
Real Zaragoza, 3, 2, Mallorca, "Sunday, November 7, 2010", La Romareda (23,000)
Villarreal, 4, 1, Athletic Bilbao, "Sunday, November 7, 2010", El Madrigal (20,000)
Getafe, 1, 3, Barcelona, "Sunday, November 7, 2010", Coliseum Alfonso PÃ©rez (17,000)
Real Madrid, 2, 0, Atletico Madrid, "Sunday, November 7, 2010", Santiago BernabÃ©u (80,000)
Real Sociedad, 1, 0, Racing Santander, "Saturday, November 6, 2010", Anoeta (23,000)
Espanyol, 1, 0, Malaga, "Saturday, November 6, 2010", CornellÃ¡ - El Prat (25,000)
Mallorca, 2, 1, Levante, "Monday, November 1, 2010", Iberostar Estadi (9,000)
Deportivo La CoruÃ±a, 3, 0, Espanyol, "Sunday, October 31, 2010", Municipal de Riazor (13,000)
Malaga, 1, 2, Real Sociedad, "Sunday, October 31, 2010", La Rosaleda (18,000)
Racing Santander, 4, 1, Osasuna, "Sunday, October 31, 2010", El Sardinero (12,000)
Sporting Gijon, 1, 1, Villarreal, "Sunday, October 31, 2010", El MolinÃ³n (20,000)
Atletico Madrid, 1, 1, Almeria, "Sunday, October 31, 2010", Vicente CalderÃ³n (35,000)
Athletic Bilbao, 3, 0, Getafe, "Sunday, October 31, 2010", San MamÃ©s (30,000)
Valencia, 1, 1, Real Zaragoza, "Saturday, October 30, 2010", Mestalla (35,000)
Hercules, 1, 3, Real Madrid, "Saturday, October 30, 2010", JosÃ© Rico PÃ©rez (30,000)
Barcelona, 5, 0, Sevilla FC, "Saturday, October 30, 2010", Camp Nou (85,000)
Real Sociedad, 3, 0, Deportivo La CoruÃ±a, "Monday, October 25, 2010", Anoeta (19,000)
Almeria, 1, 1, Hercules, "Sunday, October 24, 2010", Juegos MediterrÃ¡neos (10,000)
Espanyol, 2, 1, Levante, "Sunday, October 24, 2010", CornellÃ¡ - El Prat (20,000)
Getafe, 3, 0, Sporting Gijon, "Sunday, October 24, 2010", Coliseum Alfonso PÃ©rez (11,000)
Osasuna, 3, 0, Malaga, "Sunday, October 24, 2010", Reyno de Navarra (14,000)
Sevilla FC, 4, 3, Athletic Bilbao, "Sunday, October 24, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Villarreal, 2, 0, Atletico Madrid, "Sunday, October 24, 2010", El Madrigal (20,000)
Real Zaragoza, 0, 2, Barcelona, "Saturday, October 23, 2010", La Romareda (35,000)
Real Madrid, 6, 1, Racing Santander, "Saturday, October 23, 2010", Santiago BernabÃ©u (60,000)
Valencia, 1, 2, Mallorca, "Saturday, October 23, 2010", Mestalla (45,000)
Hercules, 2, 2, Villarreal, "Monday, October 18, 2010", JosÃ© Rico PÃ©rez (20,000)
Deportivo La CoruÃ±a, 0, 0, Osasuna, "Sunday, October 17, 2010", Municipal de Riazor (13,000)
Levante, 2, 1, Real Sociedad, "Sunday, October 17, 2010", Ciutat de Valencia (10,000)
Mallorca, 0, 1, Espanyol, "Sunday, October 17, 2010", Iberostar Estadi (12,000)
Racing Santander, 1, 0, Almeria, "Sunday, October 17, 2010", El Sardinero (14,000)
Athletic Bilbao, 2, 1, Real Zaragoza, "Sunday, October 17, 2010", San MamÃ©s (30,000)
Sporting Gijon, 2, 0, Sevilla FC, "Sunday, October 17, 2010", El MolinÃ³n (20,000)
Atletico Madrid, 2, 0, Getafe, "Saturday, October 16, 2010", Vicente CalderÃ³n (45,000)
Barcelona, 2, 1, Valencia, "Saturday, October 16, 2010", Camp Nou (85,000)
Malaga, 1, 4, Real Madrid, "Saturday, October 16, 2010", La Rosaleda (30,000)
Almeria, 1, 1, Malaga, "Sunday, October 3, 2010", Juegos MediterrÃ¡neos (10,000)
Getafe, 3, 0, Hercules, "Sunday, October 3, 2010", Coliseum Alfonso PÃ©rez (7,000)
Osasuna, 1, 1, Levante, "Sunday, October 3, 2010", Reyno de Navarra (11,500)
Sevilla FC, 3, 1, Atletico Madrid, "Sunday, October 3, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (40,000)
Villarreal, 2, 0, Racing Santander, "Sunday, October 3, 2010", El Madrigal (17,000)
Barcelona, 1, 1, Mallorca, "Sunday, October 3, 2010", Camp Nou (80,000)
Real Madrid, 6, 1, Deportivo La CoruÃ±a, "Sunday, October 3, 2010", Santiago BernabÃ©u (60,000)
Real Zaragoza, 2, 2, Sporting Gijon, "Saturday, October 2, 2010", La Romareda (23,000)
Real Sociedad, 1, 0, Espanyol, "Saturday, October 2, 2010", Anoeta (25,000)
Valencia, 2, 1, Athletic Bilbao, "Saturday, October 2, 2010", Mestalla (38,395)
Malaga, 2, 3, Villarreal, "Monday, September 27, 2010", La Rosaleda (18,000)
Deportivo La CoruÃ±a, 0, 2, Almeria, "Sunday, September 26, 2010", Municipal de Riazor (15,000)
Espanyol, 1, 0, Osasuna, "Sunday, September 26, 2010", CornellÃ¡ - El Prat (23,000)
Mallorca, 2, 0, Real Sociedad, "Sunday, September 26, 2010", Iberostar Estadi (11,000)
Racing Santander, 0, 1, Getafe, "Sunday, September 26, 2010", El Sardinero (14,000)
Hercules, 2, 0, Sevilla FC, "Sunday, September 26, 2010", JosÃ© Rico PÃ©rez (17,000)
Atletico Madrid, 1, 0, Real Zaragoza, "Sunday, September 26, 2010", Vicente CalderÃ³n (35,000)
Sporting Gijon, 0, 2, Valencia, "Saturday, September 25, 2010", El MolinÃ³n (17,000)
Levante, 0, 0, Real Madrid, "Saturday, September 25, 2010", Ciutat de Valencia (25,000)
Athletic Bilbao, 1, 3, Barcelona, "Saturday, September 25, 2010", San MamÃ©s (40,000)
Getafe, 0, 2, Malaga, "Thursday, September 23, 2010", Coliseum Alfonso PÃ©rez (8,000)
Villarreal, 1, 0, Deportivo La CoruÃ±a, "Thursday, September 23, 2010", El Madrigal (15,500)
Sevilla FC, 1, 1, Racing Santander, "Thursday, September 23, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (30,000)
Almeria, 0, 1, Levante, "Wednesday, September 22, 2010", Juegos MediterrÃ¡neos (7,500)
Barcelona, 1, 0, Sporting Gijon, "Wednesday, September 22, 2010", Camp Nou (65,000)
Real Zaragoza, 0, 0, Hercules, "Wednesday, September 22, 2010", La Romareda 
Valencia, 1, 1, Atletico Madrid, "Wednesday, September 22, 2010", Mestalla (44,000)
Athletic Bilbao, 3, 0, Mallorca, "Tuesday, September 21, 2010", San MamÃ©s (34,000)
Osasuna, 3, 1, Real Sociedad, "Tuesday, September 21, 2010", Reyno de Navarra (15,000)
Real Madrid, 3, 0, Espanyol, "Tuesday, September 21, 2010", Santiago BernabÃ©u (70,000)
Deportivo La CoruÃ±a, 2, 2, Getafe, "Monday, September 20, 2010", Municipal de Riazor (15,000)
Hercules, 1, 2, Valencia, "Sunday, September 19, 2010", JosÃ© Rico PÃ©rez (28,000)
Levante, 1, 2, Villarreal, "Sunday, September 19, 2010", Ciutat de Valencia (18,000)
Racing Santander, 2, 0, Real Zaragoza, "Sunday, September 19, 2010", El Sardinero (12,000)
Atletico Madrid, 1, 2, Barcelona, "Sunday, September 19, 2010", Vicente CalderÃ³n (55,000)
Malaga, 1, 2, Sevilla FC, "Sunday, September 19, 2010", La Rosaleda (25,000)
Espanyol, 1, 0, Almeria, "Saturday, September 18, 2010", CornellÃ¡ - El Prat (25,000)
Mallorca, 2, 0, Osasuna, "Saturday, September 18, 2010", Iberostar Estadi (12,000)
Sporting Gijon, 2, 2, Athletic Bilbao, "Saturday, September 18, 2010", El MolinÃ³n (20,000)
Real Sociedad, 1, 2, Real Madrid, "Saturday, September 18, 2010", Anoeta (32,000)
Almeria, 2, 2, Real Sociedad, "Monday, September 13, 2010", Juegos MediterrÃ¡neos (13,000)
Getafe, 4, 1, Levante, "Sunday, September 12, 2010", Coliseum Alfonso PÃ©rez (9,000)
Real Zaragoza, 3, 5, Malaga, "Sunday, September 12, 2010", La Romareda (25,000)
Sporting Gijon, 2, 0, Mallorca, "Sunday, September 12, 2010", El MolinÃ³n (22,000)
Villarreal, 4, 0, Espanyol, "Sunday, September 12, 2010", El Madrigal (15,000)
Sevilla FC, 0, 0, Deportivo La CoruÃ±a, "Sunday, September 12, 2010", RamÃ³n SÃ¡nchez PizjuÃ¡n (35,000)
Barcelona, 0, 2, Hercules, "Saturday, September 11, 2010", Camp Nou (62,000)
Valencia, 1, 0, Racing Santander, "Saturday, September 11, 2010", Mestalla (40,000)
Real Madrid, 1, 0, Osasuna, "Saturday, September 11, 2010", Santiago BernabÃ©u (80,000)
Athletic Bilbao, 1, 2, Atletico Madrid, "Saturday, September 11, 2010", San MamÃ©s (38,000)
Atletico Madrid, 4, 0, Sporting Gijon, "Monday, August 30, 2010", Vicente CalderÃ³n (45,000)
Deportivo La CoruÃ±a, 0, 0, Real Zaragoza, "Sunday, August 29, 2010", Municipal de Riazor (22,000)
Espanyol, 3, 1, Getafe, "Sunday, August 29, 2010", CornellÃ¡ - El Prat (26,000)
Osasuna, 0, 0, Almeria, "Sunday, August 29, 2010", Reyno de Navarra (22,000)
Real Sociedad, 1, 0, Villarreal, "Sunday, August 29, 2010", Anoeta (24,000)
Racing Santander, 0, 3, Barcelona, "Sunday, August 29, 2010", El Sardinero (21,000)
Mallorca, 0, 0, Real Madrid, "Sunday, August 29, 2010", Iberostar Estadi (13,000)
Hercules, 0, 1, Athletic Bilbao, "Saturday, August 28, 2010", JosÃ© Rico PÃ©rez (23,000)
Malaga, 1, 3, Valencia, "Saturday, August 28, 2010", La Rosaleda (26,000)
Levante, 1, 4, Sevilla FC, "Saturday, August 28, 2010", Ciutat de Valencia (10,000)
