home, homescore, awayscore, away, date, group
Real Sociedad, 2, 1, Sporting Gijon, "Sunday, April 17, 2011", Anoeta (25,000)
Osasuna, 1, 2, Athletic Bilbao, "Sunday, April 17, 2011", Reyno de Navarra (18,500)
Espanyol, 2, 2, Atletico Madrid, "Sunday, April 17, 2011", CornellÃ¡ - El Prat (35,000)
Getafe, 1, 0, Sevilla FC, "Saturday, April 16, 2011", Coliseum Alfonso PÃ©rez (10,000)
Malaga, 3, 0, Mallorca, "Saturday, April 16, 2011", La Rosaleda (26,000)
Almeria, 0, 3, Valencia, "Saturday, April 16, 2011", Juegos MediterrÃ¡neos (12,000)
Real Madrid, 1, 1, Barcelona, "Saturday, April 16, 2011", Santiago BernabÃ©u (80,000)
Real Zaragoza, 2, 1, Getafe, "Monday, April 11, 2011", La Romareda (27,500)
Hercules, 0, 0, Espanyol, "Sunday, April 10, 2011", JosÃ© Rico PÃ©rez (20,000)
Malaga, 0, 0, Deportivo La CoruÃ±a, "Sunday, April 10, 2011", La Rosaleda (27,000)
Racing Santander, 1, 1, Levante, "Sunday, April 10, 2011", El Sardinero (18,000)
Sporting Gijon, 1, 0, Osasuna, "Sunday, April 10, 2011", El MolinÃ³n (21,000)
Atletico Madrid, 3, 0, Real Sociedad, "Sunday, April 10, 2011", Vicente CalderÃ³n (49,500)
Valencia, 5, 0, Villarreal, "Sunday, April 10, 2011", Mestalla (50,000)
Athletic Bilbao, 0, 3, Real Madrid, "Saturday, April 9, 2011", San MamÃ©s (39,500)
Barcelona, 3, 1, Almeria, "Saturday, April 9, 2011", Camp Nou (85,000)
Mallorca, 2, 2, Sevilla FC, "Saturday, April 9, 2011", Iberostar Estadi (15,000)
Almeria, 1, 3, Athletic Bilbao, "Monday, April 4, 2011", Juegos MediterrÃ¡neos (13,000)
Deportivo La CoruÃ±a, 2, 1, Mallorca, "Sunday, April 3, 2011", Municipal de Riazor (20,000)
Espanyol, 1, 2, Racing Santander, "Sunday, April 3, 2011", CornellÃ¡ - El Prat (27,000)
Levante, 3, 1, Malaga, "Sunday, April 3, 2011", Ciutat de Valencia (15,000)
Real Sociedad, 1, 3, Hercules, "Sunday, April 3, 2011", Anoeta (24,000)
Sevilla FC, 3, 1, Real Zaragoza, "Sunday, April 3, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (36,000)
Osasuna, 2, 3, Atletico Madrid, "Sunday, April 3, 2011", Reyno de Navarra (18,000)
Real Madrid, 0, 1, Sporting Gijon, "Saturday, April 2, 2011", Santiago BernabÃ©u (70,000)
Getafe, 2, 4, Valencia, "Saturday, April 2, 2011", Coliseum Alfonso PÃ©rez (12,000)
Villarreal, 0, 1, Barcelona, "Saturday, April 2, 2011", El Madrigal (21,500)
Deportivo La CoruÃ±a, 0, 1, Levante, "Sunday, March 20, 2011", Municipal de Riazor (16,000)
Hercules, 0, 4, Osasuna, "Sunday, March 20, 2011", JosÃ© Rico PÃ©rez (20,000)
Malaga, 2, 0, Espanyol, "Sunday, March 20, 2011", La Rosaleda (25,000)
Racing Santander, 2, 1, Real Sociedad, "Sunday, March 20, 2011", El Sardinero (18,000)
Sporting Gijon, 1, 0, Almeria, "Sunday, March 20, 2011", El MolinÃ³n (18,000)
Athletic Bilbao, 0, 1, Villarreal, "Sunday, March 20, 2011", San MamÃ©s (39,000)
Valencia, 0, 1, Sevilla FC, "Sunday, March 20, 2011", Mestalla (45,000)
Mallorca, 1, 0, Real Zaragoza, "Saturday, March 19, 2011", Iberostar Estadi (14,000)
Barcelona, 2, 1, Getafe, "Saturday, March 19, 2011", Camp Nou (81,913)
Atletico Madrid, 1, 2, Real Madrid, "Saturday, March 19, 2011", Vicente CalderÃ³n (54,000)
Getafe, 2, 2, Athletic Bilbao, "Monday, March 14, 2011", Coliseum Alfonso PÃ©rez (10,000)
Espanyol, 2, 0, Deportivo La CoruÃ±a, "Sunday, March 13, 2011", CornellÃ¡ - El Prat (27,000)
Levante, 1, 1, Mallorca, "Sunday, March 13, 2011", Ciutat de Valencia (15,000)
