Racing Santander, 1, 0, Albacete, "Sunday, May 29, 2005"," Estadio El Sardinero "
Atletico Madrid, 2, 2, Getafe, "Sunday, May 29, 2005"," Vicente Calderon "
Espanyol, 2, 0, Athletic Bilbao, "Sunday, May 29, 2005"," Estadio Olimpico de Montjuic "
Mallorca, 1, 1, Real Betis, "Sunday, May 29, 2005"," Estadio Son Moix "
Numancia, 1, 1, Deportivo La Coru̱a, "Sunday, May 29, 2005"," Estadio Nuevo Los Pajaritos "
Sevilla FC, 0, 2, Malaga, "Sunday, May 29, 2005"," Estadio Ramon Sanchez Pizjuan "
Valencia, 1, 0, Osasuna, "Sunday, May 29, 2005"," Estadio Mestalla "
Villarreal, 4, 1, Levante, "Sunday, May 29, 2005"," Estadio El Madrigal "
Real Sociedad, 0, 0, Barcelona, "Saturday, May 28, 2005"," Estadio El Madrigal "
Real Zaragoza, 1, 3, Real Madrid, "Saturday, May 28, 2005"," Estadio La Romareda "
Albacete, 2, 2, Real Sociedad, "Sunday, May 22, 2005"," Carlos Belmonte "
Athletic Bilbao, 0, 2, Numancia, "Sunday, May 22, 2005"," Estadio San Mam̩s "
Deportivo La Coru̱a, 0, 3, Mallorca, "Sunday, May 22, 2005"," Estadio Riazor "
Getafe, 0, 0, Sevilla FC, "Sunday, May 22, 2005"," Coliseum Alfonso Perez "
Levante, 0, 0, Valencia, "Sunday, May 22, 2005"," Ciudad de Valencia "
Osasuna, 1, 1, Espanyol, "Sunday, May 22, 2005"," Estadio El Sadar "
Barcelona, 3, 3, Villarreal, "Sunday, May 22, 2005"," Estadio Camp Nou "
Malaga, 2, 0, Racing Santander, "Sunday, May 22, 2005"," Estadio La Rosaleda "
Real Betis, 3, 2, Real Zaragoza, "Saturday, May 21, 2005"," Estadio Manuel Ruiz de Lopera "
Real Madrid, 0, 0, Atletico Madrid, "Saturday, May 21, 2005"," Estadio Santiago Bernab̩u "
Mallorca, 4, 3, Athletic Bilbao, "Sunday, May 15, 2005"," Estadio Son Moix "
Numancia, 2, 2, Osasuna, "Sunday, May 15, 2005"," Estadio Nuevo Los Pajaritos "
Racing Santander, 2, 1, Getafe, "Sunday, May 15, 2005"," Estadio El Sardinero "
Real Sociedad, 1, 3, Malaga, "Sunday, May 15, 2005"," Estadio Anoeta "
Real Zaragoza, 2, 2, Deportivo La Coru̱a, "Sunday, May 15, 2005"," Estadio La Romareda "
Villarreal, 1, 0, Albacete, "Sunday, May 15, 2005"," Estadio El Madrigal "
Atletico Madrid, 1, 2, Real Betis, "Sunday, May 15, 2005"," Vicente Calderon "
Espanyol, 2, 2, Valencia, "Sunday, May 15, 2005"," Estadio Olimpico de Montjuic "
Sevilla FC, 2, 2, Real Madrid, "Saturday, May 14, 2005"," Estadio Ramon Sanchez Pizjuan "
Levante, 1, 1, Barcelona, "Saturday, May 14, 2005"," Ciudad de Valencia "
Albacete, 3, 1, Levante, "Sunday, May 8, 2005"," Carlos Belmonte "
Espanyol, 3, 0, Numancia, "Sunday, May 8, 2005"," Estadio Olimpico de Montjuic "
