Real Madrid, 4, 2, Osasuna, "Saturday, June 1, 2013"," Santiago Bernabeu (68,000)"
Barcelona, 4, 1, Malaga, "Saturday, June 1, 2013"," Camp Nou (70,000)"
Celta Vigo, 1, 0, Espanyol, "Saturday, June 1, 2013"," Balaidos (31,000)"
Deportivo La Coru̱a, 0, 1, Real Sociedad, "Saturday, June 1, 2013"," Riazor (34,000)"
Granada, 2, 0, Getafe, "Saturday, June 1, 2013"," Los Carmenes (20,000)"
Levante, 1, 1, Real Betis, "Saturday, June 1, 2013"," Ciutat de Valencia (15,000)"
Mallorca, 4, 2, Real Valladolid, "Saturday, June 1, 2013"," ONO Estadi (15,000)"
Rayo Vallecano, 2, 2, Athletic Bilbao, "Saturday, June 1, 2013"," Estadio Teresa Rivero (12,000)"
Real Zaragoza, 1, 3, Atletico Madrid, "Saturday, June 1, 2013"," La Romareda (34,500)"
Sevilla FC, 4, 3, Valencia, "Saturday, June 1, 2013"," Estadio Ramon Sanchez Pizjuan (38,000)"
Athletic Bilbao, 0, 1, Levante, "Sunday, May 26, 2013"," San Mames (40,000)"
Atletico Madrid, 0, 0, Mallorca, "Sunday, May 26, 2013"," Vicente Calderon (50,000)"
Espanyol, 0, 2, Barcelona, "Sunday, May 26, 2013"," Estadi Cornella-El Prat (27,578)"
Getafe, 1, 2, Rayo Vallecano, "Sunday, May 26, 2013"," Coliseum Alfonso Perez (8,000)"
Malaga, 3, 1, Deportivo La Coru̱a, "Sunday, May 26, 2013"," La Rosaleda (28,000)"
Osasuna, 2, 1, Sevilla FC, "Sunday, May 26, 2013"," Reyno de Navarra (19,594)"
Real Betis, 4, 0, Real Zaragoza, "Sunday, May 26, 2013"," Estadio Benito Villamarin (47,460)"
Real Sociedad, 3, 3, Real Madrid, "Sunday, May 26, 2013"," Anoeta (32,000)"
Real Valladolid, 0, 2, Celta Vigo, "Sunday, May 26, 2013"," Nuevo Jose Zorilla Stadium (14,890)"
Valencia, 1, 0, Granada, "Sunday, May 26, 2013"," Mestalla (40,000)"
Mallorca, 1, 0, Real Betis, "Monday, May 20, 2013"," ONO Estadi (12,000)"
Levante, 2, 3, Rayo Vallecano, "Sunday, May 19, 2013"," Ciutat de Valencia (12,000)"
Deportivo La Coru̱a, 2, 0, Espanyol, "Sunday, May 19, 2013"," Riazor (34,000)"
Real Zaragoza, 1, 2, Athletic Bilbao, "Sunday, May 19, 2013"," La Romareda (34,596)"
Barcelona, 2, 1, Real Valladolid, "Sunday, May 19, 2013"," Camp Nou (56,055)"
Getafe, 0, 1, Valencia, "Saturday, May 18, 2013"," Coliseum Alfonso Perez (7,000)"
