home, homescore, awayscore, away, date, time
Blackpool, 1, 3, Chelsea, Monday 7 March 2011, 20:00
Wolves, 3, 3, Spurs, Sunday 6 March 2011, 16:00
Liverpool, 3, 1, Man Utd, Sunday 6 March 2011, 13:30
Man City, 1, 0, Wigan, Saturday 5 March 2011, 17:30
Arsenal, 0, 0, Sunderland, Saturday 5 March 2011, 15:00
Bolton, 3, 2, Aston Villa, Saturday 5 March 2011, 15:00
Fulham, 3, 2, Blackburn, Saturday 5 March 2011, 15:00
Newcastle, 1, 2, Everton, Saturday 5 March 2011, 15:00
West Ham, 3, 0, Stoke, Saturday 5 March 2011, 15:00
Birmingham, 1, 3, West Brom, Saturday 5 March 2011, 12:45
Chelsea, 2, 1, Man Utd, Tuesday 1 March 2011, 19:45
Stoke, 1, 1, West Brom, Monday 28 February 2011, 20:00
Man City, 1, 1, Fulham, Sunday 27 February 2011, 15:00
West Ham, 3, 1, Liverpool, Sunday 27 February 2011, 13:30
Aston Villa, 4, 1, Blackburn, Saturday 26 February 2011, 15:00
Everton, 2, 0, Sunderland, Saturday 26 February 2011, 15:00
Newcastle, 1, 1, Bolton, Saturday 26 February 2011, 15:00
Wigan, 0, 4, Man Utd, Saturday 26 February 2011, 15:00
Wolves, 4, 0, Blackpool, Saturday 26 February 2011, 15:00
Arsenal, 1, 0, Stoke, Wednesday 23 February 2011, 19:45
Blackpool, 3, 1, Spurs, Tuesday 22 February 2011, 20:00
West Brom, 1, 1, Wolves, Sunday 20 February 2011, 12:00
Birmingham, 0, 2, Newcastle, Tuesday 15 February 2011, 19:45
Fulham, 0, 0, Chelsea, Monday 14 February 2011, 20:00
Bolton, 2, 0, Everton, Sunday 13 February 2011, 16:00
Sunderland, 1, 2, Spurs, Saturday 12 February 2011, 17:30
Arsenal, 2, 0, Wolves, Saturday 12 February 2011, 15:00
Birmingham, 1, 0, Stoke, Saturday 12 February 2011, 15:00
Blackburn, 0, 0, Newcastle, Saturday 12 February 2011, 15:00
Blackpool, 1, 1, Aston Villa, Saturday 12 February 2011, 15:00
Liverpool, 1, 1, Wigan, Saturday 12 February 2011, 15:00
West Brom, 3, 3, West Ham, Saturday 12 February 2011, 15:00
Man Utd, 2, 1, Man City, Saturday 12 February 2011, 12:45
Chelsea, 0, 1, Liverpool, Sunday 6 February 2011, 16:00
West Ham, 0, 1, Birmingham, Sunday 6 February 2011, 13:30
Wolves, 2, 1, Man Utd, Saturday 5 February 2011, 17:30
Aston Villa, 2, 2, Fulham, Saturday 5 February 2011, 15:00
Everton, 5, 3, Blackpool, Saturday 5 February 2011, 15:00
Man City, 3, 0, West Brom, Saturday 5 February 2011, 15:00
Newcastle, 4, 4, Arsenal, Saturday 5 February 2011, 15:00
Spurs, 2, 1, Bolton, Saturday 5 February 2011, 15:00
Wigan, 4, 3, Blackburn, Saturday 5 February 2011, 15:00
Stoke, 3, 2, Sunderland, Saturday 5 February 2011, 12:45
Blackburn, 0, 1, Spurs, Wednesday 2 February 2011, 20:00
Blackpool, 1, 3, West Ham, Wednesday 2 February 2011, 20:00
Bolton, 1, 0, Wolves, Wednesday 2 February 2011, 20:00
Fulham, 1, 0, Newcastle, Wednesday 2 February 2011, 20:00
Liverpool, 2, 0, Stoke, Wednesday 2 February 2011, 20:00
Birmingham, 2, 2, Man City, Wednesday 2 February 2011, 19:45
Man Utd, 3, 1, Aston Villa, Tuesday 1 February 2011, 20:00
West Brom, 2, 2, Wigan, Tuesday 1 February 2011, 20:00
Arsenal, 2, 1, Everton, Tuesday 1 February 2011, 19:45
Sunderland, 2, 4, Chelsea, Tuesday 1 February 2011, 19:45
Liverpool, 1, 0, Fulham, Wednesday 26 January 2011, 20:00
Wigan, 1, 2, Aston Villa, Tuesday 25 January 2011, 19:45
Blackpool, 2, 3, Man Utd, Tuesday 25 January 2011, 19:30
