home, homescore, awayscore, away, date, time
Chelsea, 2, 1, Arsenal, Sunday 14 May 1995, 16:00
Coventry, 0, 0, Everton, Sunday 14 May 1995, 16:00
Liverpool, 2, 1, Blackburn, Sunday 14 May 1995, 16:00
Man City, 2, 3, QPR, Sunday 14 May 1995, 16:00
Newcastle, 3, 2, Crystal Palace, Sunday 14 May 1995, 16:00
Norwich, 1, 1, Aston Villa, Sunday 14 May 1995, 16:00
Sheffield Wed, 4, 1, Ipswich, Sunday 14 May 1995, 16:00
Spurs, 1, 1, Leeds, Sunday 14 May 1995, 16:00
West Ham, 1, 1, Man Utd, Sunday 14 May 1995, 16:00
Southampton, 2, 2, Leicester, Sunday 14 May 1995, 12:00
Wimbledon, 2, 2, Nott'm Forest, Saturday 13 May 1995, 15:00
Man Utd, 2, 1, Southampton, Wednesday 10 May 1995, 20:00
West Ham, 3, 0, Liverpool, Wednesday 10 May 1995, 19:45
Ipswich, 0, 1, Everton, Tuesday 9 May 1995, 19:45
Leeds, 3, 1, Crystal Palace, Tuesday 9 May 1995, 19:45
Spurs, 1, 3, Coventry, Tuesday 9 May 1995, 19:45
Blackburn, 1, 0, Newcastle, Monday 8 May 1995, 19:40
Man Utd, 1, 0, Sheffield Wed, Sunday 7 May 1995, 16:00
Aston Villa, 2, 0, Liverpool, Saturday 6 May 1995, 15:00
Crystal Palace, 1, 0, West Ham, Saturday 6 May 1995, 15:00
Everton, 0, 0, Southampton, Saturday 6 May 1995, 15:00
Ipswich, 2, 0, Coventry, Saturday 6 May 1995, 15:00
Leeds, 2, 1, Norwich, Saturday 6 May 1995, 15:00
Leicester, 1, 1, Chelsea, Saturday 6 May 1995, 15:00
Nott'm Forest, 1, 0, Man City, Saturday 6 May 1995, 15:00
QPR, 2, 1, Spurs, Saturday 6 May 1995, 15:00
Arsenal, 0, 0, Wimbledon, Thursday 4 May 1995, 19:45
Aston Villa, 1, 1, Man City, Wednesday 3 May 1995, 19:45
Everton, 3, 3, Chelsea, Wednesday 3 May 1995, 19:45
Newcastle, 3, 3, Spurs, Wednesday 3 May 1995, 19:45
West Ham, 0, 0, QPR, Wednesday 3 May 1995, 19:45
Southampton, 3, 1, Crystal Palace, Wednesday 3 May 1995, 19:30
Wimbledon, 0, 0, Liverpool, Tuesday 2 May 1995, 19:45
Coventry, 2, 3, Man Utd, Monday 1 May 1995, 20:00
West Ham, 2, 0, Blackburn, Sunday 30 April 1995, 16:00
Arsenal, 1, 1, Spurs, Saturday 29 April 1995, 15:00
Chelsea, 1, 0, QPR, Saturday 29 April 1995, 15:00
Crystal Palace, 1, 2, Nott'm Forest, Saturday 29 April 1995, 15:00
Everton, 0, 0, Wimbledon, Saturday 29 April 1995, 15:00
Leeds, 1, 0, Aston Villa, Saturday 29 April 1995, 15:00
Leicester, 2, 0, Ipswich, Saturday 29 April 1995, 15:00
Man City, 0, 0, Newcastle, Saturday 29 April 1995, 15:00
Norwich, 1, 2, Liverpool, Saturday 29 April 1995, 15:00
Southampton, 0, 0, Sheffield Wed, Saturday 29 April 1995, 15:00
Blackburn, 2, 1, Crystal Palace, Thursday 20 April 1995, 19:45
Blackburn, 2, 3, Man City, Monday 17 April 1995, 20:00
Aston Villa, 0, 4, Arsenal, Monday 17 April 1995, 15:00
Ipswich, 1, 1, West Ham, Monday 17 April 1995, 15:00
Liverpool, 2, 0, Leicester, Monday 17 April 1995, 15:00
Man Utd, 0, 0, Chelsea, Monday 17 April 1995, 15:00
Newcastle, 1, 2, Leeds, Monday 17 April 1995, 15:00
Nott'm Forest, 2, 0, Coventry, Monday 17 April 1995, 15:00
QPR, 0, 1, Crystal Palace, Monday 17 April 1995, 15:00
Sheffield Wed, 0, 0, Everton, Monday 17 April 1995, 15:00
Spurs, 1, 0, Norwich, Monday 17 April 1995, 15:00
Wimbledon, 0, 2, Southampton, Monday 17 April 1995, 15:00
Arsenal, 4, 1, Ipswich, Saturday 15 April 1995, 15:00
Chelsea, 1, 0, Aston Villa, Saturday 15 April 1995, 15:00
Coventry, 2, 0, Sheffield Wed, Saturday 15 April 1995, 15:00
Leeds, 1, 1, Blackburn, Saturday 15 April 1995, 15:00
Leicester, 0, 4, Man Utd, Saturday 15 April 1995, 15:00
Southampton, 2, 1, QPR, Saturday 15 April 1995, 15:00
Everton, 2, 0, Newcastle, Friday 14 April 1995, 19:45
Crystal Palace, 1, 1, Spurs, Friday 14 April 1995, 15:30
Man City, 2, 1, Liverpool, Friday 14 April 1995, 15:15
West Ham, 3, 0, Wimbledon, Thursday 13 April 1995, 19:45
Arsenal, 0, 1, Liverpool, Wednesday 12 April 1995, 19:45
Chelsea, 0, 2, Southampton, Wednesday 12 April 1995, 19:45
Norwich, 0, 1, Nott'm Forest, Wednesday 12 April 1995, 19:45
Ipswich, 0, 1, QPR, Tuesday 11 April 1995, 19:45
Spurs, 2, 1, Man City, Tuesday 11 April 1995, 19:45
Wimbledon, 1, 1, Chelsea, Monday 10 April 1995, 20:00
Liverpool, 0, 1, Leeds, Sunday 9 April 1995, 15:00
Newcastle, 3, 0, Norwich, Saturday 8 April 1995, 15:00
Nott'm Forest, 1, 1, West Ham, Saturday 8 April 1995, 15:00
QPR, 3, 1, Arsenal, Saturday 8 April 1995, 15:00
Sheffield Wed, 1, 0, Leicester, Saturday 8 April 1995, 15:00
Leeds, 4, 0, Ipswich, Wednesday 5 April 1995, 19:45
Leicester, 1, 0, Norwich, Wednesday 5 April 1995, 19:45
Liverpool, 3, 1, Southampton, Wednesday 5 April 1995, 19:45
Crystal Palace, 0, 0, Aston Villa, Tuesday 4 April 1995, 19:45
QPR, 0, 1, Blackburn, Tuesday 4 April 1995, 19:45
Man Utd, 0, 0, Leeds, Sunday 2 April 1995, 14:00
Southampton, 4, 3, Spurs, Sunday 2 April 1995, 11:30
Arsenal, 5, 1, Norwich, Saturday 1 April 1995, 15:00
Chelsea, 1, 1, Newcastle, Saturday 1 April 1995, 15:00
Coventry, 0, 1, QPR, Saturday 1 April 1995, 15:00
Crystal Palace, 2, 1, Man City, Saturday 1 April 1995, 15:00
Everton, 1, 2, Blackburn, Saturday 1 April 1995, 15:00
Ipswich, 0, 1, Aston Villa, Saturday 1 April 1995, 15:00
Leicester, 3, 4, Wimbledon, Saturday 1 April 1995, 15:00
Sheffield Wed, 1, 7, Nott'm Forest, Saturday 1 April 1995, 15:00
Man Utd, 3, 0, Arsenal, Wednesday 22 March 1995, 20:00
