home, homescore, awayscore, away, date, group
Bologna, 0, 4, Bari, "Sunday, May 22, 2011", "Stadio Renato Della`Ara (18,600)"
Brescia, 2, 2, Fiorentina, "Sunday, May 22, 2011", "Mario Rigamonti (3,000)"
Cagliari, 1, 1, Parma, "Sunday, May 22, 2011", "Stadio San Elia (6,000)"
Genoa, 3, 2, Cesena, "Sunday, May 22, 2011", "Comunale Luigi Ferraris (26,655)"
Internazionale, 3, 1, Catania, "Sunday, May 22, 2011", "Stadio Giuseppe Meazza (45,000)"
Palermo, 1, 3, Chievo Verona, "Sunday, May 22, 2011", "Renzo Barbera (20,000)"
AS Roma, 3, 1, Sampdoria, "Sunday, May 22, 2011", "Stadio Olimpico (20,000)"
Juventus, 2, 2, Napoli, "Sunday, May 22, 2011", "Olimpico Grande Torino (26,389)"
Lecce, 2, 4, Lazio, "Sunday, May 22, 2011", "Via del Mare (14,000)"
Udinese, 0, 0, AC Milan, "Sunday, May 22, 2011", "Stadio Friuli (33,000)"
Fiorentina, 1, 1, Bologna, "Sunday, May 15, 2011", "Stadio Artemio Franchi (21,026)"
Bari, 0, 2, Lecce, "Sunday, May 15, 2011", "San Nicola (20,000)"
Catania, 2, 1, AS Roma, "Sunday, May 15, 2011", "Stadio Angelo Massimino (19,083)"
Cesena, 1, 0, Brescia, "Sunday, May 15, 2011", "Stadio D. Manuzzi (18,626)"
Chievo Verona, 0, 2, Udinese, "Sunday, May 15, 2011", "Stadio Marc`Antonio Bentegodi (14,000)"
Parma, 1, 0, Juventus, "Sunday, May 15, 2011", "Stadio Ennio Tardini (17,259)"
Sampdoria, 1, 2, Palermo, "Sunday, May 15, 2011", "Comunale Luigi Ferraris (25,000)"
Napoli, 1, 1, Internazionale, "Sunday, May 15, 2011", "San Paolo (65,000)"
Lazio, 4, 2, Genoa, "Saturday, May 14, 2011", "Stadio Olimpico (40,000)"
AC Milan, 4, 1, Cagliari, "Saturday, May 14, 2011", "Giuseppe Meazza (80,018)"
Juventus, 2, 2, Chievo Verona, "Monday, May 9, 2011", "Stadio Olimpico Grande Torino (23,740)"
Bologna, 0, 0, Parma, "Sunday, May 8, 2011", "Stadio Renato Della`Ara (20,000)"
Brescia, 1, 2, Catania, "Sunday, May 8, 2011", "Mario Rigamonti (7,000)"
Cagliari, 0, 2, Cesena, "Sunday, May 8, 2011", "Stadio San Elia (6,000)"
Internazionale, 3, 1, Fiorentina, "Sunday, May 8, 2011", "Stadio Giuseppe Meazza (25,000)"
Lecce, 2, 1, Napoli, "Sunday, May 8, 2011", "Via del Mare (14,406)"
Udinese, 2, 1, Lazio, "Sunday, May 8, 2011", "Stadio Friuli (24,000)"
Genoa, 2, 1, Sampdoria, "Sunday, May 8, 2011", "Comunale Luigi Ferraris (30,000)"
Palermo, 2, 1, Bari, "Saturday, May 7, 2011", "Renzo Barbera (20,000)"
AS Roma, 0, 0, AC Milan, "Saturday, May 7, 2011", "Olimpico (58,083)"
Lazio, 0, 1, Juventus, "Monday, May 2, 2011", "Olimpico (55,000)"
AC Milan, 1, 0, Bologna, "Sunday, May 1, 2011", "Stadio Giuseppe Meazza (74,121)"
Catania, 2, 0, Cagliari, "Sunday, May 1, 2011", "Angelo Massimino (13,882)"
Chievo Verona, 1, 0, Lecce, "Sunday, May 1, 2011", "Stadio Marc`Antonio Bentegodi (12,000)"
Fiorentina, 5, 2, Udinese, "Sunday, May 1, 2011", "Artemio Franchi (24,604)"
Parma, 3, 1, Palermo, "Sunday, May 1, 2011", "Stadio Ennio Tardini (14,315)"
Sampdoria, 3, 3, Brescia, "Sunday, May 1, 2011", "Luigi Ferraris (25,555)"
Bari, 2, 3, AS Roma, "Sunday, May 1, 2011", "San Nicola (16,000)"
Cesena, 1, 2, Internazionale, "Saturday, April 30, 2011", "Dino Manuzzi (22,139)"
Napoli, 1, 0, Genoa, "Saturday, April 30, 2011", "San Paolo (50,000)"
AS Roma, 1, 0, Chievo Verona, "Saturday, April 23, 2011", "Stadio Olimpico (27,319)"
Bari, 0, 1, Sampdoria, "Saturday, April 23, 2011", "San Nicola (10,000)"
Bologna, 0, 2, Cesena, "Saturday, April 23, 2011", "Stadio Renato Della`Ara (21,000)"
Cagliari, 1, 2, Fiorentina, "Saturday, April 23, 2011", "Sant'Elia (8,000)"
Genoa, 4, 2, Lecce, "Saturday, April 23, 2011", "Luigi Ferraris (21,369)"
Internazionale, 2, 1, Lazio, "Saturday, April 23, 2011", "Giuseppe Meazza (45,000)"
Palermo, 2, 1, Napoli, "Saturday, April 23, 2011", "Renzo Barbera (12,000)"
Udinese, 0, 2, Parma, "Saturday, April 23, 2011", "Friuli "
Brescia, 0, 1, AC Milan, "Saturday, April 23, 2011", "Mario Rigamonti (23,000)"
Juventus, 2, 2, Catania, "Saturday, April 23, 2011", "Olimpico Grande Torino (23,411)"
Catania, 1, 4, Lazio, "Sunday, April 17, 2011", "Stadio Angelo Massimino (14,014)"
Cesena, 1, 0, Bari, "Sunday, April 17, 2011", "Stadio D. Manuzzi (16,599)"
Chievo Verona, 2, 0, Bologna, "Sunday, April 17, 2011", "Stadio Marc`Antonio Bentegodi (14,000)"
Fiorentina, 0, 0, Juventus, "Sunday, April 17, 2011", "Artemio Franchi (34,483)"
Genoa, 3, 0, Brescia, "Sunday, April 17, 2011", "Comunale Luigi Ferraris (21,540)"
Lecce, 3, 3, Cagliari, "Sunday, April 17, 2011", "Via del Mare (12,672)"
Napoli, 1, 2, Udinese, "Sunday, April 17, 2011", "San Paolo (65,000)"
AS Roma, 2, 3, Palermo, "Saturday, April 16, 2011", "Stadio Olimpico (33,851)"
AC Milan, 3, 0, Sampdoria, "Saturday, April 16, 2011", "Giuseppe Meazza (60,028)"
Parma, 2, 0, Internazionale, "Saturday, April 16, 2011", "Stadio Ennio Tardini (17,504)"
Juventus, 3, 2, Genoa, "Sunday, April 10, 2011", "Stadio Olimpico Grande Torino (20,000)"
Bari, 1, 1, Catania, "Sunday, April 10, 2011", "San Nicola (15,000)"
Bologna, 0, 2, Napoli, "Sunday, April 10, 2011", "Stadio Renato Della`Ara (33,000)"
Cagliari, 1, 1, Brescia, "Sunday, April 10, 2011", "Stadio San Elia (10,000)"
Lazio, 2, 0, Parma, "Sunday, April 10, 2011", "Stadio Olimpico (35,000)"
Palermo, 2, 2, Cesena, "Sunday, April 10, 2011", "Renzo Barbera (25,000)"
Sampdoria, 1, 2, Lecce, "Sunday, April 10, 2011", "Luigi Ferraris (26,638)"
