home, homescore, awayscore, away, date, group
Bayer Leverkusen, 2, 1, Borussia Dortmund, "Saturday, May 19, 2007", BayArena 
Bayern Munich, 5, 2, Mainz, "Saturday, May 19, 2007", Allianz Arena (69,000)
Borussia Monchengladbach, 0, 2, VfL Bochum, "Saturday, May 19, 2007", Borussia-Park 
Eintracht Frankfurt, 1, 2, Hertha Berlin, "Saturday, May 19, 2007", Commerzbank Arena 
Hamburg SV, 4, 0, Alemannia Aachen, "Saturday, May 19, 2007", Imtech Arena 
Hannover 96, 0, 3, Nurnberg, "Saturday, May 19, 2007", HDI-Arena 
Schalke 04, 2, 1, Arminia Bielefeld, "Saturday, May 19, 2007", Veltins-Arena 
VfB Stuttgart, 2, 1, Energie Cottbus, "Saturday, May 19, 2007", Mercedes-Benz Arena 
VfL Wolfsburg, 0, 2, Werder Bremen, "Saturday, May 19, 2007", Volkswagen Arena 
Alemannia Aachen, 2, 2, VfL Wolfsburg, "Saturday, May 12, 2007", Tivoli 
Arminia Bielefeld, 3, 1, Hannover 96, "Saturday, May 12, 2007", SchÃ¼coArena 
Borussia Dortmund, 2, 0, Schalke 04, "Saturday, May 12, 2007", Signal Iduna Park 
Energie Cottbus, 0, 3, Bayern Munich, "Saturday, May 12, 2007", Stadion der Freundschaft 
Hertha Berlin, 2, 3, Bayer Leverkusen, "Saturday, May 12, 2007", Olympiastadion 
Mainz, 3, 0, Borussia Monchengladbach, "Saturday, May 12, 2007", Stadion am Bruchweg 
Nurnberg, 0, 2, Hamburg SV, "Saturday, May 12, 2007", Grundig Stadion 
VfL Bochum, 2, 3, VfB Stuttgart, "Saturday, May 12, 2007", Ruhrstadion 
Werder Bremen, 1, 2, Eintracht Frankfurt, "Saturday, May 12, 2007", Weserstadion 
Bayer Leverkusen, 1, 2, Arminia Bielefeld, "Sunday, May 6, 2007", BayArena 
Hertha Berlin, 1, 4, Werder Bremen, "Sunday, May 6, 2007", Olympiastadion 
Borussia Monchengladbach, 1, 1, Bayern Munich, "Saturday, May 5, 2007", Borussia-Park 
Eintracht Frankfurt, 4, 0, Alemannia Aachen, "Saturday, May 5, 2007", Commerzbank Arena 
Hamburg SV, 0, 3, VfL Bochum, "Saturday, May 5, 2007", Imtech Arena 
Schalke 04, 1, 0, Nurnberg, "Saturday, May 5, 2007", Veltins-Arena (61,482)
VfB Stuttgart, 2, 0, Mainz, "Saturday, May 5, 2007", Mercedes-Benz Arena 
VfL Wolfsburg, 0, 2, Borussia Dortmund, "Saturday, May 5, 2007", Volkswagen Arena 
Hannover 96, 2, 0, Energie Cottbus, "Friday, May 4, 2007", HDI-Arena 
Arminia Bielefeld, 3, 2, Werder Bremen, "Sunday, April 29, 2007", SchÃ¼coArena 
Energie Cottbus, 2, 1, Bayer Leverkusen, "Sunday, April 29, 2007", Stadion der Freundschaft 
Alemannia Aachen, 0, 4, Hertha Berlin, "Saturday, April 28, 2007", Tivoli 
Bayern Munich, 1, 2, Hamburg SV, "Saturday, April 28, 2007", Allianz Arena 
Borussia Dortmund, 2, 0, Eintracht Frankfurt, "Saturday, April 28, 2007", Signal Iduna Park 
Borussia Monchengladbach, 0, 1, VfB Stuttgart, "Saturday, April 28, 2007", Borussia-Park (52,000)
Mainz, 1, 2, Hannover 96, "Saturday, April 28, 2007", Stadion am Bruchweg 
Nurnberg, 1, 1, VfL Wolfsburg, "Saturday, April 28, 2007", Grundig Stadion 
VfL Bochum, 2, 1, Schalke 04, "Friday, April 27, 2007", Ruhrstadion 
Hamburg SV, 2, 2, Mainz, "Sunday, April 22, 2007", Imtech Arena 
