home, homescore, awayscore, away, date, time
Arsenal, 1, 3, Spurs, Tuesday 11 May 1993, 19:45
QPR, 3, 1, Sheffield Wed, Tuesday 11 May 1993, 19:45
QPR, 2, 1, Aston Villa, Sunday 9 May 1993, 14:00
Wimbledon, 1, 2, Man Utd, Sunday 9 May 1993, 14:00
Arsenal, 3, 0, Crystal Palace, Saturday 8 May 1993, 15:00
Blackburn, 1, 0, Sheffield Wed, Saturday 8 May 1993, 15:00
Coventry, 3, 3, Leeds, Saturday 8 May 1993, 15:00
Ipswich, 2, 1, Nott'm Forest, Saturday 8 May 1993, 15:00
Liverpool, 6, 2, Spurs, Saturday 8 May 1993, 15:00
Man City, 2, 5, Everton, Saturday 8 May 1993, 15:00
Middlesbrough, 3, 3, Norwich, Saturday 8 May 1993, 15:00
Oldham, 4, 3, Southampton, Saturday 8 May 1993, 15:00
Sheffield Utd, 4, 2, Chelsea, Saturday 8 May 1993, 15:00
Sheffield Wed, 1, 0, Arsenal, Thursday 6 May 1993, 19:45
Man City, 0, 0, Crystal Palace, Wednesday 5 May 1993, 19:45
Oldham, 3, 2, Liverpool, Wednesday 5 May 1993, 19:45
Spurs, 1, 2, Blackburn, Wednesday 5 May 1993, 19:45
Arsenal, 0, 0, QPR, Tuesday 4 May 1993, 19:45
Sheffield Wed, 1, 1, Leeds, Tuesday 4 May 1993, 19:45
Everton, 0, 2, Sheffield Utd, Tuesday 4 May 1993, 19:30
Man Utd, 3, 1, Blackburn, Monday 3 May 1993, 19:30
Aston Villa, 0, 1, Oldham, Sunday 2 May 1993, 16:00
Chelsea, 2, 1, Coventry, Saturday 1 May 1993, 15:00
Crystal Palace, 3, 1, Ipswich, Saturday 1 May 1993, 15:00
Everton, 0, 0, Arsenal, Saturday 1 May 1993, 15:00
Leeds, 1, 1, QPR, Saturday 1 May 1993, 15:00
Norwich, 1, 0, Liverpool, Saturday 1 May 1993, 15:00
Nott'm Forest, 0, 2, Sheffield Utd, Saturday 1 May 1993, 15:00
Sheffield Wed, 2, 3, Middlesbrough, Saturday 1 May 1993, 15:00
Southampton, 0, 1, Man City, Saturday 1 May 1993, 15:00
Spurs, 1, 1, Wimbledon, Saturday 1 May 1993, 15:00
Crystal Palace, 0, 2, Man Utd, Wednesday 21 April 1993, 20:00
Arsenal, 1, 1, Nott'm Forest, Wednesday 21 April 1993, 19:45
Blackburn, 3, 0, Aston Villa, Wednesday 21 April 1993, 19:45
Man City, 1, 1, Wimbledon, Wednesday 21 April 1993, 19:45
Sheffield Wed, 1, 1, Sheffield Utd, Wednesday 21 April 1993, 19:45
Liverpool, 2, 0, Leeds, Wednesday 21 April 1993, 19:30
Middlesbrough, 3, 0, Spurs, Tuesday 20 April 1993, 19:45
Ipswich, 3, 1, Norwich, Monday 19 April 1993, 19:45
Aston Villa, 3, 1, Man City, Sunday 18 April 1993, 14:30
Leeds, 0, 0, Crystal Palace, Saturday 17 April 1993, 15:00
Liverpool, 4, 0, Coventry, Saturday 17 April 1993, 15:00
Man Utd, 3, 0, Chelsea, Saturday 17 April 1993, 15:00
Sheffield Utd, 1, 3, Blackburn, Saturday 17 April 1993, 15:00
Southampton, 0, 0, Everton, Saturday 17 April 1993, 15:00
Spurs, 4, 1, Oldham, Saturday 17 April 1993, 15:00
Wimbledon, 1, 0, Nott'm Forest, Saturday 17 April 1993, 15:00
Norwich, 4, 2, Leeds, Wednesday 14 April 1993, 19:45
Oldham, 1, 1, Sheffield Utd, Tuesday 13 April 1993, 19:30
Blackburn, 2, 1, Ipswich, Monday 12 April 1993, 19:45
Arsenal, 0, 1, Aston Villa, Monday 12 April 1993, 15:00
Chelsea, 4, 2, Wimbledon, Monday 12 April 1993, 15:00
Coventry, 0, 1, Man Utd, Monday 12 April 1993, 15:00
Crystal Palace, 4, 1, Middlesbrough, Monday 12 April 1993, 15:00
Everton, 3, 5, QPR, Monday 12 April 1993, 15:00
Man City, 1, 1, Liverpool, Monday 12 April 1993, 15:00
Nott'm Forest, 2, 1, Spurs, Monday 12 April 1993, 15:00
Sheffield Wed, 5, 2, Southampton, Monday 12 April 1993, 15:00
Aston Villa, 0, 0, Coventry, Saturday 10 April 1993, 15:00
