home, homescore, awayscore, away, date, group
Chelsea, 2, 1, Blackburn Rovers, "Sunday, May 13, 2012", "Stamford Bridge (40,742)"
Everton, 3, 1, Newcastle United, "Sunday, May 13, 2012", "Goodison Park (39,517)"
Manchester City, 3, 2, Queens Park Rangers, "Sunday, May 13, 2012", "Etihad Stadium (48,000)"
Norwich City, 2, 0, Aston Villa, "Sunday, May 13, 2012", "Carrow Road (26,803)"
Stoke City, 2, 2, Bolton Wanderers, "Sunday, May 13, 2012", "Britannia Stadium (27,789)"
Sunderland, 0, 1, Manchester United, "Sunday, May 13, 2012", "Stadium of Light (46,452)"
Swansea City, 1, 0, Liverpool, "Sunday, May 13, 2012", "Liberty Stadium (20,605)"
Tottenham Hotspur, 2, 0, Fulham, "Sunday, May 13, 2012", "White Hart Lane (36,256)"
West Bromwich Albion, 2, 3, Arsenal, "Sunday, May 13, 2012", "The Hawthorns (26,358)"
Wigan Athletic, 3, 2, Wolverhampton Wanderers, "Sunday, May 13, 2012", "DW Stadium (21,986)"
Liverpool, 4, 1, Chelsea, "Tuesday, May 8, 2012", "Anfield (40,721)"
Blackburn Rovers, 0, 1, Wigan Athletic, "Monday, May 7, 2012", "Ewood Park (26,144)"
Newcastle United, 0, 2, Manchester City, "Sunday, May 6, 2012", "St. James' Park (52,389)"
Aston Villa, 1, 1, Tottenham Hotspur, "Sunday, May 6, 2012", "Villa Park (36,008)"
Bolton Wanderers, 2, 2, West Bromwich Albion, "Sunday, May 6, 2012", "Reebok Stadium (25,662)"
Fulham, 2, 1, Sunderland, "Sunday, May 6, 2012", "Craven Cottage (25,683)"
Queens Park Rangers, 1, 0, Stoke City, "Sunday, May 6, 2012", "Loftus Road Stadium (17,319)"
Wolverhampton Wanderers, 0, 0, Everton, "Sunday, May 6, 2012", "Molineux Stadium (25,466)"
Manchester United, 2, 0, Swansea City, "Sunday, May 6, 2012", "Old Trafford (75,496)"
Arsenal, 3, 3, Norwich City, "Saturday, May 5, 2012", "Emirates Stadium (60,092)"
Chelsea, 0, 2, Newcastle United, "Wednesday, May 2, 2012", "Stamford Bridge (41,559)"
Bolton Wanderers, 1, 4, Tottenham Hotspur, "Wednesday, May 2, 2012", "Reebok Stadium (22,349)"
Liverpool, 0, 1, Fulham, "Tuesday, May 1, 2012", "Anfield (40,106)"
Stoke City, 1, 1, Everton, "Tuesday, May 1, 2012", "Britannia Stadium (26,500)"
Manchester City, 1, 0, Manchester United, "Monday, April 30, 2012", "Etihad Stadium (47,259)"
Chelsea, 6, 1, Queens Park Rangers, "Sunday, April 29, 2012", "Stamford Bridge (41,675)"
Tottenham Hotspur, 2, 0, Blackburn Rovers, "Sunday, April 29, 2012", "White Hart Lane (35,798)"
Everton, 4, 0, Fulham, "Saturday, April 28, 2012", "Goodison Park (31,885)"
Stoke City, 1, 1, Arsenal, "Saturday, April 28, 2012", "Britannia Stadium (27,502)"
Sunderland, 2, 2, Bolton Wanderers, "Saturday, April 28, 2012", "Stadium of Light (40,768)"
Swansea City, 4, 4, Wolverhampton Wanderers, "Saturday, April 28, 2012", "Liberty Stadium (19,408)"
West Bromwich Albion, 0, 0, Aston Villa, "Saturday, April 28, 2012", "The Hawthorns (25,984)"
Wigan Athletic, 4, 0, Newcastle United, "Saturday, April 28, 2012", "DW Stadium (22,187)"
Norwich City, 0, 3, Liverpool, "Saturday, April 28, 2012", "Carrow Road (26,819)"
Aston Villa, 1, 2, Bolton Wanderers, "Tuesday, April 24, 2012", "Villa Park (32,263)"
Manchester United, 4, 4, Everton, "Sunday, April 22, 2012", "Old Trafford (75,522)"
Liverpool, 0, 1, West Bromwich Albion, "Sunday, April 22, 2012", "Anfield (43,660)"
Wolverhampton Wanderers, 0, 2, Manchester City, "Sunday, April 22, 2012", "Molineux Stadium (24,576)"
Arsenal, 0, 0, Chelsea, "Saturday, April 21, 2012", "Emirates Stadium (60,111)"
Aston Villa, 0, 0, Sunderland, "Saturday, April 21, 2012", "Villa Park (32,557)"
Blackburn Rovers, 2, 0, Norwich City, "Saturday, April 21, 2012", "Ewood Park (23,218)"
Bolton Wanderers, 1, 1, Swansea City, "Saturday, April 21, 2012", "Reebok Stadium (25,401)"
Fulham, 2, 1, Wigan Athletic, "Saturday, April 21, 2012", "Craven Cottage (25,689)"
Newcastle United, 3, 0, Stoke City, "Saturday, April 21, 2012", "St. James' Park (52,162)"
Queens Park Rangers, 1, 0, Tottenham Hotspur, "Saturday, April 21, 2012", "Loftus Road Stadium (18,021)"
Arsenal, 1, 2, Wigan Athletic, "Monday, April 16, 2012", "Emirates Stadium (60,060)"
Manchester United, 4, 0, Aston Villa, "Sunday, April 15, 2012", "Old Trafford (75,138)"
Norwich City, 1, 6, Manchester City, "Saturday, April 14, 2012", "Carrow Road (26,812)"
Sunderland, 0, 0, Wolverhampton Wanderers, "Saturday, April 14, 2012", "Stadium of Light (37,476)"
Swansea City, 3, 0, Blackburn Rovers, "Saturday, April 14, 2012", "Liberty Stadium (18,985)"
