home,homescore,awayscore,away,date,location
Heart of Midlothian,1,0,Dundee,"Sunday, May 25, 2003","Tynecastle Stadium (12,205)"
Kilmarnock,0,4,Celtic,"Sunday, May 25, 2003","Rugby Park (16,722)"
Rangers,6,1,Dunfermline Athletic,"Sunday, May 25, 2003","Ibrox Stadium (49,731)"
Dundee United,0,2,Aberdeen,"Saturday, May 24, 2003","Tannadice Park (8,516)"
Hibernian,2,3,Partick Thistle,"Saturday, May 24, 2003","Easter Road Stadium (9,286)"
Motherwell,6,2,Livingston,"Saturday, May 24, 2003","Fir Park (4,790)"
Heart of Midlothian,0,2,Rangers,"Sunday, May 18, 2003","Tynecastle Stadium (15,632)"
Dunfermline Athletic,2,2,Kilmarnock,"Saturday, May 17, 2003","East End Park (6,896)"
Livingston,1,2,Hibernian,"Saturday, May 17, 2003","Almondvale Stadium (5,423)"
Motherwell,2,3,Aberdeen,"Saturday, May 17, 2003","Fir Park (4,731)"
Partick Thistle,0,1,Dundee United,"Saturday, May 17, 2003","Firhill Stadium (6,357)"
Celtic,6,2,Dundee,"Wednesday, May 14, 2003","Celtic Park (59,500)"
Rangers,4,0,Kilmarnock,"Sunday, May 11, 2003","Ibrox Stadium (49,036)"
Aberdeen,2,1,Partick Thistle,"Saturday, May 10, 2003","Pittodrie Stadium (9,960)"
Celtic,1,0,Heart of Midlothian,"Saturday, May 10, 2003","Celtic Park (58,175)"
Dundee,2,2,Dunfermline Athletic,"Saturday, May 10, 2003","Dens Park stadium (5,411)"
Hibernian,1,0,Motherwell,"Saturday, May 10, 2003","Easter Road Stadium (7,809)"
Livingston,1,2,Dundee United,"Saturday, May 10, 2003","Almondvale Stadium (6,314)"
Motherwell,0,4,Celtic,"Wednesday, May 7, 2003","Fir Park (12,037)"
Dundee,2,2,Rangers,"Sunday, May 4, 2003","Dens Park stadium (9,195)"
Dunfermline Athletic,1,4,Celtic,"Saturday, May 3, 2003","East End Park (8,923)"
Hibernian,3,1,Aberdeen,"Saturday, May 3, 2003","Easter Road Stadium (7,904)"
Kilmarnock,1,0,Heart of Midlothian,"Saturday, May 3, 2003","Rugby Park (9,091)"
Livingston,3,1,Partick Thistle,"Saturday, May 3, 2003","Almondvale Stadium (5,349)"
Motherwell,2,2,Dundee United,"Saturday, May 3, 2003","Fir Park (9,056)"
Rangers,1,2,Celtic,"Sunday, April 27, 2003","Ibrox Stadium (49,740)"
Dundee,0,1,Kilmarnock,"Sunday, April 27, 2003","Dens Park stadium (5,964)"
Aberdeen,1,0,Livingston,"Saturday, April 26, 2003","Pittodrie Stadium (8,912)"
Dundee United,1,2,Hibernian,"Saturday, April 26, 2003","Tannadice Park (6,758)"
Dunfermline Athletic,0,1,Heart of Midlothian,"Saturday, April 26, 2003","East End Park (6,968)"
Partick Thistle,3,0,Motherwell,"Saturday, April 26, 2003","Firhill Stadium (4,870)"
Heart of Midlothian,2,1,Celtic,"Saturday, April 19, 2003","Tynecastle Stadium (15,855)"
Celtic,2,0,Kilmarnock,"Sunday, April 13, 2003","Celtic Park (56,966)"
Dundee United,1,4,Rangers,"Sunday, April 13, 2003","Tannadice Park (10,271)"
Aberdeen,1,0,Dunfermline Athletic,"Saturday, April 12, 2003","Pittodrie Stadium (10,033)"
Hibernian,2,2,Livingston,"Saturday, April 12, 2003","Easter Road Stadium (8,150)"
Motherwell,1,2,Dundee,"Saturday, April 12, 2003","Fir Park (4,693)"
Partick Thistle,1,1,Heart of Midlothian,"Saturday, April 12, 2003","Firhill Stadium (5,288)"
Dundee,1,1,Celtic,"Sunday, April 6, 2003","Dens Park stadium (9,013)"
Dunfermline Athletic,3,0,Motherwell,"Saturday, April 5, 2003","East End Park (4,086)"
Heart of Midlothian,2,1,Dundee United,"Saturday, April 5, 2003","Tynecastle Stadium (9,663)"
Kilmarnock,6,2,Hibernian,"Saturday, April 5, 2003","Rugby Park (5,558)"
Livingston,1,2,Aberdeen,"Saturday, April 5, 2003","Almondvale Stadium (5,731)"
Rangers,2,0,Partick Thistle,"Saturday, April 5, 2003","Ibrox Stadium (49,472)"
Rangers,2,0,Motherwell,"Wednesday, March 19, 2003","Ibrox Stadium (49,240)"
Kilmarnock,1,1,Dunfermline Athletic,"Sunday, March 16, 2003","Rugby Park (4,021)"
Aberdeen,3,3,Dundee,"Saturday, March 15, 2003","Pittodrie Stadium (12,119)"
Dundee United,0,1,Livingston,"Saturday, March 15, 2003","Tannadice Park (6,247)"
Partick Thistle,0,1,Hibernian,"Saturday, March 15, 2003","Firhill Stadium (4,551)"
Dunfermline Athletic,0,0,Partick Thistle,"Sunday, March 9, 2003","East End Park (4,746)"
Hibernian,1,1,Dundee United,"Sunday, March 9, 2003","Easter Road Stadium (7,518)"
Celtic,1,0,Rangers,"Saturday, March 8, 2003","Celtic Park (58,787)"
Dundee,2,2,Kilmarnock,"Saturday, March 8, 2003","Dens Park stadium (6,531)"
Livingston,1,1,Heart of Midlothian,"Saturday, March 8, 2003","Almondvale Stadium (7,531)"
Motherwell,0,1,Aberdeen,"Saturday, March 8, 2003","Fir Park (5,636)"
Dundee,0,0,Livingston,"Wednesday, March 5, 2003","Dens Park stadium (7,554)"
Celtic,3,2,Hibernian,"Sunday, March 2, 2003","Celtic Park (57,512)"
Livingston,1,2,Rangers,"Sunday, March 2, 2003","Almondvale Stadium (10,004)"
Dundee United,3,0,Dunfermline Athletic,"Saturday, March 1, 2003","Tannadice Park (6,004)"
Heart of Midlothian,2,1,Motherwell,"Saturday, March 1, 2003","Tynecastle Stadium (11,704)"
Kilmarnock,2,0,Aberdeen,"Saturday, March 1, 2003","Rugby Park (5,769)"
Partick Thistle,1,3,Dundee,"Saturday, March 1, 2003","Firhill Stadium (4,599)"
Dundee,3,0,Hibernian,"Tuesday, February 25, 2003","Dens Park stadium (8,414)"
Kilmarnock,1,0,Partick Thistle,"Sunday, February 23, 2003","Rugby Park (5,651)"
Motherwell,2,1,Dunfermline Athletic,"Wednesday, February 19, 2003","Fir Park (3,741)"
Aberdeen,3,0,Dundee United,"Sunday, February 16, 2003","Pittodrie Stadium (9,146)"
Hibernian,1,3,Dunfermline Athletic,"Saturday, February 15, 2003","Easter Road Stadium (9,175)"
Rangers,1,0,Heart of Midlothian,"Saturday, February 15, 2003","Ibrox Stadium (49,459)"
Celtic,2,1,Livingston,"Sunday, February 9, 2003","Celtic Park (57,169)"
Dundee United,1,1,Dundee,"Sunday, February 9, 2003","Tannadice Park (10,457)"
