home, homescore, awayscore, away, date, group
Bayern Munich, 2, 1, Schalke 04, "Saturday, April 10, 2004", "Olympiastadion (63,000)"
Eintracht Frankfurt, 0, 1, Werder Bremen, "Saturday, April 10, 2004", "Waldstadion (33,000)"
Hamburg SV, 0, 2, Borussia Dortmund, "Saturday, April 10, 2004", "Volksparkstadion "
Hansa Rostock, 1, 2, Borussia Monchengladbach, "Saturday, April 10, 2004", "Ostseestadion (25,800)"
Hertha Berlin, 1, 0, VfL Wolfsburg, "Saturday, April 10, 2004", "Olympia Stadium (33,970)"
VfL Bochum, 4, 0, TSV 1860 Munich, "Saturday, April 10, 2004", "Ruhr Stadium (23,430)"
Borussia Dortmund, 4, 1, VfL Bochum, "Sunday, April 4, 2004", "Westfalenstadion (83,000)"
Werder Bremen, 1, 1, SC Freiburg, "Sunday, April 4, 2004", "Weserstadion (42,500)"
Borussia Monchengladbach, 0, 0, Bayer Leverkusen, "Saturday, April 3, 2004", "Stadium Bokelberg (34,200)"
FC Cologne, 2, 0, Eintracht Frankfurt, "Saturday, April 3, 2004", "Mungersdorfer Stadion (45,500)"
Hertha Berlin, 1, 1, Hansa Rostock, "Saturday, April 3, 2004", "Olympia Stadium (47,305)"
Kaiserslautern, 0, 2, Bayern Munich, "Saturday, April 3, 2004", "Fritz-Walter Stadion (47,315)"
Schalke 04, 4, 1, Hamburg SV, "Saturday, April 3, 2004", "Arena Auf Schalke (61,266)"
TSV 1860 Munich, 0, 2, Hannover 96, "Saturday, April 3, 2004", "Olympiastadion (26,700)"
VfL Wolfsburg, 1, 5, VfB Stuttgart, "Saturday, April 3, 2004", "Volkswagen Arena (25,396)"
Hamburg SV, 3, 2, Kaiserslautern, "Sunday, March 28, 2004", "Volksparkstadion (41,020)"
VfB Stuttgart, 4, 4, Werder Bremen, "Sunday, March 28, 2004", "Gottlieb-Daimler Stadion (48,000)"
Bayer Leverkusen, 4, 1, Hertha Berlin, "Saturday, March 27, 2004", "BayArena (20,500)"
Bayern Munich, 5, 2, Borussia Monchengladbach, "Saturday, March 27, 2004", "Olympiastadion (56,000)"
Eintracht Frankfurt, 0, 3, TSV 1860 Munich, "Saturday, March 27, 2004", "Waldstadion (30,000)"
Hannover 96, 1, 1, Borussia Dortmund, "Saturday, March 27, 2004", "Niedersachsenstadion (27,504)"
Hansa Rostock, 3, 1, VfL Wolfsburg, "Saturday, March 27, 2004", "Ostseestadion (19,800)"
SC Freiburg, 3, 0, FC Cologne, "Saturday, March 27, 2004", "Dreisamstadion  (25,000)"
VfL Bochum, 1, 2, Schalke 04, "Saturday, March 27, 2004", "Ruhr Stadium (32,645)"
TSV 1860 Munich, 1, 1, SC Freiburg, "Sunday, March 21, 2004", "Olympiastadion (19,500)"
VfL Wolfsburg, 0, 2, Werder Bremen, "Sunday, March 21, 2004", "Volkswagen Arena (30,000)"
Borussia Dortmund, 2, 0, Eintracht Frankfurt, "Saturday, March 20, 2004", "Westfalenstadion (80,500)"
Borussia Monchengladbach, 3, 0, Hamburg SV, "Saturday, March 20, 2004", "Stadium Bokelberg (33,000)"
FC Cologne, 2, 2, VfB Stuttgart, "Saturday, March 20, 2004", "Mungersdorfer Stadion (50,000)"
Hansa Rostock, 0, 2, Bayer Leverkusen, "Saturday, March 20, 2004", "Ostseestadion (24,200)"
Hertha Berlin, 1, 1, Bayern Munich, "Saturday, March 20, 2004", "Olympia Stadium (60,800)"
Kaiserslautern, 2, 2, VfL Bochum, "Saturday, March 20, 2004", "Fritz-Walter Stadion (33,048)"
Schalke 04, 2, 2, Hannover 96, "Saturday, March 20, 2004", "Arena Auf Schalke "
VfB Stuttgart, 2, 0, TSV 1860 Munich, "Sunday, March 14, 2004", "Gottlieb-Daimler Stadion "
VfL Bochum, 1, 0, Borussia Monchengladbach, "Sunday, March 14, 2004", "Ruhr Stadium "
Bayer Leverkusen, 4, 2, VfL Wolfsburg, "Saturday, March 13, 2004", "BayArena "
Bayern Munich, 3, 3, Hansa Rostock, "Saturday, March 13, 2004", "Olympiastadion (41,000)"
Eintracht Frankfurt, 3, 0, Schalke 04, "Saturday, March 13, 2004", "Waldstadion (35,000)"
Hamburg SV, 2, 0, Hertha Berlin, "Saturday, March 13, 2004", "Volksparkstadion (45,000)"
Hannover 96, 0, 1, Kaiserslautern, "Saturday, March 13, 2004", "Niedersachsenstadion (21,135)"
SC Freiburg, 2, 2, Borussia Dortmund, "Saturday, March 13, 2004", "Dreisamstadion  (25,000)"
Werder Bremen, 3, 2, FC Cologne, "Saturday, March 13, 2004", "Weserstadion (39,545)"
TSV 1860 Munich, 0, 2, Werder Bremen, "Sunday, March 7, 2004", "Olympiastadion (25,000)"
VfL Wolfsburg, 2, 0, FC Cologne, "Sunday, March 7, 2004", "Volkswagen Arena (18,246)"
Bayer Leverkusen, 1, 3, Bayern Munich, "Saturday, March 6, 2004", "BayArena (32,500)"
Borussia Dortmund, 0, 2, VfB Stuttgart, "Saturday, March 6, 2004", "Westfalenstadion (83,000)"
Borussia Monchengladbach, 1, 0, Hannover 96, "Saturday, March 6, 2004", "Stadium Bokelberg (29,300)"
Hansa Rostock, 3, 0, Hamburg SV, "Saturday, March 6, 2004", "Ostseestadion (26,000)"
Hertha Berlin, 1, 1, VfL Bochum, "Saturday, March 6, 2004", "Olympia Stadium "
Kaiserslautern, 1, 0, Eintracht Frankfurt, "Saturday, March 6, 2004", "Fritz-Walter Stadion (40,592)"
Schalke 04, 3, 0, SC Freiburg, "Saturday, March 6, 2004", "Arena Auf Schalke (61,266)"
