home, homescore, awayscore, away, date, group
Fortuna DÃ¼sseldorf, 2, 2, Hertha Berlin, "Tuesday, May 15, 2012"," LTU arena (51,000)"
Hertha Berlin, 1, 2, Fortuna DÃ¼sseldorf, "Thursday, May 10, 2012"," Olympiastadion (68,041)"
Borussia Dortmund, 4, 0, SC Freiburg, "Saturday, May 5, 2012"," Signal-Iduna-Park (80,720)"
FC Augsburg, 1, 0, Hamburg SV, "Saturday, May 5, 2012"," SGL Arena (30,660)"
FC Cologne, 1, 4, Bayern Munich, "Saturday, May 5, 2012"," RheinEnergieStadion (50,000)"
Hannover 96, 2, 1, Kaiserslautern, "Saturday, May 5, 2012"," AWD-Arena (49,000)"
Hertha Berlin, 3, 1, TSG Hoffenheim, "Saturday, May 5, 2012"," Olympiastadion (51,837)"
Mainz, 0, 3, Borussia Monchengladbach, "Saturday, May 5, 2012"," Coface Arena (34,000)"
Nurnberg, 1, 4, Bayer Leverkusen, "Saturday, May 5, 2012"," EasyCredit-Stadion (48,548)"
VfB Stuttgart, 3, 2, VfL Wolfsburg, "Saturday, May 5, 2012"," Gottlieb-Daimler-Stadion (58,500)"
Werder Bremen, 2, 3, Schalke 04, "Saturday, May 5, 2012"," Weserstadion (42,100)"
Bayer Leverkusen, 1, 0, Hannover 96, "Saturday, April 28, 2012"," BayArena (30,210)"
Bayern Munich, 2, 0, VfB Stuttgart, "Saturday, April 28, 2012"," Allianz Arena (69,000)"
Borussia Monchengladbach, 0, 0, FC Augsburg, "Saturday, April 28, 2012"," Borussia-Park (53,306)"
Hamburg SV, 0, 0, Mainz, "Saturday, April 28, 2012"," Imtech Arena (56,537)"
Kaiserslautern, 2, 5, Borussia Dortmund, "Saturday, April 28, 2012"," Fritz-Walter-Stadion (49,780)"
SC Freiburg, 4, 1, FC Cologne, "Saturday, April 28, 2012"," MAGE SOLAR Stadion (24,000)"
Schalke 04, 4, 0, Hertha Berlin, "Saturday, April 28, 2012"," Veltins-Arena (61,673)"
TSG Hoffenheim, 2, 3, Nurnberg, "Saturday, April 28, 2012"," WIRSOL Rhein-Neckar-Arena (30,150)"
VfL Wolfsburg, 3, 1, Werder Bremen, "Saturday, April 28, 2012"," Volkswagen Arena (30,000)"
FC Augsburg, 1, 1, Schalke 04, "Sunday, April 22, 2012"," SGL Arena (30,660)"
Hannover 96, 0, 0, SC Freiburg, "Sunday, April 22, 2012"," AWD-Arena (48,000)"
FC Cologne, 1, 1, VfB Stuttgart, "Saturday, April 21, 2012"," RheinEnergieStadion (50,000)"
Hertha Berlin, 1, 2, Kaiserslautern, "Saturday, April 21, 2012"," Olympiastadion (51,461)"
Nurnberg, 1, 1, Hamburg SV, "Saturday, April 21, 2012"," EasyCredit-Stadion (45,873)"
TSG Hoffenheim, 0, 1, Bayer Leverkusen, "Saturday, April 21, 2012"," WIRSOL Rhein-Neckar-Arena (28,150)"
Werder Bremen, 1, 2, Bayern Munich, "Saturday, April 21, 2012"," Weserstadion (42,100)"
Borussia Dortmund, 2, 0, Borussia Monchengladbach, "Saturday, April 21, 2012"," Signal Iduna Park (80,720)"
Mainz, 0, 0, VfL Wolfsburg, "Friday, April 20, 2012"," Coface Arena (31,069)"
Borussia Monchengladbach, 3, 0, FC Cologne, "Sunday, April 15, 2012"," Borussia-Park (52,990)"
SC Freiburg, 0, 0, TSG Hoffenheim, "Sunday, April 15, 2012"," MAGE SOLAR Stadion (23,500)"
Bayer Leverkusen, 3, 3, Hertha Berlin, "Saturday, April 14, 2012"," BayArena (29,704)"
Hamburg SV, 1, 0, Hannover 96, "Saturday, April 14, 2012"," Imtech Arena (57,000)"
Kaiserslautern, 0, 2, Nurnberg, "Saturday, April 14, 2012"," Fritz-Walter-Stadion (42,552)"
Schalke 04, 1, 2, Borussia Dortmund, "Saturday, April 14, 2012"," Veltins-Arena (61,673)"
VfL Wolfsburg, 1, 2, FC Augsburg, "Saturday, April 14, 2012"," Volkswagen Arena (25,143)"
Bayern Munich, 0, 0, Mainz, "Saturday, April 14, 2012"," Allianz Arena (69,000)"
VfB Stuttgart, 4, 1, Werder Bremen, "Friday, April 13, 2012"," Mercedes-Benz Arena (59,000)"
Bayer Leverkusen, 3, 1, Kaiserslautern, "Wednesday, April 11, 2012"," BayArena (28,000)"
Borussia Dortmund, 1, 0, Bayern Munich, "Wednesday, April 11, 2012"," Signal Iduna Park (80,720)"
Hannover 96, 2, 0, VfL Wolfsburg, "Wednesday, April 11, 2012"," AWD-Arena (43,800)"
Nurnberg, 4, 1, Schalke 04, "Wednesday, April 11, 2012"," EasyCredit-Stadion (44,031)"
TSG Hoffenheim, 4, 0, Hamburg SV, "Wednesday, April 11, 2012"," WIRSOL Rhein-Neckar-Arena (27,000)"
FC Augsburg, 1, 3, VfB Stuttgart, "Tuesday, April 10, 2012"," SGL Arena (30,660)"
Hertha Berlin, 1, 2, SC Freiburg, "Tuesday, April 10, 2012"," Olympiastadion (45,778)"
Mainz, 4, 0, FC Cologne, "Tuesday, April 10, 2012"," Coface Arena (34,000)"
Werder Bremen, 2, 2, Borussia Monchengladbach, "Tuesday, April 10, 2012"," Weserstadion (42,100)"
Schalke 04, 3, 0, Hannover 96, "Sunday, April 8, 2012"," Veltins-Arena (61,673)"
Hamburg SV, 1, 1, Bayer Leverkusen, "Sunday, April 8, 2012"," Imtech Arena (54,141)"
Bayern Munich, 2, 1, FC Augsburg, "Saturday, April 7, 2012"," Allianz Arena (69,000)"
FC Cologne, 1, 1, Werder Bremen, "Saturday, April 7, 2012"," RheinEnergieStadion (50,000)"
Kaiserslautern, 1, 2, TSG Hoffenheim, "Saturday, April 7, 2012"," Fritz-Walter-Stadion (40,296)"
SC Freiburg, 2, 2, Nurnberg, "Saturday, April 7, 2012"," MAGE SOLAR Stadion (24,000)"
VfB Stuttgart, 4, 1, Mainz, "Saturday, April 7, 2012"," Mercedes-Benz Arena (55,100)"
VfL Wolfsburg, 1, 3, Borussia Dortmund, "Saturday, April 7, 2012"," Volkswagen Arena (30,000)"
Borussia Monchengladbach, 0, 0, Hertha Berlin, "Saturday, April 7, 2012"," Borussia-Park (52,691)"
Hannover 96, 2, 1, Borussia Monchengladbach, "Sunday, April 1, 2012"," AWD-Arena (49,000)"
TSG Hoffenheim, 1, 1, Schalke 04, "Sunday, April 1, 2012"," WIRSOL Rhein-Neckar-Arena (30,150)"
Bayer Leverkusen, 0, 2, SC Freiburg, "Saturday, March 31, 2012"," BayArena (28,342)"
FC Augsburg, 2, 1, FC Cologne, "Saturday, March 31, 2012"," SGL Arena (30,660)"
Kaiserslautern, 0, 1, Hamburg SV, "Saturday, March 31, 2012"," Fritz-Walter-Stadion (44,745)"
Nurnberg, 0, 1, Bayern Munich, "Saturday, March 31, 2012"," EasyCredit-Stadion (48,548)"
Werder Bremen, 0, 3, Mainz, "Saturday, March 31, 2012"," Weserstadion (40,132)"
Hertha Berlin, 1, 4, VfL Wolfsburg, "Saturday, March 31, 2012"," Olympiastadion (46,388)"
Borussia Dortmund, 4, 4, VfB Stuttgart, "Friday, March 30, 2012"," Signal Iduna Park (80,720)"
VfB Stuttgart, 1, 0, Nurnberg, "Sunday, March 25, 2012"," Mercedes-Benz Arena (55,800)"
FC Cologne, 1, 6, Borussia Dortmund, "Sunday, March 25, 2012"," RheinEnergieStadion (50,000)"
Bayern Munich, 2, 1, Hannover 96, "Saturday, March 24, 2012"," Allianz Arena (69,000)"
Borussia Monchengladbach, 1, 2, TSG Hoffenheim, "Saturday, March 24, 2012"," Borussia-Park (52,796)"
Mainz, 1, 3, Hertha Berlin, "Saturday, March 24, 2012"," Coface Arena (33,152)"
SC Freiburg, 2, 0, Kaiserslautern, "Saturday, March 24, 2012"," MAGE SOLAR Stadion (24,000)"
Werder Bremen, 1, 1, FC Augsburg, "Saturday, March 24, 2012"," Weserstadion (40,208)"
Schalke 04, 2, 0, Bayer Leverkusen, "Saturday, March 24, 2012"," Veltins-Arena (61,673)"
VfL Wolfsburg, 2, 1, Hamburg SV, "Friday, March 23, 2012"," Volkswagen Arena (30,000)"
Kaiserslautern, 1, 4, Schalke 04, "Sunday, March 18, 2012"," Fritz-Walter-Stadion (49,780)"
Hannover 96, 4, 1, FC Cologne, "Sunday, March 18, 2012"," AWD-Arena (45,000)"
Bayer Leverkusen, 1, 2, Borussia Monchengladbach, "Saturday, March 17, 2012"," BayArena (30,210)"
Borussia Dortmund, 1, 0, Werder Bremen, "Saturday, March 17, 2012"," Signal Iduna Park (80,720)"
