home,homescore,awayscore,away,date,location
Aberdeen,2,1,Hibernian,"Sunday, May 24, 2009","Pittodrie Stadium (14,083)"
Celtic,0,0,Heart of Midlothian,"Sunday, May 24, 2009","Celtic Park (59,685)"
Dundee United,0,3,Rangers,"Sunday, May 24, 2009","Tannadice Park (14,077)"
Inverness Caledonian Thistle,0,1,Falkirk,"Saturday, May 23, 2009","Caledonian Stadium (6,489)"
Motherwell,1,2,Kilmarnock,"Saturday, May 23, 2009","Fir Park Stadium (4,186)"
St Mirren,0,1,Hamilton Academical ,"Saturday, May 23, 2009","St Mirren Park (6,747)"
Hibernian,0,0,Celtic,"Sunday, May 17, 2009","Easter Road Stadium (14,074)"
Rangers,2,1,Aberdeen,"Saturday, May 16, 2009","Ibrox Stadium (50,295)"
Falkirk,0,2,St Mirren,"Saturday, May 16, 2009","Falkirk Stadium (6,744)"
Hamilton Academical ,0,3,Motherwell,"Saturday, May 16, 2009","New Douglas Park (3,383)"
Heart of Midlothian,3,0,Dundee United,"Saturday, May 16, 2009","Tynecastle Stadium (15,664)"
Kilmarnock,1,0,Inverness Caledonian Thistle,"Saturday, May 16, 2009","Rugby Park (6,096)"
Hamilton Academical ,0,1,Falkirk,"Wednesday, May 13, 2009","New Douglas Park (3,710)"
Hibernian,1,1,Rangers,"Wednesday, May 13, 2009","Easter Road Stadium (13,765)"
Kilmarnock,2,1,St Mirren,"Wednesday, May 13, 2009","Rugby Park (5,927)"
Motherwell,2,2,Inverness Caledonian Thistle,"Wednesday, May 13, 2009","Fir Park Stadium (2,818)"
Aberdeen,0,0,Heart of Midlothian,"Tuesday, May 12, 2009","Pittodrie Stadium (11,588)"
Celtic,2,1,Dundee United,"Tuesday, May 12, 2009","Celtic Park (57,407)"
Inverness Caledonian Thistle,1,1,Hamilton Academical ,"Sunday, May 10, 2009","Caledonian Stadium (3,623)"
Rangers,1,0,Celtic,"Saturday, May 9, 2009","Ibrox Stadium (50,321)"
Kilmarnock,1,1,Falkirk,"Saturday, May 9, 2009","Rugby Park (5,955)"
St Mirren,1,3,Motherwell,"Saturday, May 9, 2009","St Mirren Park (4,002)"
Heart of Midlothian,0,1,Hibernian,"Thursday, May 7, 2009","Tynecastle Stadium (14,714)"
Dundee United,1,1,Aberdeen,"Thursday, May 7, 2009","Tannadice Park (10,407)"
Rangers,2,0,Heart of Midlothian,"Sunday, May 3, 2009","Ibrox Stadium (49,663)"
Aberdeen,1,3,Celtic,"Saturday, May 2, 2009","Pittodrie Stadium (14,752)"
Falkirk,2,1,Motherwell,"Saturday, May 2, 2009","Falkirk Stadium (4,937)"
Hamilton Academical ,2,1,Kilmarnock,"Saturday, May 2, 2009","New Douglas Park (3,289)"
Hibernian,1,2,Dundee United,"Saturday, May 2, 2009","Easter Road Stadium (10,591)"
St Mirren,1,2,Inverness Caledonian Thistle,"Saturday, May 2, 2009","St Mirren Park (4,171)"
Hibernian,2,3,Rangers,"Sunday, April 19, 2009","Easter Road Stadium (14,014)"
Motherwell,0,2,St Mirren,"Saturday, April 18, 2009","Fir Park Stadium (6,626)"
Celtic,2,0,Aberdeen,"Saturday, April 18, 2009","Celtic Park (58,581)"
Dundee United,0,0,Kilmarnock,"Saturday, April 18, 2009","Tannadice Park (6,627)"
Falkirk,0,0,Heart of Midlothian,"Saturday, April 18, 2009","Falkirk Stadium (6,156)"
Inverness Caledonian Thistle,1,1,Hamilton Academical ,"Saturday, April 18, 2009","Caledonian Stadium (3,646)"
St Mirren,1,1,Hibernian,"Monday, April 13, 2009","St Mirren Park (5,151)"
Heart of Midlothian,1,1,Celtic,"Saturday, April 11, 2009","Tynecastle Stadium (16,514)"
Aberdeen,1,0,Inverness Caledonian Thistle,"Saturday, April 11, 2009","Pittodrie Stadium (11,114)"
Hamilton Academical ,0,1,Dundee United,"Saturday, April 11, 2009","New Douglas Park (3,025)"
Kilmarnock,3,0,Falkirk,"Saturday, April 11, 2009","Rugby Park (5,835)"
Rangers,3,1,Motherwell,"Saturday, April 11, 2009","Ibrox Stadium (50,080)"
Celtic,4,0,Falkirk,"Wednesday, April 8, 2009","Celtic Park (57,669)"
St Mirren,1,2,Rangers,"Wednesday, April 8, 2009","St Mirren Park (6,231)"
Falkirk,0,1,Rangers,"Sunday, April 5, 2009","Falkirk Stadium (6,853)"
Dundee United,2,2,Hibernian,"Saturday, April 4, 2009","Tannadice Park (6,623)"
Celtic,4,0,Hamilton Academical ,"Saturday, April 4, 2009","Celtic Park (58,961)"
Heart of Midlothian,3,1,Kilmarnock,"Saturday, April 4, 2009","Tynecastle Stadium (13,659)"
Inverness Caledonian Thistle,2,1,St Mirren,"Saturday, April 4, 2009","Caledonian Stadium (3,794)"
Motherwell,1,1,Aberdeen,"Saturday, April 4, 2009","Fir Park Stadium (4,686)"
Dundee United,2,2,Celtic,"Sunday, March 22, 2009","Tannadice Park (12,043)"
Kilmarnock,0,0,Motherwell,"Saturday, March 21, 2009","Rugby Park (5,434)"
Falkirk,4,0,Inverness Caledonian Thistle,"Saturday, March 21, 2009","Falkirk Stadium (5,523)"
Hamilton Academical ,0,0,St Mirren,"Saturday, March 21, 2009","New Douglas Park (3,072)"
Hibernian,0,0,Aberdeen,"Saturday, March 21, 2009","Easter Road Stadium (11,754)"
Rangers,2,2,Heart of Midlothian,"Saturday, March 21, 2009","Ibrox Stadium (50,310)"
Hibernian,1,0,Heart of Midlothian,"Saturday, March 14, 2009","Easter Road Stadium (15,091)"
Aberdeen,1,0,Hamilton Academical ,"Saturday, March 14, 2009","Pittodrie Stadium (10,312)"
Inverness Caledonian Thistle,2,1,Kilmarnock,"Saturday, March 14, 2009","Caledonian Stadium (4,005)"
Motherwell,2,1,Dundee United,"Saturday, March 14, 2009","Fir Park Stadium (4,798)"
Hamilton Academical ,0,1,Hibernian,"Wednesday, March 4, 2009","New Douglas Park (4,046)"
Heart of Midlothian,2,1,Motherwell,"Wednesday, March 4, 2009","Tynecastle Stadium (13,306)"
Kilmarnock,1,2,Celtic,"Wednesday, March 4, 2009","Rugby Park (6,712)"
Rangers,0,1,Inverness Caledonian Thistle,"Wednesday, March 4, 2009","Ibrox Stadium (48,129)"
Falkirk,0,1,Dundee United,"Tuesday, March 3, 2009","Falkirk Stadium (4,385)"
St Mirren,1,1,Aberdeen,"Tuesday, March 3, 2009","St Mirren Park (4,383)"
Hamilton Academical ,0,1,Rangers,"Saturday, February 28, 2009","New Douglas Park (5,895)"
