home, homescore, awayscore, away, date, group
AC Milan, 2, 1, Novara, "Sunday, May 13, 2012", "Giuseppe Meazza "
Fiorentina, 0, 0, Cagliari, "Sunday, May 13, 2012", "Artemio Franchi (21,000)"
Juventus, 3, 1, Atalanta, "Sunday, May 13, 2012", "Juventus Stadium (36,000)"
Cesena, 2, 3, AS Roma, "Sunday, May 13, 2012", "Dino Manuzzi (14,883)"
Parma, 1, 0, Bologna, "Sunday, May 13, 2012", "Ennio Tardini "
Catania, 0, 2, Udinese, "Sunday, May 13, 2012", "Angelo Massimino (15,000)"
Chievo Verona, 1, 0, Lecce, "Sunday, May 13, 2012", "Marc'Antonio Bentegodi (11,000)"
Genoa, 2, 0, Palermo, "Sunday, May 13, 2012", "Luigi Ferraris "
Lazio, 3, 1, Internazionale, "Sunday, May 13, 2012", "Olimpico (50,000)"
Napoli, 2, 1, Siena, "Sunday, May 13, 2012", "San Paolo (41,000)"
Siena, 0, 2, Parma, "Sunday, May 6, 2012", "Artemio Franchi Montepaschi Arena (10,000)"
Atalanta, 0, 2, Lazio, "Sunday, May 6, 2012", "Atleti Azzurri d'Italia "
Bologna, 2, 0, Napoli, "Sunday, May 6, 2012", "Renato Dall'Ara "
Novara, 3, 0, Cesena, "Sunday, May 6, 2012", "Silvio Piola "
Palermo, 4, 4, Chievo Verona, "Sunday, May 6, 2012", "Renzo Barbera "
Udinese, 2, 0, Genoa, "Sunday, May 6, 2012", "Friuli "
Cagliari, 0, 2, Juventus, "Sunday, May 6, 2012", "Nereo Rocco (9,500)"
Internazionale, 4, 2, AC Milan, "Sunday, May 6, 2012", "Giuseppe Meazza (43,000)"
Lecce, 0, 1, Fiorentina, "Saturday, May 5, 2012", "Via del Mare "
AS Roma, 2, 2, Catania, "Saturday, May 5, 2012", "Olimpico (37,000)"
AC Milan, 2, 0, Atalanta, "Wednesday, May 2, 2012", "Giuseppe Meazza (51,000)"
Catania, 0, 1, Bologna, "Wednesday, May 2, 2012", "Angelo Massimino (15,000)"
Cesena, 0, 1, Udinese, "Wednesday, May 2, 2012", "Dino Manuzzi (16,000)"
Fiorentina, 2, 2, Novara, "Wednesday, May 2, 2012", "Artemio Franchi (21,000)"
Genoa, 2, 1, Cagliari, "Wednesday, May 2, 2012", "Mario Rigamonti "
Juventus, 1, 1, Lecce, "Wednesday, May 2, 2012", "Juventus Stadium (32,000)"
Lazio, 1, 1, Siena, "Wednesday, May 2, 2012", "Olimpico (32,000)"
Parma, 3, 1, Internazionale, "Wednesday, May 2, 2012", "Ennio Tardini (13,000)"
Chievo Verona, 0, 0, AS Roma, "Tuesday, May 1, 2012", "Marc'Antonio Bentegodi (7,000)"
Napoli, 2, 0, Palermo, "Tuesday, May 1, 2012", "San Paolo (41,000)"
Bologna, 3, 2, Genoa, "Sunday, April 29, 2012", "Renato Dall'Ara (23,483)"
Atalanta, 2, 0, Fiorentina, "Sunday, April 29, 2012", "Atleti Azzurri d'Italia (15,000)"
Internazionale, 2, 1, Cesena, "Sunday, April 29, 2012", "Giuseppe Meazza (43,000)"
Lecce, 1, 2, Parma, "Sunday, April 29, 2012", "Via del Mare (10,000)"
Novara, 0, 4, Juventus, "Sunday, April 29, 2012", "Silvio Piola "
Siena, 1, 4, AC Milan, "Sunday, April 29, 2012", "Artemio Franchi Montepaschi Arena (14,655)"
Udinese, 2, 0, Lazio, "Sunday, April 29, 2012", "Friuli (18,000)"
Cagliari, 0, 0, Chievo Verona, "Saturday, April 28, 2012", "Nereo Rocco "
Palermo, 1, 1, Catania, "Saturday, April 28, 2012", "Renzo Barbera (18,462)"
AS Roma, 2, 2, Napoli, "Saturday, April 28, 2012", "Olimpico (38,000)"
Novara, 2, 1, Lazio, "Wednesday, April 25, 2012", "Silvio Piola (11,000)"
AS Roma, 1, 2, Fiorentina, "Wednesday, April 25, 2012", "Olimpico (37,000)"
Lecce, 0, 2, Napoli, "Wednesday, April 25, 2012", "Via del Mare (10,000)"
Palermo, 1, 2, Parma, "Wednesday, April 25, 2012", "Renzo Barbera (20,000)"
Siena, 1, 1, Bologna, "Wednesday, April 25, 2012", "Artemio Franchi Montepaschi Arena (10,000)"
Udinese, 1, 3, Internazionale, "Wednesday, April 25, 2012", "Friuli (18,000)"
AC Milan, 1, 0, Genoa, "Wednesday, April 25, 2012", "Giuseppe Meazza (52,000)"
