home, homescore, awayscore, away, date, group
FC Porto, 3, 0, AS Monaco, "Wednesday, May 26, 2004", Final
Chelsea, 2, 2, AS Monaco, "Wednesday, May 5, 2004", Semi-finals
Deportivo La Coruña, 0, 1, FC Porto, "Tuesday, May 4, 2004", Semi-finals
FC Porto, 0, 0, Deportivo La CoruÃ±a, "Wednesday, April 21, 2004", Semi-finals
AS Monaco, 3, 1, Chelsea, "Tuesday, April 20, 2004", Semi-finals
Deportivo La CoruÃ±a, 4, 0, AC Milan, "Wednesday, April 7, 2004", Quarter-finals
Lyon, 2, 2, FC Porto, "Wednesday, April 7, 2004", Quarter-finals
Arsenal, 1, 2, Chelsea, "Tuesday, April 6, 2004", Quarter-finals
AS Monaco, 3, 1, Real Madrid, "Tuesday, April 6, 2004", Quarter-finals
Chelsea, 1, 1, Arsenal, "Wednesday, March 24, 2004", Quarter-finals
Real Madrid, 4, 2, AS Monaco, "Wednesday, March 24, 2004", Quarter-finals
AC Milan, 4, 1, Deportivo La CoruÃ±a, "Tuesday, March 23, 2004", Quarter-finals
FC Porto, 2, 0, Lyon, "Tuesday, March 23, 2004", Quarter-finals
AC Milan, 4, 1, Sparta Prague, "Wednesday, March 10, 2004", Round of 16
Arsenal, 2, 0, Celta Vigo, "Wednesday, March 10, 2004", Round of 16
AS Monaco, 1, 0, Lokomotiv Moscow, "Wednesday, March 10, 2004", Round of 16
Real Madrid, 1, 0, Bayern Munich, "Wednesday, March 10, 2004", Round of 16
Chelsea, 0, 0, VfB Stuttgart, "Tuesday, March 9, 2004", Round of 16
Juventus, 0, 1, Deportivo La CoruÃ±a, "Tuesday, March 9, 2004", Round of 16
Lyon, 1, 0, Real Sociedad, "Tuesday, March 9, 2004", Round of 16
Manchester United, 1, 1, FC Porto, "Tuesday, March 9, 2004", Round of 16
Deportivo La CoruÃ±a, 1, 0, Juventus, "Wednesday, February 25, 2004", Round of 16
FC Porto, 2, 1, Manchester United, "Wednesday, February 25, 2004", Round of 16
Real Sociedad, 0, 1, Lyon, "Wednesday, February 25, 2004", Round of 16
VfB Stuttgart, 0, 1, Chelsea, "Wednesday, February 25, 2004", Round of 16
Lokomotiv Moscow, 2, 1, AS Monaco, "Tuesday, February 24, 2004", Round of 16
Bayern Munich, 1, 1, Real Madrid, "Tuesday, February 24, 2004", Round of 16
Celta Vigo, 2, 3, Arsenal, "Tuesday, February 24, 2004", Round of 16
Sparta Prague, 0, 0, AC Milan, "Tuesday, February 24, 2004", Round of 16
Bayern Munich, 1, 0, Anderlecht, "Wednesday, December 10, 2003", Group A
Lyon, 3, 2, Celtic, "Wednesday, December 10, 2003", Group A
Arsenal, 2, 0, Lokomotiv Moscow, "Wednesday, December 10, 2003", Group B
Dynamo Kiev, 1, 1, Internazionale, "Wednesday, December 10, 2003", Group B
AEK Athens, 0, 0, AS Monaco, "Wednesday, December 10, 2003", Group C
PSV Eindhoven, 3, 2, Deportivo La CoruÃ±a, "Wednesday, December 10, 2003", Group C
Juventus, 7, 0, Olympiakos, "Wednesday, December 10, 2003", Group D
Real Sociedad, 1, 1, Galatasaray, "Wednesday, December 10, 2003", Group D
Manchester United, 2, 0, VfB Stuttgart, "Tuesday, December 9, 2003", Group E
Rangers, 1, 3, Panathinaikos, "Tuesday, December 9, 2003", Group E
Partizan Belgrade, 1, 1, Marseille, "Tuesday, December 9, 2003", Group F
Real Madrid, 1, 1, FC Porto, "Tuesday, December 9, 2003", Group F
Besiktas, 0, 2, Chelsea, "Tuesday, December 9, 2003", Group G
Sparta Prague, 1, 0, Lazio, "Tuesday, December 9, 2003", Group G
AC Milan, 1, 2, Celta Vigo, "Tuesday, December 9, 2003", Group H
Club Brugge, 2, 1, Ajax Amsterdam, "Tuesday, December 9, 2003", Group H
Galatasaray, 2, 0, Juventus, "Tuesday, December 2, 2003", Group D
Panathinaikos, 0, 1, Manchester United, "Wednesday, November 26, 2003", Group E
VfB Stuttgart, 1, 0, Rangers, "Wednesday, November 26, 2003", Group E
FC Porto, 2, 1, Partizan Belgrade, "Wednesday, November 26, 2003", Group F
Marseille, 1, 2, Real Madrid, "Wednesday, November 26, 2003", Group F
Chelsea, 0, 0, Sparta Prague, "Wednesday, November 26, 2003", Group G
Lazio, 1, 1, Besiktas, "Wednesday, November 26, 2003", Group G
Ajax Amsterdam, 0, 1, AC Milan, "Wednesday, November 26, 2003", Group H
Celta Vigo, 1, 1, Club Brugge, "Wednesday, November 26, 2003", Group H
Anderlecht, 1, 0, Lyon, "Tuesday, November 25, 2003", Group A
Celtic, 0, 0, Bayern Munich, "Tuesday, November 25, 2003", Group A
Lokomotiv Moscow, 3, 2, Dynamo Kiev, "Tuesday, November 25, 2003", Group B
Internazionale, 1, 5, Arsenal, "Tuesday, November 25, 2003", Group B
AS Monaco, 1, 1, PSV Eindhoven, "Tuesday, November 25, 2003", Group C
Deportivo La CoruÃ±a, 3, 0, AEK Athens, "Tuesday, November 25, 2003", Group C
Galatasaray, P ,  P, Juventus, "Tuesday, November 25, 2003", Group D
Olympiakos, 2, 2, Real Sociedad, "Tuesday, November 25, 2003", Group D
Bayern Munich, 1, 2, Lyon, "Wednesday, November 5, 2003", Group A
Celtic, 3, 1, Anderlecht, "Wednesday, November 5, 2003", Group A
Arsenal, 1, 0, Dynamo Kiev, "Wednesday, November 5, 2003", Group B
Internazionale, 1, 1, Lokomotiv Moscow, "Wednesday, November 5, 2003", Group B
AS Monaco, 8, 3, Deportivo La CoruÃ±a, "Wednesday, November 5, 2003", Group C
PSV Eindhoven, 2, 0, AEK Athens, "Wednesday, November 5, 2003", Group C
Olympiakos, 3, 0, Galatasaray, "Wednesday, November 5, 2003", Group D
Real Sociedad, 0, 0, Juventus, "Wednesday, November 5, 2003", Group D
Manchester United, 3, 0, Rangers, "Tuesday, November 4, 2003", Group E
Panathinaikos, 1, 3, VfB Stuttgart, "Tuesday, November 4, 2003", Group E
FC Porto, 1, 0, Marseille, "Tuesday, November 4, 2003", Group F
Partizan Belgrade, 0, 0, Real Madrid, "Tuesday, November 4, 2003", Group F
Besiktas, 1, 0, Sparta Prague, "Tuesday, November 4, 2003", Group G
Lazio, 0, 4, Chelsea, "Tuesday, November 4, 2003", Group G
Celta Vigo, 3, 2, Ajax Amsterdam, "Tuesday, November 4, 2003", Group H
Club Brugge, 0, 1, AC Milan, "Tuesday, November 4, 2003", Group H
Rangers, 0, 1, Manchester United, "Wednesday, October 22, 2003", Group E
VfB Stuttgart, 2, 0, Panathinaikos, "Wednesday, October 22, 2003", Group E
Marseille, 2, 3, FC Porto, "Wednesday, October 22, 2003", Group F
Real Madrid, 1, 0, Partizan Belgrade, "Wednesday, October 22, 2003", Group F
Chelsea, 2, 1, Lazio, "Wednesday, October 22, 2003", Group G
Sparta Prague, 2, 1, Besiktas, "Wednesday, October 22, 2003", Group G
AC Milan, 0, 1, Club Brugge, "Wednesday, October 22, 2003", Group H
Ajax Amsterdam, 1, 0, Celta Vigo, "Wednesday, October 22, 2003", Group H
