home,homescore,awayscore,away,date,location
Dundee United,1,1,St Mirren,"Wednesday, February 27, 2008","Tannadice Park (6,037)"
Falkirk,0,2,Hibernian,"Wednesday, February 27, 2008","Falkirk Stadium (5,928)"
Gretna,4,2,Kilmarnock,"Wednesday, February 27, 2008","Fir Park Stadium (1,545)"
Heart of Midlothian,0,4,Rangers,"Wednesday, February 27, 2008","Tynecastle Stadium (16,173)"
St Mirren,0,1,Celtic,"Sunday, February 24, 2008","St Mirren Park (7,213)"
Kilmarnock,3,1,Aberdeen,"Sunday, February 24, 2008","Rugby Park (6,113)"
Rangers,4,2,Gretna,"Sunday, February 24, 2008","Ibrox Stadium (48,375)"
Dundee United,0,0,Falkirk,"Saturday, February 23, 2008","Tannadice Park (6,835)"
Hibernian,2,0,Inverness Caledonian Thistle,"Saturday, February 23, 2008","Easter Road Stadium (12,552)"
Motherwell,0,1,Heart of Midlothian,"Saturday, February 23, 2008","Fir Park Stadium (5,925)"
Motherwell,3,1,Inverness Caledonian Thistle,"Wednesday, February 20, 2008","Fir Park Stadium (4,526)"
Kilmarnock,0,2,Rangers,"Sunday, February 17, 2008","Rugby Park (10,546)"
Hibernian,3,1,Aberdeen,"Sunday, February 17, 2008","Easter Road Stadium (13,825)"
Celtic,3,0,Heart of Midlothian,"Saturday, February 16, 2008","Celtic Park (56,738)"
Falkirk,4,0,St Mirren,"Saturday, February 16, 2008","Falkirk Stadium (5,803)"
Gretna,1,3,Motherwell,"Saturday, February 16, 2008","Fir Park Stadium (2,877)"
Inverness Caledonian Thistle,1,1,Dundee United,"Saturday, February 16, 2008","Caledonian Stadium (4,087)"
Hibernian,4,2,Gretna,"Wednesday, February 13, 2008","Easter Road Stadium (12,087)"
Aberdeen,1,5,Celtic,"Sunday, February 10, 2008","Pittodrie Stadium (14,651)"
Dundee United,1,1,Hibernian,"Saturday, February 9, 2008","Tannadice Park (6,635)"
Heart of Midlothian,2,0,Gretna,"Saturday, February 9, 2008","Tynecastle Stadium (16,138)"
Motherwell,1,0,Kilmarnock,"Saturday, February 9, 2008","Fir Park Stadium (6,618)"
Rangers,2,0,Falkirk,"Saturday, February 9, 2008","Ibrox Stadium (48,590)"
