home, homescore, awayscore, away, date, time
Man Utd, 0, 0, Coventry, Sunday 8 May 1994, 16:00
Aston Villa, 2, 1, Liverpool, Saturday 7 May 1994, 15:00
Blackburn, 0, 0, Ipswich, Saturday 7 May 1994, 15:00
Chelsea, 3, 2, Sheffield Utd, Saturday 7 May 1994, 15:00
Everton, 3, 2, Wimbledon, Saturday 7 May 1994, 15:00
Newcastle, 2, 0, Arsenal, Saturday 7 May 1994, 15:00
Norwich, 1, 1, Oldham, Saturday 7 May 1994, 15:00
Sheffield Wed, 1, 1, Man City, Saturday 7 May 1994, 15:00
Swindon, 0, 5, Leeds, Saturday 7 May 1994, 15:00
Spurs, 1, 2, QPR, Saturday 7 May 1994, 15:00
West Ham, 3, 3, Southampton, Saturday 7 May 1994, 15:00
Oldham, 0, 2, Spurs, Thursday 5 May 1994, 19:45
Man Utd, 2, 0, Southampton, Wednesday 4 May 1994, 20:00
Chelsea, 1, 2, Coventry, Wednesday 4 May 1994, 19:45
Leeds, 2, 2, Sheffield Wed, Tuesday 3 May 1994, 19:45
Oldham, 1, 1, Sheffield Utd, Tuesday 3 May 1994, 19:45
QPR, 0, 0, West Ham, Tuesday 3 May 1994, 19:45
Coventry, 2, 1, Blackburn, Monday 2 May 1994, 20:00
Ipswich, 1, 2, Man Utd, Sunday 1 May 1994, 16:00
Arsenal, 0, 2, West Ham, Saturday 30 April 1994, 15:00
Leeds, 3, 0, Everton, Saturday 30 April 1994, 15:00
Liverpool, 0, 1, Norwich, Saturday 30 April 1994, 15:00
Man City, 2, 2, Chelsea, Saturday 30 April 1994, 15:00
Oldham, 0, 0, Sheffield Wed, Saturday 30 April 1994, 15:00
QPR, 1, 3, Swindon, Saturday 30 April 1994, 15:00
Sheffield Utd, 2, 0, Newcastle, Saturday 30 April 1994, 15:00
Southampton, 4, 1, Aston Villa, Saturday 30 April 1994, 15:00
Wimbledon, 2, 1, Spurs, Saturday 30 April 1994, 15:00
Chelsea, 2, 0, Swindon, Wednesday 27 April 1994, 19:45
Leeds, 0, 2, Man Utd, Wednesday 27 April 1994, 19:45
Newcastle, 5, 1, Aston Villa, Wednesday 27 April 1994, 19:45
QPR, 1, 1, Arsenal, Wednesday 27 April 1994, 19:45
West Ham, 1, 2, Blackburn, Wednesday 27 April 1994, 19:45
Wimbledon, 3, 0, Oldham, Tuesday 26 April 1994, 20:00
Blackburn, 1, 1, QPR, Sunday 24 April 1994, 16:00
Man Utd, 2, 0, Man City, Saturday 23 April 1994, 17:00
Aston Villa, 1, 2, Arsenal, Saturday 23 April 1994, 15:00
Chelsea, 1, 1, Leeds, Saturday 23 April 1994, 15:00
Everton, 0, 0, Coventry, Saturday 23 April 1994, 15:00
Newcastle, 3, 2, Oldham, Saturday 23 April 1994, 15:00
Norwich, 0, 1, Sheffield Utd, Saturday 23 April 1994, 15:00
Sheffield Wed, 5, 0, Ipswich, Saturday 23 April 1994, 15:00
Swindon, 2, 4, Wimbledon, Saturday 23 April 1994, 15:00
Spurs, 3, 0, Southampton, Saturday 23 April 1994, 15:00
West Ham, 1, 2, Liverpool, Saturday 23 April 1994, 15:00
Arsenal, 1, 1, Wimbledon, Tuesday 19 April 1994, 19:45
Leeds, 2, 0, Spurs, Sunday 17 April 1994, 16:00
Wimbledon, 1, 0, Man Utd, Saturday 16 April 1994, 17:00
Arsenal, 1, 0, Chelsea, Saturday 16 April 1994, 15:00
Coventry, 1, 1, Sheffield Wed, Saturday 16 April 1994, 15:00
Ipswich, 1, 1, Swindon, Saturday 16 April 1994, 15:00
Liverpool, 0, 2, Newcastle, Saturday 16 April 1994, 15:00
Man City, 1, 1, Norwich, Saturday 16 April 1994, 15:00
Oldham, 1, 2, West Ham, Saturday 16 April 1994, 15:00
QPR, 2, 1, Everton, Saturday 16 April 1994, 15:00
Sheffield Utd, 1, 2, Aston Villa, Saturday 16 April 1994, 15:00
Southampton, 3, 1, Blackburn, Saturday 16 April 1994, 15:00
QPR, 1, 1, Chelsea, Wednesday 13 April 1994, 19:45
Blackburn, 1, 0, Aston Villa, Monday 11 April 1994, 20:00
Coventry, 1, 0, Spurs, Saturday 9 April 1994, 15:00
Man City, 2, 1, Newcastle, Saturday 9 April 1994, 15:00
Norwich, 4, 5, Southampton, Saturday 9 April 1994, 15:00
Sheffield Wed, 3, 1, QPR, Saturday 9 April 1994, 15:00
West Ham, 0, 1, Everton, Saturday 9 April 1994, 15:00
Liverpool, 1, 0, Ipswich, Saturday 9 April 1994, 11:30
Swindon, 0, 1, Sheffield Wed, Monday 4 April 1994, 20:00
Aston Villa, 0, 0, Norwich, Monday 4 April 1994, 15:00
Everton, 0, 3, Blackburn, Monday 4 April 1994, 15:00
Ipswich, 0, 2, Coventry, Monday 4 April 1994, 15:00
Man Utd, 3, 2, Oldham, Monday 4 April 1994, 15:00
Newcastle, 0, 0, Chelsea, Monday 4 April 1994, 15:00
QPR, 0, 4, Leeds, Monday 4 April 1994, 15:00
Sheffield Utd, 1, 1, Arsenal, Monday 4 April 1994, 15:00
Southampton, 0, 1, Man City, Monday 4 April 1994, 15:00
Spurs, 1, 4, West Ham, Monday 4 April 1994, 15:00
Wimbledon, 1, 1, Liverpool, Monday 4 April 1994, 15:00
Blackburn, 2, 0, Man Utd, Saturday 2 April 1994, 17:00
Arsenal, 1, 1, Swindon, Saturday 2 April 1994, 15:00
Chelsea, 2, 0, Southampton, Saturday 2 April 1994, 15:00
Coventry, 1, 2, Wimbledon, Saturday 2 April 1994, 15:00
Liverpool, 1, 2, Sheffield Utd, Saturday 2 April 1994, 15:00
Man City, 3, 0, Aston Villa, Saturday 2 April 1994, 15:00
Norwich, 1, 2, Spurs, Saturday 2 April 1994, 15:00
Oldham, 4, 1, QPR, Saturday 2 April 1994, 15:00
Sheffield Wed, 5, 1, Everton, Saturday 2 April 1994, 15:00
West Ham, 2, 1, Ipswich, Saturday 2 April 1994, 15:00
Leeds, 1, 1, Newcastle, Friday 1 April 1994, 19:45
Man Utd, 1, 0, Liverpool, Wednesday 30 March 1994, 20:00
Aston Villa, 0, 0, Everton, Wednesday 30 March 1994, 19:45
Sheffield Wed, 3, 1, Chelsea, Wednesday 30 March 1994, 19:45
Southampton, 1, 3, Oldham, Wednesday 30 March 1994, 19:30
Wimbledon, 4, 1, Blackburn, Tuesday 29 March 1994, 20:00
Ipswich, 2, 2, Man City, Tuesday 29 March 1994, 19:45
Newcastle, 3, 0, Norwich, Tuesday 29 March 1994, 19:45
Sheffield Utd, 3, 2, West Ham, Monday 28 March 1994, 20:00
Arsenal, 1, 0, Liverpool, Saturday 26 March 1994, 15:00
Blackburn, 3, 1, Swindon, Saturday 26 March 1994, 15:00
Chelsea, 2, 0, West Ham, Saturday 26 March 1994, 15:00
Coventry, 2, 1, Norwich, Saturday 26 March 1994, 15:00
Everton, 0, 1, Spurs, Saturday 26 March 1994, 15:00
Ipswich, 1, 3, QPR, Saturday 26 March 1994, 15:00
Oldham, 0, 0, Man City, Saturday 26 March 1994, 15:00
Sheffield Utd, 0, 0, Southampton, Saturday 26 March 1994, 15:00
Wimbledon, 1, 0, Leeds, Saturday 26 March 1994, 15:00
Newcastle, 2, 0, Ipswich, Wednesday 23 March 1994, 19:45
Arsenal, 2, 2, Man Utd, Tuesday 22 March 1994, 19:45
Norwich, 3, 0, Everton, Monday 21 March 1994, 20:00
Sheffield Wed, 1, 2, Blackburn, Sunday 20 March 1994, 16:00
Aston Villa, 1, 2, Oldham, Saturday 19 March 1994, 15:00
Leeds, 1, 0, Coventry, Saturday 19 March 1994, 15:00
Liverpool, 2, 1, Chelsea, Saturday 19 March 1994, 15:00
Man City, 0, 0, Sheffield Utd, Saturday 19 March 1994, 15:00
QPR, 1, 0, Wimbledon, Saturday 19 March 1994, 15:00
Southampton, 0, 4, Arsenal, Saturday 19 March 1994, 15:00
Swindon, 2, 2, Man Utd, Saturday 19 March 1994, 15:00
Spurs, 1, 1, Ipswich, Saturday 19 March 1994, 15:00
West Ham, 2, 4, Newcastle, Saturday 19 March 1994, 15:00
Man Utd, 5, 0, Sheffield Wed, Wednesday 16 March 1994, 20:00
Chelsea, 2, 0, Wimbledon, Wednesday 16 March 1994, 19:45
Leeds, 2, 0, Aston Villa, Wednesday 16 March 1994, 19:45
Sheffield Utd, 1, 1, QPR, Wednesday 16 March 1994, 19:45
Liverpool, 2, 1, Everton, Sunday 13 March 1994, 17:00
Sheffield Utd, 2, 2, Leeds, Sunday 13 March 1994, 12:00
Aston Villa, 0, 1, Ipswich, Saturday 12 March 1994, 15:00
Man City, 0, 1, Wimbledon, Saturday 12 March 1994, 15:00
Newcastle, 7, 1, Swindon, Saturday 12 March 1994, 15:00
Norwich, 3, 4, QPR, Saturday 12 March 1994, 15:00
Southampton, 1, 1, Sheffield Wed, Saturday 12 March 1994, 15:00
Coventry, 0, 1, Aston Villa, Sunday 6 March 1994, 16:00
Blackburn, 2, 0, Liverpool, Saturday 5 March 1994, 15:00
Everton, 2, 1, Oldham, Saturday 5 March 1994, 15:00
Ipswich, 1, 5, Arsenal, Saturday 5 March 1994, 15:00
Leeds, 0, 0, Southampton, Saturday 5 March 1994, 15:00
Man Utd, 0, 1, Chelsea, Saturday 5 March 1994, 15:00
QPR, 1, 1, Man City, Saturday 5 March 1994, 15:00
Sheffield Wed, 0, 1, Newcastle, Saturday 5 March 1994, 15:00
Swindon, 1, 1, West Ham, Saturday 5 March 1994, 15:00
Spurs, 2, 2, Sheffield Utd, Saturday 5 March 1994, 15:00
Wimbledon, 3, 1, Norwich, Saturday 5 March 1994, 15:00
Spurs, 1, 1, Aston Villa, Wednesday 2 March 1994, 19:45
Oldham, 1, 1, Leeds, Monday 28 February 1994, 20:00
Chelsea, 4, 3, Spurs, Sunday 27 February 1994, 17:00
Arsenal, 1, 0, Blackburn, Saturday 26 February 1994, 15:00
Liverpool, 1, 0, Coventry, Saturday 26 February 1994, 15:00
Man City, 2, 1, Swindon, Saturday 26 February 1994, 15:00
Norwich, 1, 1, Sheffield Wed, Saturday 26 February 1994, 15:00
Southampton, 1, 0, Wimbledon, Saturday 26 February 1994, 15:00
West Ham, 2, 2, Man Utd, Saturday 26 February 1994, 15:00
Newcastle, 4, 0, Coventry, Wednesday 23 February 1994, 19:45
Aston Villa, 0, 0, Man City, Tuesday 22 February 1994, 19:45
Ipswich, 3, 2, Sheffield Utd, Tuesday 22 February 1994, 19:45
Norwich, 2, 2, Blackburn, Tuesday 22 February 1994, 19:45
Blackburn, 1, 0, Newcastle, Saturday 19 February 1994, 15:00
Coventry, 4, 0, Man City, Saturday 19 February 1994, 15:00
Everton, 1, 1, Arsenal, Saturday 19 February 1994, 15:00
Leeds, 2, 0, Liverpool, Saturday 19 February 1994, 15:00
Swindon, 3, 3, Norwich, Saturday 19 February 1994, 15:00
Southampton, 4, 2, Liverpool, Monday 14 February 1994, 20:00
Norwich, 1, 1, Arsenal, Sunday 13 February 1994, 17:00
Aston Villa, 5, 0, Swindon, Saturday 12 February 1994, 15:00
Everton, 0, 0, Ipswich, Saturday 12 February 1994, 15:00
Man City, 0, 0, West Ham, Saturday 12 February 1994, 15:00
Oldham, 2, 1, Chelsea, Saturday 12 February 1994, 15:00
Sheffield Utd, 0, 0, Coventry, Saturday 12 February 1994, 15:00
Spurs, 0, 2, Blackburn, Saturday 12 February 1994, 15:00
Wimbledon, 4, 2, Newcastle, Saturday 12 February 1994, 15:00
Aston Villa, 1, 0, Leeds, Sunday 6 February 1994, 16:00
Blackburn, 3, 0, Wimbledon, Saturday 5 February 1994, 15:00
Everton, 4, 2, Chelsea, Saturday 5 February 1994, 15:00
Man City, 2, 1, Ipswich, Saturday 5 February 1994, 15:00
Norwich, 2, 2, Liverpool, Saturday 5 February 1994, 15:00
Oldham, 2, 1, Southampton, Saturday 5 February 1994, 15:00
QPR, 2, 3, Man Utd, Saturday 5 February 1994, 15:00
Swindon, 3, 1, Coventry, Saturday 5 February 1994, 15:00
Spurs, 1, 3, Sheffield Wed, Saturday 5 February 1994, 15:00
Coventry, 1, 0, Ipswich, Wednesday 2 February 1994, 19:45
West Ham, 3, 3, Norwich, Monday 24 January 1994, 20:00
Blackburn, 2, 1, Leeds, Sunday 23 January 1994, 16:00
Arsenal, 1, 1, Oldham, Saturday 22 January 1994, 15:00
Chelsea, 1, 1, Aston Villa, Saturday 22 January 1994, 15:00
Coventry, 0, 1, QPR, Saturday 22 January 1994, 15:00
Ipswich, 0, 0, Wimbledon, Saturday 22 January 1994, 15:00
Liverpool, 2, 1, Man City, Saturday 22 January 1994, 15:00
Man Utd, 1, 0, Everton, Saturday 22 January 1994, 15:00
Newcastle, 1, 2, Southampton, Saturday 22 January 1994, 15:00
Sheffield Wed, 3, 1, Sheffield Utd, Saturday 22 January 1994, 15:00
Swindon, 2, 1, Spurs, Saturday 22 January 1994, 15:00
QPR, 1, 2, Newcastle, Sunday 16 January 1994, 16:00
Aston Villa, 3, 1, West Ham, Saturday 15 January 1994, 15:00
Everton, 6, 2, Swindon, Saturday 15 January 1994, 15:00
Leeds, 0, 0, Ipswich, Saturday 15 January 1994, 15:00
Man City, 0, 0, Arsenal, Saturday 15 January 1994, 15:00
Norwich, 1, 1, Chelsea, Saturday 15 January 1994, 15:00
Oldham, 0, 3, Liverpool, Saturday 15 January 1994, 15:00
Sheffield Utd, 1, 2, Blackburn, Saturday 15 January 1994, 15:00
Southampton, 1, 0, Coventry, Saturday 15 January 1994, 15:00
Spurs, 0, 1, Man Utd, Saturday 15 January 1994, 15:00
Wimbledon, 2, 1, Sheffield Wed, Saturday 15 January 1994, 15:00
Liverpool, 3, 3, Man Utd, Tuesday 4 January 1994, 19:45
Norwich, 1, 2, Newcastle, Tuesday 4 January 1994, 19:45
Coventry, 1, 1, Swindon, Monday 3 January 1994, 19:45
Arsenal, 0, 0, QPR, Monday 3 January 1994, 15:00
Chelsea, 4, 2, Everton, Monday 3 January 1994, 15:00
Sheffield Wed, 1, 0, Spurs, Monday 3 January 1994, 15:00
West Ham, 0, 0, Sheffield Utd, Monday 3 January 1994, 15:00
Aston Villa, 0, 1, Blackburn, Saturday 1 January 1994, 15:00
Everton, 0, 1, West Ham, Saturday 1 January 1994, 15:00
Ipswich, 1, 2, Liverpool, Saturday 1 January 1994, 15:00
Newcastle, 2, 0, Man City, Saturday 1 January 1994, 15:00
QPR, 1, 2, Sheffield Wed, Saturday 1 January 1994, 15:00
Sheffield Utd, 2, 1, Oldham, Saturday 1 January 1994, 15:00
Southampton, 0, 1, Norwich, Saturday 1 January 1994, 15:00
Swindon, 1, 3, Chelsea, Saturday 1 January 1994, 15:00
Spurs, 1, 2, Coventry, Saturday 1 January 1994, 15:00
Wimbledon, 0, 3, Arsenal, Saturday 1 January 1994, 15:00
Man Utd, 0, 0, Leeds, Saturday 1 January 1994, 13:00
Arsenal, 3, 0, Sheffield Utd, Wednesday 29 December 1993, 19:45
Blackburn, 2, 0, Everton, Wednesday 29 December 1993, 19:45
Leeds, 1, 1, QPR, Wednesday 29 December 1993, 19:45
Norwich, 1, 2, Aston Villa, Wednesday 29 December 1993, 19:45
Sheffield Wed, 3, 3, Swindon, Wednesday 29 December 1993, 19:45
Oldham, 2, 5, Man Utd, Wednesday 29 December 1993, 19:30
Chelsea, 1, 0, Newcastle, Tuesday 28 December 1993, 15:00
Liverpool, 1, 1, Wimbledon, Tuesday 28 December 1993, 15:00
Man City, 1, 1, Southampton, Tuesday 28 December 1993, 15:00
West Ham, 1, 3, Spurs, Tuesday 28 December 1993, 15:00
Everton, 0, 2, Sheffield Wed, Monday 27 December 1993, 20:00
Ipswich, 1, 1, West Ham, Monday 27 December 1993, 15:00
QPR, 2, 0, Oldham, Monday 27 December 1993, 15:00
Spurs, 1, 3, Norwich, Monday 27 December 1993, 15:00
Southampton, 3, 1, Chelsea, Monday 27 December 1993, 12:00
Swindon, 0, 4, Arsenal, Monday 27 December 1993, 12:00
Man Utd, 1, 1, Blackburn, Sunday 26 December 1993, 16:00
Wimbledon, 1, 2, Coventry, Sunday 26 December 1993, 12:30
Sheffield Utd, 0, 0, Liverpool, Sunday 26 December 1993, 12:00
Newcastle, 1, 1, Leeds, Wednesday 22 December 1993, 19:45
Man Utd, 3, 1, Aston Villa, Sunday 19 December 1993, 16:00
Blackburn, 2, 0, Man City, Saturday 18 December 1993, 15:00
Coventry, 1, 1, Oldham, Saturday 18 December 1993, 15:00
Everton, 0, 2, Newcastle, Saturday 18 December 1993, 15:00
Ipswich, 2, 1, Norwich, Saturday 18 December 1993, 15:00
Leeds, 2, 1, Arsenal, Saturday 18 December 1993, 15:00
Sheffield Wed, 5, 0, West Ham, Saturday 18 December 1993, 15:00
Swindon, 2, 1, Southampton, Saturday 18 December 1993, 15:00
Spurs, 3, 3, Liverpool, Saturday 18 December 1993, 15:00
Wimbledon, 2, 0, Sheffield Utd, Saturday 18 December 1993, 15:00
Norwich, 2, 1, Leeds, Monday 13 December 1993, 20:00
Arsenal, 1, 0, Sheffield Wed, Sunday 12 December 1993, 16:00
Aston Villa, 0, 1, Wimbledon, Saturday 11 December 1993, 15:00
Chelsea, 1, 1, Ipswich, Saturday 11 December 1993, 15:00
Liverpool, 2, 2, Swindon, Saturday 11 December 1993, 15:00
Man City, 0, 2, Spurs, Saturday 11 December 1993, 15:00
Newcastle, 1, 1, Man Utd, Saturday 11 December 1993, 15:00
Oldham, 1, 2, Blackburn, Saturday 11 December 1993, 15:00
Sheffield Utd, 0, 0, Everton, Saturday 11 December 1993, 15:00
Southampton, 0, 1, QPR, Saturday 11 December 1993, 15:00
West Ham, 3, 2, Coventry, Saturday 11 December 1993, 15:00
Aston Villa, 2, 2, Sheffield Wed, Wednesday 8 December 1993, 19:45
Liverpool, 3, 2, QPR, Wednesday 8 December 1993, 19:45
Man City, 1, 0, Everton, Wednesday 8 December 1993, 19:45
West Ham, 0, 1, Leeds, Wednesday 8 December 1993, 19:45
Southampton, 0, 1, Ipswich, Wednesday 8 December 1993, 19:30
Sheffield Utd, 0, 3, Man Utd, Tuesday 7 December 1993, 19:45
Oldham, 2, 1, Swindon, Tuesday 7 December 1993, 19:30
Arsenal, 1, 1, Spurs, Monday 6 December 1993, 20:00
Blackburn, 2, 0, Chelsea, Sunday 5 December 1993, 16:00
Coventry, 1, 0, Arsenal, Saturday 4 December 1993, 15:00
Everton, 1, 0, Southampton, Saturday 4 December 1993, 15:00
Ipswich, 0, 0, Oldham, Saturday 4 December 1993, 15:00
Leeds, 3, 2, Man City, Saturday 4 December 1993, 15:00
Man Utd, 2, 2, Norwich, Saturday 4 December 1993, 15:00
QPR, 2, 2, Aston Villa, Saturday 4 December 1993, 15:00
Sheffield Wed, 3, 1, Liverpool, Saturday 4 December 1993, 15:00
Swindon, 0, 0, Sheffield Utd, Saturday 4 December 1993, 15:00
