home,homescore,awayscore,away,date,location
Rayo Vallecano,2,3,Real Madrid,"Saturday, November 2, 2013","Campo de Vallecas (13,900)"
Sevilla FC,0,1,Celta Vigo,"Saturday, November 2, 2013","Estadio Ramon Sanchez Pizjuan (32,000)"
Barcelona,1,0,Espanyol,"Friday, November 1, 2013","Camp Nou (79,977)"
Granada,1,2,Atletico Madrid,"Thursday, October 31, 2013","Los Carmenes (15,000)"
Villarreal,0,2,Getafe,"Thursday, October 31, 2013","El Madrigal (16,000)"
Athletic Bilbao,2,2,Elche,"Thursday, October 31, 2013","San Mames Barria (27,500)"
Real Betis,0,0,Levante,"Thursday, October 31, 2013","Benito Villamarin (30,000)"
Real Valladolid,2,2,Real Sociedad,"Wednesday, October 30, 2013","Nuevo Jose Zorilla Stadium (15,000)"
Valencia,1,2,Almeria,"Wednesday, October 30, 2013","Mestalla (27,000)"
Osasuna,3,1,Rayo Vallecano,"Wednesday, October 30, 2013","El Sadar (13,000)"
Real Madrid,7,3,Sevilla FC,"Wednesday, October 30, 2013","Santiago Bernabeu (70,000)"
Espanyol,0,0,Malaga,"Tuesday, October 29, 2013","Estadi Cornella-El Prat (17,500)"
Celta Vigo,0,3,Barcelona,"Tuesday, October 29, 2013","Balaidos (26,636)"
Getafe,0,1,Athletic Bilbao,"Monday, October 28, 2013","Coliseum Alfonso Perez (6,543)"
Sevilla FC,2,1,Osasuna,"Sunday, October 27, 2013","Estadio Ramon Sanchez Pizjuan (25,500)"
Villarreal,4,1,Valencia,"Sunday, October 27, 2013","El Madrigal (18,000)"
Real Sociedad,3,0,Almeria,"Sunday, October 27, 2013","Anoeta (270,000)"
Atletico Madrid,5,0,Real Betis,"Sunday, October 27, 2013","Vicente Calderon (42,000)"
Malaga,0,5,Celta Vigo,"Saturday, October 26, 2013","La Rosaleda (17,100)"
Barcelona,2,1,Real Madrid,"Saturday, October 26, 2013","Camp Nou (98,761)"
Elche,0,1,Granada,"Saturday, October 26, 2013","Manuel Martinez Valero (24,856)"
Levante,3,0,Espanyol,"Saturday, October 26, 2013","Ciutat de Valencia (8,500)"
Rayo Vallecano,0,3,Real Valladolid,"Friday, October 25, 2013","Campo de Vallecas (11,539)"
Celta Vigo,0,1,Levante,"Monday, October 21, 2013","Balaidos (7,000)"
Athletic Bilbao,2,0,Villarreal,"Monday, October 21, 2013","San Mames Barria (30,000)"
Granada,0,2,Getafe,"Sunday, October 20, 2013","Los Carmenes (13,319)"
Almeria,0,1,Rayo Vallecano,"Sunday, October 20, 2013","Juegos Mediterraneos (14,000)"
Real Betis,1,2,Elche,"Sunday, October 20, 2013","Benito Villamarin (24,000)"
Real Valladolid,2,2,Sevilla FC,"Sunday, October 20, 2013","Nuevo Jose Zorilla Stadium (14,200)"
Real Madrid,2,0,Malaga,"Saturday, October 19, 2013","Santiago Bernabeu (78,362)"
Valencia,1,2,Real Sociedad,"Saturday, October 19, 2013","Mestalla (35,000)"
Osasuna,0,0,Barcelona,"Saturday, October 19, 2013","El Sadar (16,123)"
Espanyol,1,0,Atletico Madrid,"Saturday, October 19, 2013","Estadi Cornella-El Prat (26,771)"
Atletico Madrid,2,1,Celta Vigo,"Sunday, October 6, 2013","Vicente Calderon (47,000)"
Sevilla FC,2,1,Almeria,"Sunday, October 6, 2013","Estadio Ramon Sanchez Pizjuan (31,123)"
Getafe,3,1,Real Betis,"Sunday, October 6, 2013","Coliseum Alfonso Perez (7,500)"
Athletic Bilbao,1,1,Valencia,"Sunday, October 6, 2013","San Mames Barria (35,700)"
Elche,2,1,Espanyol,"Saturday, October 5, 2013","Manuel Martinez Valero (22,603)"
Rayo Vallecano,1,0,Real Sociedad,"Saturday, October 5, 2013","Campo de Vallecas (9,000)"
Levante,2,3,Real Madrid,"Saturday, October 5, 2013","Ciutat de Valencia (24,102)"
Barcelona,4,1,Real Valladolid,"Saturday, October 5, 2013","Camp Nou (70,005)"
Villarreal,3,0,Granada,"Friday, October 4, 2013","El Madrigal (15,000)"
Malaga,0,1,Osasuna,"Friday, October 4, 2013","La Rosaleda (21,538)"
Granada,2,0,Athletic Bilbao,"Monday, September 30, 2013","Los Carmenes (10,000)"
Osasuna,0,1,Levante,"Sunday, September 29, 2013","El Sadar (9,000)"
Celta Vigo,0,1,Elche,"Sunday, September 29, 2013","Balaidos (15,000)"
Espanyol,0,2,Getafe,"Sunday, September 29, 2013","Estadi Cornella-El Prat (26,000)"
Real Betis,1,0,Villarreal,"Sunday, September 29, 2013","Benito Villamarin (35,000)"
Valencia,1,0,Rayo Vallecano,"Saturday, September 28, 2013","Mestalla (33,000)"
Almeria,0,2,Barcelona,"Saturday, September 28, 2013","Juegos Mediterraneos (20,000)"
Real Sociedad,1,1,Sevilla FC,"Saturday, September 28, 2013","Anoeta (28,000)"
Real Madrid,0,1,Atletico Madrid,"Saturday, September 28, 2013","Santiago Bernabeu (79,845)"
Real Valladolid,2,2,Malaga,"Friday, September 27, 2013","Nuevo Jose Zorilla Stadium (10,000)"
Athletic Bilbao,2,1,Real Betis,"Thursday, September 26, 2013","San Mames Barria (32,000)"
Getafe,2,0,Celta Vigo,"Thursday, September 26, 2013","Coliseum Alfonso Perez (6,000)"
Villarreal,2,1,Espanyol,"Thursday, September 26, 2013","El Madrigal (19,000)"
Granada,0,1,Valencia,"Wednesday, September 25, 2013","Los Carmenes (15,000)"
Sevilla FC,4,1,Rayo Vallecano,"Wednesday, September 25, 2013","Estadio Ramon Sanchez Pizjuan (25,800)"
Elche,1,2,Real Madrid,"Wednesday, September 25, 2013","Manuel Martinez Valero (28,754)"
