home,homescore,awayscore,away,date,location
Heerenveen,2,4,Ajax Amsterdam,"Saturday, March 29, 2008","Abe Lenstra Stadion (25,400)"
Excelsior,2,1,VVV Venlo,"Saturday, March 29, 2008","Stad Rotterdam Verzekeringen Stadion (3,638)"
NEC Nijmegen,0,0,PSV Eindhoven,"Saturday, March 29, 2008","De Goffert (12,500)"
SC Heracles Almelo,0,0,Roda JC Kerkrade,"Saturday, March 29, 2008","Polman Stadion (8,250)"
De Graafschap,1,1,FC Groningen,"Friday, March 28, 2008","De Vijverberg (12,500)"
VVV Venlo,1,2,NEC Nijmegen,"Sunday, March 23, 2008","De Koel (6,000)"
Sparta Rotterdam,3,2,Feyenoord Rotterdam,"Sunday, March 23, 2008","ENECO (10,894)"
Twente Enschede,2,1,Ajax Amsterdam,"Sunday, March 23, 2008","Arke Stadion (13,250)"
Willem II Tilburg,2,1,SC Heracles Almelo,"Sunday, March 23, 2008","Willem II  (13,500)"
Heerenveen,4,3,Roda JC Kerkrade,"Saturday, March 22, 2008","Abe Lenstra Stadion (25,600)"
PSV Eindhoven,3,0,FC Groningen,"Saturday, March 22, 2008","Philipsstadion (34,200)"
AZ Alkmaar,0,0,De Graafschap,"Saturday, March 22, 2008","DSB Stadion (16,332)"
Excelsior,0,2,FC Utrecht,"Saturday, March 22, 2008","Stad Rotterdam Verzekeringen Stadion (3,560)"
Vitesse Arnhem,3,3,NAC Breda,"Friday, March 21, 2008","Gelredome (22,780)"
PSV Eindhoven,0,0,Ajax Amsterdam,"Wednesday, March 19, 2008","Philipsstadion (35,600)"
Ajax Amsterdam,4,1,Willem II Tilburg,"Sunday, March 16, 2008","Amsterdam ArenA (49,918)"
FC Utrecht,2,2,AZ Alkmaar,"Sunday, March 16, 2008","Nieuwe Galgenwaard (21,000)"
NEC Nijmegen,4,2,Sparta Rotterdam,"Sunday, March 16, 2008","De Goffert (12,500)"
Roda JC Kerkrade,1,1,PSV Eindhoven,"Sunday, March 16, 2008","Parkstad Limburg Stadion (18,480)"
NAC Breda,2,0,Excelsior,"Saturday, March 15, 2008","Fujifilm  (16,428)"
De Graafschap,0,0,SC Heracles Almelo,"Saturday, March 15, 2008","De Vijverberg (12,500)"
Feyenoord Rotterdam,4,1,VVV Venlo,"Saturday, March 15, 2008","De Kuip Stadion  (40,000)"
Twente Enschede,4,3,Vitesse Arnhem,"Saturday, March 15, 2008","Arke Stadion (13,200)"
FC Groningen,0,1,Heerenveen,"Friday, March 14, 2008","Euroborg (19,798)"
AZ Alkmaar,0,1,Feyenoord Rotterdam,"Wednesday, March 12, 2008","DSB Stadion (16,652)"
VVV Venlo,0,2,Twente Enschede,"Tuesday, March 11, 2008","De Koel (5,862)"
Sparta Rotterdam,4,1,Roda JC Kerkrade,"Sunday, March 9, 2008","ENECO (9,846)"
Heerenveen,3,0,NAC Breda,"Saturday, March 8, 2008","Abe Lenstra Stadion (25,200)"
Willem II Tilburg,1,2,FC Groningen,"Saturday, March 8, 2008","Willem II  (11,700)"
Excelsior,1,2,Vitesse Arnhem,"Saturday, March 8, 2008","Stad Rotterdam Verzekeringen Stadion (3,240)"
NEC Nijmegen,3,1,De Graafschap,"Saturday, March 8, 2008","De Goffert (12,500)"
SC Heracles Almelo,2,1,FC Utrecht,"Friday, March 7, 2008","Polman Stadion (8,500)"
Ajax Amsterdam,4,0,Excelsior,"Sunday, March 2, 2008","Amsterdam ArenA (49,000)"
FC Groningen,1,2,SC Heracles Almelo,"Sunday, March 2, 2008","Euroborg (19,606)"
FC Utrecht,3,1,PSV Eindhoven,"Sunday, March 2, 2008","Nieuwe Galgenwaard (21,700)"
