home,homescore,awayscore,away,date,location
FC Utrecht,1,2,Twente Enschede,"Sunday, May 26, 2013","Galgenwaard (24,500)"
Twente Enschede,0,2,FC Utrecht,"Thursday, May 23, 2013","De Grolsch Veste (20,500)"
FC Utrecht,2,1,Heerenveen,"Sunday, May 19, 2013","Galgenwaard (19,222)"
Twente Enschede,3,2,FC Groningen,"Sunday, May 19, 2013","De Grolsch Veste (22,500)"
FC Groningen,0,1,Twente Enschede,"Thursday, May 16, 2013","Euroborg (11,178)"
Heerenveen,0,1,FC Utrecht,"Thursday, May 16, 2013","Abe Lenstra Stadion (19,000)"
FC Groningen,0,2,Ajax Amsterdam,"Sunday, May 12, 2013","Euroborg "
FC Utrecht,3,0,SC Heracles Almelo,"Sunday, May 12, 2013","Galgenwaard (17,000)"
Feyenoord Rotterdam,1,0,NAC Breda,"Sunday, May 12, 2013","De Kuip Stadion  (45,000)"
NEC Nijmegen,1,2,RKC Waalwijk,"Sunday, May 12, 2013","De Goffert (11,600)"
PEC Zwolle,4,2,ADO Den Haag,"Sunday, May 12, 2013","FC Zwolle Stadion (11,066)"
Roda JC Kerkrade,1,0,Heerenveen,"Sunday, May 12, 2013","Parkstad Limburg Stadion (13,365)"
Twente Enschede,3,1,PSV Eindhoven,"Sunday, May 12, 2013","De Grolsch Veste "
Vitesse Arnhem,0,1,VVV Venlo,"Sunday, May 12, 2013","Gelredome "
Willem II Tilburg,2,0,AZ Alkmaar,"Sunday, May 12, 2013","Willem II Stadion "
ADO Den Haag,2,0,Feyenoord Rotterdam,"Sunday, May 5, 2013","Kyocera Stadion (10,000)"
Ajax Amsterdam,5,0,Willem II Tilburg,"Sunday, May 5, 2013","Amsterdam ArenA (51,963)"
AZ Alkmaar,4,0,PEC Zwolle,"Sunday, May 5, 2013","AFAS Stadion (16,000)"
Heerenveen,2,4,FC Utrecht,"Sunday, May 5, 2013","Abe Lenstra Stadion (24,000)"
NAC Breda,5,3,Roda JC Kerkrade,"Sunday, May 5, 2013","Rat Verlegh Stadion (17,500)"
PSV Eindhoven,4,2,NEC Nijmegen,"Sunday, May 5, 2013","Philips Stadion (33,700)"
RKC Waalwijk,3,2,Vitesse Arnhem,"Sunday, May 5, 2013","Mandemakers Stadion (6,000)"
SC Heracles Almelo,1,1,Twente Enschede,"Sunday, May 5, 2013","Polman Stadion (8,500)"
VVV Venlo,0,0,FC Groningen,"Sunday, May 5, 2013","Seacon Stadion (5,001)"
Twente Enschede,5,2,NEC Nijmegen,"Sunday, April 28, 2013","De Grolsch Veste "
Feyenoord Rotterdam,6,0,SC Heracles Almelo,"Sunday, April 28, 2013","De Kuip Stadion  (47,000)"
PEC Zwolle,1,2,FC Utrecht,"Sunday, April 28, 2013","FC Zwolle Stadion (11,324)"
Vitesse Arnhem,3,1,Willem II Tilburg,"Sunday, April 28, 2013","Gelredome "
PSV Eindhoven,5,2,FC Groningen,"Saturday, April 27, 2013","Philips Stadion (34,000)"
ADO Den Haag,1,1,VVV Venlo,"Saturday, April 27, 2013","Kyocera Stadion "
Roda JC Kerkrade,3,1,RKC Waalwijk,"Saturday, April 27, 2013","Parkstad Limburg Stadion "
NAC Breda,0,2,Ajax Amsterdam,"Saturday, April 27, 2013","Rat Verlegh Stadion (19,000)"
Heerenveen,0,4,AZ Alkmaar,"Friday, April 26, 2013","Abe Lenstra Stadion (24,000)"
VVV Venlo,2,2,Twente Enschede,"Sunday, April 21, 2013","Seacon Stadion "
FC Utrecht,3,0,NAC Breda,"Sunday, April 21, 2013","Galgenwaard (17,000)"
NEC Nijmegen,1,3,PEC Zwolle,"Sunday, April 21, 2013","De Goffert (12,000)"
Feyenoord Rotterdam,2,0,Vitesse Arnhem,"Sunday, April 21, 2013","De Kuip Stadion  "
FC Groningen,2,1,ADO Den Haag,"Saturday, April 20, 2013","Euroborg "
SC Heracles Almelo,4,0,RKC Waalwijk,"Saturday, April 20, 2013","Polman Stadion (8,468)"
Willem II Tilburg,2,1,Roda JC Kerkrade,"Saturday, April 20, 2013","Willem II Stadion (11,000)"
AZ Alkmaar,1,3,PSV Eindhoven,"Saturday, April 20, 2013","AFAS Stadion (16,000)"
Ajax Amsterdam,1,1,Heerenveen,"Friday, April 19, 2013","Amsterdam ArenA (51,701)"
Heerenveen,3,2,Willem II Tilburg,"Sunday, April 14, 2013","Abe Lenstra Stadion (25,306)"
AZ Alkmaar,6,0,FC Utrecht,"Sunday, April 14, 2013","AFAS Stadion (16,000)"
RKC Waalwijk,1,1,Feyenoord Rotterdam,"Sunday, April 14, 2013","Mandemakers Stadion (7,000)"
PSV Eindhoven,2,3,Ajax Amsterdam,"Sunday, April 14, 2013","Philips Stadion (34,500)"
Roda JC Kerkrade,3,3,Vitesse Arnhem,"Saturday, April 13, 2013","Parkstad Limburg Stadion (14,452)"
NAC Breda,2,0,NEC Nijmegen,"Saturday, April 13, 2013","Rat Verlegh Stadion "
SC Heracles Almelo,0,2,FC Groningen,"Saturday, April 13, 2013","Polman Stadion "
ADO Den Haag,1,3,Twente Enschede,"Saturday, April 13, 2013","Kyocera Stadion "
VVV Venlo,0,2,PEC Zwolle,"Friday, April 12, 2013","Seacon Stadion (7,100)"
FC Utrecht,1,0,ADO Den Haag,"Sunday, April 7, 2013","Galgenwaard (17,000)"
FC Groningen,3,1,Heerenveen,"Sunday, April 7, 2013","Euroborg "
NEC Nijmegen,1,1,AZ Alkmaar,"Sunday, April 7, 2013","De Goffert (12,200)"
Ajax Amsterdam,4,0,SC Heracles Almelo,"Sunday, April 7, 2013","Amsterdam ArenA (51,947)"
Vitesse Arnhem,3,0,NAC Breda,"Saturday, April 6, 2013","Gelredome (20,857)"
PEC Zwolle,1,1,RKC Waalwijk,"Saturday, April 6, 2013","FC Zwolle Stadion (11,324)"
Twente Enschede,2,0,Roda JC Kerkrade,"Saturday, April 6, 2013","De Grolsch Veste (29,200)"
Willem II Tilburg,1,3,PSV Eindhoven,"Saturday, April 6, 2013","Willem II Stadion (11,000)"
Feyenoord Rotterdam,1,0,VVV Venlo,"Friday, April 5, 2013","De Kuip Stadion  "
Roda JC Kerkrade,2,2,PSV Eindhoven,"Sunday, March 31, 2013","Parkstad Limburg Stadion (13,000)"
RKC Waalwijk,4,0,ADO Den Haag,"Sunday, March 31, 2013","Mandemakers Stadion (6,000)"
SC Heracles Almelo,1,2,AZ Alkmaar,"Sunday, March 31, 2013","Polman Stadion (8,481)"
Vitesse Arnhem,2,1,PEC Zwolle,"Sunday, March 31, 2013","Gelredome (18,000)"
Ajax Amsterdam,4,1,NEC Nijmegen,"Sunday, March 31, 2013","Amsterdam ArenA (51,376)"
Twente Enschede,1,1,NAC Breda,"Saturday, March 30, 2013","De Grolsch Veste (29,250)"
FC Utrecht,2,1,VVV Venlo,"Saturday, March 30, 2013","Galgenwaard (19,245)"
Willem II Tilburg,1,2,FC Groningen,"Saturday, March 30, 2013","Willem II Stadion (11,450)"
Heerenveen,2,0,Feyenoord Rotterdam,"Saturday, March 30, 2013","Abe Lenstra Stadion (26,100)"
NAC Breda,4,0,Willem II Tilburg,"Sunday, March 17, 2013","Rat Verlegh Stadion (16,500)"
AZ Alkmaar,2,3,Ajax Amsterdam,"Sunday, March 17, 2013","AFAS Stadion "
Feyenoord Rotterdam,2,1,FC Utrecht,"Sunday, March 17, 2013","De Kuip Stadion  "
FC Groningen,0,3,Twente Enschede,"Sunday, March 17, 2013","Euroborg (21,000)"
NEC Nijmegen,1,3,Heerenveen,"Saturday, March 16, 2013","De Goffert (11,503)"
PSV Eindhoven,2,0,RKC Waalwijk,"Saturday, March 16, 2013","Philips Stadion "
VVV Venlo,0,2,SC Heracles Almelo,"Saturday, March 16, 2013","Seacon Stadion "
ADO Den Haag,0,4,Vitesse Arnhem,"Saturday, March 16, 2013","Kyocera Stadion (10,000)"
PEC Zwolle,3,2,Roda JC Kerkrade,"Friday, March 15, 2013","FC Zwolle Stadion "
Roda JC Kerkrade,0,1,Feyenoord Rotterdam,"Sunday, March 10, 2013","Parkstad Limburg Stadion (16,200)"
Ajax Amsterdam,3,0,PEC Zwolle,"Sunday, March 10, 2013","Amsterdam ArenA "
FC Utrecht,1,0,RKC Waalwijk,"Sunday, March 10, 2013","Galgenwaard "
Twente Enschede,0,1,Vitesse Arnhem,"Sunday, March 10, 2013","De Grolsch Veste (29,700)"
Heerenveen,2,1,PSV Eindhoven,"Saturday, March 9, 2013","Abe Lenstra Stadion (24,984)"
SC Heracles Almelo,1,0,NEC Nijmegen,"Saturday, March 9, 2013","Polman Stadion (8,405)"
Willem II Tilburg,1,0,VVV Venlo,"Saturday, March 9, 2013","Willem II Stadion "
AZ Alkmaar,1,1,ADO Den Haag,"Saturday, March 9, 2013","AFAS Stadion (16,000)"
FC Groningen,1,1,NAC Breda,"Friday, March 8, 2013","Euroborg "
NEC Nijmegen,0,3,Feyenoord Rotterdam,"Sunday, March 3, 2013","De Goffert (12,500)"
RKC Waalwijk,2,1,AZ Alkmaar,"Sunday, March 3, 2013","Mandemakers Stadion (6,000)"
Roda JC Kerkrade,4,1,FC Groningen,"Sunday, March 3, 2013","Parkstad Limburg Stadion (13,112)"
ADO Den Haag,3,1,SC Heracles Almelo,"Sunday, March 3, 2013","Kyocera Stadion (11,147)"
NAC Breda,1,2,Heerenveen,"Saturday, March 2, 2013","Rat Verlegh Stadion (17,000)"
PEC Zwolle,2,0,Willem II Tilburg,"Saturday, March 2, 2013","FC Zwolle Stadion (10,220)"
PSV Eindhoven,2,0,VVV Venlo,"Saturday, March 2, 2013","Philips Stadion (32,600)"
Twente Enschede,0,2,Ajax Amsterdam,"Saturday, March 2, 2013","De Grolsch Veste (30,000)"
Vitesse Arnhem,2,0,FC Utrecht,"Friday, March 1, 2013","Gelredome (18,608)"
Feyenoord Rotterdam,2,1,PSV Eindhoven,"Sunday, February 24, 2013","De Kuip Stadion  "
Ajax Amsterdam,1,1,ADO Den Haag,"Sunday, February 24, 2013","Amsterdam ArenA "
FC Utrecht,4,0,Roda JC Kerkrade,"Sunday, February 24, 2013","Galgenwaard "
AZ Alkmaar,0,1,NAC Breda,"Sunday, February 24, 2013","AFAS Stadion (16,089)"
SC Heracles Almelo,3,5,Vitesse Arnhem,"Saturday, February 23, 2013","Polman Stadion (8,460)"
FC Groningen,1,0,PEC Zwolle,"Saturday, February 23, 2013","Euroborg "
VVV Venlo,1,0,RKC Waalwijk,"Saturday, February 23, 2013","Seacon Stadion (5,950)"
Heerenveen,2,1,Twente Enschede,"Saturday, February 23, 2013","Abe Lenstra Stadion "
Willem II Tilburg,2,3,NEC Nijmegen,"Friday, February 22, 2013","Willem II Stadion (10,650)"
Vitesse Arnhem,2,0,FC Groningen,"Sunday, February 17, 2013","Gelredome (17,087)"
ADO Den Haag,2,1,Heerenveen,"Sunday, February 17, 2013","Kyocera Stadion (10,000)"
PEC Zwolle,3,2,Feyenoord Rotterdam,"Sunday, February 17, 2013","FC Zwolle Stadion (11,324)"
RKC Waalwijk,0,2,Ajax Amsterdam,"Sunday, February 17, 2013","Mandemakers Stadion (6,000)"
Twente Enschede,1,1,Willem II Tilburg,"Saturday, February 16, 2013","De Grolsch Veste (29,000)"
NAC Breda,1,1,SC Heracles Almelo,"Saturday, February 16, 2013","Rat Verlegh Stadion (17,000)"
Roda JC Kerkrade,2,2,AZ Alkmaar,"Saturday, February 16, 2013","Parkstad Limburg Stadion (13,474)"
PSV Eindhoven,2,1,FC Utrecht,"Saturday, February 16, 2013","Philips Stadion (33,000)"
NEC Nijmegen,1,2,VVV Venlo,"Friday, February 15, 2013","De Goffert (12,200)"
FC Utrecht,0,3,NEC Nijmegen,"Sunday, February 10, 2013","Galgenwaard (18,000)"
Ajax Amsterdam,1,1,Roda JC Kerkrade,"Sunday, February 10, 2013","Amsterdam ArenA (51,088)"
Feyenoord Rotterdam,3,1,AZ Alkmaar,"Sunday, February 10, 2013","De Kuip Stadion  (45,000)"
