home, homescore, awayscore, away, date, group
AJ Auxerre, 2, 3, Stade Rennes, "Saturday, May 4, 2002", "Abbe-Deschamps (17,000)"
Guingamp, 1, 0, Troyes, "Saturday, May 4, 2002", "Du Roudourou (15,573)"
Lille, 1, 0, Paris Saint-Germain , "Saturday, May 4, 2002", "Grimonprez-Jooris (20,380)"
Lyon, 3, 1, Lens, "Saturday, May 4, 2002", "Municipal De Gerland (41,841)"
Marseille, 1, 0, Montpellier, "Saturday, May 4, 2002", "Velodrome (45,000)"
Metz, 1, 1, Lorient, "Saturday, May 4, 2002", "Saint-Symphorien  (25,697)"
Nantes, 2, 1, Bordeaux, "Saturday, May 4, 2002", "La Beaujoire (35,000)"
Sedan, 0, 2, Bastia, "Saturday, May 4, 2002", "Louis-Duguaguez (21,228)"
Sochaux, 3, 0, AS Monaco, "Saturday, May 4, 2002", "Auguste-Bonal "
AS Monaco, 1, 1, AJ Auxerre, "Saturday, April 27, 2002", "Stade Louis II (10,000)"
Bordeaux, 0, 1, Lyon, "Saturday, April 27, 2002", "Parc Lescure (32,700)"
Lens, 4, 1, Guingamp, "Saturday, April 27, 2002", "Felix-Bollaert  (40,000)"
Lorient, 2, 2, Marseille, "Saturday, April 27, 2002", "Yves-Allainmat (15,990)"
Montpellier, 3, 0, Nantes, "Saturday, April 27, 2002", "La Mosson (15,000)"
Paris Saint-Germain , 2, 0, Metz, "Saturday, April 27, 2002", "Parc de Princes (42,425)"
Sochaux, 0, 0, Lille, "Saturday, April 27, 2002", "Auguste-Bonal (16,000)"
Stade Rennes, 1, 0, Sedan, "Saturday, April 27, 2002", "Route de Lorient  (21,000)"
Troyes, 3, 0, Bastia, "Saturday, April 27, 2002", "Stade l'Aube (15,800)"
Sedan, 3, 3, AJ Auxerre, "Sunday, April 21, 2002", "Louis-Duguaguez (16,000)"
AJ Auxerre, 2, 0, Sochaux, "Saturday, April 13, 2002", "Abbe-Deschamps (10,000)"
Bastia, 3, 1, Lens, "Saturday, April 13, 2002", "Armand-Cesari-Furiani Stadium (9,000)"
Guingamp, 2, 1, Bordeaux, "Saturday, April 13, 2002", "Du Roudourou (15,500)"
Lille, 1, 1, AS Monaco, "Saturday, April 13, 2002", "Grimonprez-Jooris (18,596)"
Lyon, 0, 0, Montpellier, "Saturday, April 13, 2002", "Municipal De Gerland "
Metz, 3, 1, Stade Rennes, "Saturday, April 13, 2002", "Saint-Symphorien  (17,769)"
Nantes, 2, 0, Lorient, "Saturday, April 13, 2002", "La Beaujoire (35,500)"
Sedan, 0, 0, Troyes, "Saturday, April 13, 2002", "Louis-Duguaguez (18,184)"
Marseille, 1, 0, Paris Saint-Germain , "Friday, April 12, 2002", "Velodrome (58,000)"
Metz, 2, 3, Sedan, "Tuesday, April 9, 2002", "Saint-Symphorien  (19,153)"
AJ Auxerre, 0, 1, Lyon, "Sunday, April 7, 2002", "Abbe-Deschamps (19,458)"
Lens, 0, 0, Troyes, "Saturday, April 6, 2002", "Felix-Bollaert  (44,475)"
AS Monaco, 2, 2, Metz, "Saturday, April 6, 2002", "Stade Louis II (5,000)"
Bordeaux, 2, 1, Bastia, "Saturday, April 6, 2002", "Parc Lescure (25,345)"
Lorient, 1, 1, Sedan, "Saturday, April 6, 2002", "Yves-Allainmat (12,850)"
Montpellier, 2, 1, Guingamp, "Saturday, April 6, 2002", "La Mosson (10,500)"
Paris Saint-Germain , 1, 1, Nantes, "Saturday, April 6, 2002", "Parc de Princes (44,000)"
Sochaux, 3, 0, Marseille, "Saturday, April 6, 2002", "Auguste-Bonal (19,907)"
Stade Rennes, 4, 0, Lille, "Saturday, April 6, 2002", "Route de Lorient  (20,587)"
Marseille, 3, 0, AJ Auxerre, "Monday, April 1, 2002", "Velodrome (33,000)"
Marseille, 1, 1, AS Monaco, "Sunday, March 24, 2002", "Velodrome (50,000)"
Guingamp, 0, 1, Paris Saint-Germain , "Saturday, March 23, 2002", "Du Roudourou (16,400)"
Bastia, 3, 0, Montpellier, "Saturday, March 23, 2002", "Armand-Cesari-Furiani Stadium (8,000)"
Lille, 2, 3, AJ Auxerre, "Saturday, March 23, 2002", "Grimonprez-Jooris (19,468)"
Lyon, 2, 0, Lorient, "Saturday, March 23, 2002", "Municipal De Gerland "
Metz, 2, 0, Sochaux, "Saturday, March 23, 2002", "Saint-Symphorien  (15,569)"
Nantes, 3, 1, Stade Rennes, "Saturday, March 23, 2002", "La Beaujoire (35,500)"
Sedan, 1, 1, Lens, "Saturday, March 23, 2002", "Louis-Duguaguez (22,800)"
Troyes, 2, 0, Bordeaux, "Saturday, March 23, 2002", "Stade l'Aube (16,000)"
Bordeaux, 2, 1, Lens, "Sunday, March 17, 2002", "Parc Lescure (30,000)"
Stade Rennes, 2, 1, Marseille, "Saturday, March 16, 2002", "Route de Lorient  (27,000)"
