home, homescore, awayscore, away, date, group
Espanyol, 3, 0, Malaga, "Sunday, May 31, 2009", "Estadio Olimpico de Montjuic (35,000)"
Numancia, 0, 2, Sevilla FC, "Sunday, May 31, 2009", "Los Pajaritos (7,000)"
Osasuna, 2, 1, Real Madrid, "Sunday, May 31, 2009", "Reyno de Navarra (35,000)"
Racing Santander, 1, 1, Getafe, "Sunday, May 31, 2009", "El Sardinero (18,000)"
Real Betis, 1, 1, Real Valladolid, "Sunday, May 31, 2009", "Benito Villamarín (55,000)"
Sporting Gijon, 2, 1, Recreativo Huelva, "Sunday, May 31, 2009", "El Molinón (25,885)"
Atletico Madrid, 3, 0, Almeria, "Saturday, May 30, 2009", "Vicente Calderón (52,000)"
Deportivo La Coruña, 1, 1, Barcelona, "Saturday, May 30, 2009", "Municipal de Riazor (31,000)"
Mallorca, 2, 3, Villarreal, "Saturday, May 30, 2009", "Iberostar Estadi (13,000)"
Valencia, 2, 0, Athletic Bilbao, "Saturday, May 30, 2009", "Mestalla (30,000)"
Real Madrid, 1, 3, Mallorca, "Sunday, May 24, 2009", "Santiago Bernabéu (50,000)"
Almeria, 0, 3, Espanyol, "Saturday, May 23, 2009", "Juegos Mediterráneos (15,000)"
Athletic Bilbao, 1, 4, Atletico Madrid, "Saturday, May 23, 2009", "San Mamés (37,000)"
Barcelona, 0, 1, Osasuna, "Saturday, May 23, 2009", "Camp Nou (60,000)"
Getafe, 1, 0, Numancia, "Saturday, May 23, 2009", "Coliseum Alfonso Pérez (16,000)"
Malaga, 1, 1, Real Betis, "Saturday, May 23, 2009", "La Rosaleda (22,000)"
Real Valladolid, 1, 2, Sporting Gijon, "Saturday, May 23, 2009", "José Zorrilla (18,812)"
Recreativo Huelva, 0, 1, Racing Santander, "Saturday, May 23, 2009", "Nuevo Colombino (17,000)"
Sevilla FC, 1, 0, Deportivo La Coruña, "Saturday, May 23, 2009", "Ramón Sánchez Pizjuán (42,000)"
Villarreal, 3, 1, Valencia, "Saturday, May 23, 2009", "El Madrigal (25,000)"
Espanyol, 1, 0, Athletic Bilbao, "Sunday, May 17, 2009", "Estadio Olimpico de Montjuic (30,200)"
Numancia, 1, 0, Recreativo Huelva, "Sunday, May 17, 2009", "Los Pajaritos (6,558)"
Racing Santander, 3, 2, Real Valladolid, "Sunday, May 17, 2009", "El Sardinero (18,000)"
Real Betis, 2, 0, Almeria, "Sunday, May 17, 2009", "Benito Villamarín (35,000)"
Sporting Gijon, 2, 1, Malaga, "Sunday, May 17, 2009", "El Molinón (22,000)"
Mallorca, 2, 1, Barcelona, "Sunday, May 17, 2009", "Iberostar Estadi (20,000)"
Atletico Madrid, 1, 0, Valencia, "Sunday, May 17, 2009", "Vicente Calderón (50,000)"
Deportivo La Coruña, 1, 1, Getafe, "Saturday, May 16, 2009", "Municipal de Riazor (18,000)"
Osasuna, 0, 0, Sevilla FC, "Saturday, May 16, 2009", "Reyno de Navarra (15,200)"
Villarreal, 3, 2, Real Madrid, "Saturday, May 16, 2009", "El Madrigal (18,668)"
Almeria, 3, 1, Sporting Gijon, "Sunday, May 10, 2009", "Juegos Mediterráneos (15,000)"
Getafe, 3, 0, Osasuna, "Sunday, May 10, 2009", "Coliseum Alfonso Pérez (12,000)"
Malaga, 1, 0, Racing Santander, "Sunday, May 10, 2009", "La Rosaleda (23,000)"
Real Valladolid, 0, 0, Numancia, "Sunday, May 10, 2009", "José Zorrilla (17,250)"
Recreativo Huelva, 1, 2, Deportivo La Coruña, "Sunday, May 10, 2009", "Nuevo Colombino (19,000)"
Barcelona, 3, 3, Villarreal, "Sunday, May 10, 2009", "Camp Nou (95,000)"
Atletico Madrid, 3, 2, Espanyol, "Sunday, May 10, 2009", "Vicente Calderón (40,000)"
Athletic Bilbao, 1, 0, Real Betis, "Saturday, May 9, 2009", "San Mamés (37,000)"
Sevilla FC, 3, 1, Mallorca, "Saturday, May 9, 2009", "Ramón Sánchez Pizjuán (43,500)"
Valencia, 3, 0, Real Madrid, "Saturday, May 9, 2009", "Mestalla (54,000)"
Deportivo La Coruña, 1, 0, Real Valladolid, "Sunday, May 3, 2009", "Municipal de Riazor (20,000)"
Mallorca, 2, 1, Getafe, "Sunday, May 3, 2009", "Iberostar Estadi (16,000)"
Osasuna, 1, 2, Recreativo Huelva, "Sunday, May 3, 2009", "Reyno de Navarra (18,000)"
Racing Santander, 0, 2, Almeria, "Sunday, May 3, 2009", "El Sardinero (15,000)"
Sporting Gijon, 1, 1, Athletic Bilbao, "Sunday, May 3, 2009", "El Molinón (25,000)"
Espanyol, 3, 0, Valencia, "Sunday, May 3, 2009", "Estadio Olimpico de Montjuic (30,000)"
Real Betis, 0, 2, Atletico Madrid, "Sunday, May 3, 2009", "Benito Villamarín (27,500)"
Real Madrid, 2, 6, Barcelona, "Saturday, May 2, 2009", "Santiago Bernabéu (80,000)"
Numancia, 2, 0, Malaga, "Saturday, May 2, 2009", "Los Pajaritos (5,000)"
Villarreal, 0, 2, Sevilla FC, "Saturday, May 2, 2009", "El Madrigal (24,000)"
Athletic Bilbao, 2, 1, Racing Santander, "Sunday, April 26, 2009", "San Mamés (38,000)"
Espanyol, 2, 0, Real Betis, "Sunday, April 26, 2009", "Estadio Olimpico de Montjuic (25,000)"
Getafe, 1, 2, Villarreal, "Sunday, April 26, 2009", "Coliseum Alfonso Pérez (10,000)"
Real Valladolid, 0, 0, Osasuna, "Sunday, April 26, 2009", "José Zorrilla (15,271)"
Recreativo Huelva, 2, 4, Mallorca, "Sunday, April 26, 2009", "Nuevo Colombino (18,000)"
Sevilla FC, 2, 4, Real Madrid, "Sunday, April 26, 2009", "Ramón Sánchez Pizjuán (45,000)"
