home, homescore, awayscore, away, date, group
Atalanta, 2, 2, Chievo Verona, "Sunday, May 19, 2013", "Atleti Azzurri d'Italia (15,000)"
Bologna, 0, 0, Genoa, "Sunday, May 19, 2013", "Renato Dall'Ara (21,000)"
AS Roma, 2, 1, Napoli, "Sunday, May 19, 2013", "Stadio Olimpico (41,000)"
Cagliari, 1, 0, Lazio, "Sunday, May 19, 2013", "Sant'Elia (9,000)"
Internazionale, 2, 5, Udinese, "Sunday, May 19, 2013", "Stadio Giuseppe Meazza (46,000)"
Palermo, 1, 3, Parma, "Sunday, May 19, 2013", "Renzo Barbera (18,000)"
Siena, 1, 2, AC Milan, "Sunday, May 19, 2013", "Artemio Franchi (9,500)"
Torino, 2, 2, Catania, "Sunday, May 19, 2013", "Stadio Olimpico (15,000)"
US Pescara, 1, 5, Fiorentina, "Sunday, May 19, 2013", "Stadio Adriatico (13,000)"
Sampdoria, 3, 2, Juventus, "Saturday, May 18, 2013", "Comunale Luigi Ferraris (23,000)"
Chievo Verona, 1, 1, Torino, "Sunday, May 12, 2013", "Bentegodi (10,000)"
Fiorentina, 1, 0, Palermo, "Sunday, May 12, 2013", "Artemio Franchi (28,023)"
Genoa, 0, 0, Internazionale, "Sunday, May 12, 2013", "Luigi Ferraris (25,000)"
Lazio, 2, 0, Sampdoria, "Sunday, May 12, 2013", "Stadio Olimpico "
Napoli, 2, 1, Siena, "Sunday, May 12, 2013", "San Paolo (52,433)"
Udinese, 2, 1, Atalanta, "Sunday, May 12, 2013", "Stadio Friuli (18,800)"
Parma, 0, 2, Bologna, "Sunday, May 12, 2013", "Ennio Tardini (14,700)"
AC Milan, 0, 0, AS Roma, "Sunday, May 12, 2013", "San Siro (50,983)"
Juventus, 1, 1, Cagliari, "Saturday, May 11, 2013", "Juventus Stadium (38,883)"
Catania, 1, 0, US Pescara, "Saturday, May 11, 2013", "Angelo Massimino (15,613)"
US Pescara, 0, 4, AC Milan, "Wednesday, May 8, 2013", "Stadio Adriatico (12,000)"
Atalanta, 0, 1, Juventus, "Wednesday, May 8, 2013", "Atleti Azzurri d'Italia (14,000)"
Bologna, 0, 3, Napoli, "Wednesday, May 8, 2013", "Renato Dall'Ara (21,000)"
Cagliari, 0, 1, Parma, "Wednesday, May 8, 2013", "Sant'Elia (9,000)"
Internazionale, 1, 3, Lazio, "Wednesday, May 8, 2013", "Stadio Giuseppe Meazza (47,000)"
Palermo, 2, 3, Udinese, "Wednesday, May 8, 2013", "Renzo Barbera (17,000)"
Sampdoria, 1, 1, Catania, "Wednesday, May 8, 2013", "Luigi  Ferraris (21,445)"
Siena, 0, 1, Fiorentina, "Wednesday, May 8, 2013", "Artemio Franchi (9,000)"
Torino, 0, 0, Genoa, "Wednesday, May 8, 2013", "Stadio Olimpico (15,000)"
AS Roma, 0, 1, Chievo Verona, "Tuesday, May 7, 2013", "Stadio Olimpico (34,620)"
Udinese, 3, 1, Sampdoria, "Sunday, May 5, 2013", "Stadio Friuli (15,000)"
AC Milan, 1, 0, Torino, "Sunday, May 5, 2013", "San Siro "
Catania, 3, 0, Siena, "Sunday, May 5, 2013", "Angelo Massimino "
Genoa, 4, 1, US Pescara, "Sunday, May 5, 2013", "Luigi Ferraris "
Juventus, 1, 0, Palermo, "Sunday, May 5, 2013", "Juventus Stadium (38,000)"
Lazio, 6, 0, Bologna, "Sunday, May 5, 2013", "Stadio Olimpico "
Parma, 2, 0, Atalanta, "Sunday, May 5, 2013", "Ennio Tardini "
Napoli, 3, 1, Internazionale, "Sunday, May 5, 2013", "San Paolo (39,000)"
Chievo Verona, 0, 0, Cagliari, "Saturday, May 4, 2013", "Bentegodi (7,000)"
Fiorentina, 0, 1, AS Roma, "Saturday, May 4, 2013", "Artemio Franchi (33,399)"
AS Roma, 4, 0, Siena, "Sunday, April 28, 2013", "Stadio Olimpico (41,949)"
Chievo Verona, 0, 1, Genoa, "Sunday, April 28, 2013", "Bentegodi (10,000)"
Palermo, 1, 0, Internazionale, "Sunday, April 28, 2013", "Renzo Barbera (26,597)"
Parma, 0, 0, Lazio, "Sunday, April 28, 2013", "Ennio Tardini (11,095)"
Sampdoria, 0, 3, Fiorentina, "Sunday, April 28, 2013", "Luigi  Ferraris (23,000)"
Torino, 0, 2, Juventus, "Sunday, April 28, 2013", "Stadio Olimpico (27,000)"
AC Milan, 4, 2, Catania, "Sunday, April 28, 2013", "San Siro (37,853)"
Atalanta, 1, 1, Bologna, "Saturday, April 27, 2013", "Atleti Azzurri d'Italia (14,000)"
Cagliari, 0, 1, Udinese, "Saturday, April 27, 2013", "Sant'Elia (3,000)"
US Pescara, 0, 3, Napoli, "Saturday, April 27, 2013", "Stadio Adriatico (17,569)"
Internazionale, 1, 0, Parma, "Sunday, April 21, 2013", "Stadio Giuseppe Meazza (49,000)"
AS Roma, 1, 1, US Pescara, "Sunday, April 21, 2013", "Stadio Olimpico (40,000)"
Bologna, 1, 1, Sampdoria, "Sunday, April 21, 2013", "Renato Dall'Ara "
Catania, 1, 1, Palermo, "Sunday, April 21, 2013", "Angelo Massimino (13,000)"
Fiorentina, 4, 3, Torino, "Sunday, April 21, 2013", "Artemio Franchi (24,000)"
Napoli, 3, 2, Cagliari, "Sunday, April 21, 2013", "San Paolo (38,000)"
Siena, 0, 1, Chievo Verona, "Sunday, April 21, 2013", "Artemio Franchi (9,500)"
Juventus, 1, 0, AC Milan, "Sunday, April 21, 2013", "Juventus Stadium (40,474)"
Genoa, 1, 1, Atalanta, "Saturday, April 20, 2013", "Luigi Ferraris (20,000)"
Udinese, 1, 0, Lazio, "Saturday, April 20, 2013", "Stadio Friuli (16,000)"
Lazio, 0, 2, Juventus, "Monday, April 15, 2013", "Stadio Olimpico (45,000)"
Palermo, 1, 1, Bologna, "Sunday, April 14, 2013", "Renzo Barbera (26,069)"
Cagliari, 2, 0, Internazionale, "Sunday, April 14, 2013", "Sant'Elia (10,000)"
Chievo Verona, 0, 0, Catania, "Sunday, April 14, 2013", "Bentegodi (10,000)"
Genoa, 1, 1, Sampdoria, "Sunday, April 14, 2013", "Luigi Ferraris (19,000)"
Parma, 0, 3, Udinese, "Sunday, April 14, 2013", "Ennio Tardini (13,000)"
Torino, 1, 2, AS Roma, "Sunday, April 14, 2013", "Stadio Olimpico (17,129)"
AC Milan, 1, 1, Napoli, "Sunday, April 14, 2013", "San Siro (42,000)"
US Pescara, 2, 3, Siena, "Saturday, April 13, 2013", "Stadio Adriatico "
Atalanta, 0, 2, Fiorentina, "Saturday, April 13, 2013", "Atleti Azzurri d'Italia "
AS Roma, 1, 1, Lazio, "Monday, April 8, 2013", "Stadio Olimpico "
Fiorentina, 2, 2, AC Milan, "Sunday, April 7, 2013", "Artemio Franchi (23,000)"
Catania, 0, 0, Cagliari, "Sunday, April 7, 2013", "Angelo Massimino "
Sampdoria, 1, 3, Palermo, "Sunday, April 7, 2013", "Luigi  Ferraris "
Siena, 0, 0, Parma, "Sunday, April 7, 2013", "Artemio Franchi (9,000)"
Udinese, 3, 1, Chievo Verona, "Sunday, April 7, 2013", "Stadio Friuli (11,500)"
Internazionale, 3, 4, Atalanta, "Sunday, April 7, 2013", "Stadio Giuseppe Meazza "
Napoli, 2, 0, Genoa, "Sunday, April 7, 2013", "San Paolo (38,000)"
Juventus, 2, 1, US Pescara, "Saturday, April 6, 2013", "Juventus Stadium (41,000)"
Bologna, 2, 2, Torino, "Saturday, April 6, 2013", "Renato Dall'Ara "
Sampdoria, 0, 2, Internazionale, "Wednesday, April 3, 2013", "Luigi  Ferraris (22,000)"
Atalanta, 0, 0, Sampdoria, "Saturday, March 30, 2013", "Atleti Azzurri d'Italia "
Cagliari, 2, 1, Fiorentina, "Saturday, March 30, 2013", "Sant'Elia "
Genoa, 2, 2, Siena, "Saturday, March 30, 2013", "Luigi Ferraris "
Internazionale, 1, 2, Juventus, "Saturday, March 30, 2013", "Stadio Giuseppe Meazza "
Lazio, 2, 1, Catania, "Saturday, March 30, 2013", "Stadio Olimpico "
Palermo, 2, 0, AS Roma, "Saturday, March 30, 2013", "Renzo Barbera "
Parma, 3, 0, US Pescara, "Saturday, March 30, 2013", "Ennio Tardini "
Udinese, 0, 0, Bologna, "Saturday, March 30, 2013", "Stadio Friuli "
Chievo Verona, 0, 1, AC Milan, "Saturday, March 30, 2013", "Bentegodi (10,000)"
Torino, 3, 5, Napoli, "Saturday, March 30, 2013", "Stadio Olimpico (14,000)"
Siena, 0, 0, Cagliari, "Sunday, March 17, 2013", "Artemio Franchi (8,639)"
AC Milan, 2, 0, Palermo, "Sunday, March 17, 2013", "San Siro (44,000)"
Fiorentina, 3, 2, Genoa, "Sunday, March 17, 2013", "Artemio Franchi (21,319)"
