home, homescore, awayscore, away, date, stadium
Arminia Bielefeld, 0, 1, Hannover 96, "Saturday, May 24, 2003"," Almstadion (26,601)"
Borussia Dortmund, 1, 1, Energie Cottbus, "Saturday, May 24, 2003"," Westfalenstadion (68,600)"
Borussia Monchengladbach, 4, 1, Werder Bremen, "Saturday, May 24, 2003"," Stadium Bokelberg (34,500)"
Hamburg SV, 2, 0, Hansa Rostock, "Saturday, May 24, 2003"," Volksparkstadion (55,500)"
Hertha Berlin, 2, 0, Kaiserslautern, "Saturday, May 24, 2003"," Olympia Stadium (52,000)"
Nurnberg, 0, 1, Bayer Leverkusen, "Saturday, May 24, 2003"," Frankenstadion (31,182)"
Schalke 04, 1, 0, Bayern Munich, "Saturday, May 24, 2003"," Arena Auf Schalke (60,886)"
TSV 1860 Munich, 2, 4, VfL Bochum, "Saturday, May 24, 2003"," Olympiastadion (25,000)"
VfB Stuttgart, 2, 0, VfL Wolfsburg, "Saturday, May 24, 2003"," Gottlieb-Daimler Stadion (49,000)"
Bayer Leverkusen, 3, 0, TSV 1860 Munich, "Saturday, May 17, 2003"," BayArena (22,500)"
Bayern Munich, 2, 1, VfB Stuttgart, "Saturday, May 17, 2003"," Olympiastadion (63,000)"
Energie Cottbus, 2, 1, Nurnberg, "Saturday, May 17, 2003"," Stadion der Freundschaft (12,192)"
Hannover 96, 2, 2, Borussia Monchengladbach, "Saturday, May 17, 2003"," Niedersachsenstadion (31,878)"
Hansa Rostock, 3, 0, Arminia Bielefeld, "Saturday, May 17, 2003"," Ostseestadion (25,000)"
Kaiserslautern, 0, 0, Borussia Dortmund, "Saturday, May 17, 2003"," Fritz-Walter Stadion (40,232)"
VfL Bochum, 1, 1, Hamburg SV, "Saturday, May 17, 2003"," Ruhr Stadium (33,300)"
VfL Wolfsburg, 2, 0, Hertha Berlin, "Saturday, May 17, 2003"," VFL-Stadion (25,436)"
Werder Bremen, 2, 1, Schalke 04, "Saturday, May 17, 2003"," Weserstadion (39,000)"
Arminia Bielefeld, 1, 3, VfL Bochum, "Sunday, May 11, 2003"," Almstadion (24,408)"
Schalke 04, 0, 2, Hannover 96, "Sunday, May 11, 2003"," Arena Auf Schalke (60,886)"
Borussia Dortmund, 4, 1, Nurnberg, "Saturday, May 10, 2003"," Westfalenstadion (67,600)"
Borussia Monchengladbach, 3, 0, Hansa Rostock, "Saturday, May 10, 2003"," Stadium Bokelberg (31,300)"
Hamburg SV, 4, 1, Bayer Leverkusen, "Saturday, May 10, 2003"," Volksparkstadion (51,629)"
Hertha Berlin, 3, 6, Bayern Munich, "Saturday, May 10, 2003"," Olympia Stadium (59,000)"
TSV 1860 Munich, 3, 0, Energie Cottbus, "Saturday, May 10, 2003"," Olympiastadion (18,500)"
VfB Stuttgart, 0, 1, Werder Bremen, "Saturday, May 10, 2003"," Gottlieb-Daimler Stadion (48,000)"
VfL Wolfsburg, 2, 2, Kaiserslautern, "Saturday, May 10, 2003"," VFL-Stadion (21,136)"
Bayer Leverkusen, 3, 1, Arminia Bielefeld, "Sunday, May 4, 2003"," BayArena (22,500)"
Hansa Rostock, 3, 1, Schalke 04, "Sunday, May 4, 2003"," Ostseestadion (24,700)"
Bayern Munich, 1, 0, Kaiserslautern, "Saturday, May 3, 2003"," Olympiastadion (63,000)"
Borussia Dortmund, 2, 2, VfL Wolfsburg, "Saturday, May 3, 2003"," Westfalenstadion (67,000)"
Energie Cottbus, 0, 0, Hamburg SV, "Saturday, May 3, 2003"," Stadion der Freundschaft (12,448)"
Hannover 96, 1, 2, VfB Stuttgart, "Saturday, May 3, 2003"," Niedersachsenstadion (30,724)"
Nurnberg, 1, 2, TSV 1860 Munich, "Saturday, May 3, 2003"," Frankenstadion (35,558)"
VfL Bochum, 1, 1, Borussia Monchengladbach, "Saturday, May 3, 2003"," Ruhr Stadium (32,645)"
Werder Bremen, 4, 2, Hertha Berlin, "Saturday, May 3, 2003"," Weserstadion (35,000)"
Arminia Bielefeld, 2, 2, Energie Cottbus, "Sunday, April 27, 2003"," Almstadion (21,477)"
Kaiserslautern, 1, 0, Werder Bremen, "Sunday, April 27, 2003"," Fritz-Walter Stadion (39,700)"
Borussia Monchengladbach, 2, 2, Bayer Leverkusen, "Saturday, April 26, 2003"," Stadium Bokelberg (34,500)"
Hamburg SV, 4, 0, Nurnberg, "Saturday, April 26, 2003"," Volksparkstadion (43,627)"
Hertha Berlin, 2, 0, Hannover 96, "Saturday, April 26, 2003"," Olympia Stadium (40,000)"
Schalke 04, 1, 2, VfL Bochum, "Saturday, April 26, 2003"," Arena Auf Schalke (60,886)"
TSV 1860 Munich, 0, 0, Borussia Dortmund, "Saturday, April 26, 2003"," Olympiastadion (35,000)"
VfB Stuttgart, 1, 1, Hansa Rostock, "Saturday, April 26, 2003"," Gottlieb-Daimler Stadion (38,000)"
VfL Wolfsburg, 0, 2, Bayern Munich, "Saturday, April 26, 2003"," VFL-Stadion (28,500)"
Bayer Leverkusen, 1, 3, Schalke 04, "Sunday, April 20, 2003"," BayArena (22,500)"
VfL Bochum, 3, 1, VfB Stuttgart, "Sunday, April 20, 2003"," Ruhr Stadium (25,177)"
Borussia Dortmund, 1, 0, Bayern Munich, "Saturday, April 19, 2003"," Westfalenstadion (68,600)"
Energie Cottbus, 1, 1, Borussia Monchengladbach, "Saturday, April 19, 2003"," Stadion der Freundschaft (13,241)"
Hannover 96, 2, 1, Kaiserslautern, "Saturday, April 19, 2003"," Niedersachsenstadion (30,573)"
Hansa Rostock, 0, 1, Hertha Berlin, "Saturday, April 19, 2003"," Ostseestadion (32,500)"
Nurnberg, 0, 0, Arminia Bielefeld, "Saturday, April 19, 2003"," Frankenstadion (21,400)"
TSV 1860 Munich, 1, 1, Hamburg SV, "Saturday, April 19, 2003"," Olympiastadion (22,000)"
Werder Bremen, 0, 1, VfL Wolfsburg, "Saturday, April 19, 2003"," Weserstadion (33,300)"
Schalke 04, 3, 0, Energie Cottbus, "Sunday, April 13, 2003"," Arena Auf Schalke (60,413)"
VfL Wolfsburg, 1, 0, Hannover 96, "Sunday, April 13, 2003"," VFL-Stadion (30,000)"
Arminia Bielefeld, 2, 1, TSV 1860 Munich, "Saturday, April 12, 2003"," Almstadion (21,070)"
Bayern Munich, 0, 1, Werder Bremen, "Saturday, April 12, 2003"," Olympiastadion (63,000)"
Borussia Monchengladbach, 2, 0, Nurnberg, "Saturday, April 12, 2003"," Stadium Bokelberg (30,000)"
Hamburg SV, 1, 1, Borussia Dortmund, "Saturday, April 12, 2003"," Volksparkstadion (55,500)"
Hertha Berlin, 1, 0, VfL Bochum, "Saturday, April 12, 2003"," Olympia Stadium (37,000)"
Kaiserslautern, 1, 0, Hansa Rostock, "Saturday, April 12, 2003"," Fritz-Walter Stadion (38,522)"
VfB Stuttgart, 3, 0, Bayer Leverkusen, "Saturday, April 12, 2003"," Gottlieb-Daimler Stadion (44,500)"
Hansa Rostock, 1, 0, VfL Wolfsburg, "Sunday, April 6, 2003"," Ostseestadion (13,500)"
TSV 1860 Munich, 2, 0, Borussia Monchengladbach, "Sunday, April 6, 2003"," Olympiastadion (20,000)"
Bayer Leverkusen, 4, 1, Hertha Berlin, "Saturday, April 5, 2003"," BayArena (22,500)"
