home, homescore, awayscore, away, date, group
AC Ajaccio, 3, 1, Metz, "Sunday, May 23, 2004", "Francois-Coty  (5,000)"
Bastia, 0, 1, Paris Saint-Germain , "Sunday, May 23, 2004", "Armand-Cesari-Furiani Stadium (7,500)"
Le Mans, 3, 0, Lens, "Sunday, May 23, 2004", " (14,000)"
Lyon, 3, 0, Lille, "Sunday, May 23, 2004", "Municipal De Gerland (36,000)"
Marseille, 2, 1, Guingamp, "Sunday, May 23, 2004", "Velodrome (43,000)"
Nantes, 3, 1, Sochaux, "Sunday, May 23, 2004", "La Beaujoire (25,600)"
Nice, 1, 1, AJ Auxerre, "Sunday, May 23, 2004", "Municipal du Ray (10,850)"
Stade Rennes, 4, 0, Montpellier, "Sunday, May 23, 2004", "Route de Lorient  (21,309)"
Strasbourg, 0, 0, Toulouse, "Sunday, May 23, 2004", "La Meinau (12,453)"
Bordeaux, 1, 3, AS Monaco, "Friday, May 21, 2004", "Parc Lescure (32,397)"
AJ Auxerre, 2, 0, Nantes, "Saturday, May 15, 2004", "Abbe-Deschamps (17,000)"
AS Monaco, 1, 4, Stade Rennes, "Saturday, May 15, 2004", "Stade Louis II (10,000)"
Guingamp, 1, 2, Nice, "Saturday, May 15, 2004", "Du Roudourou (16,003)"
Lens, 2, 0, AC Ajaccio, "Saturday, May 15, 2004", "Felix-Bollaert  (34,642)"
Lille, 2, 0, Bastia, "Saturday, May 15, 2004", "Grimonprez-Jooris (15,000)"
Metz, 3, 1, Bordeaux, "Saturday, May 15, 2004", "Saint-Symphorien  (22,059)"
Montpellier, 1, 2, Strasbourg, "Saturday, May 15, 2004", "La Mosson (10,000)"
Paris Saint-Germain , 1, 0, Lyon, "Saturday, May 15, 2004", "Parc de Princes (42,502)"
Sochaux, 3, 0, Le Mans, "Saturday, May 15, 2004", "Auguste-Bonal (17,387)"
Toulouse, 2, 1, Marseille, "Saturday, May 15, 2004", "Stadium Municipal (36,000)"
AC Ajaccio, 1, 0, Sochaux, "Wednesday, May 12, 2004", "Francois-Coty  (5,000)"
