home, homescore, awayscore, away, date, time
Aston Villa, 1, 0, Arsenal, Sunday 10 May 1998, 16:00
Barnsley, 0, 2, Man Utd, Sunday 10 May 1998, 16:00
Blackburn, 1, 0, Newcastle, Sunday 10 May 1998, 16:00
Chelsea, 2, 0, Bolton, Sunday 10 May 1998, 16:00
Crystal Palace, 1, 0, Sheffield Wed, Sunday 10 May 1998, 16:00
Derby, 1, 0, Liverpool, Sunday 10 May 1998, 16:00
Everton, 1, 1, Coventry, Sunday 10 May 1998, 16:00
Leeds, 1, 1, Wimbledon, Sunday 10 May 1998, 16:00
Spurs, 1, 1, Southampton, Sunday 10 May 1998, 16:00
West Ham, 4, 3, Leicester, Sunday 10 May 1998, 16:00
Liverpool, 4, 0, Arsenal, Wednesday 6 May 1998, 19:45
Crystal Palace, 3, 3, West Ham, Tuesday 5 May 1998, 19:45
Man Utd, 3, 0, Leeds, Monday 4 May 1998, 17:00
Arsenal, 4, 0, Everton, Sunday 3 May 1998, 16:00
Bolton, 5, 2, Crystal Palace, Saturday 2 May 1998, 15:00
Coventry, 2, 0, Blackburn, Saturday 2 May 1998, 15:00
Leicester, 1, 0, Barnsley, Saturday 2 May 1998, 15:00
Liverpool, 5, 0, West Ham, Saturday 2 May 1998, 15:00
Newcastle, 3, 1, Chelsea, Saturday 2 May 1998, 15:00
Sheffield Wed, 1, 3, Aston Villa, Saturday 2 May 1998, 15:00
Southampton, 0, 2, Derby, Saturday 2 May 1998, 15:00
Wimbledon, 2, 6, Spurs, Saturday 2 May 1998, 15:00
Arsenal, 1, 0, Derby, Wednesday 29 April 1998, 20:00
Chelsea, 0, 1, Blackburn, Wednesday 29 April 1998, 19:45
Coventry, 0, 0, Wimbledon, Wednesday 29 April 1998, 19:45
Leicester, 0, 0, Newcastle, Wednesday 29 April 1998, 19:45
Crystal Palace, 0, 3, Man Utd, Monday 27 April 1998, 20:00
Derby, 0, 4, Leicester, Sunday 26 April 1998, 16:00
Aston Villa, 1, 3, Bolton, Saturday 25 April 1998, 15:00
Barnsley, 0, 2, Arsenal, Saturday 25 April 1998, 15:00
Blackburn, 0, 0, Wimbledon, Saturday 25 April 1998, 15:00
Chelsea, 4, 1, Liverpool, Saturday 25 April 1998, 15:00
Everton, 1, 3, Sheffield Wed, Saturday 25 April 1998, 15:00
Leeds, 3, 3, Coventry, Saturday 25 April 1998, 15:00
Spurs, 2, 0, Newcastle, Saturday 25 April 1998, 15:00
West Ham, 2, 4, Southampton, Saturday 25 April 1998, 15:00
Coventry, 1, 1, Liverpool, Sunday 19 April 1998, 16:00
Chelsea, 1, 0, Sheffield Wed, Sunday 19 April 1998, 15:00
Arsenal, 5, 0, Wimbledon, Saturday 18 April 1998, 15:00
Barnsley, 1, 1, Spurs, Saturday 18 April 1998, 15:00
Bolton, 2, 3, Leeds, Saturday 18 April 1998, 15:00
Crystal Palace, 3, 1, Derby, Saturday 18 April 1998, 15:00
Everton, 1, 1, Leicester, Saturday 18 April 1998, 15:00
Man Utd, 1, 1, Newcastle, Saturday 18 April 1998, 15:00
Southampton, 1, 2, Aston Villa, Saturday 18 April 1998, 15:00
West Ham, 2, 1, Blackburn, Saturday 18 April 1998, 15:00
Leicester, 3, 3, Southampton, Tuesday 14 April 1998, 19:45
Blackburn, 1, 4, Arsenal, Monday 13 April 1998, 18:00
Derby, 4, 0, Bolton, Monday 13 April 1998, 15:00
Liverpool, 2, 1, Crystal Palace, Monday 13 April 1998, 15:00
Newcastle, 2, 1, Barnsley, Monday 13 April 1998, 15:00
Sheffield Wed, 1, 1, West Ham, Monday 13 April 1998, 15:00
Spurs, 1, 1, Coventry, Monday 13 April 1998, 15:00
Wimbledon, 0, 0, Everton, Monday 13 April 1998, 15:00
Arsenal, 3, 1, Newcastle, Saturday 11 April 1998, 15:00
Barnsley, 2, 1, Sheffield Wed, Saturday 11 April 1998, 15:00
Bolton, 2, 1, Blackburn, Saturday 11 April 1998, 15:00
Chelsea, 2, 0, Spurs, Saturday 11 April 1998, 15:00
Coventry, 1, 2, Aston Villa, Saturday 11 April 1998, 15:00
Crystal Palace, 0, 3, Leicester, Saturday 11 April 1998, 15:00
Everton, 2, 0, Leeds, Saturday 11 April 1998, 15:00
Southampton, 0, 1, Wimbledon, Saturday 11 April 1998, 15:00
West Ham, 0, 0, Derby, Saturday 11 April 1998, 15:00
Man Utd, 1, 1, Liverpool, Friday 10 April 1998, 17:00
Leeds, 3, 1, Chelsea, Wednesday 8 April 1998, 20:00
Blackburn, 1, 3, Man Utd, Monday 6 April 1998, 20:00
Derby, 0, 1, Chelsea, Sunday 5 April 1998, 15:00
