home,homescore,awayscore,away,date,location
Aberdeen,1,0,St Johnstone,"Saturday, March 1, 2014","Pittodrie Stadium (11,487)"
Celtic,5,0,Inverness Caledonian Thistle,"Saturday, March 1, 2014","Celtic Park (46,552)"
Motherwell,4,1,Heart of Midlothian,"Saturday, March 1, 2014","Fir Park Stadium (4,914)"
Ross County,1,1,Partick Thistle,"Saturday, March 1, 2014","Victoria Park (3,441)"
St Mirren,2,0,Kilmarnock,"Saturday, March 1, 2014","St Mirren Park (4,650)"
Hibernian,1,3,Dundee United,"Friday, February 28, 2014","Easter Road Stadium (9,608)"
Aberdeen,2,1,Celtic,"Tuesday, February 25, 2014","Pittodrie Stadium (16,634)"
Ross County,0,3,Inverness Caledonian Thistle,"Tuesday, February 25, 2014","Victoria Park (4,805)"
St Johnstone,3,0,Motherwell,"Tuesday, February 25, 2014","McDiarmid Park (1,892)"
Heart of Midlothian,0,2,Celtic,"Saturday, February 22, 2014","Tynecastle Stadium (15,801)"
Kilmarnock,1,1,Hibernian,"Saturday, February 22, 2014","Rugby Park (4,036)"
Partick Thistle,3,1,Aberdeen,"Saturday, February 22, 2014","Firhill Stadium (4,554)"
Ross County,2,1,St Mirren,"Saturday, February 22, 2014","Victoria Park (3,394)"
St Johnstone,0,1,Inverness Caledonian Thistle,"Saturday, February 22, 2014","McDiarmid Park (2,415)"
Dundee United,3,1,Motherwell,"Friday, February 21, 2014","Tannadice Park (7,029)"
Celtic,3,0,St Johnstone,"Sunday, February 16, 2014","Celtic Park (45,239)"
St Mirren,0,1,Aberdeen,"Saturday, February 15, 2014","St Mirren Park (4,073)"
Dundee United,3,2,Kilmarnock,"Saturday, February 15, 2014","Tannadice Park (6,038)"
Hibernian,2,1,Ross County,"Saturday, February 15, 2014","Easter Road Stadium (8,411)"
Inverness Caledonian Thistle,0,0,Heart of Midlothian,"Saturday, February 15, 2014","Tulloch Caledonian Stadium (3,392)"
Motherwell,4,3,Partick Thistle,"Saturday, February 15, 2014","Fir Park Stadium (5,048)"
Celtic,1,0,St Mirren,"Sunday, February 2, 2014","Celtic Park (45,014)"
Kilmarnock,2,2,Ross County,"Saturday, February 1, 2014","Rugby Park (3,372)"
Partick Thistle,1,1,Dundee United,"Saturday, February 1, 2014","Firhill Stadium (3,748)"
Celtic,4,0,Kilmarnock,"Wednesday, January 29, 2014","Celtic Park (44,271)"
Heart of Midlothian,2,1,St Mirren,"Wednesday, January 29, 2014","Tynecastle Stadium (12,422)"
Hibernian,0,4,Celtic,"Sunday, January 26, 2014","Easter Road Stadium (12,542)"
Kilmarnock,2,0,Inverness Caledonian Thistle,"Saturday, January 25, 2014","Rugby Park (3,035)"
Motherwell,2,2,Aberdeen,"Saturday, January 25, 2014","Fir Park Stadium (5,756)"
Ross County,1,2,Heart of Midlothian,"Saturday, January 25, 2014","Victoria Park (4,016)"
St Mirren,0,0,Partick Thistle,"Saturday, January 25, 2014","St Mirren Park (4,660)"
Partick Thistle,0,1,St Johnstone,"Tuesday, January 21, 2014","Firhill Stadium (2,719)"
Aberdeen,0,1,Inverness Caledonian Thistle,"Saturday, January 18, 2014","Pittodrie Stadium (12,021)"
Celtic,3,0,Motherwell,"Saturday, January 18, 2014","Celtic Park (47,489)"
Hibernian,2,3,St Mirren,"Saturday, January 18, 2014","Easter Road Stadium (9,610)"
Partick Thistle,1,1,Kilmarnock,"Saturday, January 18, 2014","Firhill Stadium (4,092)"
