home, homescore, awayscore, away, date, group
FC Augsburg, 1, 3, Bayer Leverkusen, "Wednesday, September 26, 2012", impuls arena (25,211)
Hannover 96, 4, 1, Nurnberg, "Wednesday, September 26, 2012", AWD-Arena (36,200)
SC Freiburg, 1, 2, Werder Bremen, "Wednesday, September 26, 2012", badenova-Stadion (23,000)
VfB Stuttgart, 0, 3, TSG Hoffenheim, "Wednesday, September 26, 2012", Mercedes-Benz Arena (41,720)
Bayern Munich, 3, 0, VfL Wolfsburg, "Tuesday, September 25, 2012", Allianz Arena (71,000)
Eintracht Frankfurt, 3, 3, Borussia Dortmund, "Tuesday, September 25, 2012", Commerzbank Arena (51,500)
Schalke 04, 3, 0, Mainz, "Tuesday, September 25, 2012", Veltins Arena (59,116)
SpVgg Greuther Furth, 0, 2, Fortuna DÃ¼sseldorf, "Tuesday, September 25, 2012", Playmobil-Stadion (16,573)
Bayer Leverkusen, 1, 1, Borussia Monchengladbach, "Sunday, September 23, 2012", BayArena (27,640)
TSG Hoffenheim, 3, 1, Hannover 96, "Sunday, September 23, 2012", Rhein-Neckar Arena (23,575)
Werder Bremen, 2, 2, VfB Stuttgart, "Sunday, September 23, 2012", Weserstadion (40,172)
Fortuna DÃ¼sseldorf, 0, 0, SC Freiburg, "Saturday, September 22, 2012", Espirit Arena (26,862)
Hamburg SV, 3, 2, Borussia Dortmund, "Saturday, September 22, 2012", Imtech Arena (57,000)
Mainz, 2, 0, FC Augsburg, "Saturday, September 22, 2012", Coface Arena (28,463)
Schalke 04, 0, 2, Bayern Munich, "Saturday, September 22, 2012", Veltins Arena (61,673)
VfL Wolfsburg, 1, 1, SpVgg Greuther Furth, "Saturday, September 22, 2012", Volkswagen Arena (25,552)
Nurnberg, 1, 2, Eintracht Frankfurt, "Friday, September 21, 2012", easyCredit Stadion (45,033)
SC Freiburg, 5, 3, TSG Hoffenheim, "Sunday, September 16, 2012", badenova-Stadion (22,800)
Eintracht Frankfurt, 3, 2, Hamburg SV, "Sunday, September 16, 2012", Commerzbank Arena (51,500)
Bayern Munich, 3, 1, Mainz, "Saturday, September 15, 2012", Allianz Arena (71,000)
Borussia Dortmund, 3, 0, Bayer Leverkusen, "Saturday, September 15, 2012", Signal Iduna Park (80,645)
Borussia Monchengladbach, 2, 3, Nurnberg, "Saturday, September 15, 2012", Borussia Park (52,195)
Hannover 96, 3, 2, Werder Bremen, "Saturday, September 15, 2012", AWD-Arena (49,000)
VfB Stuttgart, 0, 0, Fortuna DÃ¼sseldorf, "Saturday, September 15, 2012", Mercedes-Benz Arena (55,039)
SpVgg Greuther Furth, 0, 2, Schalke 04, "Saturday, September 15, 2012", Playmobil-Stadion (18,000)
FC Augsburg, 0, 0, VfL Wolfsburg, "Friday, September 14, 2012", impuls arena (28,512)
VfL Wolfsburg, 0, 4, Hannover 96, "Sunday, September 2, 2012", Volkswagen Arena (29,451)
Bayern Munich, 6, 1, VfB Stuttgart, "Sunday, September 2, 2012", Allianz Arena (71,000)
Bayer Leverkusen, 2, 0, SC Freiburg, "Saturday, September 1, 2012", BayArena (23,635)
Nurnberg, 1, 1, Borussia Dortmund, "Saturday, September 1, 2012", easyCredit Stadion (50,000)
Schalke 04, 3, 1, FC Augsburg, "Saturday, September 1, 2012", Veltins Arena (60,582)
TSG Hoffenheim, 0, 4, Eintracht Frankfurt, "Saturday, September 1, 2012", Rhein-Neckar Arena (29,650)
Werder Bremen, 2, 0, Hamburg SV, "Saturday, September 1, 2012", Weserstadion (42,100)
Fortuna DÃ¼sseldorf, 0, 0, Borussia Monchengladbach, "Saturday, September 1, 2012", Espirit Arena (29,999)
Mainz, 0, 1, SpVgg Greuther Furth, "Friday, August 31, 2012", Coface Arena (28,237)
Hannover 96, 2, 2, Schalke 04, "Sunday, August 26, 2012", AWD-Arena (49,000)
Borussia Monchengladbach, 2, 1, TSG Hoffenheim, "Saturday, August 25, 2012", Borussia Park (50,146)
FC Augsburg, 0, 2, Fortuna DÃ¼sseldorf, "Saturday, August 25, 2012", impuls arena (30,401)
Hamburg SV, 0, 1, Nurnberg, "Saturday, August 25, 2012", Imtech Arena (50,123)
SC Freiburg, 1, 1, Mainz, "Saturday, August 25, 2012", badenova-Stadion (22,500)
SpVgg Greuther Furth, 0, 3, Bayern Munich, "Saturday, August 25, 2012", Playmobil-Stadion (18,000)
Eintracht Frankfurt, 2, 1, Bayer Leverkusen, "Saturday, August 25, 2012", Commerzbank Arena (27,950)
VfB Stuttgart, 0, 1, VfL Wolfsburg, "Saturday, August 25, 2012", Mercedes-Benz Arena (48,280)
Borussia Dortmund, 2, 1, Werder Bremen, "Friday, August 24, 2012", Signal Iduna Park (80,645)
