home, homescore, awayscore, away, date, group
Hamburg SV, 0, 2, Eintracht Frankfurt, "Saturday, February 2, 2013", Imtech Arena (52,523)
Werder Bremen, 2, 0, Hannover 96, "Friday, February 1, 2013", Weserstadion (41,600)
Hamburg SV, 3, 2, Werder Bremen, "Sunday, January 27, 2013", Imtech Arena (54,758)
VfB Stuttgart, 0, 2, Bayern Munich, "Sunday, January 27, 2013", Mercedes-Benz Arena (60,000)
Borussia Monchengladbach, 2, 1, Fortuna DÃ¼sseldorf, "Saturday, January 26, 2013", Borussia Park (50,315)
Eintracht Frankfurt, 2, 1, TSG Hoffenheim, "Saturday, January 26, 2013", Commerzbank Arena (38,100)
FC Augsburg, 0, 0, Schalke 04, "Saturday, January 26, 2013", impuls arena (28,553)
Hannover 96, 2, 1, VfL Wolfsburg, "Saturday, January 26, 2013", AWD-Arena (38,000)
SpVgg Greuther Furth, 0, 3, Mainz, "Saturday, January 26, 2013", Playmobil-Stadion (14,425)
SC Freiburg, 0, 0, Bayer Leverkusen, "Saturday, January 26, 2013", badenova-Stadion (22,500)
Borussia Dortmund, 3, 0, Nurnberg, "Friday, January 25, 2013", Signal Iduna Park (80,100)
Nurnberg, 1, 1, Hamburg SV, "Sunday, January 20, 2013", easyCredit Stadion (42,601)
Fortuna DÃ¼sseldorf, 2, 3, FC Augsburg, "Sunday, January 20, 2013", Espirit Arena (40,623)
Bayer Leverkusen, 3, 1, Eintracht Frankfurt, "Saturday, January 19, 2013", BayArena (28,767)
Bayern Munich, 2, 0, SpVgg Greuther Furth, "Saturday, January 19, 2013", Allianz Arena (71,000)
Mainz, 0, 0, SC Freiburg, "Saturday, January 19, 2013", Coface Arena (27,519)
TSG Hoffenheim, 0, 0, Borussia Monchengladbach, "Saturday, January 19, 2013", Rhein-Neckar Arena (26,750)
VfL Wolfsburg, 2, 0, VfB Stuttgart, "Saturday, January 19, 2013", Volkswagen Arena (24,125)
Werder Bremen, 0, 5, Borussia Dortmund, "Saturday, January 19, 2013", Weserstadion (42,100)
Schalke 04, 5, 4, Hannover 96, "Friday, January 18, 2013", Veltins Arena (60,811)
TSG Hoffenheim, 1, 3, Borussia Dortmund, "Sunday, December 16, 2012", Rhein-Neckar Arena (30,150)
Werder Bremen, 1, 1, Nurnberg, "Sunday, December 16, 2012", Weserstadion (38,553)
Bayer Leverkusen, 3, 0, Hamburg SV, "Saturday, December 15, 2012", BayArena (29,489)
Fortuna DÃ¼sseldorf, 2, 1, Hannover 96, "Saturday, December 15, 2012", Espirit Arena (47,623)
Mainz, 3, 1, VfB Stuttgart, "Saturday, December 15, 2012", Coface Arena (31,376)
SpVgg Greuther Furth, 1, 1, FC Augsburg, "Saturday, December 15, 2012", Playmobil-Stadion (16,340)
VfL Wolfsburg, 0, 2, Eintracht Frankfurt, "Saturday, December 15, 2012", Volkswagen Arena (26,452)
Schalke 04, 1, 3, SC Freiburg, "Saturday, December 15, 2012", Veltins Arena (60,620)
Bayern Munich, 1, 1, Borussia Monchengladbach, "Friday, December 14, 2012", Allianz Arena (71,000)
Borussia Monchengladbach, 2, 0, Mainz, "Sunday, December 9, 2012", Borussia Park (46,622)
Hannover 96, 3, 2, Bayer Leverkusen, "Sunday, December 9, 2012", AWD-Arena (45,800)
Borussia Dortmund, 2, 3, VfL Wolfsburg, "Saturday, December 8, 2012", Signal Iduna Park (80,000)
FC Augsburg, 0, 2, Bayern Munich, "Saturday, December 8, 2012", impuls arena (30,660)
Nurnberg, 2, 0, Fortuna DÃ¼sseldorf, "Saturday, December 8, 2012", easyCredit Stadion (37,041)
SC Freiburg, 1, 0, SpVgg Greuther Furth, "Saturday, December 8, 2012", badenova-Stadion (22,600)
VfB Stuttgart, 3, 1, Schalke 04, "Saturday, December 8, 2012", Mercedes-Benz Arena (55,880)
Eintracht Frankfurt, 4, 1, Werder Bremen, "Saturday, December 8, 2012", Commerzbank Arena (51,500)
Hamburg SV, 2, 0, TSG Hoffenheim, "Friday, December 7, 2012", Imtech Arena (48,121)
TSG Hoffenheim, 1, 4, Werder Bremen, "Sunday, December 2, 2012", Rhein-Neckar Arena (23,500)
VfL Wolfsburg, 1, 1, Hamburg SV, "Sunday, December 2, 2012", Volkswagen Arena (28,121)
Bayer Leverkusen, 1, 0, Nurnberg, "Saturday, December 1, 2012", BayArena (29,325)
FC Augsburg, 1, 1, SC Freiburg, "Saturday, December 1, 2012", impuls arena (27,144)
