home,homescore,awayscore,away,date,location
Aberdeen,2,2,Celtic,"Sunday, May 7, 2006","Pittodrie Stadium (14,597)"
Kilmarnock,3,1,Hibernian,"Sunday, May 7, 2006","Rugby Park (5,732)"
Rangers,2,0,Heart of Midlothian,"Sunday, May 7, 2006","Ibrox Stadium (49,792)"
Dunfermline Athletic,0,1,Inverness Caledonian Thistle,"Saturday, May 6, 2006","East End Park (5,354)"
Falkirk,1,0,Livingston,"Saturday, May 6, 2006","Falkirk Stadium (5,355)"
Motherwell,1,1,Dundee United,"Saturday, May 6, 2006","Fir Park Stadium (5,269)"
Celtic,2,0,Kilmarnock,"Wednesday, May 3, 2006","Celtic Park (48,649)"
Heart of Midlothian,1,0,Aberdeen,"Wednesday, May 3, 2006","Tynecastle Stadium (17,327)"
Inverness Caledonian Thistle,2,0,Falkirk,"Wednesday, May 3, 2006","Caledonian Stadium (3,121)"
Livingston,0,1,Motherwell,"Wednesday, May 3, 2006","Almondvale Stadium (2,283)"
Dundee United,0,1,Dunfermline Athletic,"Tuesday, May 2, 2006","Tannadice Park (5,034)"
Hibernian,1,2,Rangers,"Tuesday, May 2, 2006","Easter Road Stadium (10,000)"
Heart of Midlothian,3,0,Celtic,"Sunday, April 30, 2006","Tynecastle Stadium (16,795)"
Aberdeen,4,0,Hibernian,"Saturday, April 29, 2006","Pittodrie Stadium (10,490)"
Dundee United,0,2,Falkirk,"Saturday, April 29, 2006","Tannadice Park (5,798)"
Kilmarnock,1,3,Rangers,"Saturday, April 29, 2006","Rugby Park (11,583)"
Livingston,0,1,Inverness Caledonian Thistle,"Saturday, April 29, 2006","Almondvale Stadium (2,278)"
Motherwell,2,3,Dunfermline Athletic,"Saturday, April 29, 2006","Fir Park Stadium (3,621)"
Celtic,0,0,Rangers,"Sunday, April 23, 2006","Celtic Park (59,684)"
Aberdeen,0,0,Kilmarnock,"Saturday, April 22, 2006","Pittodrie Stadium (10,634)"
Dunfermline Athletic,3,2,Livingston,"Saturday, April 22, 2006","East End Park (7,000)"
Falkirk,1,1,Motherwell,"Saturday, April 22, 2006","Falkirk Stadium (4,467)"
Hibernian,2,1,Heart of Midlothian,"Saturday, April 22, 2006","Easter Road Stadium (16,654)"
Inverness Caledonian Thistle,1,0,Dundee United,"Saturday, April 22, 2006","Caledonian Stadium (3,609)"
Celtic,1,1,Hibernian,"Sunday, April 16, 2006","Celtic Park (60,047)"
Falkirk,0,0,Dunfermline Athletic,"Saturday, April 15, 2006","Falkirk Stadium (5,413)"
Heart of Midlothian,2,0,Kilmarnock,"Saturday, April 15, 2006","Tynecastle Stadium (16,497)"
Livingston,3,1,Dundee United,"Saturday, April 15, 2006","Almondvale Stadium (2,298)"
Motherwell,0,1,Inverness Caledonian Thistle,"Saturday, April 15, 2006","Fir Park Stadium (3,438)"
Rangers,1,1,Aberdeen,"Saturday, April 15, 2006","Ibrox Stadium (48,987)"
Kilmarnock,1,4,Celtic,"Sunday, April 9, 2006","Rugby Park (10,978)"
Aberdeen,1,0,Hibernian,"Saturday, April 8, 2006","Pittodrie Stadium (14,110)"
Falkirk,1,0,Dundee United,"Saturday, April 8, 2006","Falkirk Stadium (4,473)"
Heart of Midlothian,4,0,Dunfermline Athletic,"Saturday, April 8, 2006","Tynecastle Stadium (16,973)"
Livingston,2,1,Inverness Caledonian Thistle,"Saturday, April 8, 2006","Almondvale Stadium (2,688)"
Rangers,1,0,Motherwell,"Saturday, April 8, 2006","Ibrox Stadium (49,481)"
