home, homescore, awayscore, away, date, group
AC Ajaccio, 0, 1, Metz, "Saturday, March 25, 2006", "Francois-Coty  (3,000)"
AJ Auxerre, 0, 0, St Etienne, "Saturday, March 25, 2006", "Abbe-Deschamps (20,000)"
AS Nancy Lorraine, 0, 0, Nantes, "Saturday, March 25, 2006", "Marcel-Picot (15,000)"
Lens, 2, 1, Sochaux, "Saturday, March 25, 2006", "Felix-Bollaert  (32,966)"
Marseille, 1, 1, Le Mans, "Saturday, March 25, 2006", "Velodrome (49,593)"
Stade Rennes, 2, 0, Troyes, "Saturday, March 25, 2006", "Route de Lorient  (25,195)"
Strasbourg, 2, 2, Lille, "Saturday, March 25, 2006", "La Meinau (22,000)"
Lille, 0, 0, Marseille, "Sunday, March 19, 2006", "Lille Metropole "
St Etienne, 0, 2, Strasbourg, "Sunday, March 19, 2006", "Geoffroy-Guichard (25,566)"
Paris Saint-Germain , 4, 1, AJ Auxerre, "Sunday, March 19, 2006", "Parc de Princes "
Le Mans, 0, 0, Nantes, "Saturday, March 18, 2006", "Leon Bollee "
AC Ajaccio, 1, 0, AS Monaco, "Saturday, March 18, 2006", "Francois-Coty  "
Metz, 0, 1, Stade Rennes, "Saturday, March 18, 2006", "Saint-Symphorien  "
Nice, 1, 0, AS Nancy Lorraine, "Saturday, March 18, 2006", "Municipal du Ray (9,710)"
Sochaux, 0, 4, Lyon, "Saturday, March 18, 2006", "Auguste-Bonal (18,777)"
Toulouse, 1, 1, Lens, "Saturday, March 18, 2006", "Stadium Municipal "
Troyes, 1, 1, Bordeaux, "Saturday, March 18, 2006", "Stade l'Aube "
Nantes, 1, 1, Lille, "Sunday, March 12, 2006", "La Beaujoire "
Strasbourg, 1, 2, Le Mans, "Sunday, March 12, 2006", "La Meinau "
Marseille, 2, 0, St Etienne, "Sunday, March 12, 2006", "Velodrome "
AS Nancy Lorraine, 1, 1, Paris Saint-Germain , "Saturday, March 11, 2006", "Marcel-Picot (20,000)"
AJ Auxerre, 2, 0, Nice, "Saturday, March 11, 2006", "Abbe-Deschamps (8,000)"
AS Monaco, 4, 1, Sochaux, "Saturday, March 11, 2006", "Stade Louis II "
Bordeaux, 2, 0, Toulouse, "Saturday, March 11, 2006", "Parc Lescure (24,110)"
Lens, 1, 0, Troyes, "Saturday, March 11, 2006", "Felix-Bollaert  (35,098)"
Lyon, 4, 0, Metz, "Saturday, March 11, 2006", "Municipal De Gerland "
Stade Rennes, 3, 0, AC Ajaccio, "Saturday, March 11, 2006", "Route de Lorient  "
Metz, 0, 0, AS Nancy Lorraine, "Tuesday, March 7, 2006", "Saint-Symphorien  (18,324)"
Paris Saint-Germain , 0, 0, Marseille, "Sunday, March 5, 2006", "Parc de Princes "
Troyes, 1, 1, AJ Auxerre, "Sunday, March 5, 2006", "Stade l'Aube (11,000)"
St Etienne, 1, 0, Nantes, "Sunday, March 5, 2006", "Geoffroy-Guichard (21,163)"
AC Ajaccio, 1, 3, Lyon, "Saturday, March 4, 2006", "Francois-Coty  "
Lille, 4, 0, Le Mans, "Saturday, March 4, 2006", "Lille Metropole "
Metz, 2, 1, AS Monaco, "Saturday, March 4, 2006", "Saint-Symphorien  (16,757)"
Nice, 0, 0, Lens, "Saturday, March 4, 2006", "Municipal du Ray (10,365)"
Stade Rennes, 2, 1, Strasbourg, "Saturday, March 4, 2006", "Route de Lorient  "
Toulouse, 1, 1, AS Nancy Lorraine, "Saturday, March 4, 2006", "Stadium Municipal "
AS Monaco, 0, 1, Lille, "Sunday, February 26, 2006", "Stade Louis II (6,791)"
Lens, 1, 0, AC Ajaccio, "Sunday, February 26, 2006", "Felix-Bollaert  "
Strasbourg, 2, 0, Troyes, "Sunday, February 26, 2006", "La Meinau "
Marseille, 1, 0, Nice, "Sunday, February 26, 2006", "Velodrome "
Nantes, 0, 0, Paris Saint-Germain , "Saturday, February 25, 2006", "La Beaujoire (31,000)"
AJ Auxerre, 2, 0, Toulouse, "Saturday, February 25, 2006", "Abbe-Deschamps (5,000)"
AS Nancy Lorraine, 0, 3, Sochaux, "Saturday, February 25, 2006", "Marcel-Picot (12,000)"
Bordeaux, 3, 3, Metz, "Saturday, February 25, 2006", "Parc Lescure "
Le Mans, 0, 1, St Etienne, "Saturday, February 25, 2006", "Leon Bollee (13,704)"
Lyon, 1, 4, Stade Rennes, "Saturday, February 25, 2006", "Municipal De Gerland (29,168)"
Metz, 1, 0, Marseille, "Sunday, February 19, 2006", "Saint-Symphorien  (22,689)"
Nice, 2, 0, AS Monaco, "Saturday, February 18, 2006", "Municipal du Ray (11,366)"
AC Ajaccio, 0, 2, Bordeaux, "Saturday, February 18, 2006", "Francois-Coty  (3,500)"
Paris Saint-Germain , 0, 1, Le Mans, "Saturday, February 18, 2006", "Parc de Princes (39,655)"
Sochaux, 1, 0, AJ Auxerre, "Saturday, February 18, 2006", "Auguste-Bonal "
St Etienne, 0, 2, Lille, "Saturday, February 18, 2006", "Geoffroy-Guichard "
Stade Rennes, 4, 1, Lens, "Saturday, February 18, 2006", "Route de Lorient  (21,501)"
Toulouse, 1, 2, Strasbourg, "Saturday, February 18, 2006", "Stadium Municipal (16,883)"
Troyes, 0, 1, AS Nancy Lorraine, "Saturday, February 18, 2006", "Stade l'Aube "
Lyon, 3, 1, Nantes, "Friday, February 17, 2006", "Municipal De Gerland "
Nantes, 1, 1, Troyes, "Tuesday, February 14, 2006", "La Beaujoire (20,000)"
St Etienne, 0, 1, Nice, "Tuesday, February 14, 2006", "Geoffroy-Guichard (22,440)"
Marseille, 0, 0, Toulouse, "Sunday, February 12, 2006", "Velodrome "
Lille, 0, 0, Paris Saint-Germain , "Sunday, February 12, 2006", "Lille Metropole "
Lens, 1, 1, Lyon, "Saturday, February 11, 2006", "Felix-Bollaert  (40,037)"
AJ Auxerre, 1, 1, Metz, "Saturday, February 11, 2006", "Abbe-Deschamps (5,000)"
AS Monaco, 1, 1, Troyes, "Saturday, February 11, 2006", "Stade Louis II "
AS Nancy Lorraine, 2, 0, St Etienne, "Saturday, February 11, 2006", "Marcel-Picot (16,107)"
Bordeaux, 2, 0, Stade Rennes, "Saturday, February 11, 2006", "Parc Lescure (20,133)"
Le Mans, 2, 0, Nice, "Saturday, February 11, 2006", "Leon Bollee "
Nantes, 3, 1, Sochaux, "Saturday, February 11, 2006", "La Beaujoire (25,868)"
Strasbourg, 2, 2, AC Ajaccio, "Saturday, February 11, 2006", "La Meinau (15,000)"
Strasbourg, 1, 1, Paris Saint-Germain , "Wednesday, February 8, 2006", "La Meinau (16,000)"
Troyes, 0, 1, Marseille, "Sunday, February 5, 2006", "Stade l'Aube (18,860)"
Lyon, 0, 0, Bordeaux, "Sunday, February 5, 2006", "Municipal De Gerland (39,354)"
Paris Saint-Germain , 2, 2, St Etienne, "Saturday, February 4, 2006", "Parc de Princes (43,026)"
AC Ajaccio, 1, 0, AJ Auxerre, "Saturday, February 4, 2006", "Francois-Coty  (5,000)"
Lens, 2, 1, Strasbourg, "Saturday, February 4, 2006", "Felix-Bollaert  (30,922)"
