home, homescore, awayscore, away, date, group
Bayer Leverkusen, 0, 1, Werder Bremen, "Saturday, May 17, 2008"," BayArena (22,500)"
Bayern Munich, 4, 1, Hertha Berlin, "Saturday, May 17, 2008"," Allianz Arena (69,000)"
Borussia Dortmund, 2, 4, VfL Wolfsburg, "Saturday, May 17, 2008"," Signal Iduna Park (75,000)"
Eintracht Frankfurt, 4, 2, MSV Duisburg, "Saturday, May 17, 2008"," Commerzbank Arena (49,500)"
Hamburg SV, 7, 0, Karlsruhe, "Saturday, May 17, 2008"," Imtech Arena (57,000)"
Hannover 96, 4, 0, Energie Cottbus, "Saturday, May 17, 2008"," HDI-Arena (49,000)"
Nurnberg, 0, 2, Schalke 04, "Saturday, May 17, 2008"," Grundig Stadion (46,800)"
VfB Stuttgart, 2, 2, Arminia Bielefeld, "Saturday, May 17, 2008"," Mercedes-Benz Arena (55,800)"
VfL Bochum, 1, 2, Hansa Rostock, "Saturday, May 17, 2008"," rewirpowerSTADION (19,000)"
Arminia Bielefeld, 2, 2, Borussia Dortmund, "Saturday, May 10, 2008"," SchÃ¼coArena (25,000)"
Energie Cottbus, 2, 0, Hamburg SV, "Saturday, May 10, 2008"," Stadion der Freundschaft (22,000)"
Hansa Rostock, 1, 2, Bayer Leverkusen, "Saturday, May 10, 2008"," DKB-Arena (22,000)"
Hertha Berlin, 1, 0, Nurnberg, "Saturday, May 10, 2008"," Olympiastadion (47,072)"
Karlsruhe, 1, 3, VfL Bochum, "Saturday, May 10, 2008"," Wildparkstadion (29,000)"
MSV Duisburg, 2, 3, Bayern Munich, "Saturday, May 10, 2008"," Schauinsland-Reisen-Arena (31,500)"
Schalke 04, 1, 0, Eintracht Frankfurt, "Saturday, May 10, 2008"," Veltins-Arena (61,482)"
VfL Wolfsburg, 4, 0, VfB Stuttgart, "Saturday, May 10, 2008"," Volkswagen Arena (26,000)"
Werder Bremen, 6, 1, Hannover 96, "Saturday, May 10, 2008"," Weserstadion (42,100)"
Bayer Leverkusen, 1, 2, Hertha Berlin, "Wednesday, May 7, 2008"," BayArena (22,500)"
Bayern Munich, 2, 0, Arminia Bielefeld, "Wednesday, May 7, 2008"," Allianz Arena (69,000)"
Eintracht Frankfurt, 2, 3, VfL Wolfsburg, "Wednesday, May 7, 2008"," Commerzbank Arena (46,000)"
Hamburg SV, 0, 1, Werder Bremen, "Wednesday, May 7, 2008"," Imtech Arena (57,000)"
Nurnberg, 2, 0, MSV Duisburg, "Wednesday, May 7, 2008"," Grundig Stadion (42,000)"
Borussia Dortmund, 3, 2, VfB Stuttgart, "Tuesday, May 6, 2008"," Signal Iduna Park (63,000)"
Hannover 96, 3, 0, Hansa Rostock, "Tuesday, May 6, 2008"," HDI-Arena (34,000)"
Karlsruhe, 1, 1, Energie Cottbus, "Tuesday, May 6, 2008"," Wildparkstadion (28,000)"
VfL Bochum, 0, 3, Schalke 04, "Tuesday, May 6, 2008"," rewirpowerSTADION (31,328)"
MSV Duisburg, 3, 2, Bayer Leverkusen, "Sunday, May 4, 2008"," Schauinsland-Reisen-Arena (22,000)"
VfL Wolfsburg, 0, 0, Bayern Munich, "Sunday, May 4, 2008"," Volkswagen Arena (30,000)"
Arminia Bielefeld, 2, 0, VfL Bochum, "Saturday, May 3, 2008"," SchÃ¼coArena (23,800)"
Hansa Rostock, 1, 3, Hamburg SV, "Saturday, May 3, 2008"," DKB-Arena (29,000)"
Hertha Berlin, 3, 1, Karlsruhe, "Saturday, May 3, 2008"," Olympiastadion (49,595)"
Schalke 04, 1, 1, Hannover 96, "Saturday, May 3, 2008"," Veltins-Arena (61,482)"
VfB Stuttgart, 4, 1, Eintracht Frankfurt, "Saturday, May 3, 2008"," Mercedes-Benz Arena (55,800)"
Werder Bremen, 2, 0, Energie Cottbus, "Saturday, May 3, 2008"," Weserstadion (39,687)"
Borussia Dortmund, 0, 0, Nurnberg, "Friday, May 2, 2008"," Signal Iduna Park (70,000)"
Bayer Leverkusen, 2, 2, VfL Wolfsburg, "Sunday, April 27, 2008"," BayArena (22,500)"
Bayern Munich, 4, 1, VfB Stuttgart, "Sunday, April 27, 2008"," Allianz Arena (69,000)"
Energie Cottbus, 2, 1, Hansa Rostock, "Saturday, April 26, 2008"," Stadion der Freundschaft (21,000)"
Hamburg SV, 0, 1, Schalke 04, "Saturday, April 26, 2008"," Imtech Arena (57,000)"
Hannover 96, 2, 2, Hertha Berlin, "Saturday, April 26, 2008"," HDI-Arena (42,000)"
Karlsruhe, 3, 3, Werder Bremen, "Saturday, April 26, 2008"," Wildparkstadion (29,700)"
Nurnberg, 2, 2, Arminia Bielefeld, "Saturday, April 26, 2008"," Grundig Stadion (44,000)"
VfL Bochum, 1, 1, MSV Duisburg, "Saturday, April 26, 2008"," rewirpowerSTADION (20,000)"
Eintracht Frankfurt, 1, 1, Borussia Dortmund, "Friday, April 25, 2008"," Commerzbank Arena (51,500)"
Nurnberg, 1, 0, VfL Wolfsburg, "Sunday, April 20, 2008"," Grundig Stadion (45,100)"
Arminia Bielefeld, 1, 0, Bayer Leverkusen, "Wednesday, April 16, 2008"," SchÃ¼coArena (19,400)"
Borussia Dortmund, 1, 3, Hannover 96, "Wednesday, April 16, 2008"," Signal Iduna Park (62,000)"
Eintracht Frankfurt, 1, 3, Bayern Munich, "Wednesday, April 16, 2008"," Commerzbank Arena (51,500)"
MSV Duisburg, 0, 1, Karlsruhe, "Wednesday, April 16, 2008"," Schauinsland-Reisen-Arena (17,000)"
