home, homescore, awayscore, away, date, group
Athletic Bilbao, 3, 1, Barcelona, "Saturday, May 20, 2006", "Estadio San Mamés "
Osasuna, 2, 1, Valencia, "Tuesday, May 16, 2006", "Estadio El Sadar "
Sevilla FC, 4, 3, Real Madrid, "Tuesday, May 16, 2006", "Estadio Ramon Sanchez Pizjuan "
Atletico Madrid, 1, 1, Real Betis, "Saturday, May 13, 2006", "Vicente Calderon "
Cádiz, 5, 0, Malaga, "Saturday, May 13, 2006", "Estadio Ramón de Carranza "
Celta Vigo, 1, 0, Getafe, "Saturday, May 13, 2006", "Estadio Balaídos "
Mallorca, 3, 1, Real Zaragoza, "Saturday, May 13, 2006", "Estadio Son Moix "
Alavés, 1, 0, Deportivo La Coruña, "Saturday, May 13, 2006", "Estadio Mendizorroza "
Espanyol, 1, 0, Real Sociedad, "Saturday, May 13, 2006", "Estadio Olimpico de Montjuic "
Sevilla FC, 3, 2, Barcelona, "Saturday, May 13, 2006", "Estadio Ramon Sanchez Pizjuan "
Villarreal, 2, 0, Racing Santander, "Saturday, May 13, 2006", "Estadio El Madrigal "
Getafe, 3, 1, Cádiz, "Sunday, May 7, 2006", "Coliseum Alfonso Perez "
Racing Santander, 2, 1, Osasuna, "Sunday, May 7, 2006", "Estadio El Sardinero "
Real Betis, 2, 1, Mallorca, "Sunday, May 7, 2006", "Estadio Manuel Ruiz de Lopera "
Real Sociedad, 2, 2, Celta Vigo, "Sunday, May 7, 2006", "Estadio Anoeta "
Real Zaragoza, 3, 0, Alavés, "Sunday, May 7, 2006", "Estadio La Romareda "
Real Madrid, 3, 3, Villarreal, "Sunday, May 7, 2006", "Estadio Santiago Bernabéu "
Deportivo La Coruña, 1, 2, Athletic Bilbao, "Sunday, May 7, 2006", "Estadio Riazor "
Barcelona, 2, 0, Espanyol, "Saturday, May 6, 2006", "Estadio Camp Nou "
Malaga, 0, 2, Sevilla FC, "Saturday, May 6, 2006", "Estadio La Rosaleda "
Valencia, 1, 1, Atletico Madrid, "Saturday, May 6, 2006", "Estadio Mestalla "
Racing Santander, 2, 3, Real Madrid, "Thursday, May 4, 2006", "Estadio El Sardinero "
Alavés, 2, 0, Real Betis, "Wednesday, May 3, 2006", "Estadio Mendizorroza "
Athletic Bilbao, 1, 0, Real Zaragoza, "Wednesday, May 3, 2006", "Estadio San Mamés "
Atletico Madrid, 0, 1, Osasuna, "Wednesday, May 3, 2006", "Vicente Calderon "
Cádiz, 2, 2, Real Sociedad, "Wednesday, May 3, 2006", "Estadio Ramón de Carranza "
Espanyol, 1, 2, Deportivo La Coruña, "Wednesday, May 3, 2006", "Estadio Olimpico de Montjuic "
Mallorca, 2, 1, Valencia, "Wednesday, May 3, 2006", "Estadio Son Moix "
Sevilla FC, 3, 0, Getafe, "Wednesday, May 3, 2006", "Estadio Ramon Sanchez Pizjuan "
Villarreal, 2, 1, Malaga, "Wednesday, May 3, 2006", "Estadio El Madrigal "
Celta Vigo, 0, 1, Barcelona, "Wednesday, May 3, 2006", "Estadio Balaídos "
Getafe, 1, 1, Villarreal, "Sunday, April 30, 2006", "Coliseum Alfonso Perez "
Malaga, 2, 3, Racing Santander, "Sunday, April 30, 2006", "Estadio La Rosaleda "
Real Sociedad, 1, 2, Sevilla FC, "Sunday, April 30, 2006", "Estadio Anoeta "
Real Zaragoza, 1, 1, Espanyol, "Sunday, April 30, 2006", "Estadio La Romareda "
Valencia, 3, 0, Alavés, "Sunday, April 30, 2006", "Estadio Mestalla "
Atletico Madrid, 0, 1, Mallorca, "Sunday, April 30, 2006", "Vicente Calderon "
Osasuna, 0, 1, Real Madrid, "Sunday, April 30, 2006", "Estadio El Sadar "
Deportivo La Coruña, 0, 2, Celta Vigo, "Saturday, April 29, 2006", "Estadio Riazor "
Real Betis, 1, 1, Athletic Bilbao, "Saturday, April 29, 2006", "Estadio Manuel Ruiz de Lopera "
Barcelona, 1, 0, Cádiz, "Saturday, April 29, 2006", "Estadio Camp Nou "
Athletic Bilbao, 0, 3, Valencia, "Sunday, April 23, 2006", "Estadio San Mamés "
Cádiz, 1, 1, Deportivo La Coruña, "Sunday, April 23, 2006", "Estadio Ramón de Carranza "
Espanyol, 2, 0, Real Betis, "Sunday, April 23, 2006", "Estadio Olimpico de Montjuic "
Mallorca, 0, 1, Osasuna, "Sunday, April 23, 2006", "Estadio Son Moix "
Racing Santander, 1, 3, Getafe, "Sunday, April 23, 2006", "Estadio El Sardinero "
Real Madrid, 2, 1, Malaga, "Sunday, April 23, 2006", "Estadio Santiago Bernabéu "
Villarreal, 0, 2, Real Sociedad, "Saturday, April 22, 2006", "Estadio El Madrigal "
Alavés, 0, 1, Atletico Madrid, "Saturday, April 22, 2006", "Estadio Mendizorroza "
Celta Vigo, 4, 0, Real Zaragoza, "Saturday, April 22, 2006", "Estadio Balaídos "
Osasuna, 1, 1, Malaga, "Sunday, April 16, 2006", "Estadio El Sadar "
Real Betis, 0, 2, Celta Vigo, "Sunday, April 16, 2006", "Estadio Manuel Ruiz de Lopera "
Real Zaragoza, 1, 2, Cádiz, "Sunday, April 16, 2006", "Estadio La Romareda "
Valencia, 4, 0, Espanyol, "Sunday, April 16, 2006", "Estadio Mestalla "
Getafe, 1, 1, Real Madrid, "Sunday, April 16, 2006", "Coliseum Alfonso Perez "
Atletico Madrid, 1, 0, Athletic Bilbao, "Sunday, April 16, 2006", "Vicente Calderon "
Mallorca, 0, 0, Alavés, "Saturday, April 15, 2006", "Estadio Son Moix "
Real Sociedad, 1, 0, Racing Santander, "Saturday, April 15, 2006", "Estadio Anoeta "
Deportivo La Coruña, 0, 0, Sevilla FC, "Saturday, April 15, 2006", "Estadio Riazor "
Barcelona, 1, 0, Villarreal, "Friday, April 14, 2006", "Estadio Camp Nou "
Alavés, 1, 2, Osasuna, "Sunday, April 9, 2006", "Estadio Mendizorroza "
Athletic Bilbao, 1, 1, Mallorca, "Sunday, April 9, 2006", "Estadio San Mamés "
Espanyol, 1, 1, Atletico Madrid, "Sunday, April 9, 2006", "Estadio Olimpico de Montjuic "
Racing Santander, 2, 2, Barcelona, "Sunday, April 9, 2006", "Estadio El Sardinero "
Sevilla FC, 1, 1, Real Zaragoza, "Sunday, April 9, 2006", "Estadio Ramon Sanchez Pizjuan "
Villarreal, 1, 1, Deportivo La Coruña, "Sunday, April 9, 2006", "Estadio El Madrigal "
Malaga, 1, 2, Getafe, "Saturday, April 8, 2006", "Estadio La Rosaleda "
Cádiz, 1, 1, Real Betis, "Saturday, April 8, 2006", "Estadio Ramón de Carranza "
Real Madrid, 1, 1, Real Sociedad, "Saturday, April 8, 2006", "Estadio Santiago Bernabéu "
Celta Vigo, 0, 1, Valencia, "Saturday, April 8, 2006", "Estadio Balaídos "
