Espanyol, 1, 1, Sevilla FC, "Sunday, May 13, 2012"," CornellÃ¡ - El Prat (16,627)"
Getafe, 0, 2, Real Zaragoza, "Sunday, May 13, 2012"," Coliseum Alfonso PÃ©rez (17,000)"
Levante, 3, 0, Athletic Bilbao, "Sunday, May 13, 2012"," Ciutat de ValÃ¨ncia (26,000)"
Malaga, 1, 0, Sporting Gijon, "Sunday, May 13, 2012"," La Rosaleda (30,000)"
Racing Santander, 2, 4, Osasuna, "Sunday, May 13, 2012"," El Sardinero (6,818)"
Rayo Vallecano, 1, 0, Granada, "Sunday, May 13, 2012"," Campo de FÃºtbol de Vallecas (11,600)"
Real Madrid, 4, 1, Mallorca, "Sunday, May 13, 2012"," Santiago BernabÃ©u (82,000)"
Villarreal, 0, 1, Atletico Madrid, "Sunday, May 13, 2012"," El Madrigal (22,000)"
Real Sociedad, 1, 0, Valencia, "Saturday, May 12, 2012"," Anoeta (32,076)"
Real Betis, 2, 2, Barcelona, "Saturday, May 12, 2012"," Benito VillamarÃ­n (50,000)"
Athletic Bilbao, 0, 0, Getafe, "Saturday, May 5, 2012"," San MamÃ©s (32,000)"
Atletico Madrid, 2, 1, Malaga, "Saturday, May 5, 2012"," Vicente CalderÃ³n (25,000)"
Barcelona, 4, 0, Espanyol, "Saturday, May 5, 2012"," Camp Nou (98,772)"
Granada, 1, 2, Real Madrid, "Saturday, May 5, 2012"," Estadio Los CÃ¡rmenes (22,000)"
Mallorca, 1, 0, Levante, "Saturday, May 5, 2012"," Iberostar Estadi (19,000)"
Osasuna, 1, 0, Real Sociedad, "Saturday, May 5, 2012"," Reyno de Navarra (21,000)"
Real Zaragoza, 2, 1, Racing Santander, "Saturday, May 5, 2012"," La Romareda (28,000)"
Sevilla FC, 5, 2, Rayo Vallecano, "Saturday, May 5, 2012"," RamÃ³n SÃ¡nchez PizjuÃ¡n (28,000)"
Sporting Gijon, 2, 1, Real Betis, "Saturday, May 5, 2012"," El MolinÃ³n (15,156)"
Valencia, 1, 0, Villarreal, "Saturday, May 5, 2012"," Mestalla (48,000)"
