home, homescore, awayscore, away, date, stadium
Hannover 96, 1, 0, Schalke 04, "Saturday, September 25, 2004"," Niedersachsenstadion (34,011)"
Nurnberg, 1, 2, Arminia Bielefeld, "Saturday, September 25, 2004"," Frankenstadion (17,916)"
VfB Stuttgart, 3, 0, Bayer Leverkusen, "Saturday, September 25, 2004"," Gottlieb-Daimler Stadion (45,000)"
VfL Bochum, 1, 4, Werder Bremen, "Saturday, September 25, 2004"," Ruhr Stadium (25,000)"
VfL Wolfsburg, 2, 1, Kaiserslautern, "Saturday, September 25, 2004"," Volkswagen Arena (18,295)"
Hertha Berlin, 0, 0, VfB Stuttgart, "Sunday, September 19, 2004"," Olympia Stadium (45,349)"
SC Freiburg, 1, 1, VfL Bochum, "Sunday, September 19, 2004"," Dreisamstadion  (21,000)"
Arminia Bielefeld, 1, 1, Mainz, "Saturday, September 18, 2004"," Almstadion (15,400)"
Bayer Leverkusen, 2, 2, Nurnberg, "Saturday, September 18, 2004"," BayArena (22,500)"
Borussia Dortmund, 2, 2, Bayern Munich, "Saturday, September 18, 2004"," Westfalenstadion (83,000)"
Hansa Rostock, 1, 2, VfL Wolfsburg, "Saturday, September 18, 2004"," Ostseestadion (15,000)"
Kaiserslautern, 2, 1, Hamburg SV, "Saturday, September 18, 2004"," Fritz-Walter Stadion (32,502)"
Schalke 04, 3, 2, Borussia Monchengladbach, "Saturday, September 18, 2004"," Arena Auf Schalke (61,524)"
Werder Bremen, 3, 0, Hannover 96, "Saturday, September 18, 2004"," Weserstadion (40,100)"
Hannover 96, 2, 2, SC Freiburg, "Sunday, September 12, 2004"," Niedersachsenstadion (32,800)"
Hansa Rostock, 2, 3, Kaiserslautern, "Sunday, September 12, 2004"," Ostseestadion (19,000)"
Bayern Munich, 1, 0, Arminia Bielefeld, "Saturday, September 11, 2004"," Olympiastadion (48,000)"
Borussia Monchengladbach, 3, 1, Werder Bremen, "Saturday, September 11, 2004"," Stadium Bokelberg (52,100)"
Mainz, 2, 0, Bayer Leverkusen, "Saturday, September 11, 2004"," Stadion am Bruchweg (19,800)"
Nurnberg, 0, 0, Hertha Berlin, "Saturday, September 11, 2004"," Frankenstadion (30,000)"
VfB Stuttgart, 2, 0, Hamburg SV, "Saturday, September 11, 2004"," Gottlieb-Daimler Stadion (45,000)"
VfL Bochum, 2, 2, Borussia Dortmund, "Saturday, September 11, 2004"," Ruhr Stadium (32,230)"
VfL Wolfsburg, 3, 0, Schalke 04, "Saturday, September 11, 2004"," Volkswagen Arena (25,436)"
Borussia Dortmund, 1, 1, Hannover 96, "Sunday, August 29, 2004"," Westfalenstadion (74,000)"
Werder Bremen, 1, 2, VfL Wolfsburg, "Sunday, August 29, 2004"," Weserstadion (37,600)"
Arminia Bielefeld, 1, 2, VfL Bochum, "Saturday, August 28, 2004"," Almstadion (18,567)"
Bayer Leverkusen, 4, 1, Bayern Munich, "Saturday, August 28, 2004"," BayArena (22,500)"
Hamburg SV, 4, 3, Nurnberg, "Saturday, August 28, 2004"," Volksparkstadion (36,487)"
Hertha Berlin, 1, 1, Mainz, "Saturday, August 28, 2004"," Olympia Stadium (35,000)"
Kaiserslautern, 2, 3, VfB Stuttgart, "Saturday, August 28, 2004"," Fritz-Walter Stadion (37,828)"
SC Freiburg, 1, 1, Borussia Monchengladbach, "Saturday, August 28, 2004"," Dreisamstadion  (25,000)"
Schalke 04, 0, 2, Hansa Rostock, "Saturday, August 28, 2004"," Arena Auf Schalke "
VfL Bochum, 2, 2, Bayer Leverkusen, "Sunday, August 15, 2004"," Ruhr Stadium (26,289)"
VfL Wolfsburg, 0, 1, SC Freiburg, "Sunday, August 15, 2004"," Volkswagen Arena (16,378)"
Bayern Munich, 1, 1, Hertha Berlin, "Saturday, August 14, 2004"," Olympiastadion (58,000)"
Borussia Monchengladbach, 2, 3, Borussia Dortmund, "Saturday, August 14, 2004"," Stadium Bokelberg (53,348)"
Hansa Rostock, 0, 4, Werder Bremen, "Saturday, August 14, 2004"," Ostseestadion (23,100)"
Mainz, 2, 1, Hamburg SV, "Saturday, August 14, 2004"," Stadion am Bruchweg (18,700)"
Nurnberg, 1, 1, VfB Stuttgart, "Saturday, August 14, 2004"," Frankenstadion (41,384)"
Schalke 04, 2, 1, Kaiserslautern, "Saturday, August 14, 2004"," Arena Auf Schalke (60,956)"
Arminia Bielefeld, 0, 0, Borussia Monchengladbach, "Sunday, August 8, 2004"," Almstadion (26,600)"
VfB Stuttgart, 4, 2, Mainz, "Sunday, August 8, 2004"," Gottlieb-Daimler Stadion (45,000)"
Bayer Leverkusen, 2, 1, Hannover 96, "Saturday, August 7, 2004"," BayArena (22,500)"
Borussia Dortmund, 1, 2, VfL Wolfsburg, "Saturday, August 7, 2004"," Westfalenstadion (72,000)"
Hamburg SV, 0, 2, Bayern Munich, "Saturday, August 7, 2004"," Volksparkstadion (55,000)"
Hertha Berlin, 2, 2, VfL Bochum, "Saturday, August 7, 2004"," Olympia Stadium (45,435)"
Kaiserslautern, 1, 3, Nurnberg, "Saturday, August 7, 2004"," Fritz-Walter Stadion (37,528)"
SC Freiburg, 0, 0, Hansa Rostock, "Saturday, August 7, 2004"," Dreisamstadion  (19,000)"
Werder Bremen, 1, 0, Schalke 04, "Friday, August 6, 2004"," Weserstadion (43,000)"
