home, homescore, awayscore, away, date, stadium
Hertha Berlin, 3, 1, SC Freiburg, "Saturday, April 9, 2005"," Olympiastadion (31,000)"
Mainz, 0, 2, VfL Wolfsburg, "Saturday, April 9, 2005"," Stadion am Bruchweg (20,300)"
VfB Stuttgart, 3, 0, Schalke 04, "Saturday, April 9, 2005"," Gottlieb-Daimler Stadion (49,000)"
VfL Bochum, 1, 0, Hannover 96, "Saturday, April 9, 2005"," Ruhrstadion (93,821)"
Borussia Dortmund, 2, 1, Hertha Berlin, "Sunday, April 3, 2005"," Westfalenstadion (76,100)"
Borussia Monchengladbach, 2, 2, VfL Bochum, "Sunday, April 3, 2005"," Borussia-Park (49,451)"
Arminia Bielefeld, 1, 0, Bayer Leverkusen, "Saturday, April 2, 2005"," Schuco-Arena (24,100)"
Hansa Rostock, 2, 0, Mainz, "Saturday, April 2, 2005"," Ostseestadion (22,000)"
Kaiserslautern, 0, 2, Hannover 96, "Saturday, April 2, 2005"," Fritz-Walter Stadion (32,337)"
SC Freiburg, 1, 1, Hamburg SV, "Saturday, April 2, 2005"," badenova-Stadion (23,500)"
Schalke 04, 4, 1, Nurnberg, "Saturday, April 2, 2005"," Arena AufSchalke (61,524)"
VfL Wolfsburg, 0, 3, Bayern Munich, "Saturday, April 2, 2005"," Volkswagen Arena (30,000)"
Werder Bremen, 1, 2, VfB Stuttgart, "Saturday, April 2, 2005"," Weserstadion (40,710)"
Mainz, 2, 1, Schalke 04, "Sunday, March 20, 2005"," Stadion am Bruchweg (20,000)"
VfB Stuttgart, 1, 0, SC Freiburg, "Sunday, March 20, 2005"," Gottlieb-Daimler Stadion (41,000)"
Bayer Leverkusen, 2, 0, Kaiserslautern, "Saturday, March 19, 2005"," BayArena (22,500)"
Bayern Munich, 3, 1, Hansa Rostock, "Saturday, March 19, 2005"," Olympiastadion (52,000)"
Hamburg SV, 2, 3, Borussia Dortmund, "Saturday, March 19, 2005"," AOL-Arena (55,500)"
Hannover 96, 2, 1, Borussia Monchengladbach, "Saturday, March 19, 2005"," AWD-Arena (36,572)"
Hertha Berlin, 3, 0, Arminia Bielefeld, "Saturday, March 19, 2005"," Olympiastadion (38,114)"
Nurnberg, 1, 2, Werder Bremen, "Saturday, March 19, 2005"," Frankenstadion (27,525)"
VfL Bochum, 5, 1, VfL Wolfsburg, "Saturday, March 19, 2005"," Ruhrstadion (20,113)"
Borussia Dortmund, 0, 2, VfB Stuttgart, "Sunday, March 13, 2005"," Westfalenstadion (75,000)"
Schalke 04, 1, 0, Bayern Munich, "Sunday, March 13, 2005"," Arena AufSchalke (61,524)"
Arminia Bielefeld, 3, 4, Hamburg SV, "Saturday, March 12, 2005"," Schuco-Arena (25,115)"
Bayer Leverkusen, 3, 3, Hertha Berlin, "Saturday, March 12, 2005"," BayArena (22,500)"
Hansa Rostock, 3, 1, VfL Bochum, "Saturday, March 12, 2005"," Ostseestadion (18,600)"
Kaiserslautern, 1, 0, Borussia Monchengladbach, "Saturday, March 12, 2005"," Fritz-Walter Stadion (39,960)"
SC Freiburg, 2, 3, Nurnberg, "Saturday, March 12, 2005"," badenova-Stadion (20,700)"
VfL Wolfsburg, 1, 0, Hannover 96, "Saturday, March 12, 2005"," Volkswagen Arena (25,921)"
Werder Bremen, 0, 0, Mainz, "Saturday, March 12, 2005"," Weserstadion (42,100)"
Hertha Berlin, 1, 1, Kaiserslautern, "Sunday, March 6, 2005"," Olympiastadion (38,814)"
Nurnberg, 2, 2, Borussia Dortmund, "Sunday, March 6, 2005"," Frankenstadion (28,125)"
