home,homescore,awayscore,away,date,location
Dundee United,0,4,Celtic,"Sunday, May 19, 2013","Tannadice Park (8,717)"
Ross County,1,0,Inverness Caledonian Thistle,"Sunday, May 19, 2013","Victoria Park (6,002)"
St Johnstone,2,0,Motherwell,"Sunday, May 19, 2013","McDiarmid Park (5,025)"
Aberdeen,1,1,Heart of Midlothian,"Saturday, May 18, 2013","Pittodrie Stadium (10,465)"
Hibernian,1,0,Dundee,"Saturday, May 18, 2013","Easter Road Stadium (9,522)"
Kilmarnock,1,3,St Mirren,"Saturday, May 18, 2013","Rugby Park (4,428)"
Kilmarnock,1,3,Hibernian,"Wednesday, May 15, 2013","Rugby Park (3,198)"
Heart of Midlothian,1,2,Hibernian,"Sunday, May 12, 2013","Tynecastle Stadium (15,994)"
Motherwell,2,0,Ross County,"Sunday, May 12, 2013","Fir Park Stadium (7,734)"
Celtic,4,0,St Johnstone,"Saturday, May 11, 2013","Celtic Park (57,000)"
Dundee,2,3,Kilmarnock,"Saturday, May 11, 2013","Dens Park stadium (4,190)"
Inverness Caledonian Thistle,1,2,Dundee United,"Saturday, May 11, 2013","Tulloch Caledonian Stadium (3,728)"
St Mirren,0,0,Aberdeen,"Saturday, May 11, 2013","St Mirren Park (4,292)"
Ross County,1,1,Celtic,"Sunday, May 5, 2013","Victoria Park (5,873)"
Dundee,1,1,Aberdeen,"Sunday, May 5, 2013","Dens Park stadium (6,441)"
Dundee United,0,1,St Johnstone,"Saturday, May 4, 2013","Tannadice Park (6,437)"
Heart of Midlothian,3,0,St Mirren,"Saturday, May 4, 2013","Tynecastle Stadium (16,312)"
Inverness Caledonian Thistle,4,3,Motherwell,"Saturday, May 4, 2013","Tulloch Caledonian Stadium (3,857)"
Motherwell,3,1,Celtic,"Sunday, April 28, 2013","Fir Park Stadium (7,503)"
St Johnstone,1,0,Inverness Caledonian Thistle,"Saturday, April 27, 2013","McDiarmid Park (2,368)"
Aberdeen,1,0,Kilmarnock,"Saturday, April 27, 2013","Pittodrie Stadium (6,334)"
Dundee,1,0,Heart of Midlothian,"Saturday, April 27, 2013","Dens Park stadium (5,896)"
Hibernian,3,3,St Mirren,"Saturday, April 27, 2013","Easter Road Stadium (9,264)"
Ross County,1,0,Dundee United,"Friday, April 26, 2013","Victoria Park (3,183)"
Hibernian,0,0,Aberdeen,"Monday, April 22, 2013","Easter Road Stadium (8,326)"
Celtic,4,1,Inverness Caledonian Thistle,"Sunday, April 21, 2013","Celtic Park (55,000)"
St Johnstone,2,2,Ross County,"Sunday, April 21, 2013","McDiarmid Park (2,444)"
Kilmarnock,0,1,Heart of Midlothian,"Saturday, April 20, 2013","Rugby Park (3,572)"
St Mirren,1,2,Dundee,"Saturday, April 20, 2013","St Mirren Park (4,002)"
Dundee United,1,3,Motherwell,"Friday, April 19, 2013","Tannadice Park (5,634)"
Heart of Midlothian,4,2,Ross County,"Saturday, April 6, 2013","Tynecastle Stadium (10,456)"
Celtic,3,0,Hibernian,"Saturday, April 6, 2013","Celtic Park (49,174)"
Dundee United,1,0,Aberdeen,"Saturday, April 6, 2013","Tannadice Park (8,577)"
Kilmarnock,1,2,Dundee,"Saturday, April 6, 2013","Rugby Park (4,966)"
Motherwell,2,2,St Mirren,"Saturday, April 6, 2013","Fir Park Stadium (5,414)"
Inverness Caledonian Thistle,0,0,St Johnstone,"Friday, April 5, 2013","Tulloch Caledonian Stadium (3,744)"
Kilmarnock,1,1,St Mirren,"Wednesday, April 3, 2013","Rugby Park (4,494)"
St Johnstone,1,1,Dundee United,"Monday, April 1, 2013","McDiarmid Park (4,613)"
