home, homescore, awayscore, away, date, time
Charlton, 0, 4, Liverpool, Saturday 19 May 2001, 15:00
Coventry, 0, 0, Bradford, Saturday 19 May 2001, 15:00
Derby, 1, 1, Ipswich, Saturday 19 May 2001, 15:00
Everton, 2, 2, Sunderland, Saturday 19 May 2001, 15:00
Leeds, 3, 1, Leicester, Saturday 19 May 2001, 15:00
Man City, 1, 2, Chelsea, Saturday 19 May 2001, 15:00
Middlesbrough, 2, 1, West Ham, Saturday 19 May 2001, 15:00
Newcastle, 3, 0, Aston Villa, Saturday 19 May 2001, 15:00
Southampton, 3, 2, Arsenal, Saturday 19 May 2001, 15:00
Spurs, 3, 1, Man Utd, Saturday 19 May 2001, 15:00
Newcastle, 0, 0, Arsenal, Tuesday 15 May 2001, 19:45
Leeds, 6, 1, Bradford, Sunday 13 May 2001, 15:00
Southampton, 2, 1, Man Utd, Sunday 13 May 2001, 15:00
Liverpool, 2, 2, Chelsea, Tuesday 8 May 2001, 20:00
Ipswich, 2, 1, Man City, Monday 7 May 2001, 20:00
Arsenal, 2, 1, Leeds, Saturday 5 May 2001, 15:00
Aston Villa, 3, 2, Coventry, Saturday 5 May 2001, 15:00
Bradford, 1, 1, Middlesbrough, Saturday 5 May 2001, 15:00
Chelsea, 2, 1, Everton, Saturday 5 May 2001, 15:00
Leicester, 4, 2, Spurs, Saturday 5 May 2001, 15:00
Liverpool, 3, 0, Newcastle, Saturday 5 May 2001, 15:00
Man Utd, 0, 1, Derby, Saturday 5 May 2001, 15:00
Sunderland, 3, 2, Charlton, Saturday 5 May 2001, 15:00
West Ham, 3, 0, Southampton, Saturday 5 May 2001, 15:00
Newcastle, 1, 1, Southampton, Tuesday 1 May 2001, 20:00
Bradford, 0, 2, Liverpool, Tuesday 1 May 2001, 19:45
Charlton, 2, 1, Ipswich, Monday 30 April 2001, 20:00
Coventry, 0, 2, Liverpool, Saturday 28 April 2001, 15:00
Derby, 1, 2, Arsenal, Saturday 28 April 2001, 15:00
Everton, 2, 1, Bradford, Saturday 28 April 2001, 15:00
Man City, 1, 0, West Ham, Saturday 28 April 2001, 15:00
Middlesbrough, 0, 2, Man Utd, Saturday 28 April 2001, 15:00
Newcastle, 1, 0, Leicester, Saturday 28 April 2001, 15:00
Southampton, 0, 1, Sunderland, Saturday 28 April 2001, 15:00
Spurs, 0, 0, Aston Villa, Saturday 28 April 2001, 15:00
Leeds, 2, 0, Chelsea, Saturday 28 April 2001, 12:00
Liverpool, 3, 1, Spurs, Sunday 22 April 2001, 15:00
Sunderland, 1, 1, Newcastle, Saturday 21 April 2001, 17:15
Arsenal, 4, 1, Everton, Saturday 21 April 2001, 15:00
Aston Villa, 0, 0, Southampton, Saturday 21 April 2001, 15:00
Bradford, 2, 0, Derby, Saturday 21 April 2001, 15:00
Chelsea, 0, 1, Charlton, Saturday 21 April 2001, 15:00
Ipswich, 2, 0, Coventry, Saturday 21 April 2001, 15:00
Leicester, 0, 3, Middlesbrough, Saturday 21 April 2001, 15:00
West Ham, 0, 2, Leeds, Saturday 21 April 2001, 15:00
Man Utd, 1, 1, Man City, Saturday 21 April 2001, 12:00
Charlton, 3, 3, Aston Villa, Tuesday 17 April 2001, 20:00
Spurs, 0, 3, Chelsea, Tuesday 17 April 2001, 19:45
Everton, 2, 3, Liverpool, Monday 16 April 2001, 18:00
Coventry, 1, 0, Sunderland, Monday 16 April 2001, 15:00
Derby, 2, 0, Leicester, Monday 16 April 2001, 15:00
Middlesbrough, 1, 2, Ipswich, Monday 16 April 2001, 15:00
Newcastle, 2, 1, West Ham, Monday 16 April 2001, 15:00
Arsenal, 0, 3, Middlesbrough, Saturday 14 April 2001, 15:00
Aston Villa, 2, 1, Everton, Saturday 14 April 2001, 15:00
Chelsea, 1, 0, Southampton, Saturday 14 April 2001, 15:00
Ipswich, 1, 0, Newcastle, Saturday 14 April 2001, 15:00
Leicester, 1, 2, Man City, Saturday 14 April 2001, 15:00
Sunderland, 2, 3, Spurs, Saturday 14 April 2001, 15:00
West Ham, 3, 1, Derby, Saturday 14 April 2001, 15:00
Man Utd, 4, 2, Coventry, Saturday 14 April 2001, 12:00
Bradford, 2, 0, Charlton, Friday 13 April 2001, 16:00
