home,homescore,awayscore,away,date,location
FC Groningen,0,2,NAC Breda,"Sunday, May 31, 2009","Euroborg Stadion "
NAC Breda,1,1,FC Groningen,"Thursday, May 28, 2009","Rat Verlegh Stadion"
FC Groningen,4,0,FC Utrecht,"Thursday, May 21, 2009","Euroborg Stadion "
Feyenoord Rotterdam,0,4,NAC Breda,"Thursday, May 21, 2009","De Kuip Stadion  "
NAC Breda,3,2,Feyenoord Rotterdam,"Saturday, May 16, 2009","Rat Verlegh Stadion"
FC Utrecht,3,3,FC Groningen,"Saturday, May 16, 2009","Nieuw Galgewaard"
ADO Den Haag,3,1,Vitesse Arnhem,"Sunday, May 10, 2009","Het Zuiderpark (14,993)"
Ajax Amsterdam,1,0,Twente Enschede,"Sunday, May 10, 2009","Amsterdam ArenA (50,518)"
AZ Alkmaar,3,1,Heerenveen,"Sunday, May 10, 2009","Almaarderhout (17,000)"
De Graafschap,2,2,FC Volendam,"Sunday, May 10, 2009","De Vijverberg (12,600)"
FC Groningen,1,0,NAC Breda,"Sunday, May 10, 2009","Euroborg Stadion (21,752)"
Feyenoord Rotterdam,2,3,Roda JC Kerkrade,"Sunday, May 10, 2009","De Kuip Stadion  (47,000)"
NEC Nijmegen,1,1,Sparta Rotterdam,"Sunday, May 10, 2009","De Goffert (12,300)"
SC Heracles Almelo,1,1,FC Utrecht,"Sunday, May 10, 2009","Polman Stadion (8,400)"
Willem II Tilburg,0,3,PSV Eindhoven,"Sunday, May 10, 2009","Willem II Stadion (14,500)"
FC Utrecht,2,2,Feyenoord Rotterdam,"Sunday, May 3, 2009","Nieuw Galgewaard (23,000)"
FC Volendam,0,1,FC Groningen,"Sunday, May 3, 2009","Kras Stadion (5,917)"
Heerenveen,2,2,ADO Den Haag,"Sunday, May 3, 2009","Abe Lenstra Stadion (25,800)"
NAC Breda,0,1,De Graafschap,"Sunday, May 3, 2009","Rat Verlegh Stadion (16,814)"
PSV Eindhoven,1,1,NEC Nijmegen,"Sunday, May 3, 2009","Philips Stadion (33,000)"
Roda JC Kerkrade,0,1,Willem II Tilburg,"Sunday, May 3, 2009","Parkstad Limburg Stadion (15,540)"
Sparta Rotterdam,4,0,Ajax Amsterdam,"Sunday, May 3, 2009","Sparta-Stadion, Het Kasteel (10,894)"
Twente Enschede,3,0,AZ Alkmaar,"Sunday, May 3, 2009","Arke Stadion (23,800)"
Vitesse Arnhem,1,0,SC Heracles Almelo,"Sunday, May 3, 2009","Gelredome (18,333)"
