home,homescore,awayscore,away,date,location
Twente Enschede,2,1,AZ Alkmaar,"Sunday, March 16, 2014","De Grolsch Veste (29,705)"
Feyenoord Rotterdam,2,0,Heerenveen,"Sunday, March 16, 2014","De Kuip Stadion  (47,500)"
NEC Nijmegen,2,2,FC Utrecht,"Sunday, March 16, 2014","De Goffert (11,200)"
PEC Zwolle,2,0,Go Ahead Eagles,"Sunday, March 16, 2014","FC Zwolle Stadion (12,500)"
NAC Breda,0,0,Ajax Amsterdam,"Sunday, March 16, 2014","Rat Verlegh Stadion (18,500)"
Vitesse Arnhem,1,2,PSV Eindhoven,"Saturday, March 15, 2014","Gelredome (23,076)"
ADO Den Haag,2,1,FC Groningen,"Saturday, March 15, 2014","Kyocera Stadion (10,877)"
SC Heracles Almelo,2,1,Roda JC Kerkrade,"Saturday, March 15, 2014","Polman Stadion (8,471)"
Cambuur Leeuwarden,3,2,RKC Waalwijk,"Friday, March 14, 2014","Cambuur Stadion (9,638)"
RKC Waalwijk,1,1,ADO Den Haag,"Sunday, March 9, 2014","Mandemakers Stadion (5,226)"
FC Groningen,0,2,Feyenoord Rotterdam,"Sunday, March 9, 2014","Euroborg (21,674)"
Go Ahead Eagles,1,0,Twente Enschede,"Sunday, March 9, 2014","De Adelaarshorst (7,938)"
Ajax Amsterdam,1,1,Cambuur Leeuwarden,"Sunday, March 9, 2014","Amsterdam ArenA (52,354)"
AZ Alkmaar,4,0,SC Heracles Almelo,"Saturday, March 8, 2014","AFAS Stadion (15,216)"
Roda JC Kerkrade,3,1,NEC Nijmegen,"Saturday, March 8, 2014","Parkstad Limburg Stadion (15,421)"
Heerenveen,3,0,PEC Zwolle,"Saturday, March 8, 2014","Abe Lenstra Stadion (22,959)"
NAC Breda,1,2,Vitesse Arnhem,"Saturday, March 8, 2014","Rat Verlegh Stadion (17,800)"
PSV Eindhoven,1,0,FC Utrecht,"Saturday, March 8, 2014","Philips Stadion (33,200)"
FC Utrecht,1,1,Twente Enschede,"Sunday, March 2, 2014","Galgenwaard (16,666)"
FC Groningen,1,1,Cambuur Leeuwarden,"Sunday, March 2, 2014","Euroborg (19,709)"
Feyenoord Rotterdam,1,2,Ajax Amsterdam,"Sunday, March 2, 2014","De Kuip Stadion  (47,500)"
AZ Alkmaar,4,0,RKC Waalwijk,"Sunday, March 2, 2014","AFAS Stadion (15,238)"
PEC Zwolle,3,3,NEC Nijmegen,"Saturday, March 1, 2014","FC Zwolle Stadion (12,100)"
ADO Den Haag,1,1,NAC Breda,"Saturday, March 1, 2014","Kyocera Stadion (10,139)"
