home,homescore,awayscore,away,date,location
Aberdeen,2,2,Hibernian,"Saturday, April 21, 2007","Pittodrie Stadium (9,753)"
Dunfermline Athletic,1,0,Dundee United,"Saturday, April 21, 2007","East End Park (5,131)"
Inverness Caledonian Thistle,2,0,Motherwell,"Saturday, April 21, 2007","Caledonian Stadium (3,804)"
Rangers,2,1,Heart of Midlothian,"Saturday, April 21, 2007","Ibrox Stadium (50,099)"
St Mirren,0,1,Rangers,"Sunday, April 8, 2007","St Mirren Park (7,308)"
Aberdeen,2,4,Dundee United,"Saturday, April 7, 2007","Pittodrie Stadium (12,148)"
Celtic,1,0,Motherwell,"Saturday, April 7, 2007","Celtic Park (58,654)"
Dunfermline Athletic,1,0,Hibernian,"Saturday, April 7, 2007","East End Park (6,001)"
Heart of Midlothian,1,0,Kilmarnock,"Saturday, April 7, 2007","Tynecastle Stadium (17,019)"
Inverness Caledonian Thistle,1,1,Falkirk,"Saturday, April 7, 2007","Caledonian Stadium (4,435)"
St Mirren,1,1,Hibernian,"Wednesday, April 4, 2007","St Mirren Park (4,031)"
Motherwell,0,1,Kilmarnock,"Tuesday, April 3, 2007","Fir Park Stadium (3,784)"
Hibernian,0,1,Heart of Midlothian,"Sunday, April 1, 2007","Easter Road Stadium (15,953)"
Dundee United,1,1,Celtic,"Saturday, March 31, 2007","Tannadice Park (11,363)"
Falkirk,2,0,St Mirren,"Saturday, March 31, 2007","Falkirk Stadium (5,863)"
Kilmarnock,1,2,Aberdeen,"Saturday, March 31, 2007","Rugby Park (7,236)"
Motherwell,2,0,Dunfermline Athletic,"Saturday, March 31, 2007","Fir Park Stadium (4,511)"
Rangers,1,1,Inverness Caledonian Thistle,"Saturday, March 31, 2007","Ibrox Stadium (50,278)"
Falkirk,1,0,Celtic,"Sunday, March 18, 2007","Falkirk Stadium (6,438)"
Heart of Midlothian,0,4,Dundee United,"Saturday, March 17, 2007","Tynecastle Stadium (17,172)"
Inverness Caledonian Thistle,1,3,Dunfermline Athletic,"Saturday, March 17, 2007","Caledonian Stadium (4,447)"
Rangers,3,0,Aberdeen,"Saturday, March 17, 2007","Ibrox Stadium (50,354)"
Motherwell,0,2,Aberdeen,"Tuesday, March 13, 2007","Fir Park Stadium (4,530)"
Celtic,0,1,Rangers,"Sunday, March 11, 2007","Celtic Park (59,425)"
Aberdeen,1,0,Heart of Midlothian,"Saturday, March 10, 2007","Pittodrie Stadium (13,964)"
Dundee United,1,1,Motherwell,"Saturday, March 10, 2007","Tannadice Park (5,183)"
Dunfermline Athletic,0,0,St Mirren,"Saturday, March 10, 2007","East End Park (7,149)"
Hibernian,2,0,Falkirk,"Saturday, March 10, 2007","Easter Road Stadium (12,572)"
Kilmarnock,3,2,Inverness Caledonian Thistle,"Saturday, March 10, 2007","Rugby Park (7,630)"
Motherwell,0,2,Heart of Midlothian,"Monday, March 5, 2007","Fir Park Stadium (4,389)"
Hibernian,0,2,Rangers,"Sunday, March 4, 2007","Easter Road Stadium (16,265)"
Celtic,2,1,Dunfermline Athletic,"Saturday, March 3, 2007","Celtic Park (59,131)"
Falkirk,1,2,Aberdeen,"Saturday, March 3, 2007","Falkirk Stadium (5,825)"
Inverness Caledonian Thistle,1,0,Dundee United,"Saturday, March 3, 2007","Caledonian Stadium (3,901)"
St Mirren,0,2,Kilmarnock,"Saturday, March 3, 2007","St Mirren Park (4,778)"
St Mirren,0,0,Motherwell,"Tuesday, February 20, 2007","St Mirren Park (3,576)"
Dundee United,0,0,Hibernian,"Sunday, February 18, 2007","Tannadice Park (6,453)"
Rangers,2,1,Falkirk,"Sunday, February 18, 2007","Ibrox Stadium (49,850)"
Aberdeen,1,2,Celtic,"Saturday, February 17, 2007","Pittodrie Stadium (16,711)"
Dunfermline Athletic,1,1,Kilmarnock,"Saturday, February 17, 2007","East End Park (4,500)"
Heart of Midlothian,1,1,St Mirren,"Saturday, February 17, 2007","Tynecastle Stadium (17,195)"
Motherwell,1,0,Inverness Caledonian Thistle,"Saturday, February 17, 2007","Fir Park Stadium (4,258)"
Kilmarnock,1,3,Rangers,"Sunday, February 11, 2007","Rugby Park (11,894)"
Heart of Midlothian,1,0,Inverness Caledonian Thistle,"Saturday, February 10, 2007","Tynecastle Stadium (16,631)"
Aberdeen,3,0,Dunfermline Athletic,"Saturday, February 10, 2007","Pittodrie Stadium (9,379)"
Celtic,1,0,Hibernian,"Saturday, February 10, 2007","Celtic Park (59,659)"
Falkirk,1,2,Motherwell,"Saturday, February 10, 2007","Falkirk Stadium (4,478)"
St Mirren,0,1,Dundee United,"Saturday, February 10, 2007","St Mirren Park (3,849)"
Inverness Caledonian Thistle,1,2,Celtic,"Sunday, January 28, 2007","Caledonian Stadium (7,484)"
Dundee United,0,0,Dunfermline Athletic,"Saturday, January 27, 2007","Tannadice Park (6,295)"
Falkirk,0,2,Kilmarnock,"Saturday, January 27, 2007","Falkirk Stadium (4,696)"
Hibernian,2,0,Motherwell,"Saturday, January 27, 2007","Easter Road Stadium (14,280)"
Rangers,0,0,Heart of Midlothian,"Saturday, January 27, 2007","Ibrox Stadium (50,321)"
St Mirren,0,2,Aberdeen,"Saturday, January 27, 2007","St Mirren Park (4,921)"
Dunfermline Athletic,0,1,Rangers,"Sunday, January 21, 2007","East End Park (7,868)"
Inverness Caledonian Thistle,3,0,Hibernian,"Sunday, January 21, 2007","Caledonian Stadium (4,577)"
Celtic,5,1,St Mirren,"Saturday, January 20, 2007","Celtic Park (58,382)"
Heart of Midlothian,1,0,Falkirk,"Saturday, January 20, 2007","Tynecastle Stadium (17,247)"
Kilmarnock,1,0,Dundee United,"Saturday, January 20, 2007","Rugby Park (4,732)"
Kilmarnock,0,2,Hibernian,"Monday, January 15, 2007","Rugby Park (4,963)"
Heart of Midlothian,1,2,Celtic,"Sunday, January 14, 2007","Tynecastle Stadium (17,129)"
Aberdeen,1,1,Inverness Caledonian Thistle,"Saturday, January 13, 2007","Pittodrie Stadium (10,300)"
Falkirk,1,0,Dunfermline Athletic,"Saturday, January 13, 2007","Falkirk Stadium (6,051)"
Rangers,5,0,Dundee United,"Saturday, January 13, 2007","Ibrox Stadium (50,276)"
Dunfermline Athletic,0,1,Heart of Midlothian,"Tuesday, January 2, 2007","East End Park (7,004)"
Celtic,2,0,Kilmarnock,"Tuesday, January 2, 2007","Celtic Park (57,236)"
Hibernian,0,0,Aberdeen,"Tuesday, January 2, 2007","Easter Road Stadium (16,278)"
Motherwell,0,1,Rangers,"Tuesday, January 2, 2007","Fir Park Stadium (10,338)"
Dundee United,1,5,Falkirk,"Monday, January 1, 2007","Tannadice Park (6,261)"
Inverness Caledonian Thistle,2,1,St Mirren,"Monday, January 1, 2007","Caledonian Stadium (4,246)"
Motherwell,1,1,Celtic,"Saturday, December 30, 2006","Fir Park Stadium (9,769)"
Dundee United,3,1,Aberdeen,"Saturday, December 30, 2006","Tannadice Park (12,329)"
Falkirk,3,1,Inverness Caledonian Thistle,"Saturday, December 30, 2006","Falkirk Stadium (4,516)"
Hibernian,2,0,Dunfermline Athletic,"Saturday, December 30, 2006","Easter Road Stadium (14,061)"
Kilmarnock,0,0,Heart of Midlothian,"Saturday, December 30, 2006","Rugby Park (7,302)"
Rangers,1,1,St Mirren,"Saturday, December 30, 2006","Ibrox Stadium (50,273)"
Inverness Caledonian Thistle,2,1,Rangers,"Wednesday, December 27, 2006","Caledonian Stadium (7,522)"
Heart of Midlothian,3,2,Hibernian,"Tuesday, December 26, 2006","Tynecastle Stadium (17,369)"
Aberdeen,3,1,Kilmarnock,"Tuesday, December 26, 2006","Pittodrie Stadium (11,887)"
Celtic,2,2,Dundee United,"Tuesday, December 26, 2006","Celtic Park (57,343)"
Dunfermline Athletic,0,2,Motherwell,"Tuesday, December 26, 2006","East End Park (4,200)"
St Mirren,1,0,Falkirk,"Tuesday, December 26, 2006","St Mirren Park (5,212)"
Aberdeen,1,2,Rangers,"Saturday, December 23, 2006","Pittodrie Stadium (20,045)"
Celtic,1,0,Falkirk,"Saturday, December 23, 2006","Celtic Park (55,000)"
Dundee United,0,1,Heart of Midlothian,"Saturday, December 23, 2006","Tannadice Park (7,789)"
Dunfermline Athletic,0,0,Inverness Caledonian Thistle,"Saturday, December 23, 2006","East End Park (4,216)"
Hibernian,5,1,St Mirren,"Saturday, December 23, 2006","Easter Road Stadium (13,053)"
Kilmarnock,1,2,Motherwell,"Saturday, December 23, 2006","Rugby Park (5,576)"
Rangers,1,1,Celtic,"Sunday, December 17, 2006","Ibrox Stadium (50,418)"
Falkirk,2,1,Hibernian,"Saturday, December 16, 2006","Falkirk Stadium (6,142)"
Heart of Midlothian,0,1,Aberdeen,"Saturday, December 16, 2006","Tynecastle Stadium (17,274)"
Inverness Caledonian Thistle,3,4,Kilmarnock,"Saturday, December 16, 2006","Caledonian Stadium (3,728)"
Motherwell,2,3,Dundee United,"Saturday, December 16, 2006","Fir Park Stadium (4,420)"
St Mirren,0,0,Dunfermline Athletic,"Saturday, December 16, 2006","St Mirren Park (4,246)"
Dunfermline Athletic,1,2,Celtic,"Sunday, December 10, 2006","East End Park (7,080)"
Aberdeen,2,1,Falkirk,"Saturday, December 9, 2006","Pittodrie Stadium "
Dundee United,3,1,Inverness Caledonian Thistle,"Saturday, December 9, 2006","Tannadice Park (5,294)"
Heart of Midlothian,4,1,Motherwell,"Saturday, December 9, 2006","Tynecastle Stadium (16,753)"
Kilmarnock,1,1,St Mirren,"Saturday, December 9, 2006","Rugby Park (5,978)"
Rangers,3,0,Hibernian,"Saturday, December 9, 2006","Ibrox Stadium (49,702)"
Falkirk,1,0,Rangers,"Sunday, December 3, 2006","Falkirk Stadium (7,245)"
Celtic,1,0,Aberdeen,"Saturday, December 2, 2006","Celtic Park (58,911)"
Hibernian,2,1,Dundee United,"Saturday, December 2, 2006","Easter Road Stadium (14,032)"
Inverness Caledonian Thistle,0,1,Motherwell,"Saturday, December 2, 2006","Caledonian Stadium (3,668)"
Kilmarnock,5,1,Dunfermline Athletic,"Saturday, December 2, 2006","Rugby Park (4,750)"
St Mirren,2,2,Heart of Midlothian,"Saturday, December 2, 2006","St Mirren Park (5,728)"
Hibernian,2,2,Celtic,"Sunday, November 26, 2006","Easter Road Stadium (16,747)"
Dundee United,1,0,St Mirren,"Sunday, November 26, 2006","Tannadice Park (5,681)"
Rangers,3,0,Kilmarnock,"Sunday, November 26, 2006","Ibrox Stadium (48,289)"
Dunfermline Athletic,0,3,Aberdeen,"Saturday, November 25, 2006","East End Park (6,501)"
Inverness Caledonian Thistle,0,0,Heart of Midlothian,"Saturday, November 25, 2006","Caledonian Stadium (5,603)"
Motherwell,4,2,Falkirk,"Saturday, November 25, 2006","Fir Park Stadium (4,970)"
Heart of Midlothian,0,1,Rangers,"Sunday, November 19, 2006","Tynecastle Stadium (17,040)"
Aberdeen,2,0,St Mirren,"Saturday, November 18, 2006","Pittodrie Stadium (11,426)"
Celtic,3,0,Inverness Caledonian Thistle,"Saturday, November 18, 2006","Celtic Park (56,637)"
Dunfermline Athletic,2,1,Dundee United,"Saturday, November 18, 2006","East End Park (6,129)"
Kilmarnock,2,1,Falkirk,"Saturday, November 18, 2006","Rugby Park (5,666)"
Motherwell,1,6,Hibernian,"Saturday, November 18, 2006","Fir Park Stadium (6,190)"
Falkirk,1,1,Heart of Midlothian,"Monday, November 13, 2006","Falkirk Stadium (6,289)"
St Mirren,1,3,Celtic,"Sunday, November 12, 2006","St Mirren Park (8,445)"
Aberdeen,2,1,Motherwell,"Saturday, November 11, 2006","Pittodrie Stadium (10,527)"
Dundee United,1,0,Kilmarnock,"Saturday, November 11, 2006","Tannadice Park (5,815)"
Hibernian,2,0,Inverness Caledonian Thistle,"Saturday, November 11, 2006","Easter Road Stadium (12,868)"
Rangers,2,0,Dunfermline Athletic,"Saturday, November 11, 2006","Ibrox Stadium "
Inverness Caledonian Thistle,1,1,Aberdeen,"Monday, November 6, 2006","Caledonian Stadium (5,744)"
Dundee United,2,1,Rangers,"Sunday, November 5, 2006","Tannadice Park (10,392)"
Celtic,2,1,Heart of Midlothian,"Saturday, November 4, 2006","Celtic Park (58,971)"
Dunfermline Athletic,0,3,Falkirk,"Saturday, November 4, 2006","East End Park (6,504)"
Hibernian,2,2,Kilmarnock,"Saturday, November 4, 2006","Easter Road Stadium (13,510)"
Motherwell,0,0,St Mirren,"Saturday, November 4, 2006","Fir Park Stadium (5,337)"
Aberdeen,2,1,Hibernian,"Monday, October 30, 2006","Pittodrie Stadium (11,179)"
Kilmarnock,1,2,Celtic,"Sunday, October 29, 2006","Rugby Park (10,083)"
Falkirk,5,1,Dundee United,"Saturday, October 28, 2006","Falkirk Stadium (5,386)"
Heart of Midlothian,1,1,Dunfermline Athletic,"Saturday, October 28, 2006","Tynecastle Stadium (17,031)"
Rangers,1,1,Motherwell,"Saturday, October 28, 2006","Ibrox Stadium (49,785)"
St Mirren,1,1,Inverness Caledonian Thistle,"Saturday, October 28, 2006","St Mirren Park (4,432)"
Dunfermline Athletic,0,4,Hibernian,"Monday, October 23, 2006","East End Park (6,057)"
St Mirren,2,3,Rangers,"Sunday, October 22, 2006","St Mirren Park (8,384)"
Aberdeen,3,1,Dundee United,"Saturday, October 21, 2006","Pittodrie Stadium (10,747)"
Celtic,2,1,Motherwell,"Saturday, October 21, 2006","Celtic Park (57,742)"
Heart of Midlothian,0,2,Kilmarnock,"Saturday, October 21, 2006","Tynecastle Stadium (16,849)"
Inverness Caledonian Thistle,3,2,Falkirk,"Saturday, October 21, 2006","Caledonian Stadium (3,749)"
Hibernian,2,2,Heart of Midlothian,"Sunday, October 15, 2006","Easter Road Stadium (16,623)"
Dundee United,1,4,Celtic,"Saturday, October 14, 2006","Tannadice Park (10,504)"
Falkirk,1,1,St Mirren,"Saturday, October 14, 2006","Falkirk Stadium (4,961)"
Kilmarnock,1,0,Aberdeen,"Saturday, October 14, 2006","Rugby Park (5,744)"
Motherwell,2,1,Dunfermline Athletic,"Saturday, October 14, 2006","Fir Park Stadium (4,527)"
Rangers,0,1,Inverness Caledonian Thistle,"Saturday, October 14, 2006","Ibrox Stadium (49,494)"
Falkirk,0,1,Celtic,"Sunday, October 1, 2006","Falkirk Stadium (7,139)"
Heart of Midlothian,4,0,Dundee United,"Sunday, October 1, 2006","Tynecastle Stadium (16,849)"
Rangers,1,0,Aberdeen,"Sunday, October 1, 2006","Ibrox Stadium (50,488)"
Inverness Caledonian Thistle,1,0,Dunfermline Athletic,"Saturday, September 30, 2006","Caledonian Stadium (3,517)"
Motherwell,5,0,Kilmarnock,"Saturday, September 30, 2006","Fir Park Stadium (4,765)"
St Mirren,1,0,Hibernian,"Saturday, September 30, 2006","St Mirren Park (6,008)"
Aberdeen,1,3,Heart of Midlothian,"Sunday, September 24, 2006","Pittodrie Stadium (11,160)"
Celtic,2,0,Rangers,"Saturday, September 23, 2006","Celtic Park (59,341)"
Dundee United,1,1,Motherwell,"Saturday, September 23, 2006","Tannadice Park (5,036)"
Dunfermline Athletic,2,1,St Mirren,"Saturday, September 23, 2006","East End Park (4,914)"
Hibernian,0,1,Falkirk,"Saturday, September 23, 2006","Easter Road Stadium (14,828)"
Kilmarnock,1,1,Inverness Caledonian Thistle,"Saturday, September 23, 2006","Rugby Park (4,809)"
Hibernian,2,1,Rangers,"Sunday, September 17, 2006","Easter Road Stadium (16,450)"
Motherwell,0,1,Heart of Midlothian,"Sunday, September 17, 2006","Fir Park Stadium (5,931)"
Celtic,1,0,Dunfermline Athletic,"Saturday, September 16, 2006","Celtic Park (55,894)"
Falkirk,0,2,Aberdeen,"Saturday, September 16, 2006","Falkirk Stadium (5,812)"
Inverness Caledonian Thistle,0,0,Dundee United,"Saturday, September 16, 2006","Caledonian Stadium (3,586)"
St Mirren,0,1,Kilmarnock,"Saturday, September 16, 2006","St Mirren Park (5,277)"
Dundee United,0,3,Hibernian,"Sunday, September 10, 2006","Tannadice Park (6,387)"
Aberdeen,0,1,Celtic,"Saturday, September 9, 2006","Pittodrie Stadium (15,304)"
Dunfermline Athletic,3,2,Kilmarnock,"Saturday, September 9, 2006","East End Park (4,510)"
Heart of Midlothian,0,1,St Mirren,"Saturday, September 9, 2006","Tynecastle Stadium (16,823)"
Motherwell,1,4,Inverness Caledonian Thistle,"Saturday, September 9, 2006","Fir Park Stadium (4,091)"
Rangers,4,0,Falkirk,"Saturday, September 9, 2006","Ibrox Stadium (50,196)"
Kilmarnock,2,2,Rangers,"Sunday, August 27, 2006","Rugby Park (13,506)"
Aberdeen,1,0,Dunfermline Athletic,"Saturday, August 26, 2006","Pittodrie Stadium (9,889)"
Celtic,2,1,Hibernian,"Saturday, August 26, 2006","Celtic Park (58,078)"
Falkirk,0,1,Motherwell,"Saturday, August 26, 2006","Falkirk Stadium (4,594)"
Heart of Midlothian,4,1,Inverness Caledonian Thistle,"Saturday, August 26, 2006","Tynecastle Stadium (15,912)"
St Mirren,1,3,Dundee United,"Saturday, August 26, 2006","St Mirren Park (4,902)"
Inverness Caledonian Thistle,1,1,Celtic,"Sunday, August 20, 2006","Caledonian Stadium (7,332)"
St Mirren,1,1,Aberdeen,"Saturday, August 19, 2006","St Mirren Park (5,344)"
Dundee United,0,0,Dunfermline Athletic,"Saturday, August 19, 2006","Tannadice Park (6,171)"
Falkirk,1,2,Kilmarnock,"Saturday, August 19, 2006","Falkirk Stadium (5,022)"
Hibernian,3,1,Motherwell,"Saturday, August 19, 2006","Easter Road Stadium (13,274)"
Rangers,2,0,Heart of Midlothian,"Saturday, August 19, 2006","Ibrox Stadium (50,239)"
Dunfermline Athletic,1,1,Rangers,"Sunday, August 13, 2006","East End Park (8,561)"
Celtic,2,0,St Mirren,"Saturday, August 12, 2006","Celtic Park (56,579)"
Heart of Midlothian,0,0,Falkirk,"Saturday, August 12, 2006","Tynecastle Stadium (16,127)"
Inverness Caledonian Thistle,0,0,Hibernian,"Saturday, August 12, 2006","Caledonian Stadium (4,623)"
Kilmarnock,0,0,Dundee United,"Saturday, August 12, 2006","Rugby Park (5,328)"
Motherwell,0,2,Aberdeen,"Saturday, August 12, 2006","Fir Park Stadium (5,186)"
Heart of Midlothian,2,1,Celtic,"Sunday, August 6, 2006","Tynecastle Stadium (16,822)"
Aberdeen,1,1,Inverness Caledonian Thistle,"Saturday, August 5, 2006","Pittodrie Stadium (11,955)"
Falkirk,1,0,Dunfermline Athletic,"Saturday, August 5, 2006","Falkirk Stadium (5,542)"
Kilmarnock,2,1,Hibernian,"Saturday, August 5, 2006","Rugby Park (6,299)"
Rangers,2,2,Dundee United,"Saturday, August 5, 2006","Ibrox Stadium (50,394)"
St Mirren,2,0,Motherwell,"Saturday, August 5, 2006","St Mirren Park (5,036)"
Motherwell,1,2,Rangers,"Sunday, July 30, 2006","Fir Park Stadium (11,745)"
Celtic,4,1,Kilmarnock,"Saturday, July 29, 2006","Celtic Park (54,620)"
Dundee United,1,2,Falkirk,"Saturday, July 29, 2006","Tannadice Park (6,616)"
Dunfermline Athletic,1,2,Heart of Midlothian,"Saturday, July 29, 2006","East End Park (7,936)"
Hibernian,1,1,Aberdeen,"Saturday, July 29, 2006","Easter Road Stadium (15,046)"
Inverness Caledonian Thistle,1,2,St Mirren,"Saturday, July 29, 2006","Caledonian Stadium (4,267)"
