home,homescore,awayscore,away,date,location
Aberdeen,2,0,Rangers,"Sunday, May 20, 2007","Pittodrie Stadium (20,010)"
Hibernian,2,1,Celtic,"Sunday, May 20, 2007","Easter Road Stadium (13,885)"
Kilmarnock,1,0,Heart of Midlothian,"Sunday, May 20, 2007","Rugby Park (11,030)"
Dundee United,0,0,Motherwell,"Saturday, May 19, 2007","Tannadice Park (6,070)"
Dunfermline Athletic,0,3,Falkirk,"Saturday, May 19, 2007","East End Park (5,087)"
St Mirren,0,1,Inverness Caledonian Thistle,"Saturday, May 19, 2007","St Mirren Park (4,834)"
Rangers,0,1,Kilmarnock,"Sunday, May 13, 2007","Ibrox Stadium (50,085)"
Heart of Midlothian,2,0,Hibernian,"Saturday, May 12, 2007","Tynecastle Stadium (17,349)"
Celtic,2,1,Aberdeen,"Saturday, May 12, 2007","Celtic Park (59,510)"
Falkirk,2,0,Dundee United,"Saturday, May 12, 2007","Falkirk Stadium (4,161)"
Inverness Caledonian Thistle,2,1,Dunfermline Athletic,"Saturday, May 12, 2007","Caledonian Stadium (6,464)"
Motherwell,2,3,St Mirren,"Saturday, May 12, 2007","Fir Park Stadium (9,277)"
Dunfermline Athletic,4,1,Motherwell,"Monday, May 7, 2007","East End Park (6,662)"
Heart of Midlothian,1,1,Aberdeen,"Sunday, May 6, 2007","Tynecastle Stadium (17,208)"
Rangers,2,0,Celtic,"Saturday, May 5, 2007","Ibrox Stadium (50,384)"
Dundee United,0,2,St Mirren,"Saturday, May 5, 2007","Tannadice Park (6,875)"
Falkirk,1,0,Inverness Caledonian Thistle,"Saturday, May 5, 2007","Falkirk Stadium (3,129)"
Hibernian,0,1,Kilmarnock,"Saturday, May 5, 2007","Easter Road Stadium (10,674)"
St Mirren,0,1,Dunfermline Athletic,"Monday, April 30, 2007","St Mirren Park (10,251)"
Celtic,1,3,Heart of Midlothian,"Sunday, April 29, 2007","Celtic Park (59,510)"
Aberdeen,3,0,Kilmarnock,"Saturday, April 28, 2007","Pittodrie Stadium (10,046)"
Dundee United,1,1,Inverness Caledonian Thistle,"Saturday, April 28, 2007","Tannadice Park (5,273)"
Hibernian,3,3,Rangers,"Saturday, April 28, 2007","Easter Road Stadium (16,747)"
Motherwell,3,3,Falkirk,"Saturday, April 28, 2007","Fir Park Stadium (3,640)"
Falkirk,0,2,St Mirren,"Monday, April 23, 2007","Falkirk Stadium (4,441)"
Kilmarnock,1,2,Celtic,"Sunday, April 22, 2007","Rugby Park (13,623)"
