home, homescore, awayscore, away, date, group
Birmingham City, 4, 1, Blackburn Rovers, "Sunday, May 11, 2008", "St Andrews Stadium (26,668)"
Chelsea, 1, 1, Bolton Wanderers, "Sunday, May 11, 2008", "Stamford Bridge (41,755)"
Derby County, 0, 4, Reading, "Sunday, May 11, 2008", "Pride Park Stadium (33,087)"
Everton, 3, 1, Newcastle United, "Sunday, May 11, 2008", "Goodison Park (39,592)"
Middlesbrough, 8, 1, Manchester City, "Sunday, May 11, 2008", "The Riverside Stadium (27,613)"
Portsmouth, 0, 1, Fulham, "Sunday, May 11, 2008", "Fratton Park (20,532)"
Sunderland, 0, 1, Arsenal, "Sunday, May 11, 2008", "Stadium of Light (47,802)"
Tottenham Hotspur, 0, 2, Liverpool, "Sunday, May 11, 2008", "White Hart Lane (36,063)"
West Ham United, 2, 2, Aston Villa, "Sunday, May 11, 2008", "Upton Park (34,969)"
Wigan Athletic, 0, 2, Manchester United, "Sunday, May 11, 2008", "The JJB Stadium (25,133)"
Newcastle United, 0, 2, Chelsea, "Monday, May 5, 2008", "St James' Park (52,305)"
Arsenal, 1, 0, Everton, "Sunday, May 4, 2008", "Emirates Stadium (60,123)"
Liverpool, 1, 0, Manchester City, "Sunday, May 4, 2008", "Anfield (43,074)"
Manchester United, 4, 1, West Ham United, "Saturday, May 3, 2008", "Old Trafford (76,013)"
Aston Villa, 0, 2, Wigan Athletic, "Saturday, May 3, 2008", "Villa Park (42,640)"
Blackburn Rovers, 3, 1, Derby County, "Saturday, May 3, 2008", "Ewood Park (26,110)"
Fulham, 2, 0, Birmingham City, "Saturday, May 3, 2008", "Craven Cottage (25,308)"
Middlesbrough, 2, 0, Portsmouth, "Saturday, May 3, 2008", "The Riverside Stadium (24,828)"
Reading, 0, 1, Tottenham Hotspur, "Saturday, May 3, 2008", "Madejski Stadium (24,125)"
Bolton Wanderers, 2, 0, Sunderland, "Saturday, May 3, 2008", "Reebok Stadium (25,053)"
Derby County, 2, 6, Arsenal, "Monday, April 28, 2008", "Pride Park Stadium (33,003)"
Portsmouth, 0, 1, Blackburn Rovers, "Sunday, April 27, 2008", "Fratton Park (18,722)"
Everton, 2, 2, Aston Villa, "Sunday, April 27, 2008", "Goodison Park (37,936)"
Chelsea, 2, 1, Manchester United, "Saturday, April 26, 2008", "Stamford Bridge (41,828)"
Birmingham City, 2, 2, Liverpool, "Saturday, April 26, 2008", "St Andrews Stadium (29,252)"
Manchester City, 2, 3, Fulham, "Saturday, April 26, 2008", "City of Manchester Stadium (44,504)"
Sunderland, 3, 2, Middlesbrough, "Saturday, April 26, 2008", "Stadium of Light (45,059)"
Tottenham Hotspur, 1, 1, Bolton Wanderers, "Saturday, April 26, 2008", "White Hart Lane (36,176)"
West Ham United, 2, 2, Newcastle United, "Saturday, April 26, 2008", "Upton Park (34,980)"
Wigan Athletic, 0, 0, Reading, "Saturday, April 26, 2008", "The JJB Stadium (19,043)"
Aston Villa, 5, 1, Birmingham City, "Sunday, April 20, 2008", "Villa Park (42,584)"
Newcastle United, 2, 0, Sunderland, "Sunday, April 20, 2008", "St James' Park (52,305)"
Manchester City, 3, 1, Portsmouth, "Sunday, April 20, 2008", "City of Manchester Stadium (40,205)"
Arsenal, 2, 0, Reading, "Saturday, April 19, 2008", "Emirates Stadium (60,109)"
Fulham, 0, 2, Liverpool, "Saturday, April 19, 2008", "Craven Cottage (25,311)"
Middlesbrough, 0, 1, Bolton Wanderers, "Saturday, April 19, 2008", "The Riverside Stadium (25,037)"
West Ham United, 2, 1, Derby County, "Saturday, April 19, 2008", "Upton Park (34,612)"
Wigan Athletic, 1, 1, Tottenham Hotspur, "Saturday, April 19, 2008", "The JJB Stadium (18,673)"
Blackburn Rovers, 1, 1, Manchester United, "Saturday, April 19, 2008", "Ewood Park (30,316)"
Everton, 0, 1, Chelsea, "Thursday, April 17, 2008", "Goodison Park (37,112)"
Chelsea, 1, 1, Wigan Athletic, "Monday, April 14, 2008", "Stamford Bridge (40,487)"
Liverpool, 3, 1, Blackburn Rovers, "Sunday, April 13, 2008", "Anfield (43,283)"
Manchester United, 2, 1, Arsenal, "Sunday, April 13, 2008", "Old Trafford (75,985)"
Birmingham City, 1, 1, Everton, "Saturday, April 12, 2008", "St Andrews Stadium (25,923)"
Bolton Wanderers, 1, 0, West Ham United, "Saturday, April 12, 2008", "Reebok Stadium (23,043)"
Derby County, 0, 6, Aston Villa, "Saturday, April 12, 2008", "Pride Park Stadium (33,036)"
Reading, 0, 2, Fulham, "Saturday, April 12, 2008", "Madejski Stadium (24,112)"
Sunderland, 1, 2, Manchester City, "Saturday, April 12, 2008", "Stadium of Light (46,797)"
Tottenham Hotspur, 1, 1, Middlesbrough, "Saturday, April 12, 2008", "White Hart Lane (36,092)"
Portsmouth, 0, 0, Newcastle United, "Saturday, April 12, 2008", "Fratton Park (20,507)"
West Ham United, 0, 1, Portsmouth, "Tuesday, April 8, 2008", "Upton Park (33,629)"
Middlesbrough, 2, 2, Manchester United, "Sunday, April 6, 2008", "The Riverside Stadium (33,952)"
Everton, 1, 0, Derby County, "Sunday, April 6, 2008", "Goodison Park (36,017)"
Arsenal, 1, 1, Liverpool, "Saturday, April 5, 2008", "Emirates Stadium (60,111)"
Aston Villa, 4, 0, Bolton Wanderers, "Saturday, April 5, 2008", "Villa Park (37,773)"
Blackburn Rovers, 1, 1, Tottenham Hotspur, "Saturday, April 5, 2008", "Ewood Park (24,592)"
Fulham, 1, 3, Sunderland, "Saturday, April 5, 2008", "Craven Cottage (25,053)"
Manchester City, 0, 2, Chelsea, "Saturday, April 5, 2008", "City of Manchester Stadium (42,594)"
Newcastle United, 3, 0, Reading, "Saturday, April 5, 2008", "St James' Park (52,179)"
Wigan Athletic, 2, 0, Birmingham City, "Saturday, April 5, 2008", "The JJB Stadium (17,926)"
Chelsea, 1, 0, Middlesbrough, "Sunday, March 30, 2008", "Stamford Bridge (39,993)"
Tottenham Hotspur, 1, 4, Newcastle United, "Sunday, March 30, 2008", "White Hart Lane (36,067)"
Liverpool, 1, 0, Everton, "Sunday, March 30, 2008", "Anfield (44,295)"
Birmingham City, 3, 1, Manchester City, "Saturday, March 29, 2008", "St Andrews Stadium (22,962)"
Bolton Wanderers, 2, 3, Arsenal, "Saturday, March 29, 2008", "Reebok Stadium (22,431)"
Derby County, 2, 2, Fulham, "Saturday, March 29, 2008", "Pride Park Stadium (33,034)"
Portsmouth, 2, 0, Wigan Athletic, "Saturday, March 29, 2008", "Fratton Park (18,623)"
Reading, 0, 0, Blackburn Rovers, "Saturday, March 29, 2008", "Madejski Stadium (24,374)"
Sunderland, 2, 1, West Ham United, "Saturday, March 29, 2008", "Stadium of Light (45,690)"
Manchester United, 4, 0, Aston Villa, "Saturday, March 29, 2008", "Old Trafford (75,932)"
Manchester United, 3, 0, Liverpool, "Sunday, March 23, 2008", "Old Trafford (76,000)"
Chelsea, 2, 1, Arsenal, "Sunday, March 23, 2008", "Stamford Bridge (41,824)"
Tottenham Hotspur, 2, 0, Portsmouth, "Saturday, March 22, 2008", "White Hart Lane (35,998)"
Aston Villa, 0, 1, Sunderland, "Saturday, March 22, 2008", "Villa Park (42,640)"
Blackburn Rovers, 3, 1, Wigan Athletic, "Saturday, March 22, 2008", "Ewood Park (23,541)"
Bolton Wanderers, 0, 0, Manchester City, "Saturday, March 22, 2008", "Reebok Stadium (22,633)"
Middlesbrough, 1, 0, Derby County, "Saturday, March 22, 2008", "The Riverside Stadium (25,649)"
Newcastle United, 2, 0, Fulham, "Saturday, March 22, 2008", "St James' Park (52,293)"
Reading, 2, 1, Birmingham City, "Saturday, March 22, 2008", "Madejski Stadium (24,085)"
Everton, 1, 1, West Ham United, "Saturday, March 22, 2008", "Goodison Park (37,430)"
Manchester United, 2, 0, Bolton Wanderers, "Wednesday, March 19, 2008", "Old Trafford (75,476)"
Tottenham Hotspur, 4, 4, Chelsea, "Wednesday, March 19, 2008", "White Hart Lane (36,178)"
Birmingham City, 1, 1, Newcastle United, "Monday, March 17, 2008", "St Andrews Stadium (25,777)"
Fulham, 1, 0, Everton, "Sunday, March 16, 2008", "Craven Cottage (25,262)"
Wigan Athletic, 1, 0, Bolton Wanderers, "Sunday, March 16, 2008", "The JJB Stadium (17,055)"
Manchester City, 2, 1, Tottenham Hotspur, "Sunday, March 16, 2008", "City of Manchester Stadium (40,180)"
Derby County, 0, 1, Manchester United, "Saturday, March 15, 2008", "Pride Park Stadium (33,072)"
Liverpool, 2, 1, Reading, "Saturday, March 15, 2008", "Anfield (43,524)"
Portsmouth, 2, 0, Aston Villa, "Saturday, March 15, 2008", "Fratton Park (20,388)"
Sunderland, 0, 1, Chelsea, "Saturday, March 15, 2008", "Stadium of Light (44,679)"
West Ham United, 2, 1, Blackburn Rovers, "Saturday, March 15, 2008", "Upton Park (34,006)"
Arsenal, 1, 1, Middlesbrough, "Saturday, March 15, 2008", "Emirates Stadium (60,084)"
Aston Villa, 1, 1, Middlesbrough, "Wednesday, March 12, 2008", "Villa Park (39,874)"
Portsmouth, 4, 2, Birmingham City, "Wednesday, March 12, 2008", "Fratton Park (20,138)"
Chelsea, 6, 1, Derby County, "Wednesday, March 12, 2008", "Stamford Bridge (39,447)"
Sunderland, 0, 1, Everton, "Sunday, March 9, 2008", "Stadium of Light (42,595)"
Tottenham Hotspur, 4, 0, West Ham United, "Sunday, March 9, 2008", "White Hart Lane (36,062)"
Wigan Athletic, 0, 0, Arsenal, "Sunday, March 9, 2008", "The JJB Stadium (19,676)"
Blackburn Rovers, 1, 1, Fulham, "Saturday, March 8, 2008", "Ewood Park (20,362)"
Liverpool, 3, 0, Newcastle United, "Saturday, March 8, 2008", "Anfield (44,031)"
Reading, 2, 0, Manchester City, "Saturday, March 8, 2008", "Madejski Stadium (24,062)"
Liverpool, 4, 0, West Ham United, "Wednesday, March 5, 2008", "Anfield (42,954)"
Bolton Wanderers, 1, 3, Liverpool, "Sunday, March 2, 2008", "Reebok Stadium (24,004)"
Everton, 3, 1, Portsmouth, "Sunday, March 2, 2008", "Goodison Park (33,938)"
Arsenal, 1, 1, Aston Villa, "Saturday, March 1, 2008", "Emirates Stadium (60,097)"
Birmingham City, 4, 1, Tottenham Hotspur, "Saturday, March 1, 2008", "St Andrews Stadium (26,055)"
Derby County, 0, 0, Sunderland, "Saturday, March 1, 2008", "Pride Park Stadium (33,058)"
Fulham, 0, 3, Manchester United, "Saturday, March 1, 2008", "Craven Cottage (25,314)"
Middlesbrough, 0, 1, Reading, "Saturday, March 1, 2008", "The Riverside Stadium (23,273)"
Newcastle United, 0, 1, Blackburn Rovers, "Saturday, March 1, 2008", "St James' Park (50,796)"
West Ham United, 0, 4, Chelsea, "Saturday, March 1, 2008", "Upton Park (34,969)"
Manchester City, 0, 0, Wigan Athletic, "Saturday, March 1, 2008", "City of Manchester Stadium (38,261)"
Manchester City, 0, 2, Everton, "Monday, February 25, 2008", "City of Manchester Stadium (41,728)"
Reading, 1, 2, Aston Villa, "Sunday, February 24, 2008", "Madejski Stadium (23,889)"
Blackburn Rovers, 4, 1, Bolton Wanderers, "Sunday, February 24, 2008", "Ewood Park (23,995)"
Birmingham City, 2, 2, Arsenal, "Saturday, February 23, 2008", "St Andrews Stadium (27,195)"
Fulham, 0, 1, West Ham United, "Saturday, February 23, 2008", "Craven Cottage (25,280)"
Liverpool, 3, 2, Middlesbrough, "Saturday, February 23, 2008", "Anfield (43,612)"
Portsmouth, 1, 0, Sunderland, "Saturday, February 23, 2008", "Fratton Park (20,139)"
Wigan Athletic, 2, 0, Derby County, "Saturday, February 23, 2008", "The JJB Stadium (20,176)"
Newcastle United, 1, 5, Manchester United, "Saturday, February 23, 2008", "St James' Park (52,291)"
Arsenal, 2, 0, Blackburn Rovers, "Monday, February 11, 2008", "Emirates Stadium (60,049)"
Manchester United, 1, 2, Manchester City, "Sunday, February 10, 2008", "Old Trafford (75,970)"
Chelsea, 0, 0, Liverpool, "Sunday, February 10, 2008", "Stamford Bridge (41,788)"
Aston Villa, 4, 1, Newcastle United, "Saturday, February 9, 2008", "Villa Park (42,640)"
Bolton Wanderers, 0, 1, Portsmouth, "Saturday, February 9, 2008", "Reebok Stadium (18,544)"
Derby County, 0, 3, Tottenham Hotspur, "Saturday, February 9, 2008", "Pride Park Stadium (33,058)"
Everton, 1, 0, Reading, "Saturday, February 9, 2008", "Goodison Park (36,582)"
Middlesbrough, 1, 0, Fulham, "Saturday, February 9, 2008", "The Riverside Stadium (26,885)"
Sunderland, 2, 0, Wigan Athletic, "Saturday, February 9, 2008", "Stadium of Light (43,600)"
West Ham United, 1, 1, Birmingham City, "Saturday, February 9, 2008", "Upton Park (34,884)"
Newcastle United, 1, 1, Middlesbrough, "Sunday, February 3, 2008", "St James' Park (51,105)"
Fulham, 2, 1, Aston Villa, "Sunday, February 3, 2008", "Craven Cottage (24,760)"
Manchester City, 1, 3, Arsenal, "Saturday, February 2, 2008", "City of Manchester Stadium (46,426)"
Birmingham City, 1, 1, Derby County, "Saturday, February 2, 2008", "St Andrews Stadium (25,924)"
Blackburn Rovers, 0, 0, Everton, "Saturday, February 2, 2008", "Ewood Park (27,946)"
Portsmouth, 1, 1, Chelsea, "Saturday, February 2, 2008", "Fratton Park (20,488)"
Reading, 0, 2, Bolton Wanderers, "Saturday, February 2, 2008", "Madejski Stadium (21,893)"
Tottenham Hotspur, 1, 1, Manchester United, "Saturday, February 2, 2008", "White Hart Lane (36,075)"
Wigan Athletic, 1, 0, West Ham United, "Saturday, February 2, 2008", "The JJB Stadium (20,525)"
Liverpool, 3, 0, Sunderland, "Saturday, February 2, 2008", "Anfield (43,244)"
Chelsea, 1, 0, Reading, "Wednesday, January 30, 2008", "Stamford Bridge (41,171)"
Derby County, 1, 1, Manchester City, "Wednesday, January 30, 2008", "Pride Park Stadium (31,368)"
West Ham United, 1, 0, Liverpool, "Wednesday, January 30, 2008", "Upton Park (34,977)"
Everton, 0, 0, Tottenham Hotspur, "Wednesday, January 30, 2008", "Goodison Park (35,840)"
Manchester United, 2, 0, Portsmouth, "Wednesday, January 30, 2008", "Old Trafford (75,415)"
Arsenal, 3, 0, Newcastle United, "Tuesday, January 29, 2008", "Emirates Stadium (60,127)"
Bolton Wanderers, 0, 0, Fulham, "Tuesday, January 29, 2008", "Reebok Stadium (17,732)"
Middlesbrough, 1, 0, Wigan Athletic, "Tuesday, January 29, 2008", "The Riverside Stadium (22,963)"
Sunderland, 2, 0, Birmingham City, "Tuesday, January 29, 2008", "Stadium of Light (37,674)"
Aston Villa, 1, 1, Blackburn Rovers, "Saturday, January 26, 2008", "Villa Park (39,602)"
Liverpool, 2, 2, Aston Villa, "Monday, January 21, 2008", "Anfield (42,590)"
Wigan Athletic, 1, 2, Everton, "Sunday, January 20, 2008", "The JJB Stadium (18,820)"
Manchester City, 1, 1, West Ham United, "Sunday, January 20, 2008", "City of Manchester Stadium (39,042)"
Birmingham City, 0, 1, Chelsea, "Saturday, January 19, 2008", "St Andrews Stadium (26,567)"
Blackburn Rovers, 1, 1, Middlesbrough, "Saturday, January 19, 2008", "Ewood Park (21,687)"
Fulham, 0, 3, Arsenal, "Saturday, January 19, 2008", "Craven Cottage (25,297)"
Portsmouth, 3, 1, Derby County, "Saturday, January 19, 2008", "Fratton Park (19,401)"
Reading, 0, 2, Manchester United, "Saturday, January 19, 2008", "Madejski Stadium (24,135)"
Tottenham Hotspur, 2, 0, Sunderland, "Saturday, January 19, 2008", "White Hart Lane (36,070)"
Newcastle United, 0, 0, Bolton Wanderers, "Saturday, January 19, 2008", "St James' Park (52,250)"
Sunderland, 2, 0, Portsmouth, "Sunday, January 13, 2008", "Stadium of Light (37,369)"
Bolton Wanderers, 1, 2, Blackburn Rovers, "Sunday, January 13, 2008", "Reebok Stadium (18,315)"
Arsenal, 1, 1, Birmingham City, "Saturday, January 12, 2008", "Emirates Stadium (60,037)"
Aston Villa, 3, 1, Reading, "Saturday, January 12, 2008", "Villa Park (32,288)"
Chelsea, 2, 0, Tottenham Hotspur, "Saturday, January 12, 2008", "Stamford Bridge (41,777)"
Derby County, 0, 1, Wigan Athletic, "Saturday, January 12, 2008", "Pride Park Stadium (31,658)"
Everton, 1, 0, Manchester City, "Saturday, January 12, 2008", "Goodison Park (38,474)"
Middlesbrough, 1, 1, Liverpool, "Saturday, January 12, 2008", "The Riverside Stadium (33,035)"
West Ham United, 2, 1, Fulham, "Saturday, January 12, 2008", "Upton Park (34,947)"
Manchester United, 6, 0, Newcastle United, "Saturday, January 12, 2008", "Old Trafford (75,965)"
Newcastle United, 0, 2, Manchester City, "Wednesday, January 2, 2008", "St James' Park (50,956)"
Blackburn Rovers, 1, 0, Sunderland, "Wednesday, January 2, 2008", "Ewood Park (23,212)"
Bolton Wanderers, 1, 0, Derby County, "Wednesday, January 2, 2008", "Reebok Stadium (17,014)"
Liverpool, 1, 1, Wigan Athletic, "Wednesday, January 2, 2008", "Anfield (42,308)"
Fulham, 1, 2, Chelsea, "Tuesday, January 1, 2008", "Craven Cottage (25,357)"
Arsenal, 2, 0, West Ham United, "Tuesday, January 1, 2008", "Emirates Stadium (60,102)"
Manchester United, 1, 0, Birmingham City, "Tuesday, January 1, 2008", "Old Trafford (75,459)"
Middlesbrough, 0, 2, Everton, "Tuesday, January 1, 2008", "The Riverside Stadium (27,028)"
