home,homescore,awayscore,away,date,location
Celtic,2,1,Dundee United,"Sunday, May 16, 2004","Celtic Park (58,386)"
Dunfermline Athletic,2,3,Rangers,"Sunday, May 16, 2004","East End Park (6,798)"
Heart of Midlothian,3,2,Motherwell,"Sunday, May 16, 2004","Tynecastle Stadium (11,619)"
Aberdeen,1,2,Dundee,"Saturday, May 15, 2004","Pittodrie Stadium (7,878)"
Livingston,4,1,Hibernian,"Saturday, May 15, 2004","The City Stadium (4,409)"
Partick Thistle,2,2,Kilmarnock,"Saturday, May 15, 2004","Firhill Stadium (4,124)"
Dundee,2,0,Livingston,"Wednesday, May 12, 2004","Dens Park stadium (4,954)"
Kilmarnock,4,0,Aberdeen,"Wednesday, May 12, 2004","Rugby Park (4,987)"
Motherwell,1,1,Celtic,"Wednesday, May 12, 2004","Fir Park Stadium (7,749)"
Rangers,0,1,Heart of Midlothian,"Wednesday, May 12, 2004","Ibrox Stadium (47,467)"
Dundee United,3,2,Dunfermline Athletic,"Tuesday, May 11, 2004","Tannadice Park (5,998)"
Livingston,2,2,Partick Thistle,"Sunday, May 9, 2004","The City Stadium (3,160)"
Celtic,1,0,Rangers,"Saturday, May 8, 2004","Celtic Park (58,851)"
Aberdeen,0,1,Hibernian,"Saturday, May 8, 2004","Pittodrie Stadium (6,781)"
Dundee,2,0,Kilmarnock,"Saturday, May 8, 2004","Dens Park stadium (4,942)"
Heart of Midlothian,2,1,Dunfermline Athletic,"Saturday, May 8, 2004","Tynecastle Stadium (10,846)"
Motherwell,0,1,Dundee United,"Saturday, May 8, 2004","Fir Park Stadium (5,722)"
Hibernian,1,2,Partick Thistle,"Wednesday, May 5, 2004","Easter Road Stadium (5,447)"
Celtic,1,2,Dunfermline Athletic,"Sunday, May 2, 2004","Celtic Park (59,739)"
Dundee United,0,2,Heart of Midlothian,"Saturday, May 1, 2004","Tannadice Park (6,620)"
Hibernian,1,0,Dundee,"Saturday, May 1, 2004","Easter Road Stadium (6,180)"
Kilmarnock,4,2,Livingston,"Saturday, May 1, 2004","Rugby Park (5,023)"
Partick Thistle,2,0,Aberdeen,"Saturday, May 1, 2004","Firhill Stadium (2,839)"
Rangers,4,0,Motherwell,"Saturday, May 1, 2004","Ibrox Stadium (47,579)"
Heart of Midlothian,1,1,Celtic,"Sunday, April 25, 2004","Tynecastle Stadium (12,112)"
