home, homescore, awayscore, away, date, group
Bayer Leverkusen, 2, 1, Hertha Berlin, "Saturday, May 4, 2002", "BayArena (22,500)"
Bayern Munich, 3, 2, Hansa Rostock, "Saturday, May 4, 2002", "Olympiastadion (63,000)"
Borussia Dortmund, 2, 1, Werder Bremen, "Saturday, May 4, 2002", "Westfalenstadion (68,600)"
Borussia Monchengladbach, 2, 4, TSV 1860 Munich, "Saturday, May 4, 2002", "Stadium Bokelberg (34,500)"
Energie Cottbus, 2, 3, FC Cologne, "Saturday, May 4, 2002", "Stadion der Freundschaft (20,000)"
SC Freiburg, 4, 3, Hamburg SV, "Saturday, May 4, 2002", "Dreisamstadion  (24,000)"
Schalke 04, 1, 2, VfL Wolfsburg, "Saturday, May 4, 2002", "Arena Auf Schalke (60,638)"
St Pauli, 2, 3, Nurnberg, "Saturday, May 4, 2002", "Wilhem-Koch-Stadion (20,500)"
VfB Stuttgart, 4, 3, Kaiserslautern, "Saturday, May 4, 2002", "Gottlieb-Daimler Stadion (30,000)"
FC Cologne, 2, 0, SC Freiburg, "Saturday, April 27, 2002", "Mungersdorfer Stadion (30,000)"
Hamburg SV, 3, 4, Borussia Dortmund, "Saturday, April 27, 2002", "Volksparkstadion (55,000)"
Hansa Rostock, 1, 1, Borussia Monchengladbach, "Saturday, April 27, 2002", "Ostseestadion (25,800)"
Hertha Berlin, 2, 0, Schalke 04, "Saturday, April 27, 2002", "Olympia Stadium (54,000)"
Kaiserslautern, 4, 0, Energie Cottbus, "Saturday, April 27, 2002", "Fritz-Walter Stadion (40,000)"
Nurnberg, 1, 0, Bayer Leverkusen, "Saturday, April 27, 2002", "Frankenstadion (24,000)"
TSV 1860 Munich, 3, 3, VfB Stuttgart, "Saturday, April 27, 2002", "Olympiastadion (30,000)"
VfL Wolfsburg, 0, 1, Bayern Munich, "Saturday, April 27, 2002", "VFL-Stadion (20,400)"
Werder Bremen, 3, 2, St Pauli, "Saturday, April 27, 2002", "Weserstadion (35,600)"
Borussia Monchengladbach, 2, 2, VfB Stuttgart, "Sunday, April 21, 2002", "Stadium Bokelberg (28,850)"
SC Freiburg, 3, 1, Kaiserslautern, "Sunday, April 21, 2002", "Dreisamstadion  (25,000)"
Bayer Leverkusen, 1, 2, Werder Bremen, "Saturday, April 20, 2002", "BayArena (22,500)"
Bayern Munich, 3, 0, Hertha Berlin, "Saturday, April 20, 2002", "Olympiastadion (63,000)"
Borussia Dortmund, 2, 1, FC Cologne, "Saturday, April 20, 2002", "Westfalenstadion (68,500)"
Energie Cottbus, 1, 1, TSV 1860 Munich, "Saturday, April 20, 2002", "Stadion der Freundschaft (40,000)"
Schalke 04, 2, 1, Nurnberg, "Saturday, April 20, 2002", "Arena Auf Schalke (60,643)"
VfL Wolfsburg, 4, 0, Hansa Rostock, "Saturday, April 20, 2002", "VFL-Stadion (12,650)"
St Pauli, 0, 4, Hamburg SV, "Friday, April 19, 2002", "Wilhem-Koch-Stadion (54,130)"
Kaiserslautern, 1, 0, Borussia Dortmund, "Sunday, April 14, 2002", "Fritz-Walter Stadion (40,500)"
VfB Stuttgart, 0, 0, Energie Cottbus, "Sunday, April 14, 2002", "Gottlieb-Daimler Stadion (21,000)"
Borussia Monchengladbach, 0, 2, VfL Wolfsburg, "Saturday, April 13, 2002", "Stadium Bokelberg (27,000)"
FC Cologne, 2, 1, St Pauli, "Saturday, April 13, 2002", "Mungersdorfer Stadion (26,000)"
Hamburg SV, 1, 1, Bayer Leverkusen, "Saturday, April 13, 2002", "Volksparkstadion (55,000)"
Hertha Berlin, 1, 0, Hansa Rostock, "Saturday, April 13, 2002", "Olympia Stadium (42,000)"
Nurnberg, 1, 2, Bayern Munich, "Saturday, April 13, 2002", "Frankenstadion (44,000)"
TSV 1860 Munich, 5, 2, SC Freiburg, "Saturday, April 13, 2002", "Olympiastadion (207,000)"
Werder Bremen, 3, 0, Schalke 04, "Saturday, April 13, 2002", "Weserstadion (35,600)"
Borussia Dortmund, 2, 1, TSV 1860 Munich, "Sunday, April 7, 2002", "Westfalenstadion (65,000)"
SC Freiburg, 0, 2, VfB Stuttgart, "Sunday, April 7, 2002", "Dreisamstadion  (25,000)"
Bayer Leverkusen, 2, 0, FC Cologne, "Saturday, April 6, 2002", "BayArena (22,500)"
Bayern Munich, 2, 2, Werder Bremen, "Saturday, April 6, 2002", "Olympiastadion (52,000)"
Energie Cottbus, 3, 3, Borussia Monchengladbach, "Saturday, April 6, 2002", "Stadion der Freundschaft (18,000)"
Hansa Rostock, 1, 0, Nurnberg, "Saturday, April 6, 2002", "Ostseestadion (15,000)"
Schalke 04, 2, 0, Hamburg SV, "Saturday, April 6, 2002", "Arena Auf Schalke (60,683)"
St Pauli, 1, 1, Kaiserslautern, "Saturday, April 6, 2002", "Wilhem-Koch-Stadion (20,600)"
VfL Wolfsburg, 1, 3, Hertha Berlin, "Saturday, April 6, 2002", "VFL-Stadion (18,361)"
FC Cologne, 1, 1, Schalke 04, "Sunday, March 31, 2002", "Mungersdorfer Stadion (30,000)"
Werder Bremen, 4, 3, Hansa Rostock, "Sunday, March 31, 2002", "Weserstadion (26,742)"
Borussia Monchengladbach, 3, 1, Hertha Berlin, "Saturday, March 30, 2002", "Stadium Bokelberg (31,300)"
Energie Cottbus, 2, 0, SC Freiburg, "Saturday, March 30, 2002", "Stadion der Freundschaft (15,000)"
Hamburg SV, 0, 0, Bayern Munich, "Saturday, March 30, 2002", "Volksparkstadion (55,000)"
Kaiserslautern, 2, 4, Bayer Leverkusen, "Saturday, March 30, 2002", "Fritz-Walter Stadion (40,000)"
Nurnberg, 3, 0, VfL Wolfsburg, "Saturday, March 30, 2002", "Frankenstadion (23,600)"
TSV 1860 Munich, 4, 2, St Pauli, "Saturday, March 30, 2002", "Olympiastadion (21,400)"
VfB Stuttgart, 3, 2, Borussia Dortmund, "Saturday, March 30, 2002", "Gottlieb-Daimler Stadion (33,000)"
Borussia Dortmund, 3, 0, Energie Cottbus, "Sunday, March 24, 2002", "Westfalenstadion (63,000)"
