home,homescore,awayscore,away,date,location
Nice,4,0,Valenciennes,"Sunday, September 22, 2013","Municipal du Ray (34,459)"
Paris Saint-Germain ,1,1,AS Monaco,"Sunday, September 22, 2013","Parc des Princes (45,416)"
Bastia,0,0,Marseille,"Saturday, September 21, 2013","Armand-Cesari-Furiani (14,995)"
Evian Thonon Gaillard,2,2,Montpellier,"Saturday, September 21, 2013","Parc des Sports (10,531)"
Sochaux,0,2,Lille,"Saturday, September 21, 2013","Auguste-Bonal (10,511)"
Stade de Reims,1,1,Guingamp,"Saturday, September 21, 2013","Auguste Delaune (13,365)"
Stade Rennes,2,0,AC Ajaccio,"Saturday, September 21, 2013","Route de Lorient  (14,865)"
St Etienne,1,2,Toulouse,"Friday, September 20, 2013","Geoffroy-Guichard (26,527)"
AS Monaco,1,0,Lorient,"Sunday, September 15, 2013","Stade Louis II (8,186)"
Lille,0,2,Nice,"Sunday, September 15, 2013","Grand Stade Lille Metropole (17,000)"
Lyon,0,0,Stade Rennes,"Sunday, September 15, 2013","Municipal De Gerland (33,352)"
Toulouse,1,1,Marseille,"Saturday, September 14, 2013","Stadium Municipal (20,111)"
AC Ajaccio,2,3,Evian Thonon Gaillard,"Saturday, September 14, 2013","Francois-Coty  (5,784)"
Guingamp,1,1,Bastia,"Saturday, September 14, 2013","Du Roudourou (13,084)"
Montpellier,0,0,Stade de Reims,"Saturday, September 14, 2013","La Mosson (11,667)"
Nantes,1,0,Sochaux,"Saturday, September 14, 2013","La Beaujoire (22,864)"
Valenciennes,1,3,St Etienne,"Saturday, September 14, 2013","Stade Nungesser (13,550)"
Bordeaux,0,2,Paris Saint-Germain ,"Friday, September 13, 2013","Chaban-Delmas (29,548)"
St Etienne,2,1,Bordeaux,"Sunday, September 1, 2013","Geoffroy-Guichard (26,091)"
Nice,2,2,Montpellier,"Sunday, September 1, 2013","Municipal du Ray (14,962)"
Marseille,1,2,AS Monaco,"Sunday, September 1, 2013","Stade Velodrome (44,995)"
Evian Thonon Gaillard,2,1,Lyon,"Saturday, August 31, 2013","Parc des Sports (12,669)"
Paris Saint-Germain ,2,0,Guingamp,"Saturday, August 31, 2013","Parc des Princes (44,943)"
Bastia,2,1,Toulouse,"Saturday, August 31, 2013","Armand-Cesari-Furiani (13,669)"
Lorient,1,0,Valenciennes,"Saturday, August 31, 2013","Stade du Moustoir (15,188)"
Sochaux,0,0,AC Ajaccio,"Saturday, August 31, 2013","Auguste-Bonal (10,294)"
