home,homescore,awayscore,away,date,location
De Graafschap,2,2,PSV Eindhoven,"Sunday, May 5, 2002","De Vijverberg (11,000)"
FC Den Bosch,0,1,AZ Alkmaar,"Sunday, May 5, 2002","Ecco Stadion (4,626)"
FC Utrecht,0,0,NAC Breda,"Sunday, May 5, 2002","Nieuwe Galgenwaard (13,300)"
Fortuna Sittard,0,0,Roda JC Kerkrade,"Sunday, May 5, 2002","Wagner & Partners Stadion (5,500)"
Heerenveen,0,0,Twente Enschede,"Sunday, May 5, 2002","Abe Lenstra Stadion (14,400)"
NEC Nijmegen,0,2,Ajax Amsterdam,"Sunday, May 5, 2002","De Goffert (11,000)"
RKC Waalwijk,3,2,Vitesse Arnhem,"Sunday, May 5, 2002","Sportp. Olympia/Mandemakers Stadion (7,500)"
Sparta Rotterdam,0,0,FC Groningen,"Sunday, May 5, 2002","ENECO (7,200)"
Willem II Tilburg,0,0,Feyenoord Rotterdam,"Sunday, May 5, 2002","Willem II  (14,400)"
Ajax Amsterdam,2,0,FC Den Bosch,"Sunday, April 28, 2002","Amsterdam ArenA (40,335)"
AZ Alkmaar,5,0,NEC Nijmegen,"Sunday, April 28, 2002","Alkmaarder Hout (7,175)"
FC Groningen,2,0,De Graafschap,"Sunday, April 28, 2002","Oosterpark  (12,500)"
Feyenoord Rotterdam,3,2,Heerenveen,"Sunday, April 28, 2002","De Kuip Stadion  (45,000)"
NAC Breda,3,1,Fortuna Sittard,"Sunday, April 28, 2002","Fujifilm  (10,400)"
PSV Eindhoven,3,0,Sparta Rotterdam,"Sunday, April 28, 2002","Philipsstadion (33,000)"
Roda JC Kerkrade,1,0,RKC Waalwijk,"Sunday, April 28, 2002","Parkstad Limburg Stadion (14,500)"
Twente Enschede,2,0,FC Utrecht,"Sunday, April 28, 2002","Arke Stadion (13,250)"
Vitesse Arnhem,4,2,Willem II Tilburg,"Sunday, April 28, 2002","Gelredome (25,250)"
De Graafschap,1,0,Feyenoord Rotterdam,"Thursday, April 25, 2002","De Vijverberg (11,000)"
FC Utrecht,3,2,AZ Alkmaar,"Wednesday, April 24, 2002","Nieuwe Galgenwaard (13,000)"
Heerenveen,2,0,FC Groningen,"Wednesday, April 24, 2002","Abe Lenstra Stadion (14,400)"
PSV Eindhoven,6,0,Willem II Tilburg,"Wednesday, April 24, 2002","Philipsstadion (31,000)"
Ajax Amsterdam,1,0,FC Utrecht,"Sunday, April 21, 2002","Amsterdam ArenA (33,850)"
NEC Nijmegen,2,1,FC Den Bosch,"Sunday, April 21, 2002","De Goffert (9,500)"
Heerenveen,0,0,Roda JC Kerkrade,"Saturday, April 20, 2002","Abe Lenstra Stadion (14,300)"
Twente Enschede,1,1,PSV Eindhoven,"Saturday, April 20, 2002","Arke Stadion (13,250)"
Willem II Tilburg,2,2,De Graafschap,"Saturday, April 20, 2002","Willem II  (13,000)"
RKC Waalwijk,4,1,NAC Breda,"Saturday, April 20, 2002","Sportp. Olympia/Mandemakers Stadion (7,300)"
Sparta Rotterdam,0,1,Vitesse Arnhem,"Saturday, April 20, 2002","ENECO (8,000)"
Fortuna Sittard,1,2,Feyenoord Rotterdam,"Friday, April 19, 2002","Wagner & Partners Stadion (12,000)"
PSV Eindhoven,2,0,Feyenoord Rotterdam,"Sunday, April 14, 2002","Philipsstadion (33,000)"
Sparta Rotterdam,0,4,Ajax Amsterdam,"Sunday, April 14, 2002","ENECO (9,250)"
FC Groningen,0,1,Vitesse Arnhem,"Sunday, April 14, 2002","Oosterpark  (12,000)"
RKC Waalwijk,1,2,FC Utrecht,"Sunday, April 14, 2002","Sportp. Olympia/Mandemakers Stadion (6,000)"
De Graafschap,1,2,Heerenveen,"Saturday, April 13, 2002","De Vijverberg (11,000)"
FC Den Bosch,3,1,Roda JC Kerkrade,"Saturday, April 13, 2002","Ecco Stadion (5,784)"
Fortuna Sittard,2,0,Twente Enschede,"Saturday, April 13, 2002","Wagner & Partners Stadion (4,000)"
