home, homescore, awayscore, away, date, group
AJ Auxerre, 1, 2, Montpellier, "Sunday, May 20, 2012", "Stade Abbe-Deschamps "
Evian Thonon Gaillard, 0, 1, Brest, "Sunday, May 20, 2012", "Parc des Sports, Annecy "
Lille, 4, 1, AS Nancy Lorraine, "Sunday, May 20, 2012", "Stadium Lille Métropole "
Lorient, 1, 2, Paris Saint-Germain , "Sunday, May 20, 2012", "Stade du Moustoir "
Lyon, 3, 4, Nice, "Sunday, May 20, 2012", "Stade de Gerland "
Sochaux, 1, 0, Marseille, "Sunday, May 20, 2012", "Stade Bonal "
St Etienne, 2, 3, Bordeaux, "Sunday, May 20, 2012", "Stade Geoffrey-Guichard "
Stade Rennes, 5, 0, Dijon FCO, "Sunday, May 20, 2012", "Stade dele Route--de-Lorient "
Toulouse, 0, 2, AC Ajaccio, "Sunday, May 20, 2012", "Stadium Municipal "
Valenciennes, 3, 1, Caen, "Sunday, May 20, 2012", "Stade du Hainaut "
AC Ajaccio, 1, 1, Lyon, "Sunday, May 13, 2012", "Stade Francois-Coty (8,149)"
AS Nancy Lorraine, 3, 2, St Etienne, "Sunday, May 13, 2012", "Stade Marcel Picot (17,408)"
Bordeaux, 1, 0, Lorient, "Sunday, May 13, 2012", "Stade Jacques Chaban-Delmas (19,320)"
Brest, 1, 0, Valenciennes, "Sunday, May 13, 2012", "Stade Francis-le Blé (13,615)"
Caen, 1, 3, Sochaux, "Sunday, May 13, 2012", "Stade Michel-d'Ornano (17,191)"
Dijon FCO, 1, 1, Toulouse, "Sunday, May 13, 2012", "Stade Gaston Gérard (14,016)"
Marseille, 3, 0, AJ Auxerre, "Sunday, May 13, 2012", "Stade Vélodrome (40,087)"
Montpellier, 1, 0, Lille, "Sunday, May 13, 2012", "Stade de la Mosson (27,649)"
Nice, 1, 1, Evian Thonon Gaillard, "Sunday, May 13, 2012", "Stade du Ray "
Paris Saint-Germain , 3, 0, Stade Rennes, "Sunday, May 13, 2012", "Parc des Princes (45,537)"
Evian Thonon Gaillard, 1, 3, Lyon, "Thursday, May 10, 2012", "Parc des Sports, Annecy "
AJ Auxerre, 2, 4, Bordeaux, "Monday, May 7, 2012", "Stade Abbé-Deschamps (16,553)"
Lille, 3, 0, Caen, "Monday, May 7, 2012", "Stadium Lille Métropole (16,941)"
Lorient, 0, 0, Dijon FCO, "Monday, May 7, 2012", "Stade du Moustoir (16,966)"
Sochaux, 1, 0, AS Nancy Lorraine, "Monday, May 7, 2012", "Stade Bonal (18,223)"
St Etienne, 0, 0, Marseille, "Monday, May 7, 2012", "Stade Geoffroy-Guichard (22,422)"
Toulouse, 0, 0, Nice, "Monday, May 7, 2012", "Stadium Municipal (31,805)"
Stade Rennes, 0, 2, Montpellier, "Monday, May 7, 2012", "Stade de la Route-de-Lorient (28,172)"
Evian Thonon Gaillard, 2, 1, AC Ajaccio, "Sunday, May 6, 2012", "Parc des Sports, Annecy "
Lyon, 1, 1, Brest, "Sunday, May 6, 2012", "Stade de Gerland "
Valenciennes, 3, 4, Paris Saint-Germain , "Sunday, May 6, 2012", "Stade du Hainaut "
Dijon FCO, 0, 2, AJ Auxerre, "Thursday, May 3, 2012", "Stade Gaston Gérard (14,764)"
AC Ajaccio, 2, 1, Sochaux, "Wednesday, May 2, 2012", "Stade Francois-Coty (8,171)"
Bordeaux, 2, 0, Stade Rennes, "Wednesday, May 2, 2012", "Stade Jacques Chaban-Delmas (19,531)"
Brest, 0, 0, Toulouse, "Wednesday, May 2, 2012", "Stade Francis-le Blé (13,183)"
Caen, 1, 0, Lorient, "Wednesday, May 2, 2012", "Stade Michel-d'Ornano (13,518)"
Lyon, 4, 1, Valenciennes, "Wednesday, May 2, 2012", "Stade de Gerland (30,890)"
Marseille, 1, 0, AS Nancy Lorraine, "Wednesday, May 2, 2012", "Stade Vélodrome (39,430)"
Nice, 0, 1, Lille, "Wednesday, May 2, 2012", "Stade du Ray (10,570)"
Paris Saint-Germain , 2, 0, St Etienne, "Wednesday, May 2, 2012", "Parc des Princes (43,961)"
Montpellier, 2, 2, Evian Thonon Gaillard, "Tuesday, May 1, 2012", "Stade de la Mosson (22,599)"
AJ Auxerre, 4, 0, Brest, "Sunday, April 29, 2012", "Stade Abbé-Deschamps (14,421)"
AS Nancy Lorraine, 1, 1, Caen, "Sunday, April 29, 2012", "Stade Marcel Picot (17,017)"
Sochaux, 0, 3, Bordeaux, "Sunday, April 29, 2012", "Stade Bonal (19,352)"
St Etienne, 1, 0, Dijon FCO, "Sunday, April 29, 2012", "Stade Geoffroy-Guichard "
Stade Rennes, 3, 1, AC Ajaccio, "Sunday, April 29, 2012", "Stade de la Route-de-Lorient (17,498)"
Valenciennes, 2, 0, Nice, "Sunday, April 29, 2012", "Stade du Hainaut (13,288)"
Lille, 2, 1, Paris Saint-Germain , "Sunday, April 29, 2012", "Stadium Lille Métropole "
Toulouse, 0, 1, Montpellier, "Friday, April 27, 2012", "Stadium Municipal "
Lorient, 2, 1, Marseille, "Friday, April 27, 2012", "Stade du Moustoir "
AC Ajaccio, 0, 0, AS Nancy Lorraine, "Sunday, April 22, 2012", "Stade Francois-Coty (6,140)"
Paris Saint-Germain , 6, 1, Sochaux, "Sunday, April 22, 2012", "Parc des Princes (44,366)"
Lyon, 3, 2, Lorient, "Sunday, April 22, 2012", "Stade de Gerland "
Brest, 0, 1, Stade Rennes, "Saturday, April 21, 2012", "Stade Francis-le Blé (14,391)"
Caen, 1, 4, St Etienne, "Saturday, April 21, 2012", "Stade Michel-d'Ornano (17,256)"
Dijon FCO, 0, 2, Lille, "Saturday, April 21, 2012", "Stade Gaston Gérard (14,005)"
Evian Thonon Gaillard, 2, 1, Toulouse, "Saturday, April 21, 2012", "Parc des Sports, Annecy (10,272)"
Montpellier, 1, 0, Valenciennes, "Saturday, April 21, 2012", "Stade de la Mosson (18,731)"
Nice, 1, 0, AJ Auxerre, "Saturday, April 21, 2012", "Stade du Ray (9,480)"
Bordeaux, 2, 1, Marseille, "Saturday, April 21, 2012", "Stade Jacques Chaban-Delmas (31,440)"
Marseille, 1, 1, Caen, "Wednesday, April 18, 2012", "Stade Vélodrome "
Toulouse, 3, 0, Lyon, "Wednesday, April 18, 2012", "Stadium Municipal "
Stade Rennes, 3, 1, Nice, "Monday, April 16, 2012", "Stade de la Route-de-Lorient "
AS Nancy Lorraine, 2, 2, Bordeaux, "Sunday, April 15, 2012", "Stade Marcel Picot (18,100)"
Lille, 4, 1, AC Ajaccio, "Sunday, April 15, 2012", "Stadium Lille Métropole "
Lorient, 2, 1, Montpellier, "Sunday, April 15, 2012", "Stade du Moustoir (15,592)"
Sochaux, 1, 0, Dijon FCO, "Sunday, April 15, 2012", "Stade Bonal (19,599)"
St Etienne, 2, 1, Brest, "Sunday, April 15, 2012", "Stade Geoffroy-Guichard (21,068)"
Valenciennes, 0, 3, Evian Thonon Gaillard, "Sunday, April 15, 2012", "Stade du Hainaut (13,794)"
AJ Auxerre, 1, 1, Paris Saint-Germain , "Sunday, April 15, 2012", "Stade Abbé-Deschamps "
Marseille, 1, 3, Montpellier, "Wednesday, April 11, 2012", "Stade Vélodrome "
Caen, 1, 0, Bordeaux, "Sunday, April 8, 2012", "Stade Michel-d'Ornano (14,936)"
Nice, 2, 0, Lorient, "Sunday, April 8, 2012", "Stade du Ray (10,001)"
Paris Saint-Germain , 2, 1, Marseille, "Sunday, April 8, 2012", "Parc des Princes (46,252)"
AC Ajaccio, 1, 1, St Etienne, "Saturday, April 7, 2012", "Stade Francois-Coty (6,352)"
Brest, 3, 1, Lille, "Saturday, April 7, 2012", "Stade Francis-le Blé (12,917)"
Dijon FCO, 0, 2, AS Nancy Lorraine, "Saturday, April 7, 2012", "Stade Gaston Gérard (14,526)"
Evian Thonon Gaillard, 1, 3, Stade Rennes, "Saturday, April 7, 2012", "Parc des Sports, Annecy (9,672)"
Montpellier, 2, 1, Sochaux, "Saturday, April 7, 2012", "Stade de la Mosson (18,429)"
Valenciennes, 2, 0, Toulouse, "Saturday, April 7, 2012", "Stade du Hainaut (13,015)"
Lyon, 2, 1, AJ Auxerre, "Saturday, April 7, 2012", "Stade de Gerland (31,492)"
Caen, 0, 0, AC Ajaccio, "Sunday, April 1, 2012", "Stade Michel-d'Ornano "
Lille, 2, 1, Toulouse, "Sunday, April 1, 2012", "Stadium Lille Métropole "
Stade Rennes, 1, 1, Lyon, "Sunday, April 1, 2012", "Stade de la Route-de-Lorient "
AJ Auxerre, 2, 0, Valenciennes, "Saturday, March 31, 2012", "Stade Abbé-Deschamps (14,183)"
Bordeaux, 1, 1, Dijon FCO, "Saturday, March 31, 2012", "Stade Jacques Chaban-Delmas (20,295)"
Lorient, 0, 1, Evian Thonon Gaillard, "Saturday, March 31, 2012", "Stade du Moustoir (14,371)"
Sochaux, 2, 1, Brest, "Saturday, March 31, 2012", "Stade Bonal (17,299)"
St Etienne, 2, 3, Nice, "Saturday, March 31, 2012", "Stade Geoffroy-Guichard (22,035)"
AS Nancy Lorraine, 2, 1, Paris Saint-Germain , "Saturday, March 31, 2012", "Stade Marcel Picot (18,802)"
Dijon FCO, 2, 0, Caen, "Sunday, March 25, 2012", "Stade Gaston Gérard (13,477)"
Toulouse, 1, 0, AJ Auxerre, "Sunday, March 25, 2012", "Stadium Municipal (30,588)"
Paris Saint-Germain , 1, 1, Bordeaux, "Sunday, March 25, 2012", "Parc des Princes (44,723)"
AC Ajaccio, 1, 1, Lorient, "Saturday, March 24, 2012", "Stade Francois-Coty (5,792)"
