home,homescore,awayscore,away,date,location
Celtic,5,0,Heart of Midlothian,"Sunday, May 13, 2012","Celtic Park (58,875)"
Motherwell,0,2,Dundee United,"Sunday, May 13, 2012","Fir Park Stadium (7,456)"
St Johnstone,0,4,Rangers,"Sunday, May 13, 2012","McDiarmid Park (6,459)"
Aberdeen,0,0,St Mirren,"Saturday, May 12, 2012","Pittodrie Stadium (10,716)"
Dunfermline Athletic,1,2,Kilmarnock,"Saturday, May 12, 2012","East End Park (3,276)"
Inverness Caledonian Thistle,2,0,Hibernian,"Saturday, May 12, 2012","Tulloch Caledonian Stadium (4,457)"
Hibernian,4,0,Dunfermline Athletic,"Monday, May 7, 2012","Easter Road Stadium (15,281)"
Dundee United,1,0,Celtic,"Sunday, May 6, 2012","Tannadice Park (9,144)"
Heart of Midlothian,2,0,St Johnstone,"Sunday, May 6, 2012","Tynecastle Stadium (12,543)"
Rangers,0,0,Motherwell,"Saturday, May 5, 2012","Ibrox Stadium (45,962)"
Kilmarnock,1,1,Aberdeen,"Saturday, May 5, 2012","Rugby Park (3,893)"
St Mirren,0,1,Inverness Caledonian Thistle,"Saturday, May 5, 2012","St Mirren Park (3,540)"
Celtic,1,0,St Johnstone,"Thursday, May 3, 2012","Celtic Park (50,297)"
Aberdeen,1,2,Hibernian,"Wednesday, May 2, 2012","Pittodrie Stadium (5,281)"
Inverness Caledonian Thistle,0,0,Dunfermline Athletic,"Wednesday, May 2, 2012","Tulloch Caledonian Stadium (3,036)"
Kilmarnock,0,2,St Mirren,"Wednesday, May 2, 2012","Rugby Park (3,645)"
Rangers,5,0,Dundee United,"Wednesday, May 2, 2012","Ibrox Stadium (43,383)"
Heart of Midlothian,0,1,Motherwell,"Tuesday, May 1, 2012","Tynecastle Stadium (9,185)"
Celtic,3,0,Rangers,"Sunday, April 29, 2012","Celtic Park (58,546)"
St Mirren,1,0,Hibernian,"Sunday, April 29, 2012","St Mirren Park (3,305)"
Dundee United,2,2,Heart of Midlothian,"Saturday, April 28, 2012","Tannadice Park (7,001)"
Dunfermline Athletic,3,0,Aberdeen,"Saturday, April 28, 2012","East End Park (3,501)"
Kilmarnock,4,3,Inverness Caledonian Thistle,"Saturday, April 28, 2012","Rugby Park (3,848)"
Motherwell,5,1,St Johnstone,"Saturday, April 28, 2012","Fir Park Stadium (4,743)"
Motherwell,0,3,Celtic,"Sunday, April 22, 2012","Fir Park Stadium (8,760)"
Hibernian,0,1,Kilmarnock,"Sunday, April 22, 2012","Easter Road Stadium (8,877)"
St Johnstone,0,2,Dundee United,"Saturday, April 21, 2012","McDiarmid Park (5,826)"
Heart of Midlothian,0,3,Rangers,"Saturday, April 21, 2012","Tynecastle Stadium (14,842)"
Inverness Caledonian Thistle,0,2,Aberdeen,"Saturday, April 21, 2012","Tulloch Caledonian Stadium (3,487)"
St Mirren,4,4,Dunfermline Athletic,"Saturday, April 21, 2012","St Mirren Park (3,616)"
Hibernian,1,1,Motherwell,"Sunday, April 8, 2012","Easter Road Stadium (7,110)"
Kilmarnock,0,6,Celtic,"Saturday, April 7, 2012","Rugby Park (15,926)"
Aberdeen,3,1,Dundee United,"Saturday, April 7, 2012","Pittodrie Stadium (8,439)"
Dunfermline Athletic,1,2,Heart of Midlothian,"Saturday, April 7, 2012","East End Park (4,700)"
Rangers,3,1,St Mirren,"Saturday, April 7, 2012","Ibrox Stadium (46,998)"
St Johnstone,0,0,Inverness Caledonian Thistle,"Saturday, April 7, 2012","McDiarmid Park (3,326)"
Celtic,2,0,St Johnstone,"Sunday, April 1, 2012","Celtic Park (57,848)"
Inverness Caledonian Thistle,2,3,Hibernian,"Sunday, April 1, 2012","Tulloch Caledonian Stadium (3,274)"
Motherwell,1,2,Rangers,"Saturday, March 31, 2012","Fir Park Stadium (9,063)"
Dundee United,3,0,Dunfermline Athletic,"Saturday, March 31, 2012","Tannadice Park (6,654)"
Heart of Midlothian,3,0,Aberdeen,"Saturday, March 31, 2012","Tynecastle Stadium (13,292)"
St Mirren,4,2,Kilmarnock,"Saturday, March 31, 2012","St Mirren Park (4,365)"
Inverness Caledonian Thistle,0,1,St Johnstone,"Wednesday, March 28, 2012","Tulloch Caledonian Stadium (3,035)"
Rangers,3,2,Celtic,"Sunday, March 25, 2012","Ibrox Stadium (50,191)"
Aberdeen,0,1,Inverness Caledonian Thistle,"Saturday, March 24, 2012","Pittodrie Stadium (8,939)"
Dunfermline Athletic,1,1,St Mirren,"Saturday, March 24, 2012","East End Park (3,753)"
Hibernian,0,2,Dundee United,"Saturday, March 24, 2012","Easter Road Stadium (9,161)"
Kilmarnock,2,0,Motherwell,"Saturday, March 24, 2012","Rugby Park (6,878)"
St Johnstone,2,1,Heart of Midlothian,"Saturday, March 24, 2012","McDiarmid Park (4,365)"
