home,homescore,awayscore,away,date,location
AZ Alkmaar,1,1,PSV Eindhoven,"Sunday, May 2, 2010","Almaarderhout (16,697)"
FC Groningen,3,1,Sparta Rotterdam,"Sunday, May 2, 2010","Euroborg Stadion (22,351)"
FC Utrecht,2,2,Vitesse Arnhem,"Sunday, May 2, 2010","Nieuw Galgewaard (21,100)"
Feyenoord Rotterdam,6,2,Heerenveen,"Sunday, May 2, 2010","De Kuip Stadion  (43,000)"
NAC Breda,0,2,Twente Enschede,"Sunday, May 2, 2010","Rat Verlegh Stadion (17,750)"
NEC Nijmegen,1,4,Ajax Amsterdam,"Sunday, May 2, 2010","De Goffert (12,500)"
RKC Waalwijk,1,2,VVV Venlo,"Sunday, May 2, 2010","Mandemakers Stadion (3,500)"
Roda JC Kerkrade,3,2,Willem II Tilburg,"Sunday, May 2, 2010","Parkstad Limburg Stadion (16,185)"
SC Heracles Almelo,4,2,ADO Den Haag,"Sunday, May 2, 2010","Polman Stadion (8,400)"
ADO Den Haag,4,0,RKC Waalwijk,"Sunday, April 18, 2010","Het Zuiderpark (13,248)"
Ajax Amsterdam,4,0,SC Heracles Almelo,"Sunday, April 18, 2010","Amsterdam ArenA (51,554)"
Heerenveen,0,0,NAC Breda,"Sunday, April 18, 2010","Abe Lenstra Stadion (25,800)"
PSV Eindhoven,3,1,FC Groningen,"Sunday, April 18, 2010","Philips Stadion (33,000)"
Sparta Rotterdam,0,3,FC Utrecht,"Sunday, April 18, 2010","Sparta-Stadion, Het Kasteel (10,600)"
Twente Enschede,2,0,Feyenoord Rotterdam,"Sunday, April 18, 2010","De Grolsch Veste (24,000)"
Vitesse Arnhem,2,5,Roda JC Kerkrade,"Sunday, April 18, 2010","Gelredome (17,932)"
VVV Venlo,2,0,NEC Nijmegen,"Sunday, April 18, 2010","De Koel (7,500)"
Willem II Tilburg,0,3,AZ Alkmaar,"Sunday, April 18, 2010","Willem II Stadion (11,500)"
Roda JC Kerkrade,4,2,VVV Venlo,"Wednesday, April 14, 2010","Parkstad Limburg Stadion (16,600)"
Willem II Tilburg,0,2,Ajax Amsterdam,"Wednesday, April 14, 2010","Willem II Stadion (12,500)"
Feyenoord Rotterdam,3,0,Sparta Rotterdam,"Wednesday, April 14, 2010","De Kuip Stadion  (46,500)"
Heerenveen,2,2,PSV Eindhoven,"Wednesday, April 14, 2010","Abe Lenstra Stadion (26,200)"
ADO Den Haag,2,3,NEC Nijmegen,"Wednesday, April 14, 2010","Het Zuiderpark (11,324)"
FC Utrecht,1,1,FC Groningen,"Wednesday, April 14, 2010","Nieuw Galgewaard (21,150)"
AZ Alkmaar,1,0,Twente Enschede,"Tuesday, April 13, 2010","Almaarderhout (17,250)"
SC Heracles Almelo,4,1,RKC Waalwijk,"Tuesday, April 13, 2010","Polman Stadion (8,400)"
Vitesse Arnhem,1,1,NAC Breda,"Tuesday, April 13, 2010","Gelredome (14,400)"
FC Utrecht,0,2,ADO Den Haag,"Sunday, April 11, 2010","Nieuw Galgewaard (21,300)"
PSV Eindhoven,0,0,Feyenoord Rotterdam,"Sunday, April 11, 2010","Philips Stadion (35,200)"
Ajax Amsterdam,7,0,VVV Venlo,"Sunday, April 11, 2010","Amsterdam ArenA (49,000)"
FC Groningen,4,0,Willem II Tilburg,"Sunday, April 11, 2010","Euroborg Stadion (20,185)"
Twente Enschede,2,0,Heerenveen,"Saturday, April 10, 2010","De Grolsch Veste (23,600)"
NAC Breda,1,0,Roda JC Kerkrade,"Saturday, April 10, 2010","Rat Verlegh Stadion (17,750)"
NEC Nijmegen,0,0,AZ Alkmaar,"Saturday, April 10, 2010","De Goffert (12,400)"
Sparta Rotterdam,1,1,SC Heracles Almelo,"Saturday, April 10, 2010","Sparta-Stadion, Het Kasteel (10,100)"
RKC Waalwijk,4,1,Vitesse Arnhem,"Friday, April 9, 2010","Mandemakers Stadion (6,500)"
ADO Den Haag,0,1,Ajax Amsterdam,"Sunday, April 4, 2010","Het Zuiderpark (13,921)"
Feyenoord Rotterdam,0,0,NAC Breda,"Sunday, April 4, 2010","De Kuip Stadion  (38,000)"
SC Heracles Almelo,2,0,NEC Nijmegen,"Sunday, April 4, 2010","Polman Stadion (8,200)"
Willem II Tilburg,0,1,PSV Eindhoven,"Sunday, April 4, 2010","Willem II Stadion (11,900)"
VVV Venlo,0,2,Twente Enschede,"Saturday, April 3, 2010","De Koel (7,500)"
AZ Alkmaar,2,0,FC Utrecht,"Saturday, April 3, 2010","Almaarderhout (15,950)"
Roda JC Kerkrade,5,1,RKC Waalwijk,"Saturday, April 3, 2010","Parkstad Limburg Stadion (50,100)"
Vitesse Arnhem,3,0,FC Groningen,"Saturday, April 3, 2010","Gelredome (16,950)"
Heerenveen,4,1,Sparta Rotterdam,"Saturday, April 3, 2010","Abe Lenstra Stadion (26,000)"
Feyenoord Rotterdam,2,1,Vitesse Arnhem,"Wednesday, March 31, 2010","De Kuip Stadion  (20,000)"
