home, homescore, awayscore, away, date, time
Arsenal, 2, 1, Bolton, Sunday 5 May 1996, 16:00
Chelsea, 2, 3, Blackburn, Sunday 5 May 1996, 16:00
Coventry, 0, 0, Leeds, Sunday 5 May 1996, 16:00
Everton, 1, 0, Aston Villa, Sunday 5 May 1996, 16:00
Man City, 2, 2, Liverpool, Sunday 5 May 1996, 16:00
Middlesbrough, 0, 3, Man Utd, Sunday 5 May 1996, 16:00
Newcastle, 1, 1, Spurs, Sunday 5 May 1996, 16:00
Nott'm Forest, 3, 0, QPR, Sunday 5 May 1996, 16:00
Southampton, 0, 0, Wimbledon, Sunday 5 May 1996, 16:00
West Ham, 1, 1, Sheffield Wed, Sunday 5 May 1996, 16:00
Leeds, 1, 3, Spurs, Thursday 2 May 1996, 19:45
Nott'm Forest, 1, 1, Newcastle, Thursday 2 May 1996, 19:45
Arsenal, 0, 0, Liverpool, Wednesday 1 May 1996, 19:45
Leeds, 0, 1, Newcastle, Monday 29 April 1996, 20:00
Man Utd, 5, 0, Nott'm Forest, Sunday 28 April 1996, 16:00
Aston Villa, 0, 1, Man City, Saturday 27 April 1996, 15:00
Blackburn, 1, 1, Arsenal, Saturday 27 April 1996, 15:00
Bolton, 0, 1, Southampton, Saturday 27 April 1996, 15:00
Liverpool, 1, 0, Middlesbrough, Saturday 27 April 1996, 15:00
QPR, 3, 0, West Ham, Saturday 27 April 1996, 15:00
Sheffield Wed, 2, 5, Everton, Saturday 27 April 1996, 15:00
Spurs, 1, 1, Chelsea, Saturday 27 April 1996, 15:00
Wimbledon, 0, 2, Coventry, Saturday 27 April 1996, 15:00
Man Utd, 1, 0, Leeds, Wednesday 17 April 1996, 20:00
Aston Villa, 1, 1, West Ham, Wednesday 17 April 1996, 19:45
Blackburn, 3, 2, Wimbledon, Wednesday 17 April 1996, 19:45
Newcastle, 1, 0, Southampton, Wednesday 17 April 1996, 19:45
Nott'm Forest, 0, 0, Coventry, Wednesday 17 April 1996, 19:45
Sheffield Wed, 0, 0, Chelsea, Wednesday 17 April 1996, 19:45
Everton, 1, 1, Liverpool, Tuesday 16 April 1996, 20:00
Arsenal, 0, 0, Spurs, Monday 15 April 1996, 20:00
Newcastle, 1, 0, Aston Villa, Sunday 14 April 1996, 16:00
Chelsea, 4, 1, Leeds, Saturday 13 April 1996, 15:00
Coventry, 1, 0, QPR, Saturday 13 April 1996, 15:00
Man City, 1, 0, Sheffield Wed, Saturday 13 April 1996, 15:00
Middlesbrough, 1, 2, Wimbledon, Saturday 13 April 1996, 15:00
Nott'm Forest, 1, 5, Blackburn, Saturday 13 April 1996, 15:00
Southampton, 3, 1, Man Utd, Saturday 13 April 1996, 15:00
West Ham, 1, 0, Bolton, Saturday 13 April 1996, 15:00
Blackburn, 2, 1, Newcastle, Monday 8 April 1996, 20:00
Aston Villa, 3, 0, Southampton, Monday 8 April 1996, 15:00
