home, homescore, awayscore, away, date, group
Getafe, 0, 0, Real Zaragoza, "Sunday, April 13, 2008", "Coliseum Alfonso Pérez (12,000)"
Mallorca, 2, 3, Sevilla FC, "Sunday, April 13, 2008", "Iberostar Estadi (15,000)"
Real Betis, 0, 1, Levante, "Sunday, April 13, 2008", "Benito Villamarín (30,000)"
Real Valladolid, 1, 1, Atletico Madrid, "Sunday, April 13, 2008", "José Zorrilla (24,001)"
Real Madrid, 1, 0, Murcia, "Sunday, April 13, 2008", "Santiago Bernabéu (65,000)"
Almeria, 1, 0, Villarreal, "Sunday, April 13, 2008", "Juegos Mediterráneos (12,500)"
Valencia, 1, 2, Racing Santander, "Saturday, April 12, 2008", "Mestalla (36,000)"
Recreativo Huelva, 2, 2, Barcelona, "Saturday, April 12, 2008", "Nuevo Colombino (20,000)"
Athletic Bilbao, 1, 0, Espanyol, "Sunday, April 6, 2008", "Antiguo San Mamés (37,000)"
Atletico Madrid, 6, 3, Almeria, "Sunday, April 6, 2008", "Vicente Calderón (48,000)"
Levante, 0, 3, Real Valladolid, "Sunday, April 6, 2008", "Ciutat de València (10,864)"
Murcia, 1, 0, Valencia, "Sunday, April 6, 2008", "Nueva Condomina (24,000)"
Racing Santander, 1, 3, Deportivo La Coruña, "Sunday, April 6, 2008", "El Sardinero (22,500)"
Real Zaragoza, 0, 3, Real Betis, "Sunday, April 6, 2008", "La Romareda (28,000)"
Sevilla FC, 2, 0, Villarreal, "Sunday, April 6, 2008", "Ramón Sánchez Pizjuán (38,000)"
Barcelona, 0, 0, Getafe, "Sunday, April 6, 2008", "Camp Nou (68,000)"
Osasuna, 0, 1, Recreativo Huelva, "Saturday, April 5, 2008", "El Sadar (15,000)"
Mallorca, 1, 1, Real Madrid, "Saturday, April 5, 2008", "Iberostar Estadi (25,000)"
Almeria, 2, 1, Levante, "Sunday, March 30, 2008", "Juegos Mediterráneos (18,000)"
Espanyol, 0, 3, Racing Santander, "Sunday, March 30, 2008", "Estadio Olimpico de Montjuic (18,000)"
Getafe, 0, 2, Osasuna, "Sunday, March 30, 2008", "Coliseum Alfonso Pérez (10,000)"
Real Valladolid, 2, 1, Real Zaragoza, "Sunday, March 30, 2008", "José Zorrilla (15,333)"
Recreativo Huelva, 1, 1, Athletic Bilbao, "Sunday, March 30, 2008", "Nuevo Colombino (20,000)"
Valencia, 0, 3, Mallorca, "Sunday, March 30, 2008", "Mestalla (38,000)"
Deportivo La Coruña, 3, 1, Murcia, "Sunday, March 30, 2008", "Municipal de Riazor (22,000)"
Real Madrid, 3, 1, Sevilla FC, "Sunday, March 30, 2008", "Santiago Bernabéu (80,000)"
Real Betis, 3, 2, Barcelona, "Saturday, March 29, 2008", "Benito Villamarín (50,000)"
Villarreal, 3, 0, Atletico Madrid, "Saturday, March 29, 2008", "El Madrigal (22,000)"
Barcelona, 4, 1, Real Valladolid, "Sunday, March 23, 2008", "Camp Nou (80,000)"
Levante, 1, 2, Villarreal, "Sunday, March 23, 2008", "Ciutat de València (11,938)"
Murcia, 4, 0, Espanyol, "Sunday, March 23, 2008", "Nueva Condomina (15,000)"
Osasuna, 0, 1, Real Betis, "Sunday, March 23, 2008", "El Sadar (15,000)"
Racing Santander, 2, 0, Recreativo Huelva, "Sunday, March 23, 2008", "El Sardinero (15,000)"
Real Zaragoza, 1, 1, Almeria, "Sunday, March 23, 2008", "La Romareda (25,000)"
Real Madrid, 2, 3, Valencia, "Sunday, March 23, 2008", "Santiago Bernabéu (70,000)"
Athletic Bilbao, 1, 0, Getafe, "Sunday, March 23, 2008", "Antiguo San Mamés (35,000)"
Mallorca, 1, 0, Deportivo La Coruña, "Saturday, March 22, 2008", "Iberostar Estadi (12,000)"
Sevilla FC, 1, 2, Atletico Madrid, "Saturday, March 22, 2008", "Ramón Sánchez Pizjuán (35,000)"
Espanyol, 2, 1, Mallorca, "Sunday, March 16, 2008", "Estadio Olimpico de Montjuic (29,000)"
Getafe, 2, 1, Racing Santander, "Sunday, March 16, 2008", "Coliseum Alfonso Pérez (12,000)"
Real Valladolid, 0, 0, Osasuna, "Sunday, March 16, 2008", "José Zorrilla (16,045)"
Villarreal, 2, 0, Real Zaragoza, "Sunday, March 16, 2008", "El Madrigal (21,000)"
Almeria, 2, 2, Barcelona, "Sunday, March 16, 2008", "Juegos Mediterráneos (20,000)"
Atletico Madrid, 3, 0, Levante, "Sunday, March 16, 2008", "Vicente Calderón (30,000)"
Deportivo La Coruña, 1, 0, Real Madrid, "Saturday, March 15, 2008", "Municipal de Riazor (34,000)"
Recreativo Huelva, 4, 2, Murcia, "Saturday, March 15, 2008", "Nuevo Colombino (15,000)"
Valencia, 1, 2, Sevilla FC, "Saturday, March 15, 2008", "Mestalla (30,000)"
Athletic Bilbao, 2, 0, Real Valladolid, "Sunday, March 9, 2008", "Antiguo San Mamés (38,000)"
Mallorca, 7, 1, Recreativo Huelva, "Sunday, March 9, 2008", "Iberostar Estadi (14,000)"
Murcia, 0, 3, Getafe, "Sunday, March 9, 2008", "Nueva Condomina (23,000)"
Osasuna, 2, 1, Almeria, "Sunday, March 9, 2008", "El Sadar (17,800)"
Racing Santander, 3, 0, Real Betis, "Sunday, March 9, 2008", "El Sardinero (21,000)"
Sevilla FC, 2, 1, Levante, "Sunday, March 9, 2008", "Ramón Sánchez Pizjuán (35,000)"
Valencia, 2, 2, Deportivo La Coruña, "Sunday, March 9, 2008", "Mestalla (52,000)"
Barcelona, 1, 2, Villarreal, "Sunday, March 9, 2008", "Camp Nou (61,000)"
