home, homescore, awayscore, away, date, group
Mainz, 0, 2, VfL Wolfsburg, "Saturday, March 27, 2010", Stadion am Bruchweg (19,700)
Werder Bremen, 4, 2, Nurnberg, "Saturday, March 27, 2010", Weserstadion (36,123)
Bayer Leverkusen, 0, 2, Schalke 04, "Saturday, March 27, 2010", BayArena (30,210)
VfL Bochum, 1, 2, Eintracht Frankfurt, "Friday, March 26, 2010", rewirpowerSTADION (20,000)
Hamburg SV, 2, 2, Schalke 04, "Sunday, March 21, 2010", Imtech Arena (57,000)
VfL Wolfsburg, 1, 5, Hertha Berlin, "Sunday, March 21, 2010", Volkswagen Arena (29,353)
Eintracht Frankfurt, 2, 1, Bayern Munich, "Saturday, March 20, 2010", Commerzbank Arena (51,500)
Nurnberg, 0, 0, TSG Hoffenheim, "Saturday, March 20, 2010", EasyCredit-Stadion (40,421)
SC Freiburg, 1, 0, Mainz, "Saturday, March 20, 2010", badenova-Stadion (20,000)
VfB Stuttgart, 2, 0, Hannover 96, "Saturday, March 20, 2010", Mercedes-Benz Arena (41,000)
Werder Bremen, 3, 2, VfL Bochum, "Saturday, March 20, 2010", Weserstadion (36,197)
Borussia Dortmund, 3, 0, Bayer Leverkusen, "Saturday, March 20, 2010", Signal Iduna Park (80,100)
FC Cologne, 1, 1, Borussia Monchengladbach, "Friday, March 19, 2010", RheinEnergieStadion (50,000)
TSG Hoffenheim, 0, 1, Werder Bremen, "Sunday, March 14, 2010", Rhein-Neckar-Arena (30,150)
Bayer Leverkusen, 4, 2, Hamburg SV, "Sunday, March 14, 2010", BayArena (30,231)
Borussia Monchengladbach, 0, 4, VfL Wolfsburg, "Saturday, March 13, 2010", Borussia-Park (39,128)
Hannover 96, 2, 1, Eintracht Frankfurt, "Saturday, March 13, 2010", AWD-Arena (38,847)
Hertha Berlin, 1, 2, Nurnberg, "Saturday, March 13, 2010", Olympiastadion (57,761)
Mainz, 1, 0, FC Cologne, "Saturday, March 13, 2010", Stadion am Bruchweg (23,300)
VfL Bochum, 1, 4, Borussia Dortmund, "Saturday, March 13, 2010", rewirpowerSTADION (30,748)
Bayern Munich, 2, 1, SC Freiburg, "Saturday, March 13, 2010", Allianz Arena (69,000)
Schalke 04, 2, 1, VfB Stuttgart, "Friday, March 12, 2010", Veltins-Arena (61,673)
Nurnberg, 3, 2, Bayer Leverkusen, "Sunday, March 7, 2010", EasyCredit-Stadion (40,329)
TSG Hoffenheim, 0, 1, Mainz, "Sunday, March 7, 2010", Rhein-Neckar-Arena (30,150)
Eintracht Frankfurt, 1, 4, Schalke 04, "Saturday, March 6, 2010", Commerzbank Arena (51,500)
FC Cologne, 1, 1, Bayern Munich, "Saturday, March 6, 2010", RheinEnergieStadion (50,000)
Hamburg SV, 1, 0, Hertha Berlin, "Saturday, March 6, 2010", Imtech Arena (53,905)
SC Freiburg, 1, 2, Hannover 96, "Saturday, March 6, 2010", badenova-Stadion (19,300)
VfL Wolfsburg, 4, 1, VfL Bochum, "Saturday, March 6, 2010", Volkswagen Arena (27,152)
